root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Open Play Passes,Goals from Inside Box,Successful Open Play Passes,Leftside Passes,Ground Duels lost,Unsuccessful Short Passes,Successful Lay-offs,Unsuccessful Passes Own Half,Aerial Duels won,Penalty Goals Conceded,Goals Conceded Inside Box,Successful Passes Opposition Half,Appearances,Goals Conceded,Goals from Outside Box,Aerial Duels,Left Foot Goals,Total Fouls Won,Index,Backward Passes,Touches,Total Passes,Substitute Off,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Substitute On,Successful Passes Own Half,Foul Attempted Tackle,Goals Conceded Outside Box,Times Tackled,Offsides,Total Losses Of Possession,Unsuccessful Dribbles,Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Starts,Ground Duels,PutThrough/Blocked Distribution Won,Goals,Shots On Target ( inc goals ),Ground Duels won,Right Foot Goals,Total Touches In Opposition Box,Unsuccessful Passes Opposition Half,Rightside Passes,PutThrough/Blocked Distribution,Overruns,Total Fouls Conceded,Aerial Duels lost,Forward Passes,Time Played,Recoveries,Games Played,Duels won,Shots Off Target (inc woodwork),Successful Short Passes,Successful Dribbles,Yellow Cards,Duels,Home Goals,Away Goals,Winning Goal,Key Passes (Attempt Assists),Through balls,Successful Crosses & Corners,Corners Won,Unsuccessful Launches,Successful Launches,Successful Long Passes,Unsuccessful Long Passes,Interceptions,Total Clearances,Blocked Shots,Tackles Lost,Corners Taken (incl short corners),Unsuccessful Crosses open play,Attempts from Set Pieces,Unsuccessful Corners into Box,Successful Corners into Box,Tackles Won,Unsuccessful Crosses & Corners,Throw Ins to Own Player,Total Tackles,Clean Sheets,Successful Crosses open play,Blocks,Goal Assists,Unsuccessful lay-offs,Goal Kicks,GK Successful Distribution,Throw Ins to Opposition Player,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Drops,Saves Made,Catches,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Foul Won Penalty,Assists (Intentional),Hit Woodwork,Headed Goals,Punches,Penalty Goals,Penalties Taken,Set Pieces Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Own Goal Scored,Saves made - caught,Goalkeeper Smother,Clearances Off the Line,Saves from Penalty,Penalties Saved,Last Player Tackle,Second Goal Assists,Penalties Off Target
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,7c77bmzx5c6bsvk9a6vvq1gq1,G. Innocent,Goalkeeper,0,,,,,1.0,,,,,1.0,1.0,,1.0,2.0,,,,,10.0,,3.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,25.0,,1.0,,,2.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,8axjyioicdx8i2zkhcb79c9yi,D. Jean,Forward,0,75.0,,64.0,12.0,15.0,9.0,3.0,,1.0,1.0,2.0,50.0,6.0,3.0,,2.0,,4.0,10.0,25.0,122.0,80.0,3.0,,69.0,3.0,20.0,5.0,1.0,8.0,3.0,29.0,5.0,16.0,11.0,3.0,3.0,23.0,1.0,,2.0,8.0,,14.0,13.0,28.0,2.0,1.0,6.0,1.0,15.0,279.0,6.0,6.0,9.0,1.0,67.0,1.0,1.0,25.0,,,0.0,2.0,,1.0,1.0,,,2.0,2.0,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,4.0,3.0,,1.0,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,ecikirj22qzmxyxtiz1ciw4ix,D. Jean Jacques,Midfielder,0,253.0,2.0,215.0,50.0,14.0,32.0,2.0,5.0,7.0,1.0,4.0,128.0,6.0,5.0,,9.0,,6.0,10.0,41.0,304.0,256.0,3.0,,217.0,,90.0,7.0,1.0,4.0,1.0,50.0,3.0,16.0,39.0,9.0,6.0,27.0,2.0,2.0,3.0,13.0,2.0,10.0,36.0,72.0,6.0,,7.0,2.0,93.0,450.0,19.0,6.0,20.0,6.0,195.0,2.0,1.0,36.0,1.0,1.0,0.0,5.0,,1.0,1.0,3.0,,22.0,7.0,4.0,3.0,,2.0,,2.0,,,,3.0,2.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,6rvrngp2p5e650vq2vt589st0,B. Joseph,Midfielder,0,26.0,,18.0,5.0,3.0,7.0,,2.0,1.0,,1.0,7.0,3.0,1.0,,2.0,,1.0,10.0,7.0,36.0,27.0,1.0,,19.0,2.0,12.0,1.0,,1.0,,12.0,,4.0,8.0,,1.0,7.0,,,,4.0,,,8.0,8.0,1.0,,1.0,1.0,7.0,105.0,4.0,3.0,5.0,,16.0,1.0,,9.0,,,0.0,2.0,,,,,,3.0,1.0,1.0,,,2.0,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,d72xxs3tatd1mpe7o7cypkwyd,B. Labissiere,Forward,0,17.0,,12.0,3.0,1.0,4.0,,,,,,8.0,1.0,,,,,,10.0,5.0,24.0,17.0,,,12.0,1.0,4.0,,,1.0,,11.0,,1.0,5.0,,,1.0,1.0,,,,,3.0,6.0,5.0,3.0,1.0,,,4.0,45.0,2.0,1.0,,,12.0,,,1.0,,,0.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,b9lt0sfts2zxf2ali8vpf0pn9,D. Lacroix,Defender,0,104.0,1.0,96.0,2.0,10.0,7.0,,3.0,1.0,1.0,3.0,55.0,3.0,4.0,,1.0,1.0,,10.0,22.0,166.0,105.0,,,97.0,,44.0,3.0,1.0,4.0,,19.0,2.0,10.0,8.0,1.0,3.0,23.0,,1.0,1.0,13.0,,4.0,7.0,41.0,1.0,,5.0,,40.0,270.0,10.0,3.0,14.0,,95.0,3.0,,24.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,,2.0,,,,6.0,2.0,21.0,10.0,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,1slolqi1sgv9cqdqgrx16arpx,S. Lambese,Defender,0,80.0,,66.0,38.0,6.0,10.0,,5.0,,,1.0,38.0,4.0,1.0,,1.0,,3.0,10.0,21.0,126.0,82.0,1.0,,68.0,2.0,32.0,,,6.0,,27.0,4.0,7.0,14.0,3.0,2.0,13.0,1.0,,,7.0,,2.0,10.0,,3.0,,,1.0,23.0,172.0,10.0,4.0,7.0,3.0,59.0,1.0,,14.0,,,0.0,1.0,,2.0,,2.0,1.0,9.0,4.0,1.0,1.0,,,,1.0,2.0,,,3.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,bmj5eatcmsn77e7oh6zs6bris,J. Mednard,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,dqekbs06e79n3vapj437pwyc,G. Metusala,Defender,0,163.0,,150.0,40.0,5.0,8.0,,3.0,5.0,1.0,2.0,85.0,3.0,3.0,,9.0,,3.0,10.0,9.0,195.0,166.0,1.0,,153.0,,68.0,3.0,1.0,,,16.0,,9.0,13.0,1.0,3.0,10.0,,,,5.0,,4.0,12.0,40.0,,,5.0,4.0,77.0,225.0,7.0,3.0,10.0,1.0,144.0,,,19.0,,,0.0,2.0,,,4.0,1.0,,9.0,5.0,1.0,8.0,,,,1.0,,,,2.0,2.0,6.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,e7w5aujupw3lwhw69vnphqor9,D. Nazon,Forward,0,119.0,9.0,87.0,28.0,29.0,31.0,5.0,4.0,2.0,1.0,3.0,70.0,6.0,4.0,,2.0,1.0,8.0,10.0,26.0,222.0,124.0,1.0,,92.0,1.0,22.0,2.0,1.0,25.0,1.0,75.0,16.0,29.0,32.0,20.0,5.0,43.0,3.0,9.0,13.0,14.0,7.0,48.0,33.0,25.0,7.0,1.0,2.0,,45.0,481.0,7.0,6.0,16.0,7.0,88.0,4.0,,45.0,4.0,5.0,1.0,9.0,,,12.0,,1.0,4.0,1.0,3.0,1.0,5.0,,,5.0,1.0,,,2.0,5.0,,2.0,3.0,,,2.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,3.0,3.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,ba2aut8k62b83ca053l5bf1lh,F. Picault,Forward,0,156.0,1.0,130.0,12.0,11.0,23.0,3.0,1.0,4.0,1.0,4.0,115.0,6.0,5.0,,5.0,,14.0,10.0,53.0,280.0,164.0,5.0,,137.0,,38.0,3.0,1.0,8.0,1.0,80.0,4.0,12.0,27.0,7.0,6.0,38.0,3.0,1.0,4.0,27.0,,18.0,61.0,50.0,4.0,1.0,3.0,1.0,49.0,442.0,11.0,6.0,31.0,3.0,132.0,7.0,,43.0,1.0,0.0,1.0,10.0,,16.0,7.0,3.0,,5.0,4.0,1.0,,4.0,2.0,28.0,16.0,,13.0,11.0,4.0,35.0,4.0,6.0,1.0,3.0,,3.0,,,,2.0,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,b5nt6yopvia4tja3t118006sq,A. Pierre,Goalkeeper,0,31.0,,30.0,12.0,,,,1.0,,,1.0,1.0,2.0,1.0,,,,1.0,10.0,,50.0,39.0,,,37.0,1.0,36.0,,,,,3.0,,,2.0,,1.0,2.0,,,,2.0,,,1.0,14.0,,,,,13.0,155.0,10.0,2.0,2.0,,33.0,1.0,,2.0,,,0.0,,,,,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,1.0,,,,,8.0,14.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,4m81wltinr5z61nc6dnc8twbt,L. Pierre,Midfielder,0,119.0,,99.0,25.0,9.0,11.0,1.0,3.0,3.0,,2.0,55.0,3.0,2.0,,3.0,,2.0,10.0,20.0,145.0,123.0,2.0,,103.0,,49.0,4.0,,2.0,,27.0,1.0,9.0,20.0,4.0,3.0,14.0,1.0,,1.0,5.0,,2.0,20.0,39.0,1.0,,6.0,,39.0,200.0,11.0,3.0,8.0,3.0,85.0,,1.0,17.0,,,0.0,3.0,1.0,1.0,1.0,4.0,1.0,18.0,9.0,2.0,,,,2.0,,1.0,1.0,,3.0,3.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,10fhneu2ag3zslmot65er6x9l,F. Pierrot,Forward,0,58.0,7.0,40.0,7.0,10.0,17.0,3.0,,6.0,,3.0,30.0,5.0,3.0,,10.0,2.0,2.0,10.0,19.0,109.0,59.0,3.0,,41.0,1.0,11.0,1.0,,8.0,5.0,34.0,3.0,14.0,18.0,17.0,4.0,16.0,2.0,7.0,12.0,6.0,3.0,39.0,19.0,17.0,5.0,1.0,2.0,4.0,16.0,358.0,5.0,5.0,12.0,5.0,38.0,1.0,,26.0,2.0,5.0,1.0,5.0,,,,,,3.0,1.0,1.0,,4.0,,,1.0,,,,3.0,1.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,c0zltqpdjrq8l26xwn0mockwl,J. Placide,Goalkeeper,0,85.0,,74.0,19.0,,2.0,,4.0,1.0,,2.0,21.0,4.0,2.0,,1.0,,,10.0,,145.0,117.0,,,102.0,,81.0,,,,,15.0,,,15.0,,4.0,1.0,,,,1.0,,,11.0,29.0,1.0,,,,69.0,360.0,29.0,4.0,2.0,,74.0,,,2.0,,,0.0,,,,,6.0,9.0,28.0,13.0,,2.0,,,,,,,,1.0,,,1.0,2.0,,,,,24.0,39.0,,,2.0,5.0,1.0,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,16pwi03qk6lo51i1n5oh6ac5w,M. Prunier,Forward,0,11.0,1.0,7.0,2.0,3.0,4.0,,,1.0,,,5.0,3.0,,,2.0,,1.0,10.0,2.0,17.0,11.0,,,7.0,3.0,2.0,1.0,,2.0,,7.0,1.0,4.0,4.0,2.0,,4.0,,1.0,2.0,1.0,1.0,6.0,4.0,3.0,1.0,,1.0,1.0,4.0,36.0,4.0,3.0,2.0,,7.0,,,6.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,74rnjizxzn5a0oag6sue0ja7e,C. Sainté,Midfielder,0,45.0,,41.0,10.0,2.0,3.0,,,1.0,,,20.0,3.0,,,1.0,,,10.0,4.0,49.0,46.0,,,42.0,3.0,22.0,,,1.0,,5.0,,2.0,4.0,,,3.0,,,,1.0,,,4.0,16.0,,,,,16.0,57.0,7.0,3.0,2.0,,38.0,,,4.0,,,0.0,1.0,,,,,,4.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
