liga,temporada,equipo,id,nombre,posicion,dorsal,Throw Ins to Own Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Long Passes,Unsuccessful Short Passes,Successful Passes Own Half,Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Backward Passes,Duels won,PutThrough/Blocked Distribution,Total Fouls Won,Aerial Duels,Total Losses Of Possession,Successful Short Passes,Total Clearances,Time Played,Clean Sheets,Unsuccessful Passes Opposition Half,Duels,Index,Rightside Passes,Ground Duels,Ground Duels won,Throw Ins to Opposition Player,Starts,Unsuccessful Long Passes,Ground Duels lost,Appearances,Open Play Passes,Tackles Lost,Games Played,Aerial Duels lost,Leftside Passes,Foul Attempted Tackle,Successful Open Play Passes,Total Tackles,Unsuccessful Passes Own Half,Interceptions,Total Passes,Aerial Duels won,Times Tackled,Successful Passes Opposition Half,Touches,Forward Passes,Recoveries,Total Fouls Conceded,Winning Goal,Unsuccessful Launches,Successful Dribbles,Tackles Won,Key Passes (Attempt Assists),Substitute On,Total Shots,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Substitute Off,Blocked Shots,Shots Off Target (inc woodwork),Corners Won,Unsuccessful Crosses open play,Overruns,Unsuccessful Corners into Box,Total Touches In Opposition Box,Corners Taken (incl short corners),Attempts from Set Pieces,Shots On Target ( inc goals ),Offsides,Catches,Saves Made from Inside Box,GK Successful Distribution,Saves Made,Goal Kicks,Saves Made from Outside Box,Saves made - parried,Blocks,Successful Launches,Total Red Cards,Straight Red Cards,Successful Corners into Box,Successful Crosses & Corners,Successful Lay-offs,Handballs conceded,GK Unsuccessful Distribution,Red Cards - 2nd Yellow
Concacaf_Campeones_Cup,2023,Club Tigres UANL,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27,9.0,10.0,7.0,8.0,25.0,5.0,46.0,1.0,9.0,4.0,1.0,2.0,2.0,15.0,39.0,3.0,90.0,1.0,5.0,9.0,10.0,19.0,7.0,3.0,2.0,1.0,2.0,4.0,1.0,55.0,1.0,1.0,1.0,5.0,1.0,45.0,1.0,5.0,3.0,56.0,1.0,3.0,21.0,82.0,23.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,9.0,10.0,2.0,6.0,34.0,2.0,58.0,,9.0,7.0,,1.0,,11.0,56.0,2.0,90.0,1.0,6.0,9.0,10.0,6.0,9.0,7.0,,1.0,4.0,2.0,1.0,64.0,1.0,1.0,,31.0,2.0,54.0,4.0,4.0,3.0,68.0,,,24.0,93.0,22.0,15.0,2.0,0.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,61huc8rado1jmr8ilgyv2aqxh,Samir,Defender,3,1.0,1.0,,1.0,6.0,,10.0,,3.0,,,,,1.0,10.0,,1.0,,,,10.0,2.0,,,,,,,1.0,11.0,,1.0,,2.0,,10.0,,1.0,,11.0,,,4.0,12.0,4.0,1.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,1.0,7.0,,6.0,11.0,12.0,20.0,,8.0,5.0,1.0,2.0,3.0,18.0,20.0,,83.0,,5.0,17.0,10.0,8.0,14.0,4.0,,1.0,1.0,10.0,1.0,27.0,,1.0,2.0,5.0,1.0,20.0,,3.0,,27.0,1.0,5.0,9.0,50.0,6.0,3.0,4.0,0.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,8nfubgjn9bepubvpc1a640h2i,S. Fierro,Midfielder,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,22iqqk9sbs82tmmyd17m2omlm,M. Flores,Midfielder,24,,2.0,,2.0,1.0,1.0,5.0,1.0,2.0,,1.0,,,6.0,5.0,,15.0,,5.0,1.0,10.0,2.0,1.0,,,,,1.0,1.0,7.0,,1.0,,1.0,,5.0,,,,7.0,,1.0,4.0,12.0,2.0,1.0,,0.0,,,,1.0,1.0,1.0,3.0,,,,1.0,1.0,2.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,745jx9uzim73pkz4qavdzt7je,J. Garza,Midfielder,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,,4.0,2.0,2.0,9.0,9.0,20.0,1.0,6.0,4.0,,,3.0,8.0,18.0,,90.0,1.0,4.0,13.0,10.0,13.0,10.0,4.0,,1.0,2.0,6.0,1.0,23.0,1.0,1.0,3.0,3.0,1.0,19.0,2.0,,,24.0,,4.0,11.0,37.0,2.0,4.0,1.0,0.0,,2.0,1.0,,,2.0,,,,1.0,1.0,1.0,,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,4wnksajccdsp7az7dkemoatxw,F. González,Midfielder,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,1ywn594g4nv3vvqyyy16qjutx,F. Gorriarán,Midfielder,8,2.0,4.0,,4.0,12.0,9.0,31.0,4.0,11.0,4.0,1.0,,1.0,13.0,31.0,,75.0,,6.0,13.0,10.0,7.0,12.0,4.0,,1.0,,8.0,1.0,30.0,2.0,1.0,1.0,12.0,2.0,26.0,4.0,,1.0,35.0,,6.0,19.0,54.0,5.0,3.0,2.0,0.0,,,2.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,
