liga,temporada,equipo,id,nombre,posicion,dorsal,Throw Ins to Own Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Long Passes,Unsuccessful Short Passes,Successful Passes Own Half,Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Backward Passes,Duels won,PutThrough/Blocked Distribution,Total Fouls Won,Aerial Duels,Total Losses Of Possession,Successful Short Passes,Total Clearances,Time Played,Clean Sheets,Unsuccessful Passes Opposition Half,Duels,Index,Rightside Passes,Ground Duels,Ground Duels won,Throw Ins to Opposition Player,Starts,Unsuccessful Long Passes,Ground Duels lost,Appearances,Open Play Passes,Tackles Lost,Games Played,Aerial Duels lost,Leftside Passes,Foul Attempted Tackle,Successful Open Play Passes,Total Tackles,Unsuccessful Passes Own Half,Interceptions,Total Passes,Aerial Duels won,Times Tackled,Successful Passes Opposition Half,Touches,Forward Passes,Recoveries,Total Fouls Conceded,Winning Goal,Unsuccessful Launches,Successful Dribbles,Tackles Won,Key Passes (Attempt Assists),Substitute On,Total Shots,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Substitute Off,Blocked Shots,Shots Off Target (inc woodwork),Corners Won,Unsuccessful Crosses open play,Overruns,Unsuccessful Corners into Box,Total Touches In Opposition Box,Corners Taken (incl short corners),Attempts from Set Pieces,Shots On Target ( inc goals ),Offsides,Catches,Saves Made from Inside Box,GK Successful Distribution,Saves Made,Goal Kicks,Saves Made from Outside Box,Saves made - parried,Blocks,Successful Launches,Total Red Cards,Straight Red Cards,Successful Corners into Box,Successful Crosses & Corners,Successful Lay-offs,Handballs conceded,GK Unsuccessful Distribution,Red Cards - 2nd Yellow
Concacaf_Campeones_Cup,2023,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1,,8.0,6.0,,30.0,,31.0,,,,,,,8.0,25.0,,90.0,1.0,4.0,,10.0,10.0,,,,1.0,8.0,,1.0,31.0,,1.0,,8.0,,24.0,,4.0,,39.0,,,1.0,48.0,21.0,7.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,10.0,3.0,5.0,2.0,1.0,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,9ust2jottz8epaowj06jc0u7d,N. Ibáñez,Forward,9,,2.0,,2.0,2.0,3.0,4.0,,1.0,,1.0,,,4.0,4.0,,7.0,,2.0,3.0,10.0,1.0,3.0,,,,,3.0,1.0,6.0,,1.0,,2.0,,4.0,,,,6.0,,1.0,2.0,9.0,2.0,1.0,1.0,0.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,2irms3moqosywa14re7n2awh5,D. Lainez,Midfielder,16,,4.0,,4.0,6.0,5.0,19.0,2.0,9.0,3.0,2.0,,,10.0,19.0,,75.0,,6.0,8.0,10.0,6.0,8.0,3.0,,1.0,,5.0,1.0,23.0,2.0,1.0,,1.0,,19.0,3.0,1.0,,23.0,,3.0,13.0,34.0,7.0,1.0,,0.0,,,1.0,1.0,,1.0,3.0,,1.0,1.0,,2.0,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,4s64184dkx6ueuosa45eynqzu,F. Ordóñez,Defender,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,casil63kq0cfbxw6sr0q9unrp,G. Pizarro,Midfielder,19,,10.0,5.0,6.0,47.0,3.0,75.0,,3.0,7.0,1.0,,3.0,12.0,70.0,2.0,90.0,1.0,4.0,10.0,10.0,21.0,7.0,5.0,,1.0,4.0,2.0,1.0,84.0,2.0,1.0,1.0,38.0,1.0,74.0,4.0,6.0,2.0,85.0,2.0,,28.0,100.0,23.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,rrvj4qsdi3g9aowe1rohmbit,L. Quiñones,Forward,23,,7.0,,6.0,6.0,7.0,29.0,3.0,8.0,12.0,1.0,4.0,1.0,20.0,29.0,,89.0,,12.0,19.0,10.0,3.0,18.0,11.0,,1.0,1.0,7.0,1.0,36.0,1.0,1.0,,14.0,1.0,29.0,4.0,,,36.0,1.0,5.0,23.0,61.0,11.0,5.0,1.0,0.0,,3.0,3.0,,,1.0,5.0,,1.0,,,1.0,3.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,51dqp43vt4ctlibmgj5pgm4lx,D. Reyes,Defender,13,,5.0,2.0,2.0,54.0,3.0,72.0,,3.0,1.0,,,2.0,5.0,70.0,1.0,90.0,1.0,4.0,4.0,10.0,35.0,2.0,1.0,,1.0,3.0,1.0,1.0,77.0,1.0,1.0,2.0,26.0,,72.0,1.0,1.0,2.0,77.0,,,18.0,85.0,13.0,4.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,a3vqeuqyswgt9f41454z73lxx,F. Rodríguez,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,eif2ze2ewa7i712lj87x29mnd,E. Tercero,Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,33afzlkan65vmjahs9a15sf6d,J. Vigón,Midfielder,6,,5.0,,5.0,4.0,,9.0,,2.0,1.0,1.0,,1.0,5.0,9.0,,15.0,,3.0,1.0,10.0,3.0,,,,,,,1.0,13.0,,1.0,,5.0,,8.0,,2.0,,14.0,1.0,,5.0,15.0,4.0,,,0.0,,,,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,d9y2nzwk6kkcejglaa4kxeuvp,Rafael Carioca,Midfielder,5,,7.0,2.0,5.0,38.0,7.0,64.0,,11.0,3.0,1.0,1.0,,12.0,62.0,,85.0,,5.0,10.0,10.0,22.0,10.0,3.0,,1.0,2.0,7.0,1.0,69.0,,1.0,,22.0,2.0,62.0,2.0,2.0,,71.0,,2.0,26.0,83.0,16.0,10.0,3.0,0.0,1.0,,2.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
