liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,Colorado Rapids 2,f1oc42nax0yel4gblge49py7e,D. Amadou,Midfielder,45,33.0,1323.0,60.0,1088.0,321.0,348.0,44.0,4.0,2157.0,116.0,39.0,12.0,576.0,13.0,58.0,154.0,1272.0,10.0,38.0,106.0,28.0,18.0,259.0,17.0,26.0,31.0,12.0,8.0,222.0,265.0,988.0,12.0,,153.0,19.0,235.0,514.0,28.0,37.0,26.0,6.0,1043.0,556.0,124.0,135.0,1695.0,200.0,1.0,6.0,,4.0,100.0,1.0,,2.0,1.0,2.0,1.0,37.0,,3.0,18.0,,3.0,1.0,8.0,4.0,,10.0,,18.0,22.0,,5.0,20.0,,81.0,2.0,56.0,19.0,39.0,154.0,1.0,47.0,,2.0,1.0,31.0,,29.0,11.0,,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,249.0,55.0,88.0,4.0,3.0,1.0,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,8bs126ikqcreg8pz9rg8582z8,D. Ambriz,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,brojcl8p98obldm2m5shg29uy,S. Bassett,Midfielder,18,17.0,727.0,10.0,618.0,225.0,144.0,7.0,1.0,1284.0,58.0,35.0,57.0,466.0,8.0,19.0,86.0,689.0,10.0,8.0,42.0,16.0,11.0,117.0,12.0,14.0,13.0,2.0,14.0,100.0,215.0,578.0,10.0,,68.0,26.0,109.0,173.0,16.0,20.0,16.0,6.0,587.0,238.0,51.0,66.0,1006.0,149.0,1.0,5.0,,4.0,40.0,4.0,31.0,3.0,7.0,,,17.0,2.0,2.0,9.0,,1.0,,12.0,3.0,1.0,2.0,,13.0,37.0,52.0,2.0,11.0,5.0,23.0,1.0,29.0,8.0,18.0,130.0,1.0,17.0,1.0,21.0,1.0,8.0,,4.0,6.0,16.0,3.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,189.0,186.0,86.0,9.0,,,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,1o5qnb5ktq4u6t11lj3fqntg,A. Beaudry,Goalkeeper,31,13.0,329.0,1.0,203.0,133.0,71.0,,,989.0,1.0,,,39.0,,,1.0,244.0,10.0,,2.0,11.0,,5.0,,9.0,3.0,,,3.0,63.0,141.0,,,93.0,,126.0,164.0,11.0,15.0,11.0,,160.0,195.0,4.0,1.0,433.0,104.0,0.0,,,,62.0,,,,,,,2.0,,26.0,2.0,44.0,2.0,,,2.0,,2.0,73.0,,3.0,,,,,125.0,,2.0,,1.0,,,22.0,,,,,,75.0,,,,,,,,,,,1.0,21.0,31.0,,3.0,10.0,10.0,19.0,5.0,,,,1.0,,,,,,,,,,1.0,63.0,,42.0,,,,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,a9w6952jyw6x83gxp94zs8ro4,J. Belluz,Midfielder,44,17.0,491.0,20.0,443.0,55.0,138.0,9.0,3.0,1064.0,24.0,1.0,,135.0,2.0,13.0,32.0,472.0,10.0,9.0,18.0,14.0,1.0,65.0,4.0,38.0,4.0,7.0,,42.0,132.0,401.0,,1.0,35.0,9.0,48.0,308.0,14.0,20.0,12.0,3.0,425.0,200.0,34.0,31.0,598.0,31.0,0.0,1.0,,,42.0,,,,,2.0,,23.0,,8.0,16.0,7.0,1.0,,,3.0,1.0,5.0,7.0,,3.0,,2.0,4.0,,16.0,,3.0,7.0,2.0,21.0,1.0,17.0,,,,24.0,,11.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,87.0,,42.0,,1.0,,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,6t4bdbrph7kwcrbkrasw4x0r8,J. Cameron,Defender,35,16.0,340.0,29.0,238.0,205.0,85.0,17.0,3.0,1214.0,68.0,31.0,16.0,152.0,10.0,30.0,83.0,333.0,10.0,14.0,45.0,24.0,9.0,146.0,18.0,13.0,6.0,1.0,54.0,113.0,52.0,225.0,16.0,22.0,31.0,67.0,102.0,87.0,24.0,17.0,13.0,9.0,232.0,113.0,63.0,83.0,628.0,93.0,3.0,9.0,,2.0,13.0,3.0,,7.0,3.0,,,33.0,1.0,1.0,18.0,,1.0,,5.0,1.0,1.0,7.0,,16.0,10.0,,9.0,16.0,,19.0,6.0,30.0,15.0,12.0,90.0,,25.0,6.0,1.0,4.0,8.0,1.0,7.0,9.0,,1.0,11.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,116.0,115.0,59.0,5.0,,6.0,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,7vhhtm49u9nzdpc9d60empxxw,Z. Campagnolo,Goalkeeper,51,25.0,383.0,,266.0,124.0,91.0,,5.0,1591.0,1.0,1.0,,42.0,,,2.0,224.0,10.0,,1.0,18.0,,5.0,,18.0,2.0,,1.0,2.0,74.0,206.0,,,119.0,,117.0,224.0,18.0,27.0,17.0,,162.0,218.0,3.0,2.0,555.0,85.0,0.0,1.0,,,60.0,,,,,,,3.0,,34.0,2.0,96.0,3.0,,,2.0,,2.0,140.0,,,,,,,115.0,,,1.0,,,,32.0,,,,,,68.0,,,,1.0,,,,,,,,47.0,71.0,,7.0,24.0,21.0,25.0,3.0,4.0,1.0,6.0,,,,,,,1.0,1.0,,,1.0,45.0,,26.0,,,,6.0,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,eqggdnd62jo2lhqvbd7lctmac,J. Chan Tack,Defender,56,11.0,203.0,5.0,151.0,90.0,11.0,2.0,2.0,520.0,24.0,11.0,4.0,82.0,3.0,14.0,43.0,198.0,10.0,6.0,17.0,10.0,2.0,55.0,,10.0,1.0,2.0,56.0,41.0,50.0,146.0,4.0,16.0,21.0,12.0,52.0,71.0,10.0,12.0,6.0,,146.0,102.0,22.0,33.0,368.0,39.0,0.0,1.0,1.0,,5.0,,,,,,,14.0,,3.0,5.0,,1.0,,,1.0,,3.0,,6.0,2.0,,2.0,8.0,,9.0,,19.0,9.0,12.0,40.0,,17.0,,2.0,,6.0,,5.0,,,2.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,21.0,22.0,1.0,,,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,3dm2tar1klz8hkfnu4ovg1wd0,J. Copeland,Midfielder,42,12.0,273.0,14.0,189.0,151.0,108.0,8.0,1.0,907.0,47.0,27.0,11.0,142.0,6.0,15.0,76.0,261.0,10.0,12.0,33.0,23.0,11.0,104.0,7.0,8.0,7.0,,6.0,80.0,19.0,178.0,11.0,,36.0,47.0,84.0,52.0,23.0,14.0,8.0,4.0,177.0,92.0,40.0,64.0,440.0,74.0,0.0,10.0,1.0,3.0,11.0,1.0,,1.0,1.0,,,24.0,,2.0,7.0,,,,5.0,2.0,1.0,2.0,,14.0,8.0,,2.0,3.0,,8.0,1.0,28.0,17.0,6.0,54.0,,21.0,1.0,5.0,1.0,6.0,4.0,5.0,3.0,,5.0,15.0,1.0,0.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,101.0,37.0,57.0,,2.0,1.0,,,
USA_MLS_Next_Pro,2025,Colorado Rapids 2,cqrocf05m5k1v9jahrzb1e9sk,M. Diop,Forward,40,29.0,293.0,60.0,195.0,266.0,61.0,27.0,4.0,2033.0,139.0,67.0,11.0,146.0,8.0,19.0,96.0,283.0,10.0,13.0,67.0,31.0,31.0,310.0,69.0,21.0,17.0,1.0,3.0,206.0,76.0,192.0,11.0,,54.0,118.0,98.0,50.0,31.0,29.0,20.0,38.0,185.0,73.0,106.0,204.0,701.0,88.0,3.0,14.0,5.0,,3.0,1.0,,16.0,2.0,,2.0,104.0,1.0,,39.0,,2.0,1.0,17.0,,4.0,7.0,,35.0,11.0,,9.0,6.0,,2.0,14.0,33.0,65.0,19.0,83.0,2.0,21.0,10.0,1.0,14.0,3.0,6.0,1.0,31.0,,1.0,11.0,7.0,9.0,20.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,157.0,102.0,89.0,3.0,17.0,12.0,,,
