liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Successful Open Play Passes,Unsuccessful Short Passes,Duels,Forward Passes,Corners Won,Throw Ins to Own Player,Goals Conceded Inside Box,Ground Duels lost,Unsuccessful Passes Own Half,Touches,Successful Passes Own Half,Substitute On,Penalty Goals Conceded,Index,Goals Conceded,Recoveries,Duels lost,Total Passes,Unsuccessful Crosses open play,Total Fouls Conceded,Yellow Cards,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Appearances,Games Played,Unsuccessful Dribbles,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Ground Duels,Successful Passes Opposition Half,Successful Short Passes,Home Goals,Away Goals,Winning Goal,Rightside Passes,Successful Long Passes,Goals Conceded Outside Box,Successful Launches,Total Tackles,Aerial Duels,Aerial Duels lost,Blocked Shots,Starts,Substitute Off,Total Touches In Opposition Box,Backward Passes,Unsuccessful Long Passes,Tackles Lost,Interceptions,Total Clearances,Unsuccessful Launches,Total Fouls Won,Aerial Duels won,Duels won,Tackles Won,Ground Duels won,Through balls,Successful Crosses & Corners,Handballs conceded,Last Man Tackle,Successful Crosses open play,Successful Dribbles,Key Passes (Attempt Assists),Foul Attempted Tackle,Blocks,Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Clean Sheets,Shots On Target ( inc goals ),Corners Taken (incl short corners),Throw Ins to Opposition Player,Unsuccessful Corners into Box,Total Shots,Left Foot Goals,Offsides,Goal Assists,Goals from Inside Box,Goals,Goals from Outside Box,Assists (Intentional),Hit Woodwork,Right Foot Goals,Penalties Taken,Successful Lay-offs,Unsuccessful lay-offs,Headed Goals,Penalty Goals,Foul Won Penalty,Second Goal Assists,GK Successful Distribution,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Penalties Conceded,Total Red Cards,Saves Made from Outside Box,Catches,Penalties Saved,Saves from Penalty,Saves made - parried,Punches,Saves Made,Penalties Faced,Saves Made from Inside Box,GK Unsuccessful Distribution,Drops,Overruns,Saves made - caught,Goal Kicks,Straight Red Cards,Penalties Off Target,Clearances Off the Line,Own Goal Scored,Goalkeeper Smother,Set Pieces Goals,Last Player Tackle,Crosses not Claimed
Mexico_Liga_MX,2021-2022,CD Guadalajara,2uaeu4okrtspi9m04h8bonlk9,J. Agüayo,Defender,25,20.0,135.0,17.0,46.0,29.0,12.0,9.0,26.0,,8.0,1.0,5.0,4.0,68.0,16.0,,1.0,10.0,1.0,4.0,5.0,46.0,2.0,2.0,,15.0,29.0,10.0,2.0,2.0,,,4.0,2.0,7.0,14.0,28.0,,,0.0,3.0,1.0,,,2.0,2.0,,,2.0,1.0,,7.0,5.0,2.0,2.0,2.0,1.0,,2.0,4.0,,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,9vvleh9yqqcm955432lsl8c7p,R. Alvarado,Forward,25,149.0,971.0,82.0,468.0,387.0,60.0,129.0,147.0,1.0,33.0,7.0,61.0,29.0,692.0,143.0,3.0,,10.0,9.0,61.0,74.0,480.0,15.0,22.0,4.0,71.0,398.0,74.0,15.0,15.0,11.0,23.0,24.0,18.0,102.0,257.0,381.0,1.0,3.0,0.0,156.0,17.0,2.0,1.0,20.0,27.0,13.0,1.0,12.0,9.0,13.0,103.0,22.0,7.0,16.0,9.0,14.0,11.0,14.0,55.0,13.0,41.0,,2.0,1.0,,1.0,10.0,9.0,10.0,,3.0,11.0,1.0,6.0,5.0,4.0,3.0,9.0,2.0,,1.0,3.0,4.0,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,45gixbopfnftpzvoaj1apyrjd,J. Angulo,Midfielder,19,220.0,1227.0,91.0,533.0,446.0,80.0,126.0,166.0,5.0,8.0,7.0,66.0,14.0,804.0,139.0,1.0,3.0,10.0,10.0,76.0,72.0,552.0,11.0,7.0,1.0,102.0,461.0,156.0,15.0,15.0,19.0,49.0,21.0,25.0,114.0,328.0,427.0,1.0,0.0,1.0,139.0,34.0,3.0,1.0,11.0,12.0,6.0,5.0,14.0,6.0,25.0,91.0,11.0,7.0,5.0,2.0,1.0,22.0,6.0,54.0,4.0,48.0,5.0,6.0,1.0,,2.0,15.0,23.0,5.0,,7.0,7.0,5.0,7.0,17.0,,8.0,14.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,9.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,4051hgvu9v8jnu9rbbd0pr9bd,U. Antuna,Forward,7,141.0,874.0,45.0,223.0,178.0,41.0,102.0,45.0,7.0,10.0,5.0,37.0,8.0,450.0,53.0,6.0,1.0,10.0,5.0,31.0,47.0,227.0,31.0,5.0,2.0,68.0,182.0,82.0,15.0,15.0,13.0,25.0,10.0,31.0,84.0,139.0,174.0,,,0.0,28.0,8.0,,2.0,12.0,18.0,10.0,3.0,9.0,5.0,28.0,72.0,4.0,6.0,7.0,1.0,2.0,24.0,8.0,55.0,6.0,47.0,,10.0,,,10.0,11.0,12.0,2.0,,4.0,6.0,2.0,11.0,,2.0,,15.0,,5.0,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,c52rbcdu5hiukdhoshthvctbe,F. Beltrán,Midfielder,20,75.0,568.0,43.0,293.0,250.0,38.0,59.0,72.0,2.0,,5.0,26.0,13.0,380.0,113.0,8.0,,10.0,6.0,46.0,30.0,293.0,,5.0,,30.0,250.0,81.0,13.0,13.0,4.0,15.0,8.0,,54.0,137.0,235.0,,,0.0,93.0,15.0,1.0,3.0,11.0,5.0,4.0,2.0,5.0,3.0,6.0,47.0,5.0,4.0,2.0,3.0,1.0,10.0,1.0,29.0,7.0,28.0,1.0,,1.0,,,7.0,5.0,4.0,,7.0,3.0,,2.0,,,,9.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,bn8eqcglavl5j1kmlgyy3hed,A. Briseño,Defender,4,119.0,1136.0,111.0,598.0,491.0,66.0,147.0,220.0,5.0,4.0,9.0,23.0,43.0,788.0,410.0,2.0,1.0,10.0,12.0,56.0,58.0,633.0,,22.0,5.0,68.0,522.0,240.0,15.0,15.0,,1.0,9.0,,50.0,112.0,480.0,,,0.0,133.0,42.0,3.0,4.0,17.0,97.0,35.0,1.0,13.0,3.0,19.0,40.0,45.0,10.0,22.0,49.0,17.0,11.0,62.0,89.0,7.0,27.0,,,1.0,,,,4.0,7.0,5.0,8.0,5.0,5.0,5.0,,2.0,,13.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,52xjaejv3eeiyd2xn5642g2xh,I. Brizuela,Midfielder,11,141.0,923.0,62.0,364.0,302.0,55.0,110.0,118.0,5.0,19.0,8.0,44.0,10.0,573.0,106.0,4.0,3.0,10.0,11.0,52.0,55.0,371.0,21.0,6.0,3.0,73.0,309.0,129.0,15.0,15.0,11.0,25.0,12.0,21.0,94.0,205.0,294.0,1.0,2.0,0.0,45.0,15.0,3.0,2.0,10.0,16.0,11.0,2.0,11.0,6.0,12.0,79.0,7.0,4.0,9.0,8.0,2.0,23.0,5.0,55.0,6.0,50.0,1.0,2.0,,,2.0,18.0,13.0,2.0,2.0,1.0,6.0,2.0,4.0,,3.0,,5.0,,3.0,1.0,1.0,3.0,2.0,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,dl40zb7nm9ayqf10noredupd5,C. Calderón,Defender,26,72.0,330.0,24.0,112.0,89.0,21.0,56.0,31.0,3.0,7.0,7.0,33.0,4.0,221.0,37.0,7.0,1.0,10.0,8.0,19.0,40.0,118.0,6.0,7.0,,26.0,94.0,20.0,11.0,11.0,7.0,22.0,7.0,6.0,47.0,60.0,87.0,,,0.0,44.0,7.0,1.0,1.0,4.0,9.0,7.0,4.0,4.0,3.0,8.0,23.0,3.0,2.0,1.0,5.0,1.0,4.0,2.0,16.0,2.0,14.0,,3.0,,,2.0,6.0,1.0,6.0,1.0,5.0,3.0,,1.0,1.0,,,6.0,,1.0,1.0,,,,,,,,2.0,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,31e3kw8b8zovsaqjaduuvz6xh,C. Cisneros,Midfielder,24,209.0,915.0,90.0,329.0,243.0,60.0,134.0,113.0,17.0,44.0,7.0,56.0,32.0,649.0,115.0,8.0,2.0,10.0,9.0,59.0,78.0,341.0,22.0,20.0,6.0,103.0,251.0,79.0,17.0,17.0,15.0,29.0,24.0,45.0,100.0,158.0,238.0,,,0.0,69.0,13.0,2.0,4.0,14.0,34.0,22.0,5.0,9.0,5.0,24.0,80.0,30.0,6.0,13.0,14.0,12.0,14.0,12.0,56.0,8.0,44.0,,22.0,1.0,,7.0,16.0,16.0,8.0,1.0,7.0,8.0,2.0,8.0,34.0,18.0,18.0,15.0,,1.0,3.0,,,,2.0,1.0,,,2.0,,,,,,,5.0,12.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CD Guadalajara,4pw00eq0okwcadrq7t1jzlmmt,R. Cisneros,Forward,18,3.0,16.0,,4.0,4.0,,2.0,1.0,,,,1.0,,10.0,1.0,3.0,,10.0,,1.0,1.0,4.0,1.0,,,1.0,4.0,,3.0,3.0,,,,1.0,2.0,3.0,4.0,1.0,0.0,0.0,2.0,,,,,,,1.0,,,2.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
