liga,temporada,equipo,id,nombre,posicion,dorsal,Rightside Passes,Fifty Fifty,Backward Passes,Unsuccessful Launches,Substitute On,Starts,Total Losses Of Possession,Ground Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Times Tackled,Total Tackles,Duels,Forward Passes,Total Fouls Won,Successful Dribbles,Goals Conceded Outside Box,Interceptions,Duels lost,Goal Assists,Successful Lay-offs,Total Fouls Conceded,Successful Short Passes,Games Played,Unsuccessful Dribbles,Appearances,Unsuccessful Passes Own Half,Unsuccessful Crosses open play,Total Shots,Total Passes,Unsuccessful Short Passes,Successful Fifty Fifty,Aerial Duels won,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Throw Ins to Own Player,Time Played,Yellow Cards,Substitute Off,Duels won,Unsuccessful Passes Opposition Half,Goals Conceded,Successful Passes Opposition Half,Unsuccessful Crosses & Corners,Successful Long Passes,Blocks,Total Clearances,Successful Open Play Passes,Shots Off Target (inc woodwork),Corners Won,Tackles Lost,Foul Attempted Tackle,Index,Goals Conceded Inside Box,Recoveries,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Touches,Aerial Duels,Unsuccessful Long Passes,Tackles Won,Ground Duels won,Ground Duels lost,Assists (Intentional),Leftside Passes,Successful Passes Own Half,PutThrough/Blocked Distribution,Total Touches In Opposition Box,Home Goals,Away Goals,Winning Goal,Throw Ins to Opposition Player,Blocked Shots,Second Goal Assists,Unsuccessful lay-offs,Corners Taken (incl short corners),Right Foot Goals,Goals from Inside Box,Penalties Taken,Successful Corners into Box,Goals from Outside Box,Through balls,Goals,Attempts from Set Pieces,Shots On Target ( inc goals ),Unsuccessful Corners into Box,Offsides,Successful Crosses & Corners,Clean Sheets,Hit Woodwork,Clearances Off the Line,Successful Crosses open play,Left Foot Goals,Successful Launches,Handballs conceded,Foul Won Penalty,Red Cards - 2nd Yellow,Total Red Cards,Last Man Tackle,GK Successful Distribution,Headed Goals,Punches,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Saves made - parried,Goalkeeper Smother,Catches,Saves Made,Crosses not Claimed,Drops,Penalty Goals,Straight Red Cards,Penalty Goals Conceded,Own Goal Scored,Penalties Conceded,Penalties Faced,Overruns,Goal Kicks,Penalties Saved,Saves from Penalty,Set Pieces Goals,Penalties Off Target,Carries,Progressive Carries,Final Third Touches,Goals Openplay,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Last Player Tackle,Total Big Chances Saved,Other Goals
USA_MLS,2020,Los Angeles FC,achy1l1rfq2d4ftn6l1esht9m,A. Pérez,Forward,26,22.0,4.0,29.0,2.0,8.0,2.0,62.0,35.0,24.0,15.0,3.0,40.0,21.0,8.0,3.0,,,25.0,,1.0,4.0,75.0,10.0,9.0,10.0,2.0,6.0,6.0,101.0,20.0,3.0,1.0,4.0,77.0,100.0,1.0,334.0,,2.0,15.0,31.0,9.0,62.0,9.0,2.0,,1.0,76.0,5.0,4.0,1.0,4.0,41.0,9.0,11.0,,2.0,172.0,5.0,4.0,2.0,14.0,21.0,,29.0,15.0,3.0,13.0,0.0,0.0,0.0,,1.0,,,4.0,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,euha4w0awkqy0zo5rktvje57t,B. Rodríguez,Midfielder,17,123.0,17.0,105.0,,1.0,18.0,362.0,226.0,98.0,103.0,10.0,238.0,94.0,28.0,59.0,5.0,9.0,140.0,6.0,4.0,16.0,322.0,19.0,74.0,19.0,11.0,43.0,37.0,434.0,90.0,10.0,1.0,11.0,336.0,415.0,3.0,1446.0,,9.0,98.0,179.0,30.0,290.0,92.0,14.0,,2.0,321.0,19.0,20.0,4.0,6.0,51.0,25.0,51.0,37.0,8.0,935.0,12.0,8.0,6.0,97.0,129.0,6.0,112.0,76.0,25.0,116.0,1.0,1.0,0.0,,12.0,1.0,,75.0,2.0,2.0,,24.0,,6.0,2.0,7.0,18.0,45.0,9.0,30.0,2.0,,,6.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,677wll2p2i6pyzpq2sugger55,D. Rossi,Forward,9,157.0,30.0,152.0,2.0,,19.0,242.0,136.0,90.0,63.0,10.0,155.0,106.0,20.0,22.0,5.0,4.0,93.0,3.0,8.0,6.0,448.0,19.0,34.0,19.0,15.0,18.0,60.0,551.0,86.0,7.0,10.0,9.0,461.0,526.0,7.0,1698.0,,2.0,62.0,94.0,34.0,368.0,19.0,13.0,1.0,4.0,436.0,26.0,27.0,4.0,6.0,79.0,29.0,58.0,25.0,13.0,900.0,19.0,4.0,6.0,52.0,84.0,3.0,136.0,96.0,29.0,131.0,11.0,3.0,1.0,,11.0,1.0,1.0,6.0,13.0,14.0,1.0,,,3.0,14.0,1.0,34.0,1.0,12.0,3.0,3.0,5.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,d8uer29a3oya05ks99q696221,M. Segbers,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,8b81chchn3min9a8uk8wkipcl,E. Segura,Defender,4,455.0,37.0,75.0,44.0,1.0,22.0,261.0,98.0,234.0,10.0,39.0,189.0,583.0,8.0,,6.0,45.0,89.0,,,19.0,1148.0,23.0,4.0,23.0,96.0,5.0,14.0,1464.0,150.0,13.0,53.0,38.0,1230.0,1426.0,30.0,1976.0,3.0,2.0,100.0,143.0,39.0,517.0,5.0,82.0,11.0,68.0,1194.0,9.0,6.0,14.0,10.0,56.0,33.0,164.0,3.0,18.0,1771.0,91.0,84.0,25.0,47.0,51.0,,351.0,713.0,35.0,26.0,2.0,0.0,1.0,,3.0,1.0,,,2.0,2.0,,,,,2.0,,5.0,,,,3.0,1.0,2.0,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,4k660h0n22tulciczpvmf1nmd,P. Sisniega,Goalkeeper,23,47.0,1.0,,50.0,,15.0,114.0,1.0,111.0,1.0,,7.0,206.0,1.0,,2.0,,1.0,,,,132.0,15.0,1.0,15.0,33.0,,,296.0,,1.0,6.0,,185.0,174.0,,1350.0,1.0,,6.0,78.0,26.0,30.0,,53.0,,11.0,112.0,,,,,32.0,24.0,115.0,,,424.0,6.0,111.0,,,1.0,,43.0,155.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,13.0,,,,,,131.0,,6.0,9.0,26.0,1.0,32.0,8.0,,2.0,36.0,,1.0,,,4.0,,,4.0,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,dd4yxwa1lgokj2e3zqa3uq7hm,C. Torres,Forward,21,39.0,7.0,16.0,,6.0,3.0,42.0,17.0,16.0,8.0,3.0,19.0,16.0,,3.0,1.0,1.0,13.0,,,3.0,61.0,9.0,7.0,9.0,2.0,6.0,3.0,78.0,15.0,1.0,,2.0,62.0,78.0,1.0,267.0,1.0,3.0,6.0,20.0,4.0,49.0,6.0,1.0,,1.0,62.0,2.0,4.0,1.0,3.0,75.0,3.0,10.0,3.0,4.0,128.0,2.0,1.0,2.0,6.0,11.0,,7.0,15.0,6.0,11.0,0.0,1.0,0.0,,2.0,,,,,1.0,,,,,1.0,,1.0,,2.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,2p7o7pd4vfw3mvp5o8euss6xg,M. Traore,Defender,3,6.0,,4.0,1.0,,1.0,14.0,4.0,11.0,2.0,,5.0,21.0,,,,,4.0,,,,24.0,1.0,1.0,1.0,3.0,,1.0,37.0,4.0,,1.0,,26.0,36.0,,45.0,,1.0,1.0,8.0,1.0,10.0,,2.0,1.0,1.0,26.0,1.0,,,,1.0,1.0,5.0,,,43.0,1.0,7.0,,,4.0,,6.0,16.0,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,2w5xjif5lfjq0qhwox0ha11x,C. Vela,Forward,10,17.0,8.0,38.0,,3.0,5.0,138.0,76.0,41.0,30.0,5.0,84.0,48.0,13.0,20.0,2.0,3.0,43.0,2.0,,3.0,144.0,8.0,18.0,8.0,2.0,20.0,17.0,194.0,36.0,5.0,3.0,5.0,153.0,181.0,5.0,512.0,,1.0,41.0,79.0,10.0,146.0,40.0,9.0,,3.0,141.0,5.0,5.0,1.0,1.0,76.0,8.0,12.0,16.0,2.0,390.0,8.0,5.0,4.0,38.0,38.0,2.0,91.0,19.0,11.0,39.0,4.0,0.0,1.0,2.0,9.0,,,23.0,1.0,3.0,1.0,7.0,1.0,1.0,4.0,2.0,12.0,14.0,1.0,12.0,1.0,1.0,,5.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,54h1lfdtkvy63u899mpdbq3th,K. Vermeer,Goalkeeper,1,14.0,,,22.0,,8.0,40.0,3.0,40.0,,1.0,4.0,95.0,1.0,,4.0,1.0,1.0,,,,74.0,8.0,,8.0,7.0,,,147.0,2.0,,1.0,,107.0,83.0,,720.0,,,3.0,33.0,16.0,19.0,,33.0,,4.0,60.0,,,,,42.0,12.0,68.0,,,215.0,1.0,38.0,1.0,2.0,1.0,,38.0,88.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,8.0,,,,,,65.0,,,8.0,11.0,,8.0,9.0,,1.0,20.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,f393lhns0ptvcs7cj0t07f00l,B. Wright-Phillips,Forward,66,51.0,23.0,66.0,,4.0,15.0,120.0,79.0,51.0,27.0,8.0,120.0,38.0,17.0,8.0,4.0,2.0,74.0,4.0,4.0,12.0,143.0,19.0,12.0,19.0,7.0,2.0,20.0,196.0,50.0,11.0,13.0,28.0,145.0,166.0,2.0,1126.0,,15.0,46.0,46.0,23.0,90.0,2.0,2.0,1.0,12.0,115.0,5.0,9.0,4.0,7.0,52.0,19.0,32.0,8.0,7.0,372.0,41.0,1.0,4.0,33.0,46.0,3.0,41.0,55.0,17.0,63.0,7.0,1.0,3.0,,13.0,2.0,1.0,,7.0,7.0,,,1.0,,8.0,,15.0,,9.0,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
USA_MLS,2020,Los Angeles FC,879p75ypl0t4ifmtxyp4ll5n9,Danilo Silva,Defender,6,3.0,,1.0,1.0,,1.0,3.0,1.0,3.0,,,2.0,6.0,1.0,,1.0,,,,,,9.0,1.0,,1.0,1.0,,,14.0,1.0,,1.0,,11.0,14.0,,39.0,,1.0,2.0,2.0,1.0,6.0,,2.0,1.0,4.0,11.0,,,,,4.0,,,,,21.0,1.0,2.0,,1.0,,,4.0,5.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
