liga,temporada,equipo,id,nombre,posicion,dorsal,Total Fouls Conceded,Duels,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,PutThrough/Blocked Distribution,Open Play Passes,Unsuccessful Crosses open play,Offsides,Aerial Duels won,Fifty Fifty,Unsuccessful Passes Opposition Half,Leftside Passes,Games Played,GK Unsuccessful Distribution,Successful Long Passes,GK Successful Distribution,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Ground Duels,Interceptions,Time Played,Total Touches In Opposition Box,Total Clearances,Rightside Passes,Handballs conceded,Unsuccessful Short Passes,Touches,Backward Passes,Yellow Cards,Total Fouls Won,Duels lost,Total Tackles,Forward Passes,Substitute On,Total Shots,Successful Open Play Passes,Goals Conceded Inside Box,Clean Sheets,Successful Passes Opposition Half,Appearances,Total Passes,Ground Duels won,Corners Won,Tackles Won,Goals Conceded,Unsuccessful Launches,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Foul Attempted Tackle,Times Tackled,Throw Ins to Opposition Player,Index,Successful Fifty Fifty,Aerial Duels,Successful Short Passes,Penalty Goals Conceded,Starts,Recoveries,Blocks,Ground Duels lost,Goals Conceded Outside Box,Unsuccessful Long Passes,Blocked Shots,Substitute Off,Penalties Conceded,Goal Kicks,Key Passes (Attempt Assists),Duels won,Unsuccessful Passes Own Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Winning Goal,Successful Crosses & Corners,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Hit Woodwork,Right Foot Goals,Set Pieces Goals,Penalties Off Target,Through balls,Successful Dribbles,Successful Crosses open play,Second Goal Assists,Shots On Target ( inc goals ),Assists (Intentional),Successful Corners into Box,Unsuccessful Dribbles,Total Red Cards,Unsuccessful lay-offs,Penalties Taken,Goals from Inside Box,Goal Assists,Attempts from Set Pieces,Successful Lay-offs,Goals,Red Cards - 2nd Yellow,Overruns,Goals from Outside Box,Home Goals,Away Goals,Left Foot Goals,Headed Goals,Saves Made from Inside Box,Saves made - parried,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Straight Red Cards,Penalties Faced,Drops,Catches,Punches,Last Man Tackle,Own Goal Scored,Foul Won Penalty,Clearances Off the Line,Saves made - caught,Crosses not Claimed,Last Player Tackle,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2023,Orlando City SC,e1uhy0h96of2f9r9fx0ugzca1,I. Angulo,Midfielder,77,21.0,246.0,35.0,731.0,27.0,51.0,870.0,35.0,11.0,2.0,25.0,152.0,199.0,37.0,,15.0,,20.0,317.0,221.0,226.0,18.0,2737.0,124.0,12.0,312.0,1.0,133.0,1364.0,167.0,5.0,32.0,131.0,35.0,195.0,5.0,39.0,728.0,23.0,3.0,523.0,37.0,873.0,113.0,27.0,19.0,31.0,6.0,3.0,30.0,18.0,12.0,71.0,2.0,55.0,6.0,20.0,716.0,2.0,32.0,141.0,3.0,113.0,8.0,9.0,16.0,24.0,,,24.0,115.0,25.0,16.0,142.0,5.0,13.0,,1.0,,1.0,4.0,,,4.0,46.0,13.0,2.0,19.0,4.0,,44.0,,2.0,,6.0,6.0,,16.0,6.0,,6.0,,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Orlando City SC,dpcjzmo7pcggdl423a4lh3re2,C. Araújo,Midfielder,5,52.0,382.0,14.0,1527.0,40.0,60.0,1706.0,14.0,1.0,21.0,28.0,170.0,499.0,36.0,,126.0,,9.0,361.0,741.0,327.0,23.0,3033.0,33.0,30.0,437.0,1.0,154.0,2290.0,241.0,10.0,106.0,182.0,60.0,587.0,2.0,15.0,1472.0,27.0,11.0,786.0,36.0,1764.0,179.0,10.0,38.0,36.0,24.0,8.0,34.0,34.0,26.0,29.0,53.0,63.0,17.0,55.0,1401.0,1.0,34.0,240.0,9.0,148.0,9.0,83.0,10.0,6.0,,,24.0,200.0,81.0,22.0,237.0,1.0,,,,,,,,,13.0,13.0,,2.0,6.0,2.0,,9.0,,,,1.0,3.0,,7.0,1.0,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Orlando City SC,172v1833vp0m9ffu399j6l9ed,Felipe Martins,Midfielder,8,6.0,57.0,8.0,305.0,,12.0,337.0,5.0,1.0,5.0,9.0,43.0,72.0,17.0,,15.0,,3.0,70.0,126.0,45.0,8.0,562.0,9.0,6.0,90.0,2.0,38.0,441.0,54.0,3.0,11.0,29.0,10.0,140.0,11.0,6.0,290.0,5.0,,180.0,17.0,356.0,23.0,1.0,7.0,10.0,5.0,1.0,2.0,7.0,3.0,8.0,,19.0,8.0,12.0,290.0,1.0,6.0,38.0,2.0,22.0,5.0,13.0,3.0,5.0,,,3.0,28.0,16.0,3.0,51.0,0.0,1.0,,4.0,2.0,,,,,3.0,2.0,,1.0,3.0,,1.0,2.0,,1.0,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Orlando City SC,d67gq822acqja2416pdpgu3qi,Rafael Santos,Defender,3,17.0,163.0,78.0,878.0,173.0,56.0,1092.0,77.0,,26.0,17.0,216.0,41.0,29.0,,57.0,,6.0,382.0,443.0,113.0,31.0,2227.0,11.0,48.0,400.0,1.0,146.0,1669.0,154.0,4.0,8.0,70.0,47.0,520.0,3.0,9.0,855.0,19.0,6.0,452.0,29.0,1115.0,67.0,11.0,26.0,25.0,35.0,8.0,15.0,24.0,11.0,15.0,27.0,100.0,13.0,50.0,821.0,1.0,26.0,145.0,3.0,46.0,6.0,91.0,12.0,10.0,,,14.0,93.0,99.0,21.0,237.0,0.0,17.0,,1.0,1.0,,,,,1.0,13.0,17.0,3.0,3.0,2.0,,3.0,,,,1.0,2.0,,1.0,1.0,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Orlando City SC,9jk0ae6wgso9znkuk6uyizpat,W. Cartagena,Midfielder,16,63.0,294.0,5.0,992.0,1.0,37.0,1106.0,5.0,,25.0,23.0,99.0,315.0,27.0,,60.0,,6.0,188.0,459.0,245.0,13.0,2123.0,7.0,25.0,332.0,1.0,101.0,1424.0,145.0,10.0,39.0,153.0,64.0,330.0,1.0,11.0,976.0,14.0,6.0,533.0,27.0,1122.0,116.0,2.0,35.0,17.0,9.0,,24.0,24.0,47.0,30.0,,46.0,14.0,49.0,932.0,1.0,26.0,137.0,8.0,129.0,3.0,29.0,3.0,10.0,,,15.0,141.0,36.0,29.0,130.0,1.0,,,,,1.0,1.0,,,2.0,13.0,,1.0,5.0,1.0,,8.0,1.0,,,1.0,1.0,,4.0,2.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,
USA_MLS,2023,Orlando City SC,2h6kgjpj0jaipdcpq095yrqhh,Antônio Carlos,Defender,25,19.0,113.0,,649.0,2.0,8.0,698.0,,1.0,38.0,20.0,74.0,246.0,21.0,,84.0,,4.0,113.0,431.0,54.0,18.0,1469.0,19.0,73.0,122.0,,58.0,939.0,49.0,6.0,14.0,47.0,9.0,337.0,5.0,10.0,596.0,15.0,5.0,218.0,21.0,754.0,28.0,4.0,8.0,20.0,14.0,12.0,3.0,21.0,9.0,,1.0,100.0,7.0,59.0,565.0,,16.0,59.0,13.0,26.0,5.0,47.0,4.0,1.0,,,,66.0,31.0,1.0,105.0,0.0,,,,,,,,,,5.0,,2.0,6.0,,,,,,,1.0,,,,1.0,,,,0.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,
USA_MLS,2023,Orlando City SC,2em4zk5aydjutyjf41slcf4t0,R. Enrique,Forward,7,27.0,221.0,6.0,198.0,1.0,15.0,260.0,6.0,5.0,56.0,11.0,66.0,48.0,33.0,,5.0,,15.0,125.0,72.0,99.0,4.0,1089.0,63.0,15.0,86.0,2.0,72.0,475.0,94.0,4.0,25.0,114.0,13.0,47.0,26.0,25.0,183.0,14.0,,127.0,33.0,275.0,51.0,7.0,7.0,18.0,4.0,2.0,8.0,66.0,14.0,21.0,,22.0,6.0,122.0,193.0,1.0,7.0,20.0,,48.0,4.0,5.0,12.0,4.0,1.0,,6.0,107.0,17.0,6.0,77.0,1.0,1.0,,,,3.0,3.0,,,1.0,14.0,1.0,1.0,10.0,1.0,,6.0,,2.0,,2.0,1.0,,16.0,4.0,,2.0,2.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Orlando City SC,6g7i7z6m8vts105dny1g6z3hm,A. Freeman,Defender,30,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Orlando City SC,2q8ntruz96k9ia7np1tma4udx,P. Gallese,Goalkeeper,1,,16.0,,589.0,,3.0,408.0,,,5.0,1.0,193.0,188.0,33.0,63.0,164.0,298.0,,276.0,488.0,10.0,,3000.0,,24.0,132.0,,7.0,1134.0,,4.0,10.0,1.0,1.0,541.0,,,293.0,29.0,12.0,101.0,33.0,861.0,10.0,,1.0,35.0,67.0,38.0,1.0,1.0,,,,57.0,1.0,6.0,425.0,2.0,33.0,254.0,,,6.0,265.0,,,,254.0,2.0,15.0,79.0,,272.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,53.0,28.0,3.0,91.0,37.0,,3.0,2.0,28.0,13.0,,,,,1.0,,,,1.0,1.0
USA_MLS,2023,Orlando City SC,fpjn2kctgvx9kasuerm8blnu,G. González,Forward,22,15.0,98.0,32.0,145.0,7.0,24.0,193.0,32.0,1.0,4.0,9.0,66.0,7.0,18.0,,2.0,,1.0,138.0,60.0,83.0,5.0,712.0,30.0,10.0,83.0,,34.0,375.0,52.0,,7.0,65.0,13.0,51.0,11.0,4.0,145.0,7.0,1.0,93.0,18.0,193.0,29.0,13.0,9.0,11.0,9.0,,6.0,11.0,4.0,33.0,,76.0,2.0,15.0,143.0,,7.0,35.0,2.0,54.0,4.0,14.0,2.0,3.0,,,4.0,33.0,14.0,4.0,48.0,0.0,8.0,,1.0,,,,,,,9.0,7.0,,3.0,2.0,1.0,23.0,,,,,2.0,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
