liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Ground Duels lost,Shots Off Target (inc woodwork),Successful Dribbles,Total Fouls Conceded,Leftside Passes,Penalty Goals Conceded,Ground Duels won,Throw Ins to Opposition Player,Recoveries,Throw Ins to Own Player,Goals Conceded Outside Box,Total Passes,Clearances Off the Line,Touches,Aerial Duels lost,Shots On Target ( inc goals ),Unsuccessful Passes Own Half,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Duels,Total Touches In Opposition Box,Corners Won,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Index,Duels won,Hit Woodwork,Yellow Cards,Successful Open Play Passes,Successful Passes Own Half,Successful Lay-offs,Successful Short Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Duels lost,Successful Crosses & Corners,Successful Crosses open play,Total Shots,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Tackles,Unsuccessful Short Passes,Backward Passes,Forward Passes,Aerial Duels won,Appearances,Clean Sheets,Successful Passes Opposition Half,Unsuccessful Dribbles,Games Played,Total Clearances,Tackles Won,Tackles Lost,Aerial Duels,Open Play Passes,Key Passes (Attempt Assists),Unsuccessful Launches,Times Tackled,Successful Long Passes,Total Fouls Won,Rightside Passes,Successful Launches,PutThrough/Blocked Distribution,Interceptions,Blocks,Starts,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Winning Goal,Corners Taken (incl short corners),Through balls,Substitute Off,Substitute On,Unsuccessful Corners into Box,Goals from Inside Box,Handballs conceded,Goals,Right Foot Goals,Blocked Shots,Overruns,Unsuccessful lay-offs,Home Goals,Away Goals,Successful Corners into Box,Last Player Tackle,Left Foot Goals,Offsides,Goals from Outside Box,Headed Goals,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Penalties Conceded,Attempts from Set Pieces,Red Cards - 2nd Yellow,Goal Kicks,GK Successful Distribution,Foul Won Penalty,Second Goal Assists,Saves Made from Outside Box,Saves Made,Penalties Faced,GK Unsuccessful Distribution,Punches,Catches,Goalkeeper Smother,Saves Made from Inside Box,Drops,Saves made - parried,Set Pieces Goals,Penalties Taken,Penalty Goals,Own Goal Scored,Saves made - caught,Saves from Penalty,Penalties Saved,Crosses not Claimed,Other Goals,Penalties Off Target
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,46x1yk6a6kzfg9jjig7qb26wa,E. Armenta,Midfielder,19,82.0,25.0,5.0,5.0,7.0,47.0,,24.0,,25.0,2.0,1.0,138.0,,248.0,10.0,,8.0,104.0,434.0,61.0,12.0,5.0,49.0,20.0,3.0,20.0,10.0,26.0,,2.0,103.0,32.0,1.0,99.0,5.0,8.0,35.0,2.0,2.0,5.0,4.0,34.0,16.0,29.0,25.0,52.0,2.0,13.0,,74.0,9.0,13.0,3.0,9.0,7.0,12.0,137.0,4.0,3.0,13.0,5.0,3.0,14.0,3.0,16.0,1.0,,4.0,4.0,46.0,0.0,,,4.0,9.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,4h09e5cjwdxlps0hhr89rry6t,K. Balanta,Defender,35,155.0,29.0,4.0,7.0,17.0,274.0,1.0,47.0,1.0,107.0,2.0,2.0,776.0,1.0,959.0,26.0,1.0,54.0,639.0,1411.0,122.0,11.0,2.0,76.0,3.0,18.0,3.0,10.0,67.0,,3.0,623.0,410.0,,582.0,71.0,3.0,55.0,1.0,1.0,5.0,20.0,137.0,33.0,66.0,62.0,337.0,20.0,16.0,2.0,230.0,2.0,16.0,55.0,19.0,14.0,46.0,754.0,3.0,23.0,4.0,57.0,7.0,103.0,12.0,10.0,26.0,10.0,16.0,9.0,86.0,0.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,15,310.0,80.0,8.0,22.0,19.0,208.0,1.0,111.0,47.0,119.0,119.0,3.0,560.0,,1083.0,7.0,3.0,52.0,412.0,1491.0,213.0,22.0,9.0,191.0,49.0,23.0,49.0,10.0,126.0,,4.0,401.0,189.0,,380.0,52.0,14.0,87.0,14.0,14.0,11.0,26.0,148.0,74.0,96.0,98.0,226.0,15.0,17.0,2.0,237.0,19.0,17.0,30.0,50.0,24.0,22.0,547.0,14.0,37.0,41.0,32.0,16.0,28.0,5.0,36.0,17.0,3.0,17.0,10.0,145.0,0.0,,1.0,3.0,,,,2.0,,,5.0,2.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,9x4zu1o3adl4otm7wqzqvz6xh,Unai Bilbao,Defender,31,128.0,16.0,11.0,2.0,7.0,196.0,,25.0,,97.0,2.0,5.0,1205.0,,1478.0,33.0,7.0,38.0,1086.0,1918.0,134.0,29.0,2.0,41.0,,28.0,,10.0,85.0,1.0,3.0,1053.0,785.0,1.0,969.0,59.0,7.0,49.0,1.0,1.0,18.0,33.0,119.0,15.0,60.0,57.0,460.0,60.0,22.0,5.0,302.0,2.0,22.0,132.0,11.0,4.0,93.0,1169.0,6.0,24.0,3.0,117.0,9.0,492.0,9.0,7.0,15.0,27.0,22.0,1.0,81.0,0.0,,1.0,3.0,,,5.0,,5.0,,5.0,,,3.0,2.0,,,3.0,1.0,,2.0,,,,1.0,,,,3.0,3.0,,,,,,,,,,,,,,3.0,3.0,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,dx6uqnml4itbr426gs12udln9,D. Blanco,Midfielder,27,125.0,53.0,4.0,15.0,15.0,46.0,,61.0,2.0,26.0,9.0,2.0,144.0,,370.0,5.0,1.0,5.0,113.0,701.0,120.0,27.0,5.0,114.0,17.0,12.0,28.0,10.0,62.0,,1.0,102.0,26.0,3.0,108.0,3.0,7.0,58.0,13.0,4.0,5.0,14.0,31.0,27.0,28.0,46.0,35.0,1.0,11.0,,100.0,19.0,11.0,,12.0,15.0,6.0,133.0,15.0,2.0,35.0,5.0,19.0,17.0,2.0,18.0,7.0,1.0,7.0,8.0,54.0,0.0,14.0,1.0,4.0,4.0,6.0,1.0,,1.0,1.0,2.0,2.0,,1.0,0.0,3.0,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,b5557z8necef4bq85frnoyled,A. Canelo,Forward,25,51.0,18.0,3.0,2.0,5.0,19.0,1.0,9.0,,14.0,3.0,1.0,73.0,,144.0,7.0,2.0,,54.0,244.0,46.0,11.0,5.0,27.0,15.0,4.0,15.0,10.0,21.0,,,54.0,15.0,4.0,53.0,3.0,3.0,25.0,3.0,3.0,5.0,5.0,19.0,4.0,16.0,17.0,26.0,12.0,3.0,,42.0,3.0,3.0,6.0,2.0,2.0,19.0,73.0,4.0,1.0,11.0,1.0,3.0,11.0,1.0,7.0,1.0,,3.0,1.0,34.0,0.0,,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,qsce60rnyzjufjqdvdvnouay,K. Castañeda,Midfielder,10,117.0,33.0,17.0,9.0,11.0,60.0,,31.0,,60.0,1.0,1.0,340.0,,491.0,5.0,10.0,11.0,279.0,719.0,75.0,14.0,10.0,64.0,7.0,9.0,27.0,10.0,37.0,,,266.0,90.0,4.0,260.0,13.0,7.0,38.0,8.0,1.0,27.0,10.0,61.0,13.0,48.0,57.0,107.0,6.0,15.0,,197.0,6.0,15.0,2.0,9.0,4.0,11.0,323.0,22.0,9.0,15.0,19.0,10.0,116.0,2.0,17.0,3.0,1.0,8.0,8.0,77.0,0.0,27.0,2.0,6.0,7.0,18.0,,1.0,2.0,2.0,7.0,1.0,,2.0,0.0,7.0,,,,2.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,cdeomoi09osphftlezrqa7qol,L. Cavallini,Forward,9,71.0,29.0,7.0,2.0,12.0,24.0,,17.0,,16.0,,2.0,78.0,,177.0,26.0,4.0,,51.0,371.0,85.0,31.0,5.0,46.0,3.0,6.0,3.0,10.0,30.0,1.0,,45.0,15.0,1.0,47.0,1.0,2.0,55.0,1.0,1.0,11.0,8.0,27.0,5.0,26.0,24.0,9.0,13.0,12.0,,37.0,9.0,12.0,2.0,3.0,2.0,39.0,72.0,7.0,,18.0,4.0,11.0,21.0,,7.0,,,2.0,6.0,30.0,0.0,,,1.0,10.0,,1.0,1.0,1.0,,3.0,2.0,3.0,1.0,0.0,,,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,3scc8412czpvj9epquykrd0x5,F. Contreras,Midfielder,20,115.0,21.0,2.0,2.0,7.0,22.0,,26.0,13.0,55.0,51.0,,334.0,,528.0,8.0,1.0,21.0,269.0,876.0,62.0,7.0,5.0,47.0,16.0,11.0,16.0,10.0,33.0,,,264.0,123.0,,251.0,28.0,4.0,29.0,4.0,4.0,3.0,11.0,65.0,18.0,37.0,61.0,122.0,7.0,12.0,,150.0,6.0,12.0,15.0,13.0,5.0,15.0,328.0,9.0,12.0,11.0,18.0,6.0,129.0,4.0,17.0,18.0,3.0,10.0,1.0,60.0,0.0,,,8.0,2.0,,,3.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tijuana Xoloitzcuintles de Caliente,2lsqo8x3mbz4shb8nuv5catp1,Jesús Corona,Goalkeeper,30,21.0,,,,,14.0,1.0,,,15.0,,1.0,76.0,,98.0,,,8.0,57.0,270.0,,,,,,4.0,,10.0,,,,38.0,45.0,,37.0,18.0,,,,,,5.0,19.0,,1.0,,51.0,,3.0,,12.0,,3.0,1.0,,,,49.0,,6.0,,20.0,,11.0,2.0,,,,3.0,,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,21.0,,,1.0,9.0,1.0,6.0,1.0,2.0,,8.0,,4.0,,,,,,,,,,
