matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga
,caqljnbu2q2zl03hjq82n9r6x,Chivas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/e603sojy77s4u0ypqds2v2a1g,Club América,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/eu8c408f59yx7egaqossbv25e,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/caqljnbu2q2zl03hjq82n9r6x,13/05/2016,2015-2016,Mexico_Liga_MX
,cal6oipejcmpnubmmu5625azt,Santos Laguna,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/8yn3l36qkq1fxbw4ufmwyfyt9,Pachuca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/cal6oipejcmpnubmmu5625azt,13/05/2016,2015-2016,Mexico_Liga_MX
,caocpp5nptfo17qlfc81nidpl,Morelia,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/9rxhvtj7237l0p30ocyms8rwo,León,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/2ei66pjfsrr6uxqp1bywq31lo,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/caocpp5nptfo17qlfc81nidpl,12/05/2016,2015-2016,Mexico_Liga_MX
,cahqsh6u991sgwlv70i4btm95,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,Monterrey,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/233335xtoe3e3phg3hp91xguq,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/cahqsh6u991sgwlv70i4btm95,12/05/2016,2015-2016,Mexico_Liga_MX
,ch77t0esva6zqqi3mqi7g4xyh,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/ch77t0esva6zqqi3mqi7g4xyh,14/12/2015,2015-2016,Mexico_Liga_MX
,ch37hq7mxz1oj8f13zsf2zkkp,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/ch37hq7mxz1oj8f13zsf2zkkp,11/12/2015,2015-2016,Mexico_Liga_MX
,cg0xa385nzj52dv4qxjthth49,Toluca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/3390h9hdgoxzzofnrpyktanuz,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/cg0xa385nzj52dv4qxjthth49,07/12/2015,2015-2016,Mexico_Liga_MX
,cfzffo4uw95lelypmz6tq7x0p,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,Club América,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/eu8c408f59yx7egaqossbv25e,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/cfzffo4uw95lelypmz6tq7x0p,06/12/2015,2015-2016,Mexico_Liga_MX
,cfxaluogtot9srdb5ilgld8fd,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,Toluca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/3390h9hdgoxzzofnrpyktanuz,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/cfxaluogtot9srdb5ilgld8fd,04/12/2015,2015-2016,Mexico_Liga_MX
,cfurg4273z5lr7rfgnb3st3vt,Club América,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/eu8c408f59yx7egaqossbv25e,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/cfurg4273z5lr7rfgnb3st3vt,04/12/2015,2015-2016,Mexico_Liga_MX
,5uftupw5urnw6djqlyn17ovl5,Toluca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/3390h9hdgoxzzofnrpyktanuz,Puebla,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/4kw25nmgmacpbvo24ttr994k5,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5uftupw5urnw6djqlyn17ovl5,30/11/2015,2015-2016,Mexico_Liga_MX
,5ud74jzjlvpla3u2ta9wotjop,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,Veracruz,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cpont9f3vrdasvnxgmcamkfh7,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5ud74jzjlvpla3u2ta9wotjop,29/11/2015,2015-2016,Mexico_Liga_MX
,5uih2gftrlku533iztthucgkp,León,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/2ei66pjfsrr6uxqp1bywq31lo,Club América,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/eu8c408f59yx7egaqossbv25e,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5uih2gftrlku533iztthucgkp,29/11/2015,2015-2016,Mexico_Liga_MX
,5ukuoin6yneh8pqdyu8h8m5ex,Jaguares,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6zp1ol7q30a7dx98ce9ajnm9e,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5ukuoin6yneh8pqdyu8h8m5ex,29/11/2015,2015-2016,Mexico_Liga_MX
,5u6vsmhxswzal7yzz632ved49,Puebla,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/4kw25nmgmacpbvo24ttr994k5,Toluca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/3390h9hdgoxzzofnrpyktanuz,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5u6vsmhxswzal7yzz632ved49,27/11/2015,2015-2016,Mexico_Liga_MX
,5u3u4kgvfqb2a8jm47yjcjsvd,Veracruz,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cpont9f3vrdasvnxgmcamkfh7,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5u3u4kgvfqb2a8jm47yjcjsvd,27/11/2015,2015-2016,Mexico_Liga_MX
,5uavn8pancfew2vmphxpv40yx,Tigres,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6hmo9mrlz73nwxkshwuu5vsfm,Jaguares,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6zp1ol7q30a7dx98ce9ajnm9e,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5uavn8pancfew2vmphxpv40yx,26/11/2015,2015-2016,Mexico_Liga_MX
,5u94gv70y6x0w22k0bgmwm31l,Club América,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/eu8c408f59yx7egaqossbv25e,León,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/2ei66pjfsrr6uxqp1bywq31lo,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/5u94gv70y6x0w22k0bgmwm31l,26/11/2015,2015-2016,Mexico_Liga_MX
Matchday 17,2hvd555beqbqbtd2sc810dey1,Puebla,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/4kw25nmgmacpbvo24ttr994k5,Querétaro,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ccye1b5fvtq8tzlz0gosyw10b,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/2hvd555beqbqbtd2sc810dey1,09/05/2016,2015-2016,Mexico_Liga_MX
Matchday 17,2htxcatn39vfko3vtt5ce53vt,Pumas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/ayabrorjqa1bj7jk1fdqu1t57,Club América,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/eu8c408f59yx7egaqossbv25e,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/2htxcatn39vfko3vtt5ce53vt,08/05/2016,2015-2016,Mexico_Liga_MX
Matchday 17,2hs94uhz22w3btdt6jtjvzrhl,Dorados,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/1rdo0fj09ktx5po4kf8cmto3m,León,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/2ei66pjfsrr6uxqp1bywq31lo,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/2hs94uhz22w3btdt6jtjvzrhl,08/05/2016,2015-2016,Mexico_Liga_MX
Matchday 17,2hqwh39g6840f02iuhiw6uynd,Atlas,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/8jjxbd5vr23vhu1v5r21rzkrn,Tijuana,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/c1wcescnsnfuyv06enhwaoqr6,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/2hqwh39g6840f02iuhiw6uynd,08/05/2016,2015-2016,Mexico_Liga_MX
Matchday 17,2hp1bjtg1el5t3k4xi8qwcijt,Pachuca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j,Jaguares,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/6zp1ol7q30a7dx98ce9ajnm9e,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/2hp1bjtg1el5t3k4xi8qwcijt,08/05/2016,2015-2016,Mexico_Liga_MX
Matchday 17,2hnl5czhlc4lvxnwy8pxb8iy1,Monterrey,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/233335xtoe3e3phg3hp91xguq,Toluca,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/3390h9hdgoxzzofnrpyktanuz,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/match/view/2hnl5czhlc4lvxnwy8pxb8iy1,08/05/2016,2015-2016,Mexico_Liga_MX
