liga,temporada,equipo,id,nombre,posicion,dorsal,Total Fouls Conceded,Duels,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,PutThrough/Blocked Distribution,Open Play Passes,Unsuccessful Crosses open play,Offsides,Aerial Duels won,Fifty Fifty,Unsuccessful Passes Opposition Half,Leftside Passes,Games Played,GK Unsuccessful Distribution,Successful Long Passes,GK Successful Distribution,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Ground Duels,Interceptions,Time Played,Total Touches In Opposition Box,Total Clearances,Rightside Passes,Handballs conceded,Unsuccessful Short Passes,Touches,Backward Passes,Yellow Cards,Total Fouls Won,Duels lost,Total Tackles,Forward Passes,Substitute On,Total Shots,Successful Open Play Passes,Goals Conceded Inside Box,Clean Sheets,Successful Passes Opposition Half,Appearances,Total Passes,Ground Duels won,Corners Won,Tackles Won,Goals Conceded,Unsuccessful Launches,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Foul Attempted Tackle,Times Tackled,Throw Ins to Opposition Player,Index,Successful Fifty Fifty,Aerial Duels,Successful Short Passes,Penalty Goals Conceded,Starts,Recoveries,Blocks,Ground Duels lost,Goals Conceded Outside Box,Unsuccessful Long Passes,Blocked Shots,Substitute Off,Penalties Conceded,Goal Kicks,Key Passes (Attempt Assists),Duels won,Unsuccessful Passes Own Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Winning Goal,Successful Crosses & Corners,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Hit Woodwork,Right Foot Goals,Set Pieces Goals,Penalties Off Target,Through balls,Successful Dribbles,Successful Crosses open play,Second Goal Assists,Shots On Target ( inc goals ),Assists (Intentional),Successful Corners into Box,Unsuccessful Dribbles,Total Red Cards,Unsuccessful lay-offs,Penalties Taken,Goals from Inside Box,Goal Assists,Attempts from Set Pieces,Successful Lay-offs,Goals,Red Cards - 2nd Yellow,Overruns,Goals from Outside Box,Home Goals,Away Goals,Left Foot Goals,Headed Goals,Saves Made from Inside Box,Saves made - parried,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Straight Red Cards,Penalties Faced,Drops,Catches,Punches,Last Man Tackle,Own Goal Scored,Foul Won Penalty,Clearances Off the Line,Saves made - caught,Crosses not Claimed,Last Player Tackle,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2023,Los Angeles FC,er0xm9k5zv8kcvcy7bnwp086i,E. Dueñas,Defender,18,19.0,132.0,2.0,321.0,17.0,22.0,366.0,2.0,,1.0,20.0,33.0,92.0,18.0,,6.0,,3.0,112.0,140.0,129.0,13.0,751.0,5.0,5.0,83.0,,40.0,568.0,90.0,2.0,15.0,71.0,29.0,106.0,10.0,4.0,316.0,10.0,1.0,182.0,18.0,371.0,60.0,4.0,14.0,12.0,3.0,1.0,12.0,2.0,11.0,29.0,1.0,12.0,11.0,3.0,315.0,2.0,8.0,64.0,1.0,69.0,2.0,10.0,6.0,3.0,,,11.0,61.0,19.0,15.0,50.0,0.0,1.0,,,,,,,,3.0,16.0,1.0,1.0,1.0,,,10.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,2axpdlm1cc3n8zi8rvwonjx90,M. Fall,Defender,5,1.0,9.0,,47.0,,1.0,61.0,,,2.0,,11.0,11.0,1.0,,5.0,1.0,1.0,16.0,26.0,6.0,2.0,90.0,2.0,3.0,23.0,,8.0,72.0,,,1.0,4.0,1.0,28.0,,1.0,46.0,1.0,,21.0,1.0,62.0,3.0,,,1.0,5.0,,,1.0,,,,53.0,,3.0,42.0,,1.0,10.0,,3.0,,7.0,,,,1.0,1.0,5.0,4.0,1.0,15.0,0.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,8bnjioj1guv0abf5zdd21c2ui,J. Gaines,Defender,80,1.0,6.0,,18.0,5.0,1.0,19.0,,,,1.0,,7.0,2.0,,1.0,,,4.0,11.0,5.0,,64.0,1.0,1.0,,,1.0,32.0,7.0,,,4.0,2.0,5.0,1.0,,18.0,1.0,,7.0,2.0,19.0,2.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,17.0,1.0,1.0,4.0,,3.0,1.0,,,1.0,,,,2.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,cinzr4hnryu433l6z40j5x49h,Mario González,Forward,9,5.0,39.0,,44.0,,5.0,52.0,,1.0,6.0,,15.0,11.0,11.0,,,,3.0,38.0,21.0,23.0,,456.0,21.0,3.0,14.0,1.0,17.0,113.0,25.0,1.0,3.0,23.0,1.0,11.0,5.0,7.0,35.0,6.0,,23.0,11.0,61.0,10.0,2.0,,6.0,,,2.0,10.0,4.0,8.0,,12.0,,16.0,44.0,,6.0,4.0,,13.0,,,1.0,6.0,,,3.0,16.0,2.0,1.0,17.0,0.0,,,,,,1.0,,,1.0,6.0,,,4.0,1.0,,4.0,,,,1.0,1.0,,4.0,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
USA_MLS,2023,Los Angeles FC,84gabnykc01v70413vehqyvah,T. Hasal,Goalkeeper,12,,,,25.0,,,23.0,,,,,8.0,9.0,1.0,3.0,4.0,14.0,,9.0,23.0,,,90.0,,,10.0,,,47.0,,,,,,15.0,,,18.0,1.0,,2.0,1.0,34.0,,,,3.0,1.0,,,,,,,10.0,,,21.0,,1.0,10.0,,,2.0,9.0,,,,9.0,,,1.0,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,5.0,3.0,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,82sayfife5cfdk9isox5gg8ut,R. Hollingshead,Defender,24,43.0,370.0,5.0,1086.0,219.0,57.0,1323.0,5.0,3.0,74.0,29.0,209.0,422.0,37.0,,31.0,,14.0,375.0,510.0,252.0,52.0,2776.0,69.0,65.0,159.0,1.0,205.0,2073.0,174.0,5.0,26.0,156.0,92.0,600.0,7.0,25.0,1055.0,31.0,9.0,577.0,37.0,1355.0,140.0,3.0,65.0,34.0,27.0,6.0,34.0,44.0,28.0,36.0,30.0,12.0,17.0,118.0,1055.0,2.0,30.0,235.0,9.0,112.0,3.0,64.0,2.0,7.0,2.0,,24.0,214.0,65.0,27.0,269.0,3.0,1.0,,,,,1.0,,,3.0,22.0,1.0,1.0,11.0,,,18.0,,,,6.0,,,3.0,7.0,,1.0,1.0,6.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,1.0,,,
USA_MLS,2023,Los Angeles FC,ajxa2yfzwct5nd0ded1sa9vmy,C. Jaime,Midfielder,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,832arq1qtwnwbki4v3vuj49n9,E. Jakupović,Goalkeeper,1,,,,23.0,,,24.0,,,,,10.0,7.0,2.0,2.0,7.0,12.0,,14.0,20.0,,,180.0,,,5.0,,,51.0,,,,,,24.0,,,15.0,1.0,1.0,3.0,2.0,36.0,,,,1.0,3.0,,,,,,,29.0,,,16.0,,2.0,8.0,,,,13.0,,,,8.0,,,3.0,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,6.0,5.0,,,1.0,1.0,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,77bfpxhy1oo4cz9txm88qlnmd,K. Kamara,Forward,23,16.0,236.0,14.0,292.0,2.0,24.0,375.0,14.0,8.0,82.0,31.0,110.0,92.0,27.0,,5.0,,24.0,206.0,111.0,103.0,4.0,1520.0,89.0,28.0,111.0,1.0,108.0,678.0,123.0,1.0,16.0,117.0,6.0,79.0,12.0,46.0,262.0,19.0,2.0,188.0,27.0,405.0,37.0,13.0,1.0,24.0,3.0,,10.0,51.0,4.0,45.0,,10.0,9.0,133.0,287.0,4.0,15.0,35.0,4.0,66.0,5.0,5.0,6.0,10.0,,,9.0,119.0,17.0,5.0,113.0,0.0,7.0,,,,,1.0,,,1.0,16.0,7.0,1.0,22.0,,,12.0,1.0,5.0,,5.0,1.0,,32.0,5.0,1.0,2.0,,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2023,Los Angeles FC,f59t4bsy21u3d4n319rd6rfqi,F. Krastev,Midfielder,50,3.0,32.0,1.0,80.0,,10.0,95.0,,,3.0,,18.0,27.0,10.0,,2.0,,1.0,36.0,25.0,29.0,3.0,163.0,6.0,1.0,33.0,,18.0,155.0,13.0,,4.0,17.0,6.0,27.0,10.0,5.0,75.0,4.0,,55.0,10.0,100.0,12.0,1.0,3.0,4.0,,,10.0,,3.0,8.0,,31.0,,3.0,78.0,,,13.0,,17.0,,2.0,2.0,,,,3.0,15.0,3.0,3.0,20.0,0.0,,,1.0,1.0,,1.0,,,,2.0,,,4.0,,,4.0,,2.0,,1.0,,,,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
