liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Successful Passes Own Half,Backward Passes,Tackles Lost,Total Fouls Conceded,Ground Duels lost,PutThrough/Blocked Distribution Won,Time Played,Aerial Duels,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Assists (Intentional),Times Tackled,Goal Assists,Goals Conceded Inside Box,Goals Conceded,Total Fouls Won,Blocks,Rightside Passes,Starts,Goals from Outside Box,Unsuccessful Passes Opposition Half,Successful Launches,Unsuccessful Passes Own Half,Duels,Total Touches In Opposition Box,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Recoveries,Ground Duels won,Ground Duels,Index,Duels lost,Foul Attempted Tackle,Total Passes,Unsuccessful Dribbles,Total Tackles,Clean Sheets,Tackles Won,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Duels won,Successful Dribbles,Successful Open Play Passes,Leftside Passes,Total Shots,Goals Conceded Outside Box,Total Clearances,Key Passes (Attempt Assists),Open Play Passes,Touches,Aerial Duels lost,Forward Passes,Appearances,Successful Long Passes,Successful Short Passes,Aerial Duels won,Interceptions,Right Foot Goals,Successful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Home Goals,Away Goals,Winning Goal,Shots Off Target (inc woodwork),Saves Made from Outside Box,Unsuccessful Launches,Saves Made,Saves made - parried,Punches,Saves Made from Inside Box,GK Successful Distribution,GK Unsuccessful Distribution,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful lay-offs,Successful Lay-offs,Unsuccessful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Throw Ins to Opposition Player,Successful Crosses & Corners,Throw Ins to Own Player,Successful Corners into Box,Goals from Inside Box,Headed Goals,Offsides,Catches,Drops,Penalties Faced,Penalties Saved,Saves from Penalty,Penalties Conceded,Saves made - caught,Clearances Off the Line,Through balls,Successful Crosses open play,Penalty Goals Conceded,Handballs conceded,Hit Woodwork,Second Goal Assists,Left Foot Goals,Penalties Taken,Foul Won Penalty,Penalty Goals
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,d4u26caqbiaw8w05u26c6zm5l,B. Alfaro,Midfielder,8.0,3.0,1.0,1.0,,,,,,53.0,22.0,2.0,3.0,6.0,4.0,270.0,2.0,1.0,99.0,30.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,34.0,3.0,1.0,16.0,1.0,8.0,17.0,4.0,21.0,6.0,17.0,9.0,15.0,10.0,7.0,2.0,123.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,10.0,1.0,92.0,29.0,4.0,1.0,7.0,1.0,116.0,169.0,1.0,38.0,3.0,11.0,88.0,1.0,6.0,1.0,46.0,24.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,3vqar43rau8xa567hxw29ekx6,J. Brenes,Midfielder,5.0,3.0,,1.0,,,,1.0,1.0,43.0,12.0,1.0,5.0,8.0,1.0,182.0,2.0,,81.0,16.0,,3.0,,2.0,2.0,1.0,,32.0,2.0,,7.0,,2.0,13.0,1.0,5.0,2.0,20.0,3.0,11.0,10.0,9.0,4.0,90.0,1.0,1.0,1.0,,,,4.0,4.0,1.0,80.0,26.0,6.0,,3.0,1.0,89.0,113.0,1.0,20.0,3.0,8.0,73.0,1.0,3.0,,38.0,9.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,cb8o8l688w6ozwhklub9ftxbd,K. Chamorro,Goalkeeper,13.0,2.0,,,,,,,,26.0,,,,,,180.0,,,31.0,25.0,,,,3.0,4.0,,,15.0,2.0,,15.0,1.0,9.0,,,1.0,1.0,12.0,,,10.0,,,55.0,,,,,,,23.0,,,23.0,8.0,,1.0,3.0,,36.0,64.0,,32.0,2.0,11.0,20.0,,,,5.0,24.0,0.0,0.0,0.0,,1.0,2.0,2.0,1.0,1.0,1.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,eqkm4jnxsaaqtquaw1aehv4dl,K. Espinoza,Midfielder,12.0,1.0,,,,,,1.0,,8.0,1.0,1.0,,1.0,,17.0,,,11.0,3.0,,,,,,,,1.0,,,2.0,,1.0,2.0,,2.0,,1.0,1.0,2.0,10.0,1.0,,13.0,,1.0,,,,,,1.0,,11.0,4.0,,,,,13.0,16.0,,7.0,1.0,,11.0,,1.0,,3.0,2.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,7h6dcr6i7pot28agxeyx7n7jd,L. Hernández,Defender,6.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,17.0,1.0,,5.0,,,,,,,,,1.0,,,,,,2.0,1.0,,,1.0,,1.0,10.0,1.0,,5.0,,,,,1.0,,,1.0,,5.0,1.0,1.0,,,1.0,5.0,6.0,,2.0,1.0,,5.0,1.0,,,4.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,4ez93dzssiv3z9w49uimhe9uy,J. Montenegro,Forward,9.0,3.0,,,,,,3.0,,3.0,3.0,,4.0,9.0,,98.0,4.0,,11.0,13.0,,4.0,,1.0,2.0,4.0,,5.0,,,5.0,,1.0,17.0,2.0,6.0,,,4.0,13.0,10.0,12.0,1.0,17.0,2.0,,,,,,,5.0,1.0,10.0,8.0,,1.0,,1.0,15.0,31.0,3.0,1.0,3.0,,11.0,1.0,,,8.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,5k358yk19njlhygr4mjlc1eqx,A. Pineda,Goalkeeper,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,4btrpw7phj2ydmy3n987ftj3d,Y. Román,Defender,3.0,3.0,,,,,,,,50.0,19.0,,5.0,11.0,,270.0,5.0,1.0,85.0,53.0,,3.0,,3.0,4.0,1.0,,44.0,3.0,,35.0,1.0,8.0,22.0,,16.0,4.0,10.0,6.0,17.0,10.0,13.0,4.0,111.0,1.0,2.0,1.0,2.0,3.0,2.0,10.0,9.0,3.0,80.0,3.0,3.0,1.0,2.0,3.0,102.0,183.0,2.0,45.0,3.0,5.0,80.0,3.0,4.0,,39.0,26.0,0.0,0.0,0.0,,,1.0,,,,,,,17.0,6.0,,,9.0,13.0,4.0,5.0,4.0,19.0,4.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,dge873ydenbzhg4imkih0hsyx,A. Salazar,Midfielder,2.0,3.0,1.0,,,,,,1.0,91.0,17.0,1.0,,3.0,1.0,253.0,7.0,,140.0,22.0,,,,3.0,4.0,1.0,2.0,31.0,3.0,,15.0,,5.0,22.0,4.0,12.0,2.0,15.0,12.0,15.0,10.0,8.0,,160.0,,7.0,,6.0,1.0,,8.0,14.0,4.0,136.0,49.0,3.0,1.0,5.0,1.0,154.0,204.0,5.0,63.0,3.0,15.0,125.0,2.0,7.0,1.0,49.0,20.0,1.0,0.0,0.0,2.0,,4.0,,,,,,,,,,,,,,1.0,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,Costa Rica Under 23,8243fpjmbs5kespadpl8a104p,G. Torres,Midfielder,17.0,3.0,,,,,,1.0,2.0,20.0,10.0,3.0,2.0,19.0,3.0,155.0,2.0,4.0,49.0,36.0,1.0,16.0,1.0,1.0,2.0,3.0,,11.0,2.0,,11.0,,2.0,40.0,5.0,7.0,7.0,11.0,19.0,38.0,10.0,21.0,1.0,58.0,7.0,5.0,,2.0,,1.0,2.0,19.0,11.0,48.0,20.0,,1.0,,1.0,57.0,113.0,2.0,17.0,3.0,,49.0,,,,29.0,9.0,0.0,0.0,0.0,,,,,,,,,,4.0,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
