liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Hit Woodwork,Index,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Leftside Passes,Offsides,Open Play Passes,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Successful Crosses & Corners,Successful Crosses open play,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Goal Assists,Goals from Outside Box,Handballs conceded,Second Goal Assists,Throw Ins to Opposition Player,Successful Corners into Box,Unsuccessful Corners into Box,Own Goal Scored,Foul Won Penalty,Goals Openplay,Left Foot Goals,Penalties Conceded,Total Big Chances Scored,Unsuccessful lay-offs,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Red Cards - 2nd Yellow,Total Red Cards,Headed Goals,Penalties Off Target,Penalties Taken,Penalty Goals,Crosses not Claimed,Straight Red Cards,Set Pieces Goals,Other Goals
Canada_Canadian_Premier_League,2025,Pacific FC,bqkvpaxgjttn47d76232cimfo,R. Juhmi,Midfielder,66,13.0,5.0,8.0,10.0,62.0,,3.0,66.0,,,,93.0,43.0,50.0,27.0,106.0,13.0,,10.0,,,18.0,17.0,1.0,,80.0,38.0,42.0,,10.0,9.0,1.0,,102.0,,353.0,,2.0,28.0,10.0,5.0,36.0,,98.0,1.0,1.0,8.0,7.0,2.0,4.0,,4.0,11.0,301.0,123.0,193.0,305.0,12.0,19.0,1.0,1.0,701.0,11.0,1.0,,,9.0,19.0,7.0,73.0,368.0,2.0,316.0,31.0,,52.0,478.0,3.0,6.0,19.0,38.0,16.0,33.0,4.0,,,0.0,,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,es69vnoj6d7p1ae26jl1fj5lg,S. Keshavarz,Midfielder,34,11.0,4.0,7.0,24.0,81.0,4.0,4.0,64.0,,,7.0,62.0,32.0,30.0,13.0,83.0,3.0,,24.0,,1.0,20.0,16.0,4.0,1.0,51.0,28.0,23.0,,10.0,12.0,8.0,,63.0,1.0,281.0,1.0,2.0,34.0,19.0,11.0,32.0,,62.0,5.0,2.0,6.0,3.0,18.0,7.0,,1.0,12.0,219.0,131.0,97.0,214.0,4.0,7.0,2.0,4.0,782.0,9.0,,1.0,,11.0,5.0,5.0,93.0,289.0,7.0,226.0,11.0,19.0,63.0,415.0,4.0,8.0,14.0,54.0,14.0,49.0,,1.0,0.0,0.0,2.0,1.0,5.0,4.0,,,4.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,detx5c8tyrkxov2oy8mlqpu22,R. Kratt,Forward,27,3.0,3.0,,5.0,33.0,,,28.0,,,2.0,35.0,20.0,15.0,,17.0,4.0,,5.0,,2.0,6.0,4.0,2.0,2.0,32.0,17.0,15.0,,10.0,4.0,3.0,,7.0,1.0,80.0,1.0,,19.0,6.0,4.0,17.0,2.0,23.0,2.0,4.0,4.0,4.0,1.0,4.0,,4.0,,59.0,36.0,23.0,59.0,1.0,5.0,,1.0,321.0,7.0,1.0,,,1.0,9.0,5.0,53.0,80.0,6.0,59.0,6.0,16.0,21.0,147.0,2.0,1.0,2.0,29.0,4.0,19.0,,1.0,1.0,0.0,,,12.0,11.0,,,1.0,,,1.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,a7svtuij5zwx432jixgweo6qc,E. Lajeunesse,Defender,3,35.0,24.0,11.0,15.0,54.0,,8.0,104.0,2.0,1.0,1.0,103.0,51.0,52.0,,311.0,10.0,,15.0,,,25.0,21.0,4.0,,68.0,27.0,41.0,,10.0,12.0,3.0,,29.0,1.0,600.0,,4.0,59.0,15.0,6.0,40.0,,231.0,,,14.0,1.0,1.0,7.0,4.0,1.0,18.0,480.0,183.0,323.0,487.0,12.0,9.0,,51.0,1268.0,5.0,1.0,,,49.0,16.0,13.0,170.0,625.0,,505.0,21.0,7.0,120.0,872.0,4.0,29.0,59.0,84.0,36.0,61.0,1.0,,,0.0,1.0,1.0,,,,,,,,1.0,,26.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,69il7l88rj5966v3k4z075zo,Ahmad Mansour,Defender,16,1.0,,1.0,2.0,7.0,,2.0,15.0,,,,14.0,5.0,9.0,1.0,35.0,1.0,,2.0,,,5.0,4.0,1.0,,13.0,5.0,8.0,,10.0,4.0,,,35.0,,92.0,,1.0,9.0,2.0,2.0,9.0,,18.0,,,2.0,,,1.0,,,3.0,81.0,15.0,68.0,80.0,,4.0,,,180.0,,,,,5.0,1.0,3.0,13.0,95.0,,83.0,4.0,,12.0,119.0,,1.0,8.0,10.0,2.0,4.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,a4vocop6icezy6ib6syi2ax9l,S. Melvin,Goalkeeper,55,8.0,,8.0,19.0,,,,42.0,1.0,,,19.0,3.0,16.0,,294.0,,203.0,19.0,145.0,,44.0,41.0,3.0,,11.0,3.0,8.0,,10.0,,,1.0,138.0,,305.0,,5.0,9.0,,,160.0,,91.0,,,19.0,,,1.0,27.0,,76.0,215.0,43.0,305.0,272.0,,1.0,,,1710.0,,,,,16.0,,6.0,178.0,523.0,,348.0,1.0,,175.0,735.0,,89.0,170.0,131.0,44.0,5.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,18.0,,45.0,3.0,5.0,,3.0,61.0,45.0,16.0,,,9.0,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,d61s8qf470gxcak2ml0oclmqy,E. Montejano,Forward,17,39.0,22.0,17.0,16.0,34.0,1.0,2.0,18.0,,,1.0,71.0,42.0,29.0,2.0,16.0,6.0,,16.0,,1.0,11.0,8.0,3.0,1.0,32.0,20.0,12.0,,10.0,2.0,6.0,,12.0,2.0,63.0,,2.0,9.0,3.0,2.0,9.0,1.0,15.0,4.0,5.0,5.0,4.0,11.0,2.0,,10.0,,42.0,32.0,24.0,55.0,4.0,1.0,,,503.0,7.0,1.0,2.0,,3.0,7.0,7.0,46.0,77.0,9.0,55.0,5.0,17.0,22.0,144.0,5.0,,1.0,22.0,2.0,21.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,4v4eoxj7vw4vlmtm861f1jcdm,G. Mukumbilwa,Defender,2,25.0,10.0,15.0,20.0,121.0,3.0,3.0,122.0,,,4.0,101.0,38.0,63.0,48.0,165.0,4.0,,20.0,,,28.0,25.0,3.0,,76.0,28.0,48.0,,10.0,23.0,2.0,2.0,61.0,2.0,462.0,,3.0,54.0,20.0,5.0,52.0,,122.0,3.0,1.0,12.0,9.0,8.0,7.0,8.0,2.0,25.0,381.0,146.0,246.0,363.0,11.0,11.0,,55.0,1016.0,14.0,,1.0,,28.0,8.0,19.0,153.0,469.0,4.0,388.0,22.0,17.0,81.0,733.0,10.0,22.0,28.0,65.0,33.0,53.0,1.0,,,0.0,4.0,4.0,17.0,17.0,,,,,,1.0,,21.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,bot5iwz6xukegdxkwxt4nqevp,A. Ndom,Midfielder,44,58.0,17.0,41.0,24.0,51.0,4.0,15.0,378.0,2.0,,6.0,156.0,52.0,104.0,13.0,503.0,10.0,18.0,24.0,18.0,5.0,46.0,41.0,5.0,4.0,98.0,35.0,63.0,,10.0,25.0,9.0,2.0,303.0,1.0,1260.0,1.0,5.0,247.0,14.0,8.0,106.0,3.0,457.0,15.0,13.0,22.0,,2.0,5.0,6.0,1.0,123.0,1101.0,314.0,838.0,1029.0,6.0,15.0,3.0,3.0,2017.0,8.0,3.0,1.0,,143.0,18.0,37.0,190.0,1314.0,28.0,1152.0,21.0,29.0,162.0,1655.0,4.0,24.0,84.0,125.0,41.0,78.0,8.0,4.0,1.0,0.0,,,4.0,4.0,,7.0,1.0,,1.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,
Canada_Canadian_Premier_League,2025,Pacific FC,21483wddquqry3x2k7spmk9as,J. Quintana,Defender,5,23.0,6.0,17.0,4.0,4.0,1.0,3.0,67.0,1.0,1.0,2.0,47.0,18.0,29.0,,77.0,7.0,9.0,4.0,9.0,,8.0,6.0,2.0,,24.0,12.0,12.0,,10.0,9.0,1.0,,74.0,,175.0,,,39.0,4.0,2.0,15.0,,38.0,3.0,1.0,4.0,,,,1.0,,6.0,143.0,39.0,121.0,154.0,3.0,5.0,,1.0,360.0,,,,,40.0,8.0,4.0,37.0,193.0,4.0,160.0,8.0,9.0,33.0,275.0,,11.0,18.0,19.0,14.0,15.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
