root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Appearances,Goals Conceded Inside Box,Starts,Total Tackles,Duels won,Ground Duels won,Goals Conceded,Total Fouls Conceded,Recoveries,Total Passes,Touches,Unsuccessful Short Passes,Ground Duels,Index,Unsuccessful Passes Opposition Half,Games Played,Total Losses Of Possession,Leftside Passes,Successful Passes Opposition Half,Duels lost,Forward Passes,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Backward Passes,Open Play Passes,Penalty Goals Conceded,Tackles Won,Ground Duels lost,Successful Short Passes,Successful Open Play Passes,Substitute Off,Interceptions,Total Fouls Won,Winning Goal,Rightside Passes,Saves Made,Saves Made from Inside Box,GK Successful Distribution,Unsuccessful Passes Own Half,Catches,GK Unsuccessful Distribution,Penalties Faced,Goal Kicks,Unsuccessful Long Passes,Successful Long Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Foul Attempted Tackle,Substitute On,Aerial Duels,Successful Launches,Throw Ins to Own Player,Aerial Duels won,Tackles Lost,Throw Ins to Opposition Player,Blocks,Times Tackled,Successful Crosses & Corners,Successful Dribbles,Successful Corners into Box,Successful Lay-offs,Yellow Cards,Unsuccessful Crosses & Corners,Corners Won,Overruns,Unsuccessful Corners into Box,Unsuccessful Crosses open play,Corners Taken (incl short corners),Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Crosses open play,Total Touches In Opposition Box,Total Shots,Offsides,Shots On Target ( inc goals ),Unsuccessful Launches,Penalties Conceded,Handballs conceded,Shots Off Target (inc woodwork),Clearances Off the Line,Drops,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Blocked Shots,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Through balls,Goal Assists,Goals,Left Foot Goals,Goals from Inside Box,Assists (Intentional),Right Foot Goals,Home Goals,Away Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Headed Goals,Hit Woodwork,Unsuccessful lay-offs,Goals from Outside Box,Own Goal Scored,Punches,Saves from Penalty,Penalties Saved,Set Pieces Goals,Clean Sheets,Goalkeeper Smother,Second Goal Assists,Last Man Tackle,Other Goals,Last Player Tackle
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,bs14utcyx2am6s46cuv52nf56,J. Hilterman,Forward,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,b1o6ctqy1mhjg4iiec8aedat,F. Jozefzoon,Forward,0,4.0,2.0,2.0,3.0,10.0,10.0,2.0,1.0,3.0,47.0,92.0,11.0,13.0,10.0,20.0,4.0,31.0,15.0,32.0,4.0,10.0,14.0,35.0,9.0,12.0,247.0,16.0,47.0,,3.0,3.0,33.0,35.0,1.0,1.0,4.0,0.0,6.0,,,,3.0,,,,,1.0,2.0,,,2.0,4.0,1.0,,1.0,2.0,1.0,,1.0,,,,,1.0,6.0,3.0,1.0,,,11.0,3.0,1.0,2.0,7.0,3.0,10.0,,5.0,12.0,2.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,ce7sj55qvsfdon5xiyi5avzrp,L. Kappel,Forward,0,2.0,,2.0,3.0,4.0,4.0,1.0,4.0,5.0,34.0,46.0,7.0,11.0,10.0,6.0,2.0,13.0,9.0,17.0,7.0,15.0,11.0,26.0,9.0,8.0,108.0,8.0,34.0,,2.0,7.0,23.0,26.0,2.0,,1.0,0.0,2.0,,,,2.0,,,,,1.0,3.0,,,1.0,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,9knokmhy9zckjq0gv7txx9zsa,D. Klas,Midfielder,0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,5.0,24.0,28.0,3.0,5.0,10.0,2.0,2.0,4.0,8.0,13.0,4.0,6.0,5.0,21.0,8.0,3.0,57.0,4.0,23.0,,1.0,4.0,19.0,20.0,,,,0.0,6.0,,,,1.0,,,,,,2.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,bj5pc70owet6hnvsycv3jt5yi,I. Kort,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,7dwqdyf6cbb8iw4fsh0lo75qt,K. Leerdam,Defender,0,4.0,2.0,3.0,6.0,9.0,7.0,3.0,9.0,13.0,132.0,172.0,19.0,21.0,10.0,23.0,4.0,42.0,33.0,42.0,20.0,45.0,29.0,105.0,64.0,27.0,256.0,23.0,128.0,,3.0,14.0,97.0,101.0,3.0,2.0,,0.0,31.0,,,,5.0,,,,,8.0,8.0,,,4.0,5.0,6.0,1.0,4.0,1.0,8.0,1.0,3.0,2.0,3.0,6.0,1.0,4.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,2.0,,1.0,6.0,3.0,1.0,2.0,3.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,devvpv4u2vs2cofnwp4678mvp,D. Malone,Defender,0,2.0,,2.0,,6.0,5.0,1.0,1.0,6.0,89.0,108.0,5.0,9.0,10.0,6.0,2.0,14.0,28.0,28.0,4.0,22.0,10.0,80.0,52.0,9.0,172.0,11.0,87.0,,,4.0,74.0,78.0,1.0,2.0,4.0,0.0,28.0,,,,3.0,,,,,4.0,6.0,,,4.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,a8ibk15ekdf3pu1n8iq40lcyd,K. Paal,Defender,0,4.0,2.0,3.0,5.0,8.0,8.0,2.0,2.0,21.0,129.0,179.0,8.0,22.0,10.0,15.0,4.0,32.0,19.0,64.0,18.0,37.0,26.0,113.0,51.0,16.0,281.0,26.0,124.0,,4.0,14.0,110.0,110.0,1.0,6.0,2.0,0.0,47.0,,,,8.0,,,,,8.0,3.0,,,5.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,7.0,,1.0,,1.0,8.0,2.0,1.0,2.0,1.0,,7.0,3.0,,5.0,2.0,7.0,2.0,2.0,,4.0,1.0,,,3.0,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,Defender,0,4.0,2.0,2.0,6.0,9.0,7.0,2.0,4.0,11.0,118.0,166.0,18.0,13.0,10.0,22.0,4.0,36.0,10.0,43.0,12.0,47.0,21.0,92.0,50.0,26.0,197.0,8.0,111.0,,3.0,6.0,87.0,85.0,,1.0,1.0,0.0,53.0,,,4.0,10.0,,,,4.0,8.0,5.0,,,11.0,3.0,6.0,1.0,2.0,2.0,8.0,2.0,7.0,2.0,3.0,2.0,,1.0,1.0,,,,,6.0,1.0,,1.0,5.0,1.0,,,1.0,2.0,2.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,61ybxaacy505gx6mp5luy0kmi,J. Rigters,Forward,0,4.0,1.0,,,1.0,,1.0,,,13.0,20.0,2.0,1.0,10.0,2.0,4.0,4.0,5.0,9.0,2.0,1.0,3.0,11.0,2.0,2.0,34.0,3.0,12.0,,,1.0,11.0,10.0,,,,0.0,4.0,,,,,,,,,,,,,,,1.0,,,4.0,2.0,,,1.0,,,,1.0,,,,,,,2.0,,,,,1.0,,,4.0,3.0,,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,60a5wbn4vfn9ww0ml3umhpofd,J. Roggeveen,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,1fhp1665yo7bqgbm8vha0ahux,G. Vlijter,Forward,0,4.0,1.0,4.0,3.0,22.0,17.0,2.0,6.0,16.0,58.0,119.0,5.0,32.0,10.0,10.0,4.0,29.0,12.0,31.0,19.0,7.0,41.0,53.0,24.0,5.0,318.0,21.0,53.0,,2.0,15.0,51.0,48.0,4.0,1.0,8.0,0.0,18.0,,,,1.0,,,,,,2.0,,,,2.0,4.0,1.0,3.0,,9.0,,1.0,5.0,1.0,,,10.0,2.0,6.0,,1.0,1.0,6.0,5.0,,,6.0,,2.0,3.0,2.0,18.0,9.0,2.0,5.0,,,2.0,4.0,,,,,,3.0,,1.0,,,1.0,,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,b2sy4o2sq3c6oo2bpf52ozh0p,R. Vlijter,Midfielder,0,2.0,1.0,,3.0,4.0,4.0,1.0,2.0,3.0,33.0,42.0,5.0,6.0,10.0,5.0,2.0,7.0,8.0,18.0,3.0,9.0,7.0,27.0,9.0,6.0,61.0,5.0,33.0,,2.0,2.0,26.0,27.0,,1.0,,0.0,11.0,,,,2.0,,,,,1.0,1.0,,,,4.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,2qurp0nyhdd64sin14bsl8ij9,M. te Vrede,Forward,0,2.0,2.0,1.0,,5.0,3.0,2.0,5.0,1.0,27.0,45.0,7.0,8.0,10.0,7.0,2.0,14.0,7.0,13.0,12.0,7.0,17.0,20.0,7.0,7.0,135.0,9.0,25.0,,,5.0,20.0,18.0,,,3.0,0.0,4.0,,,,,,,,,,,,,1.0,2.0,7.0,,2.0,1.0,9.0,,,2.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,8.0,2.0,,2.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,6lyedmu2vuf7jig3jmhz9b4ve,D. van der Kust,Defender,0,2.0,,2.0,7.0,9.0,9.0,1.0,2.0,16.0,70.0,102.0,11.0,19.0,10.0,15.0,2.0,25.0,14.0,24.0,12.0,17.0,21.0,56.0,32.0,14.0,180.0,20.0,69.0,,6.0,10.0,54.0,55.0,,2.0,2.0,1.0,19.0,,,,1.0,,,,,3.0,2.0,,,3.0,5.0,2.0,1.0,,,2.0,,1.0,,1.0,,,4.0,,,,,1.0,2.0,1.0,,,2.0,,2.0,1.0,,6.0,4.0,,3.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,1.0,0.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,
