liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Hit Woodwork,Index,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Leftside Passes,Offsides,Open Play Passes,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Successful Crosses & Corners,Successful Crosses open play,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Goal Assists,Goals from Outside Box,Handballs conceded,Second Goal Assists,Throw Ins to Opposition Player,Successful Corners into Box,Unsuccessful Corners into Box,Own Goal Scored,Foul Won Penalty,Goals Openplay,Left Foot Goals,Penalties Conceded,Total Big Chances Scored,Unsuccessful lay-offs,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Red Cards - 2nd Yellow,Total Red Cards,Headed Goals,Penalties Off Target,Penalties Taken,Penalty Goals,Crosses not Claimed,Straight Red Cards,Set Pieces Goals,Other Goals
Canada_Canadian_Premier_League,2025,Vancouver FC,2z2u3vezttpjwfwf2yc6aelg4,E. Bah,Defender,7,27.0,19.0,8.0,27.0,194.0,13.0,4.0,317.0,2.0,,17.0,332.0,172.0,160.0,80.0,150.0,12.0,,27.0,,2.0,49.0,40.0,9.0,2.0,305.0,153.0,152.0,1.0,10.0,24.0,19.0,,58.0,2.0,639.0,9.0,2.0,162.0,38.0,14.0,108.0,1.0,252.0,13.0,10.0,25.0,7.0,2.0,34.0,3.0,13.0,19.0,506.0,322.0,201.0,500.0,8.0,34.0,4.0,77.0,2270.0,107.0,4.0,3.0,,29.0,25.0,76.0,376.0,654.0,23.0,519.0,42.0,89.0,135.0,1286.0,68.0,11.0,27.0,149.0,25.0,108.0,5.0,2.0,0.0,0.0,4.0,4.0,39.0,28.0,6.0,,13.0,6.0,,,,12.0,,9.0,,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,8j7qtwahw6x4twl8zjuqtl62,M. Campagna,Defender,5,75.0,31.0,44.0,27.0,93.0,3.0,16.0,276.0,2.0,,2.0,168.0,70.0,98.0,10.0,484.0,6.0,8.0,27.0,8.0,1.0,46.0,37.0,9.0,1.0,93.0,39.0,54.0,,10.0,32.0,2.0,1.0,513.0,2.0,1212.0,2.0,2.0,170.0,23.0,9.0,67.0,1.0,162.0,7.0,5.0,26.0,5.0,1.0,2.0,14.0,1.0,82.0,1034.0,335.0,738.0,990.0,14.0,30.0,,34.0,2260.0,6.0,,3.0,1.0,148.0,26.0,8.0,216.0,1252.0,12.0,1072.0,44.0,30.0,180.0,1629.0,3.0,39.0,93.0,131.0,55.0,87.0,6.0,0.0,1.0,0.0,1.0,1.0,6.0,6.0,,,,1.0,,,,4.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,3hebpt7rddccp0powpyfwri7d,T. Campbell,Forward,14,27.0,20.0,7.0,23.0,89.0,3.0,2.0,81.0,,,4.0,107.0,68.0,39.0,42.0,61.0,,,23.0,,3.0,25.0,21.0,4.0,2.0,80.0,48.0,32.0,,10.0,7.0,8.0,,96.0,1.0,273.0,3.0,1.0,39.0,22.0,12.0,49.0,,33.0,10.0,10.0,16.0,15.0,7.0,9.0,,13.0,8.0,208.0,146.0,71.0,206.0,4.0,10.0,1.0,3.0,1347.0,30.0,1.0,5.0,,13.0,9.0,9.0,131.0,279.0,20.0,214.0,14.0,42.0,65.0,469.0,13.0,5.0,7.0,56.0,16.0,58.0,1.0,2.0,1.0,0.0,3.0,3.0,7.0,7.0,2.0,,,2.0,1.0,,,,,,,,2.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,8892an5mogylr58kxdq94dic4,Michel,Midfielder,16,6.0,3.0,3.0,13.0,33.0,1.0,,101.0,,,,73.0,35.0,38.0,18.0,87.0,8.0,,13.0,,,15.0,13.0,2.0,,67.0,32.0,35.0,1.0,10.0,7.0,4.0,,66.0,,272.0,,,59.0,11.0,5.0,36.0,,97.0,2.0,,5.0,3.0,8.0,10.0,,1.0,15.0,236.0,145.0,101.0,230.0,4.0,10.0,,,580.0,15.0,1.0,,,1.0,9.0,11.0,66.0,283.0,2.0,245.0,14.0,5.0,38.0,368.0,1.0,,5.0,31.0,10.0,33.0,1.0,,,0.0,1.0,,3.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,3gehuzr276abauitwc8y8imi2,T. Crawford,Midfielder,12,1.0,1.0,,3.0,17.0,,,9.0,,,2.0,19.0,6.0,13.0,9.0,22.0,3.0,,3.0,,,2.0,1.0,1.0,,18.0,5.0,13.0,,10.0,4.0,,,,,70.0,,,4.0,4.0,1.0,3.0,,33.0,,,3.0,2.0,,1.0,1.0,,3.0,57.0,17.0,43.0,56.0,4.0,8.0,,10.0,198.0,1.0,,,,5.0,4.0,,25.0,72.0,,59.0,12.0,,13.0,121.0,1.0,2.0,9.0,13.0,2.0,4.0,1.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,
Canada_Canadian_Premier_League,2025,Vancouver FC,7vn8g8wlm99npne5i8fwv3vft,K. Dada-Luke,Defender,3,41.0,21.0,20.0,23.0,183.0,1.0,10.0,211.0,2.0,,13.0,177.0,74.0,103.0,53.0,197.0,4.0,,23.0,,,38.0,30.0,8.0,,136.0,53.0,83.0,,10.0,28.0,15.0,,209.0,,602.0,4.0,1.0,118.0,28.0,10.0,65.0,,25.0,1.0,2.0,21.0,3.0,2.0,17.0,5.0,,19.0,485.0,263.0,249.0,478.0,13.0,18.0,,125.0,1805.0,34.0,5.0,1.0,,51.0,12.0,35.0,282.0,614.0,3.0,497.0,31.0,15.0,117.0,1140.0,20.0,21.0,43.0,127.0,29.0,74.0,3.0,,,0.0,15.0,15.0,39.0,39.0,2.0,,,2.0,,3.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,
Canada_Canadian_Premier_League,2025,Vancouver FC,am6blpv9h0wzsn8rjv1q0zpp1,A. Díaz,Forward,9,48.0,33.0,15.0,23.0,140.0,5.0,3.0,57.0,1.0,,9.0,129.0,81.0,48.0,73.0,81.0,4.0,,23.0,,7.0,40.0,34.0,6.0,5.0,81.0,48.0,33.0,1.0,10.0,2.0,14.0,,58.0,11.0,324.0,1.0,2.0,15.0,21.0,8.0,27.0,7.0,85.0,9.0,16.0,23.0,13.0,,5.0,,26.0,5.0,241.0,182.0,98.0,275.0,3.0,5.0,2.0,,1847.0,34.0,,1.0,,14.0,10.0,20.0,154.0,364.0,25.0,280.0,8.0,51.0,84.0,541.0,10.0,2.0,6.0,73.0,13.0,78.0,3.0,1.0,6.0,2.0,,,2.0,2.0,,1.0,,1.0,2.0,,,,,,,,4.0,,,6.0,5.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,9aaqn35k60bgjp0fij5g6ugpg,Allan Enyou,Defender,4,46.0,17.0,29.0,23.0,112.0,2.0,12.0,238.0,1.0,,3.0,150.0,66.0,84.0,9.0,416.0,9.0,1.0,23.0,1.0,,39.0,34.0,5.0,,104.0,49.0,55.0,,10.0,21.0,2.0,,91.0,,943.0,1.0,2.0,126.0,39.0,24.0,119.0,,357.0,4.0,,22.0,6.0,1.0,12.0,5.0,,39.0,777.0,245.0,564.0,765.0,13.0,23.0,,54.0,1917.0,12.0,,,,90.0,22.0,7.0,244.0,976.0,4.0,804.0,36.0,9.0,172.0,1352.0,5.0,42.0,84.0,128.0,56.0,88.0,5.0,,,0.0,5.0,4.0,12.0,12.0,1.0,,,1.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,5ojrqo87ls5o6d3fqhki8ztyi,M. Essoussi,Midfielder,8,14.0,5.0,9.0,15.0,69.0,4.0,,94.0,,,4.0,83.0,39.0,44.0,1.0,134.0,8.0,,15.0,,,18.0,16.0,2.0,,69.0,34.0,35.0,1.0,10.0,7.0,5.0,,123.0,,434.0,1.0,,39.0,12.0,9.0,41.0,,122.0,4.0,2.0,10.0,6.0,5.0,9.0,,8.0,29.0,363.0,196.0,185.0,348.0,5.0,15.0,,2.0,836.0,17.0,1.0,,,13.0,11.0,6.0,114.0,448.0,6.0,377.0,20.0,3.0,71.0,584.0,7.0,3.0,18.0,62.0,20.0,53.0,2.0,,,0.0,4.0,3.0,11.0,6.0,,,4.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,Vancouver FC,bh52dhtgqbdogmi1os5w2rod0,E. Fotsing,Midfielder,17,19.0,9.0,10.0,21.0,108.0,3.0,3.0,105.0,,,3.0,125.0,58.0,67.0,47.0,135.0,10.0,,21.0,,4.0,26.0,20.0,6.0,4.0,106.0,49.0,57.0,,10.0,12.0,12.0,,111.0,1.0,469.0,,1.0,69.0,31.0,17.0,66.0,1.0,126.0,6.0,4.0,15.0,9.0,6.0,5.0,1.0,11.0,11.0,371.0,201.0,183.0,371.0,13.0,29.0,2.0,4.0,1267.0,25.0,,1.0,,11.0,16.0,10.0,144.0,480.0,10.0,382.0,42.0,33.0,98.0,682.0,8.0,8.0,12.0,82.0,18.0,86.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,
