liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Penalties Conceded,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Games Played,Ground Duels lost,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Successful Lay-offs,Corners Won,Yellow Cards,Penalty Goals Conceded,Successful Dribbles,Goals Conceded Inside Box,Shots On Target ( inc goals ),Successful Long Passes,Unsuccessful Dribbles,Goals Conceded,Unsuccessful Crosses & Corners,Hit Woodwork,Leftside Passes,Clean Sheets,Substitute On,Blocks,Saves Made,GK Successful Distribution,Successful Launches,Punches,Penalties Saved,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,GK Unsuccessful Distribution,Offsides,Throw Ins to Own Player,Successful Crosses & Corners,Throw Ins to Opposition Player,Successful Crosses open play,Blocked Shots,Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Corners into Box,Goals Conceded Outside Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Goals,Headed Goals,Clearances Off the Line,Goals from Inside Box,Right Foot Goals,Goals from Outside Box,Left Foot Goals,Catches,Saves made - caught,Unsuccessful lay-offs,Second Goal Assists,Goalkeeper Smother,Drops,Foul Won Penalty,Set Pieces Goals,Penalties Taken,Penalty Goals,Last Man Tackle,Own Goal Scored,Penalties Off Target,Total Red Cards,Straight Red Cards
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,f0fqjc9ziamgluwg9vi45d2vp,M. Ambrose,Defender,22,180.0,,75.0,14.0,27.0,4.0,5.0,,,5.0,29.0,31.0,2.0,14.0,76.0,,4.0,54.0,,19.0,20.0,,16.0,7.0,2.0,,8.0,104.0,2.0,1.0,7.0,29.0,,22.0,7.0,,5.0,17.0,,2.0,5.0,56.0,57.0,10.0,1.0,10.0,1.0,1.0,2.0,5.0,,3.0,,1.0,,2.0,,3.0,,3.0,5.0,,13.0,1.0,,,,,2.0,,,,,,,,,1.0,10.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,9crw9og5xe70mc0m1etggpdk9,E. Barco,Midfielder,8,315.0,,126.0,33.0,79.0,1.0,4.0,2.0,2.0,2.0,54.0,30.0,5.0,18.0,128.0,2.0,2.0,103.0,4.0,22.0,38.0,6.0,27.0,17.0,4.0,4.0,2.0,201.0,4.0,2.0,42.0,27.0,5.0,78.0,26.0,12.0,1.0,45.0,,4.0,17.0,104.0,106.0,3.0,3.0,19.0,2.0,2.0,25.0,,1.0,1.0,,1.0,8.0,5.0,2.0,3.0,6.0,6.0,7.0,,30.0,1.0,,,,,,,,,,,,,,1.0,2.0,3.0,,1.0,,8.0,6.0,1.0,2.0,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,61zjhp2dn7uy819kdei4qqqga,G. Bello,Defender,21,90.0,,25.0,5.0,13.0,1.0,1.0,,,,8.0,10.0,4.0,2.0,26.0,,2.0,23.0,,3.0,10.0,,3.0,3.0,1.0,1.0,2.0,42.0,1.0,1.0,8.0,7.0,2.0,18.0,6.0,1.0,1.0,9.0,1.0,1.0,3.0,22.0,23.0,1.0,4.0,3.0,,1.0,5.0,2.0,,2.0,1.0,,,3.0,,,,3.0,2.0,,4.0,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,bkhfbvpl7ahh68a53d2ykqmll,A. Carleton,Midfielder,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,7ruqyuqr8iil24sejip7mremt,L. González Pírez,Defender,5,270.0,1.0,162.0,8.0,59.0,2.0,14.0,6.0,,3.0,33.0,84.0,2.0,17.0,174.0,,8.0,129.0,1.0,31.0,70.0,,21.0,23.0,3.0,6.0,11.0,220.0,3.0,4.0,21.0,73.0,1.0,55.0,15.0,5.0,7.0,31.0,11.0,3.0,13.0,132.0,143.0,10.0,2.0,16.0,,8.0,8.0,1.0,,,2.0,1.0,1.0,5.0,1.0,14.0,,6.0,1.0,,23.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,d1e82ijf1k8jt10dxrrqfslw5,J. Gressel,Midfielder,24,270.0,,148.0,31.0,69.0,,5.0,1.0,3.0,2.0,58.0,49.0,11.0,30.0,151.0,,4.0,112.0,6.0,35.0,2.0,4.0,38.0,25.0,3.0,4.0,7.0,229.0,3.0,2.0,35.0,50.0,9.0,77.0,18.0,,4.0,41.0,5.0,3.0,21.0,113.0,116.0,6.0,9.0,23.0,2.0,5.0,14.0,9.0,,1.0,,,3.0,3.0,3.0,4.0,5.0,3.0,10.0,,68.0,2.0,,,,,1.0,,,,,,,,,,19.0,2.0,2.0,2.0,,2.0,1.0,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,26r7731d42flwc6ikxb90jxlh,B. Guzan,Goalkeeper,1,360.0,,57.0,,13.0,15.0,31.0,,,,32.0,64.0,,1.0,109.0,,,45.0,,32.0,26.0,,25.0,41.0,4.0,,7.0,149.0,4.0,,,60.0,,63.0,1.0,,1.0,1.0,,4.0,,48.0,77.0,1.0,,,,,,,,,,1.0,,5.0,,32.0,,6.0,,,23.0,2.0,,,12.0,43.0,4.0,,,3.0,1.0,9.0,1.0,,9.0,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,agjzai69udbed9vhljq5f18lx,A. Kann,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,6i2lftpxtsvjcdug1mflh8v6d,K. Kratz,Midfielder,32,14.0,,18.0,5.0,11.0,,,,,1.0,5.0,6.0,,2.0,18.0,,1.0,16.0,1.0,2.0,5.0,1.0,4.0,1.0,,,,24.0,1.0,1.0,2.0,5.0,1.0,91.0,,,,3.0,,1.0,2.0,16.0,16.0,1.0,,3.0,,,,,,,,,,,1.0,,,,2.0,,3.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Atlanta United FC,29yzbetu0kz3siy9prkcesno5,J. Larentowicz,Midfielder,18,183.0,,124.0,12.0,42.0,6.0,10.0,5.0,1.0,3.0,28.0,65.0,1.0,11.0,128.0,,1.0,102.0,1.0,21.0,35.0,,14.0,13.0,2.0,9.0,8.0,149.0,4.0,1.0,8.0,38.0,,20.0,5.0,,4.0,15.0,1.0,4.0,7.0,104.0,107.0,7.0,,10.0,1.0,2.0,1.0,1.0,,1.0,,,,3.0,,5.0,1.0,3.0,1.0,,43.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
