liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Goals Conceded Inside Box,Starts,Appearances,Index,Goals Conceded,Games Played,Substitute Off,Yellow Cards,Substitute On,Goals,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Open Play Passes,Successful Passes Opposition Half,Aerial Duels lost,Total Passes,Touches,Total Touches In Opposition Box,Successful Long Passes,Duels,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Saves Made,GK Successful Distribution,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Unsuccessful Passes Own Half,Catches,Forward Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Throw Ins to Own Player,Backward Passes,Interceptions,Penalties Conceded,Successful Launches,Corners Won,Total Tackles,Total Fouls Conceded,Foul Attempted Tackle,Ground Duels,Duels won,Total Fouls Won,Aerial Duels won,Ground Duels lost,Tackles Won,Ground Duels won,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Tackles Lost,PutThrough/Blocked Distribution,Blocks,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Shots,Handballs conceded,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Shots On Target ( inc goals ),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Crosses open play,Successful Dribbles,Throw Ins to Opposition Player,Successful Lay-offs,Right Foot Goals,Unsuccessful Dribbles,Goals from Inside Box,Penalties Taken,Penalty Goals,Hit Woodwork,Foul Won Penalty,Offsides,Through balls,Goals Conceded Outside Box,Assists (Intentional),Goal Assists,Unsuccessful lay-offs,Punches,Drops,Headed Goals,Left Foot Goals,Clean Sheets,Goals from Outside Box,Penalties Off Target,Goalkeeper Smother,Clearances Off the Line,Set Pieces Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks,Second Goal Assists,Own Goal Scored,Other Goals,Last Man Tackle
USA_US_Open_Cup,2017,Atlanta United FC,bijr1ghojrxc61se7ebt72f9x,M. Almirón,Forward,10.0,90.0,1.0,1.0,1.0,10.0,2.0,1.0,,,,,,,,73.0,47.0,,73.0,86.0,,7.0,7.0,14.0,56.0,56.0,,6.0,,,,2.0,22.0,9.0,15.0,49.0,17.0,28.0,2.0,17.0,6.0,2.0,,20.0,,,1.0,,,,,,11.0,,,,,1.0,,,7.0,1.0,,,6.0,1.0,1.0,2.0,2.0,,5.0,,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,f0fqjc9ziamgluwg9vi45d2vp,M. Ambrose,Defender,22.0,70.0,1.0,,2.0,10.0,1.0,2.0,,,2.0,,,,,51.0,31.0,,51.0,69.0,3.0,,3.0,4.0,48.0,48.0,,,,,,,5.0,19.0,3.0,48.0,3.0,19.0,3.0,3.0,1.0,1.0,,9.0,,,1.0,,,,,4.0,19.0,4.0,,,,2.0,,,3.0,3.0,,,,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,3srgfj7v62cdgr8zqeq8bowd1,M. Bloom,Defender,21.0,155.0,3.0,2.0,2.0,10.0,4.0,2.0,1.0,,,,,,,76.0,39.0,,77.0,101.0,1.0,1.0,5.0,7.0,72.0,73.0,,4.0,,,,1.0,13.0,34.0,3.0,72.0,4.0,33.0,,7.0,7.0,1.0,,20.0,,,2.0,,,,,9.0,17.0,1.0,,,,,2.0,,5.0,1.0,1.0,,4.0,,1.0,4.0,4.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,bkhfbvpl7ahh68a53d2ykqmll,A. Carleton,Midfielder,30.0,90.0,3.0,1.0,1.0,10.0,3.0,1.0,,,,,,,,31.0,24.0,2.0,34.0,62.0,9.0,3.0,15.0,7.0,28.0,31.0,2.0,8.0,,,,1.0,14.0,7.0,2.0,28.0,3.0,11.0,2.0,7.0,3.0,,,1.0,,,,,,,,,15.0,,,,2.0,3.0,1.0,1.0,13.0,7.0,3.0,,6.0,1.0,7.0,4.0,4.0,2.0,2.0,,2.0,3.0,4.0,,,,2.0,3.0,1.0,,,,1.0,,3.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,b731wmwywtvh06w07xz34qpqt,C. Carmona,Midfielder,14.0,90.0,3.0,1.0,1.0,10.0,3.0,1.0,,,,,,,,67.0,31.0,1.0,71.0,76.0,,4.0,4.0,26.0,60.0,64.0,2.0,2.0,,,1.0,4.0,7.0,33.0,3.0,60.0,7.0,16.0,,3.0,6.0,4.0,,27.0,,,1.0,,,,,,2.0,2.0,,,,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,7ruqyuqr8iil24sejip7mremt,L. González Pírez,Defender,5.0,90.0,3.0,1.0,1.0,10.0,3.0,1.0,,1.0,,,,,,49.0,12.0,1.0,49.0,62.0,,6.0,9.0,7.0,42.0,42.0,3.0,3.0,,,,3.0,7.0,30.0,4.0,36.0,7.0,18.0,,6.0,2.0,1.0,,21.0,,,4.0,,,,,,3.0,4.0,,1.0,,2.0,2.0,2.0,6.0,6.0,1.0,2.0,2.0,,4.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,474oxdp0js1hjuul5jnvoyhgp,C. Goslin,Midfielder,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,d1e82ijf1k8jt10dxrrqfslw5,J. Gressel,Midfielder,24.0,129.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,,1.0,1.0,,,,60.0,45.0,,62.0,75.0,8.0,6.0,5.0,13.0,55.0,57.0,,3.0,,,,,11.0,12.0,5.0,51.0,5.0,21.0,3.0,6.0,6.0,,,16.0,,,,,,,,,12.0,,,,,1.0,1.0,1.0,5.0,2.0,1.0,,3.0,,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,3.0,,1.0,,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,5o6melk45g3fe0ho1d0fwxl1x,H. Heath,Midfielder,13.0,6.0,1.0,,1.0,10.0,1.0,1.0,,,1.0,,,,,10.0,4.0,,10.0,10.0,,1.0,,1.0,5.0,5.0,,,,,,1.0,5.0,1.0,4.0,4.0,5.0,5.0,,3.0,1.0,2.0,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Atlanta United FC,agjzai69udbed9vhljq5f18lx,A. Kann,Goalkeeper,25.0,180.0,4.0,2.0,2.0,10.0,5.0,2.0,,,,,,,,37.0,2.0,,57.0,75.0,,7.0,1.0,20.0,34.0,50.0,1.0,,4.0,21.0,3.0,7.0,7.0,48.0,,43.0,7.0,19.0,,6.0,9.0,1.0,1.0,18.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,
