liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Foul Attempted Tackle,Unsuccessful Corners into Box,Successful Passes Own Half,Ground Duels lost,Starts,Unsuccessful Passes Opposition Half,Interceptions,Total Fouls Conceded,Recoveries,Ground Duels,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Appearances,Rightside Passes,Aerial Duels,PutThrough/Blocked Distribution,Total Passes,Index,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Total Fouls Won,Unsuccessful Launches,Penalties Conceded,Throw Ins to Opposition Player,Unsuccessful Short Passes,Total Touches In Opposition Box,Corners Taken (incl short corners),Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels won,Total Tackles,Touches,Aerial Duels won,Throw Ins to Own Player,Backward Passes,Successful Open Play Passes,Successful Long Passes,Open Play Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Ground Duels won,Duels lost,Times Tackled,Time Played,Forward Passes,Aerial Duels lost,PutThrough/Blocked Distribution Won,Successful Dribbles,Unsuccessful Crosses open play,Penalty Goals Conceded,Tackles Lost,Leftside Passes,Unsuccessful Passes Own Half,Goals Conceded,Total Clearances,Tackles Won,Total Losses Of Possession,Winning Goal,Blocks,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Corners into Box,Total Shots,Unsuccessful Dribbles,Corners Won,Shots On Target ( inc goals ),Offsides,Saves Made from Inside Box,Catches,Saves Made,Saves made - parried,Penalties Faced,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Successful Crosses open play,Blocked Shots,Successful Lay-offs,Goals Conceded Outside Box,Attempts from Set Pieces,Right Foot Goals,Clean Sheets,Goals from Inside Box,Home Goals,Away Goals,Overruns,Goal Assists,Assists (Intentional),Hit Woodwork,Through balls,Left Foot Goals,Unsuccessful lay-offs,Saves Made from Outside Box,Headed Goals,Handballs conceded,Own Goal Scored,Goals from Outside Box,Last Player Tackle,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Saved,Second Goal Assists,Foul Won Penalty,Penalty Goals,Penalties Taken,Set Pieces Goals,Saves made - caught,Clearances Off the Line,Crosses not Claimed
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,9g44s484ebg54aoq473vg72l1,E. Aguilar,Midfielder,10.0,4.0,2.0,,,,,,4.0,5.0,2.0,70.0,14.0,4.0,28.0,2.0,6.0,28.0,27.0,5.0,5.0,12.0,4.0,52.0,6.0,14.0,177.0,10.0,,147.0,130.0,7.0,1.0,,,22.0,1.0,11.0,33.0,30.0,17.0,5.0,241.0,4.0,1.0,38.0,136.0,17.0,163.0,85.0,8.0,13.0,16.0,6.0,335.0,54.0,2.0,8.0,1.0,2.0,,1.0,33.0,7.0,5.0,,4.0,48.0,1.0,,1.0,8.0,7.0,5.0,3.0,,4.0,,,,,,,,,,,2.0,3.0,4.0,,2.0,,,1.0,1.0,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,2gd1wifayf32gszqph7r3xbe,A. Amador,Midfielder,27.0,3.0,,1.0,,,,3.0,,2.0,1.0,2.0,3.0,,8.0,3.0,2.0,3.0,7.0,1.0,4.0,1.0,3.0,,1.0,,11.0,10.0,,6.0,6.0,1.0,1.0,,,3.0,1.0,2.0,8.0,5.0,4.0,2.0,27.0,,,2.0,5.0,,9.0,5.0,2.0,4.0,4.0,1.0,53.0,5.0,1.0,,1.0,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,10.0,0.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,h6qavfgojhp6yhfp5ohandka,D. Araya,Midfielder,16.0,3.0,,,,,,,2.0,,,13.0,19.0,3.0,7.0,1.0,2.0,11.0,22.0,3.0,3.0,,3.0,18.0,2.0,1.0,45.0,10.0,,39.0,38.0,1.0,,,,5.0,1.0,,24.0,6.0,4.0,2.0,81.0,1.0,6.0,11.0,39.0,1.0,45.0,26.0,1.0,3.0,20.0,12.0,224.0,13.0,1.0,,,3.0,,,3.0,2.0,3.0,3.0,2.0,26.0,0.0,1.0,,,,,6.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,e0kx2chs2r91en9jj5q6e9wfe,R. Araya,Midfielder,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,3h91axcntxwab5ihw3m60oq5m,J. Bolaños,Midfielder,18.0,1.0,,,,,,1.0,,,,1.0,1.0,,3.0,1.0,1.0,3.0,2.0,,2.0,1.0,1.0,6.0,,1.0,11.0,10.0,,9.0,9.0,1.0,,,,2.0,,1.0,2.0,2.0,1.0,,19.0,,,3.0,9.0,,11.0,9.0,,1.0,1.0,,29.0,2.0,,,,2.0,,,,1.0,,,,6.0,0.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,5ugeubi4hsbk6e3ktjzrh5el0,E. Bravo,Midfielder,25.0,4.0,,,,,,,2.0,2.0,,29.0,26.0,4.0,16.0,3.0,5.0,15.0,47.0,5.0,5.0,3.0,4.0,19.0,6.0,6.0,86.0,10.0,,68.0,67.0,9.0,1.0,,,16.0,3.0,,53.0,18.0,22.0,5.0,156.0,1.0,3.0,18.0,68.0,1.0,86.0,39.0,2.0,21.0,31.0,17.0,333.0,30.0,5.0,,7.0,5.0,,2.0,19.0,7.0,5.0,4.0,3.0,48.0,0.0,,1.0,,,1.0,6.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,62q2795zcocwjl1ugo6wayqj9,K. Brown,Defender,99.0,4.0,,,,,,,,2.0,,108.0,4.0,4.0,11.0,6.0,2.0,23.0,14.0,5.0,,,4.0,47.0,12.0,3.0,153.0,10.0,5.0,134.0,123.0,4.0,3.0,,,12.0,3.0,,26.0,19.0,20.0,6.0,200.0,10.0,,9.0,129.0,11.0,147.0,26.0,7.0,10.0,6.0,2.0,360.0,58.0,2.0,2.0,,,,3.0,39.0,8.0,5.0,14.0,3.0,22.0,0.0,7.0,1.0,,,2.0,1.0,,1.0,,,,,,,2.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,c18kxcijnj6h4hjsmdm38k3x1,D. Carvajal,Goalkeeper,21.0,4.0,,,,,,,,,,44.0,,4.0,33.0,,,32.0,1.0,5.0,,1.0,4.0,8.0,,,106.0,10.0,4.0,62.0,30.0,,14.0,,,1.0,,,1.0,44.0,1.0,,133.0,,,,29.0,32.0,47.0,18.0,43.0,1.0,,,360.0,79.0,,,,,,,19.0,11.0,5.0,3.0,,44.0,0.0,,,,,,,,,,9.0,2.0,12.0,3.0,,30.0,14.0,35.0,2.0,,,,,,,2.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,52cki9zte648usjhlutb0x239,Allan Cruz,Midfielder,8.0,4.0,,,,,,,2.0,4.0,,43.0,14.0,4.0,19.0,2.0,6.0,9.0,26.0,5.0,2.0,2.0,4.0,26.0,8.0,3.0,105.0,10.0,,84.0,77.0,5.0,4.0,,1.0,16.0,15.0,,34.0,21.0,14.0,4.0,156.0,2.0,1.0,16.0,82.0,7.0,103.0,42.0,5.0,12.0,20.0,6.0,345.0,34.0,6.0,2.0,3.0,2.0,,1.0,29.0,4.0,5.0,4.0,3.0,40.0,0.0,,2.0,1.0,,5.0,4.0,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,2f2gm2oxr7e66vws9ctwbet5g,E. Garita,Goalkeeper,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,9jh9z45qfka056tneemg2o57u,J. González,Forward,62.0,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,4.0,10.0,,3.0,3.0,,,,,1.0,1.0,,1.0,1.0,1.0,,5.0,1.0,,1.0,3.0,,4.0,2.0,,,,,13.0,,,,,,,,2.0,,,,,1.0,0.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,cbe5or0q05gb4z3qdzt3fz2z9,A. Hernández,Forward,23.0,4.0,,,,,,2.0,2.0,3.0,,7.0,9.0,2.0,11.0,1.0,5.0,2.0,12.0,4.0,,,4.0,10.0,9.0,3.0,41.0,10.0,1.0,29.0,28.0,2.0,,,,12.0,6.0,,21.0,12.0,4.0,,60.0,1.0,,8.0,25.0,1.0,37.0,23.0,,3.0,17.0,1.0,162.0,15.0,8.0,1.0,1.0,,,,8.0,1.0,4.0,1.0,,21.0,0.0,,2.0,1.0,,3.0,,,1.0,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,bl9h0i753r79p2px22tlakudx,M. Hernández,Forward,9.0,2.0,,,,,,,2.0,3.0,,9.0,9.0,2.0,9.0,1.0,4.0,3.0,14.0,,1.0,2.0,2.0,7.0,8.0,2.0,32.0,10.0,,23.0,21.0,2.0,,,,8.0,5.0,,22.0,9.0,9.0,1.0,57.0,4.0,,12.0,21.0,2.0,30.0,14.0,1.0,5.0,13.0,6.0,136.0,7.0,4.0,2.0,2.0,1.0,,,6.0,1.0,,1.0,1.0,20.0,0.0,,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,CS Herediano,diywwxcppnekujxz0s6q2srv8,S. Johnson,Defender,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
