liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Yellow Cards,Goals Conceded Inside Box,Duels won,Unsuccessful Launches,Successful Short Passes,Leftside Passes,Times Tackled,Foul Attempted Tackle,Through balls,Unsuccessful Passes Opposition Half,Time Played,Games Played,Ground Duels won,Total Clearances,Substitute On,Backward Passes,Unsuccessful Crosses open play,Penalty Goals Conceded,Unsuccessful Passes Own Half,Index,Total Fouls Conceded,Total Passes,Open Play Passes,Duels,PutThrough/Blocked Distribution Won,Aerial Duels,Right Foot Goals,Rightside Passes,Total Losses Of Possession,Unsuccessful Dribbles,Corners Won,Throw Ins to Opposition Player,Successful Open Play Passes,Key Passes (Attempt Assists),Successful Passes Opposition Half,Substitute Off,Unsuccessful Crosses & Corners,Goals,Tackles Won,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Unsuccessful Long Passes,Ground Duels,Goals from Inside Box,Assists (Intentional),Duels lost,Interceptions,Blocked Shots,Forward Passes,Successful Dribbles,Touches,Goals Conceded,PutThrough/Blocked Distribution,Successful Passes Own Half,Total Touches In Opposition Box,Penalties Conceded,Successful Long Passes,Recoveries,Appearances,Tackles Lost,Successful Crosses & Corners,Shots On Target ( inc goals ),Total Tackles,Successful Crosses open play,Starts,Ground Duels lost,Total Fouls Won,Throw Ins to Own Player,Clean Sheets,Unsuccessful Short Passes,Total Shots,Blocks,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Launches,Aerial Duels won,Aerial Duels lost,Home Goals,Away Goals,Winning Goal,Goals from Outside Box,Corners Taken (incl short corners),Successful Lay-offs,Left Foot Goals,Offsides,Shots Off Target (inc woodwork),Successful Corners into Box,Unsuccessful Corners into Box,Handballs conceded,Second Goal Assists,Clearances Off the Line,Foul Won Penalty,Penalty Goals,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Total Red Cards,Straight Red Cards,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Hit Woodwork,Unsuccessful lay-offs,Drops,Last Man Tackle,GK Successful Distribution,Saves Made from Inside Box,Penalties Faced,Crosses not Claimed,Saves made - parried,Catches,Saves Made from Outside Box,Saves Made,Punches,Goalkeeper Smother,Saves made - caught,Headed Goals,Other Goals,Own Goal Scored,Saves from Penalty,Penalties Saved
Canada_Canadian_Premier_League,2022,Valour FC,7q6h161f7gcqnpy07x80hbpck,W. Akio,Forward,19,1.0,3.0,13.0,53.0,1.0,158.0,76.0,31.0,4.0,,63.0,1116.0,13.0,44.0,6.0,,48.0,21.0,,8.0,10.0,11.0,214.0,211.0,129.0,5.0,34.0,1.0,30.0,142.0,20.0,12.0,2.0,162.0,10.0,107.0,4.0,21.0,2.0,6.0,164.0,2.0,4.0,95.0,2.0,,76.0,6.0,6.0,60.0,21.0,424.0,15.0,14.0,59.0,51.0,1.0,6.0,42.0,13.0,3.0,2.0,10.0,9.0,2.0,13.0,51.0,15.0,8.0,2.0,46.0,14.0,2.0,50.0,,9.0,25.0,1.0,1.0,1.0,,,3.0,,5.0,4.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2022,Valour FC,bqaqfgg2a2khqj5e0tmlmx8bu,J. Ascanio,Midfielder,20,1.0,1.0,2.0,24.0,1.0,44.0,25.0,3.0,2.0,,21.0,220.0,4.0,24.0,,1.0,16.0,8.0,1.0,1.0,10.0,9.0,56.0,56.0,40.0,4.0,1.0,,2.0,33.0,2.0,1.0,,44.0,4.0,32.0,2.0,10.0,,9.0,44.0,,2.0,39.0,,1.0,16.0,2.0,,13.0,7.0,122.0,2.0,6.0,16.0,9.0,,,9.0,4.0,3.0,4.0,4.0,12.0,4.0,3.0,15.0,5.0,,,10.0,6.0,,12.0,,,1.0,,,0.0,,1.0,1.0,,3.0,2.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,98ajoa650l9wzwuur2ibzo6ad,A. Baquero,Midfielder,0,,6.0,21.0,79.0,26.0,822.0,444.0,29.0,17.0,2.0,188.0,2130.0,25.0,73.0,42.0,,175.0,43.0,4.0,55.0,10.0,26.0,1099.0,1083.0,185.0,22.0,26.0,,51.0,351.0,18.0,11.0,35.0,884.0,8.0,419.0,9.0,44.0,1.0,30.0,900.0,5.0,71.0,159.0,,,106.0,38.0,3.0,429.0,12.0,1704.0,26.0,64.0,485.0,23.0,1.0,78.0,160.0,25.0,20.0,4.0,5.0,50.0,4.0,25.0,86.0,11.0,227.0,7.0,128.0,13.0,2.0,199.0,6.0,6.0,20.0,0.0,1.0,0.0,1.0,3.0,,1.0,3.0,8.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,7lccpv6t6j0ikhovmj1ihygru,J. Carlos,Midfielder,6,1.0,1.0,7.0,42.0,4.0,101.0,37.0,18.0,5.0,2.0,25.0,441.0,12.0,38.0,2.0,7.0,29.0,3.0,,11.0,10.0,10.0,140.0,138.0,88.0,6.0,12.0,,30.0,69.0,7.0,1.0,,106.0,5.0,70.0,4.0,3.0,,13.0,107.0,3.0,8.0,76.0,,1.0,46.0,1.0,,44.0,8.0,238.0,10.0,9.0,37.0,15.0,,6.0,27.0,12.0,11.0,,1.0,24.0,,5.0,38.0,6.0,,,25.0,1.0,1.0,33.0,1.0,4.0,8.0,,,0.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,bje8wvncnbbx5w0l08uno88ru,M. Catavolo,Midfielder,0,,1.0,4.0,16.0,2.0,141.0,43.0,5.0,2.0,1.0,42.0,424.0,16.0,16.0,2.0,14.0,48.0,9.0,,10.0,10.0,5.0,184.0,181.0,39.0,5.0,5.0,,42.0,76.0,2.0,6.0,,143.0,7.0,90.0,2.0,14.0,,4.0,146.0,1.0,4.0,34.0,,,23.0,1.0,4.0,51.0,,271.0,5.0,12.0,64.0,15.0,,5.0,21.0,16.0,6.0,8.0,1.0,10.0,3.0,2.0,18.0,6.0,4.0,,34.0,4.0,,38.0,,,5.0,,,0.0,,9.0,,,,3.0,4.0,4.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,c5afaf96xtx4341sic680d711,S. Cebara,Defender,14,,4.0,17.0,69.0,17.0,708.0,324.0,13.0,6.0,,46.0,1676.0,22.0,49.0,50.0,3.0,62.0,4.0,1.0,55.0,10.0,10.0,846.0,807.0,109.0,5.0,31.0,1.0,158.0,152.0,3.0,2.0,22.0,715.0,,209.0,4.0,4.0,2.0,16.0,749.0,5.0,34.0,78.0,2.0,,40.0,41.0,,302.0,11.0,1121.0,22.0,16.0,541.0,7.0,,41.0,122.0,22.0,10.0,1.0,3.0,26.0,1.0,19.0,29.0,12.0,45.0,6.0,63.0,5.0,5.0,97.0,6.0,20.0,11.0,0.0,2.0,0.0,,1.0,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,12.0,,,,,,,,,,,1.0,,1.0,,
Canada_Canadian_Premier_League,2022,Valour FC,bwozu57m3yt2hypmbqe1hlbyt,M. Dyer,Midfielder,7,2.0,6.0,19.0,138.0,3.0,369.0,125.0,83.0,17.0,4.0,136.0,1840.0,21.0,95.0,18.0,1.0,130.0,7.0,3.0,27.0,10.0,44.0,552.0,520.0,344.0,15.0,113.0,5.0,133.0,326.0,32.0,20.0,,365.0,17.0,262.0,4.0,7.0,9.0,14.0,396.0,2.0,22.0,231.0,9.0,1.0,206.0,11.0,13.0,164.0,24.0,988.0,21.0,31.0,136.0,94.0,1.0,27.0,69.0,21.0,12.0,2.0,24.0,26.0,2.0,20.0,136.0,46.0,5.0,5.0,134.0,47.0,4.0,156.0,,43.0,70.0,3.0,6.0,3.0,,,15.0,2.0,4.0,23.0,,,1.0,,,2.0,3.0,,1.0,3.0,1.0,,,1.0,1.0,5.0,,,,,,,,,,,,,,2.0,,,,
Canada_Canadian_Premier_League,2022,Valour FC,b3vnu6sesj92pye3x8lhffcyy,J. Esparza,Defender,12,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,bimplxeyjuvp5cq5rkzyv913p,B. Forbes,Forward,0,1.0,1.0,7.0,23.0,1.0,86.0,45.0,21.0,1.0,1.0,46.0,540.0,12.0,22.0,3.0,6.0,26.0,12.0,2.0,4.0,10.0,4.0,121.0,118.0,56.0,4.0,7.0,1.0,14.0,85.0,11.0,6.0,,88.0,10.0,70.0,6.0,19.0,2.0,3.0,90.0,1.0,6.0,49.0,2.0,1.0,33.0,,1.0,36.0,12.0,239.0,8.0,10.0,27.0,29.0,,4.0,18.0,12.0,3.0,7.0,5.0,6.0,6.0,6.0,27.0,4.0,4.0,,25.0,8.0,,31.0,,1.0,6.0,1.0,1.0,0.0,,8.0,4.0,,2.0,3.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2022,Valour FC,dpee0p2qzqrzcefewdtey4vyt,D. Fordyce,Forward,16,2.0,4.0,20.0,96.0,27.0,676.0,236.0,11.0,21.0,3.0,149.0,1861.0,25.0,68.0,32.0,6.0,143.0,10.0,2.0,47.0,10.0,30.0,957.0,923.0,174.0,10.0,48.0,,192.0,231.0,4.0,3.0,1.0,738.0,9.0,370.0,3.0,10.0,1.0,30.0,771.0,5.0,81.0,126.0,1.0,2.0,78.0,19.0,4.0,386.0,3.0,1193.0,25.0,21.0,403.0,15.0,,95.0,115.0,25.0,13.0,2.0,6.0,43.0,2.0,19.0,58.0,22.0,3.0,3.0,105.0,11.0,11.0,186.0,8.0,28.0,20.0,0.0,1.0,0.0,,,1.0,1.0,,5.0,,,3.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,16q3kpp7uxqjn9993xd5woauh,D. Gutiérrez,Midfielder,0,,7.0,15.0,110.0,17.0,978.0,298.0,34.0,26.0,2.0,175.0,1987.0,24.0,97.0,23.0,1.0,235.0,8.0,3.0,44.0,10.0,36.0,1301.0,1259.0,226.0,24.0,27.0,,372.0,290.0,16.0,4.0,4.0,1065.0,15.0,532.0,5.0,20.0,,46.0,1102.0,4.0,74.0,199.0,,,116.0,27.0,6.0,396.0,15.0,1654.0,19.0,38.0,574.0,6.0,1.0,124.0,195.0,24.0,20.0,4.0,5.0,66.0,3.0,23.0,102.0,16.0,30.0,8.0,125.0,10.0,4.0,199.0,2.0,13.0,14.0,,,0.0,,5.0,13.0,,,5.0,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Valour FC,etxxyk4izi97gchj7fo58ogd1,A. Jean-Baptiste,Defender,0,1.0,2.0,14.0,57.0,26.0,579.0,211.0,1.0,4.0,1.0,100.0,1448.0,18.0,33.0,70.0,1.0,34.0,,4.0,30.0,10.0,9.0,793.0,773.0,80.0,5.0,34.0,1.0,274.0,140.0,,2.0,,646.0,3.0,192.0,3.0,,1.0,15.0,663.0,5.0,87.0,46.0,1.0,1.0,23.0,25.0,2.0,274.0,2.0,982.0,19.0,11.0,471.0,19.0,1.0,84.0,80.0,18.0,8.0,,2.0,23.0,,17.0,13.0,8.0,2.0,5.0,43.0,12.0,12.0,130.0,7.0,24.0,10.0,1.0,0.0,0.0,,,,,,10.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
