liga,temporada,equipo,id,nombre,posicion,dorsal,Total Passes,Total Clearances,Offsides,Foul Attempted Tackle,Through balls,Unsuccessful Long Passes,Time Played,Starts,Duels,Index,Aerial Duels lost,Clean Sheets,Penalty Goals Conceded,Interceptions,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Total Shots,Unsuccessful Crosses open play,Total Fouls Conceded,Open Play Passes,Aerial Duels won,Throw Ins to Own Player,Blocks,Total Tackles,Successful Short Passes,Unsuccessful Passes Opposition Half,Recoveries,Games Played,Appearances,Unsuccessful Dribbles,PutThrough/Blocked Distribution,Ground Duels lost,Unsuccessful Passes Own Half,Successful Crosses & Corners,Unsuccessful Short Passes,Duels lost,Forward Passes,Ground Duels,Successful Passes Opposition Half,Goals Conceded Outside Box,Unsuccessful Launches,Backward Passes,Successful Long Passes,Rightside Passes,Duels won,Ground Duels won,Corners Won,Successful Crosses open play,Total Losses Of Possession,Shots On Target ( inc goals ),Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Substitute Off,Throw Ins to Opposition Player,Blocked Shots,Total Touches In Opposition Box,Successful Launches,Times Tackled,Total Fouls Won,Tackles Won,Successful Dribbles,Goals Conceded Inside Box,Successful Open Play Passes,Aerial Duels,Goals Conceded,Successful Passes Own Half,Key Passes (Attempt Assists),Successful Lay-offs,Unsuccessful Crosses & Corners,Touches,Winning Goal,Attempts from Set Pieces,Clearances Off the Line,Substitute On,Yellow Cards,Goals from Inside Box,Handballs conceded,Overruns,Penalties Taken,Left Foot Goals,Goal Assists,Goals,Right Foot Goals,Unsuccessful lay-offs,Penalty Goals,Assists (Intentional),Home Goals,Away Goals,Headed Goals,Successful Corners into Box,Unsuccessful Corners into Box,Corners Taken (incl short corners),GK Successful Distribution,Saves Made from Inside Box,Saves Made,Goalkeeper Smother,Saves Made from Outside Box,Saves made - parried,Drops,GK Unsuccessful Distribution,Goal Kicks,Punches,Catches,Goals from Outside Box,Hit Woodwork,Straight Red Cards,Total Red Cards,Foul Won Penalty,Set Pieces Goals,Second Goal Assists,Penalties Conceded,Saves made - caught,Penalties Faced,Last Player Tackle,Saves from Penalty,Penalties Saved,Red Cards - 2nd Yellow,Penalties Off Target,Own Goal Scored,Crosses not Claimed,Other Goals,Last Man Tackle
Mexico_Liga_MX,2022-2023,CF Monterrey,9xaps7t7xtt5x3grjpbgxtfit,R. Aguirre,Forward,29,235.0,11.0,11.0,4.0,3.0,4.0,1240.0,15.0,199.0,10.0,45.0,3.0,2.0,2.0,153.0,67.0,34.0,8.0,25.0,222.0,47.0,4.0,1.0,6.0,150.0,86.0,28.0,17.0,17.0,27.0,14.0,76.0,4.0,2.0,78.0,121.0,80.0,107.0,125.0,3.0,1.0,40.0,3.0,48.0,78.0,31.0,12.0,2.0,187.0,12.0,1.0,82.0,22.0,4.0,9.0,,13.0,65.0,1.0,50.0,12.0,5.0,13.0,8.0,140.0,92.0,11.0,30.0,20.0,5.0,8.0,482.0,1.0,1.0,,2.0,2.0,5.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,aevk7yjo0gjbppcpqeb0siead,É. Aguirre,Midfielder,14,323.0,26.0,,10.0,,36.0,975.0,12.0,99.0,10.0,13.0,4.0,2.0,31.0,237.0,66.0,4.0,24.0,17.0,319.0,11.0,89.0,1.0,35.0,207.0,91.0,59.0,15.0,15.0,5.0,15.0,32.0,19.0,12.0,50.0,45.0,139.0,75.0,138.0,4.0,20.0,59.0,30.0,59.0,54.0,43.0,2.0,12.0,140.0,,11.0,86.0,4.0,8.0,4.0,6.0,,6.0,7.0,9.0,6.0,24.0,2.0,10.0,233.0,24.0,14.0,111.0,14.0,,24.0,608.0,0.0,,,3.0,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,5e1an2e7bnk0269e1tvislv4l,E. Andrada,Goalkeeper,1,393.0,16.0,,,,97.0,1170.0,13.0,7.0,10.0,,8.0,2.0,,287.0,71.0,,,,256.0,6.0,1.0,,,204.0,90.0,122.0,13.0,13.0,,1.0,,16.0,,9.0,,237.0,1.0,61.0,1.0,31.0,,83.0,85.0,7.0,1.0,,,108.0,,,106.0,,,,,,,20.0,,2.0,,,9.0,204.0,6.0,10.0,226.0,,,,522.0,0.0,,,,3.0,,,,,,,,,,,,,,,,,,111.0,20.0,36.0,,15.0,8.0,2.0,29.0,81.0,9.0,10.0,,,,,,,,,,2.0,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,bfwr4kqbk0sqnlv8he4hyezft,G. Berterame,Forward,7,344.0,16.0,2.0,11.0,,6.0,1414.0,15.0,184.0,10.0,36.0,5.0,1.0,13.0,243.0,75.0,47.0,15.0,24.0,338.0,43.0,8.0,1.0,15.0,239.0,108.0,48.0,19.0,19.0,13.0,35.0,56.0,10.0,3.0,95.0,92.0,79.0,105.0,187.0,2.0,2.0,79.0,4.0,111.0,92.0,49.0,14.0,3.0,192.0,22.0,7.0,101.0,25.0,13.0,6.0,,11.0,75.0,,28.0,19.0,8.0,15.0,6.0,237.0,79.0,8.0,59.0,21.0,4.0,17.0,621.0,3.0,,,4.0,1.0,5.0,3.0,1.0,,2.0,1.0,6.0,3.0,1.0,,1.0,4.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,eycdwe8plhkcxgo1bjyq4q6sp,J. Cortizo,Midfielder,19,584.0,8.0,,14.0,5.0,17.0,1439.0,18.0,256.0,10.0,24.0,,1.0,14.0,474.0,207.0,23.0,9.0,21.0,580.0,7.0,3.0,,39.0,451.0,104.0,102.0,20.0,20.0,31.0,26.0,107.0,15.0,4.0,93.0,131.0,165.0,225.0,315.0,4.0,8.0,97.0,23.0,115.0,125.0,118.0,11.0,3.0,238.0,12.0,15.0,110.0,11.0,8.0,15.0,1.0,7.0,55.0,2.0,59.0,38.0,24.0,41.0,21.0,471.0,31.0,25.0,163.0,16.0,1.0,9.0,934.0,0.0,,,2.0,4.0,3.0,,5.0,,4.0,3.0,5.0,1.0,2.0,,2.0,4.0,1.0,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,7868bje3gt1j3zhtps28oluc5,L. Cárdenas,Goalkeeper,22,246.0,9.0,,,,71.0,720.0,8.0,5.0,10.0,,3.0,2.0,,174.0,47.0,,,,144.0,1.0,,,,100.0,65.0,64.0,8.0,8.0,,1.0,1.0,7.0,,1.0,1.0,162.0,4.0,47.0,3.0,18.0,,74.0,37.0,4.0,3.0,,,74.0,,,72.0,,1.0,,,,,6.0,1.0,2.0,,1.0,6.0,110.0,1.0,9.0,127.0,,,,313.0,0.0,,,,,,,,,,,,,,,,,,,,,,62.0,12.0,23.0,,11.0,7.0,,23.0,60.0,5.0,4.0,,,,,,,,,2.0,2.0,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,12fkwhjtu3w5l6lo64dkxn74l,R. Funes Mori,Forward,7,211.0,12.0,12.0,5.0,1.0,8.0,882.0,9.0,113.0,10.0,31.0,3.0,3.0,3.0,151.0,45.0,40.0,1.0,13.0,193.0,28.0,1.0,1.0,2.0,147.0,46.0,24.0,13.0,13.0,10.0,11.0,38.0,15.0,2.0,52.0,69.0,42.0,54.0,105.0,3.0,2.0,46.0,4.0,78.0,44.0,16.0,12.0,2.0,113.0,22.0,2.0,60.0,18.0,5.0,3.0,,3.0,54.0,,26.0,11.0,,3.0,7.0,133.0,59.0,10.0,48.0,9.0,8.0,1.0,370.0,2.0,,,4.0,1.0,5.0,1.0,1.0,4.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,306gjy5xp2u15gh9qwrek551x,J. Gallardo,Defender,17,420.0,20.0,1.0,10.0,1.0,45.0,1196.0,12.0,121.0,10.0,11.0,6.0,3.0,19.0,302.0,19.0,16.0,22.0,20.0,412.0,24.0,71.0,1.0,30.0,273.0,107.0,72.0,20.0,20.0,8.0,19.0,38.0,35.0,5.0,73.0,49.0,150.0,86.0,173.0,1.0,29.0,76.0,29.0,175.0,72.0,48.0,5.0,3.0,197.0,8.0,9.0,118.0,8.0,9.0,2.0,19.0,2.0,33.0,6.0,10.0,9.0,21.0,9.0,11.0,295.0,35.0,12.0,134.0,21.0,1.0,24.0,715.0,1.0,,,8.0,4.0,5.0,2.0,3.0,,3.0,,5.0,1.0,,,,3.0,2.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,dj0mnh206bmg6g2980038frp,A. González,Forward,20,521.0,8.0,6.0,9.0,3.0,17.0,1341.0,15.0,162.0,10.0,22.0,2.0,2.0,11.0,414.0,125.0,31.0,15.0,16.0,506.0,14.0,3.0,3.0,26.0,379.0,140.0,94.0,21.0,21.0,20.0,33.0,71.0,20.0,21.0,90.0,93.0,154.0,126.0,311.0,4.0,8.0,112.0,35.0,130.0,69.0,55.0,14.0,2.0,258.0,20.0,10.0,107.0,11.0,18.0,12.0,,9.0,39.0,3.0,46.0,19.0,16.0,10.0,9.0,401.0,36.0,13.0,124.0,38.0,4.0,53.0,856.0,2.0,3.0,,6.0,2.0,3.0,3.0,4.0,,2.0,7.0,4.0,1.0,1.0,,5.0,3.0,1.0,1.0,16.0,31.0,51.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Monterrey,8hvgcyrjla6crn2toiqflxn85,H. González,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
