liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Games Played,Index,Substitute On,Time Played,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Assists (Intentional),Backward Passes,Blocks,Carries,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Clean Sheets,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Overruns,Shots On Target ( inc goals ),Successful Launches,Through balls,Total Big Chances Scored,Home Goals,Away Goals,Blocked Shots,Goals from Outside Box,Handballs conceded,Hit Woodwork,Left Foot Goals,Offsides,Penalties Taken,Penalty Goals,Right Foot Goals,Successful Lay-offs,Unsuccessful lay-offs,Catches,Drops,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Goalkeeper Smother,Last Player Tackle,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Second Goal Assists,Attempts from Set Pieces,Set Pieces Goals,Penalties Conceded,Clearances Off the Line,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Foul Won Penalty,Crosses not Claimed,Direct Setpiece Goals,Penalties Off Target,Own Goal Scored,Penalties Saved,Saves from Penalty
USA_USL_Championship,2025,New Mexico United,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,Forward,11,31.0,31.0,10.0,3.0,2448.0,1.0,14.0,12.0,2.0,5.0,246.0,,343.0,53.0,13.0,249.0,140.0,109.0,193.0,189.0,19.0,6.0,40.0,36.0,4.0,235.0,128.0,107.0,5.0,41.0,276.0,736.0,5.0,177.0,24.0,12.0,78.0,55.0,17.0,28.0,12.0,15.0,25.0,8.0,31.0,21.0,590.0,458.0,184.0,596.0,8.0,18.0,2.0,16.0,68.0,7.0,6.0,11.0,30.0,50.0,355.0,766.0,34.0,617.0,26.0,110.0,149.0,1233.0,23.0,63.0,25.0,36.0,2.0,14.0,189.0,23.0,135.0,4.0,4.0,5.0,5.0,5.0,,5.0,17.0,,3.0,3.0,4.0,1.0,13.0,,1.0,,3.0,8.0,,,2.0,26.0,1.0,,,,,,,,,,,,,,,1.0,4.0,,1.0,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,New Mexico United,1iyhipdn84for8bbxb07kw4x5,T. Amang,Forward,23,19.0,19.0,10.0,12.0,637.0,1.0,34.0,14.0,20.0,1.0,22.0,1.0,30.0,,7.0,103.0,54.0,49.0,23.0,22.0,4.0,1.0,9.0,7.0,2.0,69.0,40.0,29.0,,5.0,11.0,80.0,1.0,16.0,3.0,1.0,11.0,34.0,12.0,7.0,7.0,,1.0,1.0,2.0,2.0,60.0,48.0,22.0,67.0,3.0,2.0,,,14.0,2.0,4.0,9.0,22.0,22.0,61.0,89.0,15.0,69.0,5.0,32.0,20.0,208.0,,2.0,2.0,5.0,,,17.0,5.0,20.0,1.0,,2.0,2.0,2.0,,,3.0,,,2.0,2.0,0.0,5.0,,,1.0,1.0,7.0,,,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,New Mexico United,19addig7dyotjybbwgbjkft2h,L. Archimède,Forward,29,16.0,16.0,10.0,16.0,352.0,1.0,32.0,22.0,10.0,,11.0,,18.0,,2.0,72.0,49.0,23.0,44.0,13.0,4.0,,7.0,7.0,,40.0,27.0,13.0,1.0,3.0,9.0,33.0,,10.0,6.0,4.0,7.0,9.0,6.0,,,,1.0,1.0,2.0,1.0,14.0,16.0,8.0,22.0,,2.0,,1.0,8.0,,2.0,,20.0,9.0,42.0,42.0,9.0,23.0,2.0,15.0,19.0,103.0,,1.0,1.0,5.0,1.0,1.0,18.0,2.0,18.0,2.0,,2.0,2.0,1.0,1.0,,3.0,,,2.0,0.0,2.0,1.0,1.0,,,,6.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,New Mexico United,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,Midfielder,19,28.0,28.0,10.0,1.0,2244.0,1.0,29.0,21.0,8.0,,230.0,2.0,284.0,10.0,5.0,188.0,107.0,81.0,121.0,276.0,17.0,1.0,34.0,31.0,3.0,159.0,86.0,73.0,15.0,21.0,269.0,1026.0,5.0,126.0,31.0,15.0,70.0,279.0,10.0,27.0,12.0,4.0,8.0,3.0,17.0,38.0,897.0,518.0,411.0,883.0,13.0,18.0,7.0,22.0,36.0,6.0,1.0,21.0,35.0,25.0,243.0,1054.0,16.0,921.0,31.0,28.0,133.0,1383.0,3.0,17.0,9.0,16.0,17.0,40.0,117.0,33.0,93.0,4.0,7.0,2.0,2.0,1.0,,4.0,6.0,3.0,5.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,,,,,2.0,29.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2025,New Mexico United,g31cspu8sa8eohwakxm28ne2,D. Bruce,Forward,25,11.0,11.0,10.0,10.0,195.0,0.0,3.0,3.0,,1.0,15.0,,15.0,,2.0,26.0,17.0,9.0,,4.0,3.0,1.0,4.0,4.0,,23.0,14.0,9.0,,2.0,8.0,29.0,,6.0,1.0,,4.0,7.0,,1.0,1.0,,,,2.0,,25.0,21.0,9.0,30.0,2.0,2.0,,,6.0,1.0,,,7.0,3.0,17.0,34.0,3.0,30.0,4.0,11.0,4.0,65.0,,2.0,2.0,1.0,,,6.0,,4.0,3.0,,,,,,,3.0,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,New Mexico United,92e2s4yfk06ym5ksu9p8lgc2c,J. DuBois,Defender,47,1.0,1.0,10.0,1.0,12.0,0.0,1.0,1.0,,,5.0,,7.0,,,2.0,2.0,,,4.0,,,1.0,1.0,,1.0,1.0,,,,5.0,15.0,,6.0,,,,1.0,,,,,,,,2.0,14.0,8.0,6.0,12.0,,,,2.0,1.0,,,,,,2.0,15.0,,14.0,,,1.0,18.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,New Mexico United,5i0d3n5jzz85wi8p2sfajdbf8,R. Ford,Defender,18,3.0,3.0,10.0,3.0,8.0,0.0,,,,,1.0,,2.0,,,3.0,2.0,1.0,,3.0,1.0,,,,,3.0,2.0,1.0,,,1.0,8.0,,,,,,3.0,,,,,,,,,6.0,2.0,4.0,6.0,1.0,,,,,,,,1.0,,4.0,8.0,,6.0,1.0,,2.0,12.0,,1.0,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,New Mexico United,3nvijn3ctkplajtt1dd23wycp,M. Gaines,Forward,10,21.0,21.0,10.0,13.0,808.0,0.0,20.0,12.0,8.0,2.0,70.0,3.0,108.0,1.0,11.0,98.0,61.0,37.0,37.0,29.0,4.0,3.0,8.0,8.0,,78.0,49.0,29.0,1.0,5.0,33.0,160.0,1.0,71.0,17.0,6.0,25.0,33.0,7.0,8.0,8.0,,4.0,4.0,11.0,2.0,129.0,93.0,45.0,132.0,2.0,4.0,,1.0,33.0,2.0,3.0,3.0,9.0,12.0,109.0,165.0,14.0,134.0,6.0,37.0,31.0,326.0,,19.0,19.0,25.0,1.0,2.0,43.0,7.0,29.0,3.0,,2.0,1.0,2.0,,5.0,7.0,,1.0,1.0,1.0,1.0,4.0,,1.0,,1.0,5.0,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,New Mexico United,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,Defender,3,29.0,29.0,10.0,4.0,2149.0,1.0,62.0,29.0,33.0,,327.0,5.0,316.0,2.0,18.0,202.0,97.0,105.0,149.0,416.0,16.0,,38.0,33.0,5.0,140.0,68.0,72.0,22.0,13.0,34.0,1207.0,5.0,173.0,36.0,18.0,84.0,457.0,2.0,25.0,9.0,,3.0,2.0,13.0,57.0,1022.0,476.0,576.0,992.0,13.0,26.0,43.0,161.0,26.0,,,69.0,29.0,22.0,328.0,1234.0,6.0,1049.0,39.0,30.0,185.0,1779.0,1.0,36.0,35.0,14.0,38.0,80.0,163.0,58.0,105.0,9.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,9.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,New Mexico United,3otdvwigq612wydhv0hhjhyp5,D. Harris,Midfielder,5,18.0,18.0,10.0,5.0,1097.0,1.0,9.0,6.0,3.0,4.0,91.0,,188.0,21.0,14.0,110.0,57.0,53.0,217.0,53.0,3.0,4.0,16.0,14.0,2.0,101.0,51.0,50.0,4.0,19.0,46.0,272.0,2.0,91.0,16.0,8.0,40.0,92.0,5.0,13.0,10.0,7.0,9.0,3.0,28.0,11.0,207.0,167.0,58.0,205.0,3.0,6.0,,11.0,30.0,4.0,,6.0,14.0,14.0,165.0,282.0,9.0,216.0,9.0,38.0,66.0,508.0,10.0,42.0,31.0,19.0,6.0,17.0,97.0,11.0,49.0,2.0,1.0,2.0,2.0,1.0,,4.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,4.0,,,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
