liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals Conceded,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Starts,Total Tackles,Rightside Passes,Time Played,Unsuccessful Long Passes,Times Tackled,Ground Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Losses Of Possession,Unsuccessful Short Passes,Goals Conceded Outside Box,Unsuccessful Passes Opposition Half,Tackles Lost,Tackles Won,Clean Sheets,Aerial Duels,Foul Attempted Tackle,Recoveries,Goals Conceded Inside Box,Total Passes,Successful Open Play Passes,Open Play Passes,Duels lost,Unsuccessful Passes Own Half,Interceptions,Touches,Aerial Duels won,Total Clearances,Ground Duels,Duels,Backward Passes,Successful Long Passes,Ground Duels lost,Forward Passes,Appearances,Index,Duels won,Successful Passes Own Half,Successful Short Passes,Key Passes (Attempt Assists),Leftside Passes,Blocks,Successful Passes Opposition Half,Home Goals,Away Goals,Winning Goal,Throw Ins to Own Player,Unsuccessful Launches,Unsuccessful Crosses open play,Substitute Off,Throw Ins to Opposition Player,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Substitute On,Total Shots,Unsuccessful Dribbles,Total Fouls Won,Aerial Duels lost,Successful Dribbles,Handballs conceded,Blocked Shots,Shots Off Target (inc woodwork),Successful Launches,Unsuccessful lay-offs,Successful Lay-offs,Offsides,Yellow Cards,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Total Touches In Opposition Box,Saves made - parried,Punches,Goals from Inside Box,Attempts from Set Pieces,Assists (Intentional),Right Foot Goals,Corners Won,Penalty Goals,Penalties Taken,Shots On Target ( inc goals ),Goal Assists,Successful Crosses & Corners,Goals,Successful Crosses open play,Goalkeeper Smother,Saves Made from Outside Box,Total Red Cards,Straight Red Cards,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Through balls,Second Goal Assists,Drops,Hit Woodwork,Left Foot Goals,Clearances Off the Line,Own Goal Scored,Headed Goals,Saves made - caught,Catches,Penalty Goals Conceded,Goals from Outside Box,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Foul Won Penalty,Set Pieces Goals,Other Goals
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,1l6i2bcz1rgvkgo3dtxe9yrjd,T. Endoh,Midfielder,31,2,,1,22,,1,2,68,1,,2,3,8,2,,4,1,,,,,3,,25,22,25,1,1,1,38,,,3,3,8,1,1,6,2,37,2,6,21,,9,,16,0,0,0,1,,2,,,,2,2,2,1,,1,,,1,2,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,5y8srw7hc5nlu0efcq710if3d,L. Fraser,Midfielder,27,1,,,5,,1,3,15,1,,1,4,4,3,,4,,1,,1,,1,,9,5,9,1,,,14,,1,1,2,,,,4,1,52,1,1,5,,2,,4,0,0,0,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,66bp8iuiiz4mskcookp1ew5at,E. Gallardo,Forward,9,1,,,3,,1,,30,,2,1,3,7,3,,4,,1,,1,,2,,6,3,6,2,1,,12,1,,3,4,,,2,4,1,15,2,,3,,2,,3,0,0,0,,,2,1,,,,2,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,5ywmuj75fpflsqyne41dsgpg5,O. González,Defender,44,4,6,8,96,4,1,18,360,17,1,4,41,43,24,3,31,,1,,18,2,15,3,137,91,130,12,11,9,186,16,23,14,32,9,11,10,80,4,42,20,57,85,,30,3,39,0,0,0,,7,1,,,2,3,1,,2,,3,2,,,,1,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,4vrd6vji126bw8l1q6wxe0cfd,R. Laryea,Midfielder,22,3,3,6,46,3,7,8,270,2,9,19,17,37,15,2,12,2,5,,6,2,13,1,63,45,62,17,6,3,133,5,5,35,41,10,2,16,24,3,40,24,20,44,,21,,26,0,0,0,16,2,1,,3,1,3,1,,2,4,9,1,3,,,,,,1,1,3,,,,,7,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,9qshi2dind1f6unpfneiuj14a,J. Marshall-Rutty,Forward,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,a15hw8b954xv3x2rvui23hed,C. Mavinga,Defender,23,1,1,1,15,1,,5,45,,,1,2,3,2,1,,,,,3,1,2,,17,14,16,2,2,,21,3,2,3,6,4,,2,5,1,22,4,8,15,,3,,7,0,0,0,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,b7xpyb832znharyanthhks91x,J. Morrow,Defender,2,3,5,1,70,2,6,38,204,6,1,10,23,32,17,2,20,2,4,,13,1,11,3,93,67,90,9,5,1,137,7,3,13,26,13,4,3,38,3,95,17,43,66,1,4,2,28,1,0,1,10,4,2,,3,1,2,2,1,2,1,3,6,1,,,,,,,,,,,,,4,,,1,,,,1,,,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,80r2a3jnvy8ekbl3ojskctjo5,P. Mullins,Forward,13,4,,4,16,1,1,5,139,,4,4,8,19,8,,10,1,,,4,4,4,,24,15,23,12,,,42,1,1,13,17,7,1,9,7,4,50,5,7,15,,5,,9,1,0,0,,,2,1,,,,2,3,1,2,2,3,1,,,,,,,,,,,,,3,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,6ahu72g0u39bxbjiz7ggefai1,N. Okello,Midfielder,14,3,1,5,34,2,,10,133,1,1,3,13,19,12,1,12,,,,6,3,8,,47,34,47,7,1,1,62,4,1,8,14,7,1,5,16,3,34,7,12,33,2,14,,22,0,0,0,,,,2,,1,1,,1,3,,,2,3,1,,1,,,,2,,,,,,6,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,a31s7t25qa1llzl3v79x2iimt,J. Osorio,Midfielder,21,2,4,1,27,2,,8,104,,,2,3,11,3,2,3,,,,2,,3,2,30,27,30,3,,,48,,2,3,5,9,,1,8,2,60,2,5,27,,5,1,22,1,0,0,,,,2,,,,,,2,,2,2,,,1,,,,,,,,,,,4,,,1,,,1,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,9rgkh8j5l8n0ld96ojr47xy7e,J. Perruzza,Forward,77,1,1,1,10,,,3,30,,,2,1,4,1,,1,,,,2,1,,1,11,10,11,3,,,16,,,3,5,6,,1,1,1,31,2,2,10,,1,,8,0,0,0,,,,,,,,,1,,,,2,2,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,34wufspo6zerdhewo82hbszmy,R. Priso,Midfielder,97,4,4,5,87,3,6,42,225,6,,11,18,25,12,2,11,2,4,,4,3,19,2,105,86,103,11,7,5,135,1,2,19,23,11,3,8,36,4,22,12,38,84,2,16,,49,0,0,0,,2,,3,,1,2,,1,1,,4,3,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,aoc7sahlaysl1n9d4nfawfy3u,J. Shaffelburg,Forward,24,4,5,6,22,4,3,17,282,2,6,13,15,48,13,3,28,1,2,,2,3,9,2,37,22,37,21,2,2,100,1,1,33,35,7,1,20,9,4,20,14,5,21,2,4,,20,0,0,0,3,,15,4,,2,6,15,,1,4,4,1,6,,1,,,,,1,,,,,,7,,,,,1,,3,,,1,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,feqod2mzdkg21nw9tzylpnmx,K. Silva,Goalkeeper,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,8vi59v87nnquzkbk79kzegmzu,L. Singh,Defender,26,2,1,1,14,1,,5,93,4,,,7,7,3,,5,,,,2,,2,1,21,14,21,3,2,1,32,,8,1,3,1,2,1,12,2,100,,11,12,,3,1,3,0,0,0,,2,,,,,,,1,1,,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,9tjcmlv9ysfk398c6siwd04ph,Q. Westberg,Goalkeeper,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,45vy8s9kzx0k094lg2cicj1zp,E. Zavaleta,Defender,3,2,4,3,54,2,3,18,180,8,,5,19,21,11,2,10,,3,,7,1,11,2,73,50,69,7,9,3,99,5,11,10,17,3,5,5,37,2,29,10,41,49,,15,2,13,0,0,0,,5,,,,1,1,,,,,2,2,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Toronto FC,45ovlkdfdnizixhst51gto0d1,Auro,Defender,96,4,5,3,105,3,13,35,315,6,2,19,34,47,28,2,28,4,9,,6,3,28,3,139,102,133,9,11,5,230,2,4,24,30,20,4,5,59,4,42,21,48,101,,25,4,57,0,0,0,37,2,5,,3,3,9,5,1,,2,3,4,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
