liga,temporada,equipo,id,nombre,posicion,dorsal,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Starts,Recoveries,Successful Corners into Box,Tackles Won,Successful Passes Own Half,Aerial Duels lost,Aerial Duels,Right Foot Goals,Unsuccessful Crosses & Corners,Goals from Outside Box,Leftside Passes,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Fifty Fifty,PutThrough/Blocked Distribution,Assists (Intentional),Total Unsuccessful Passes ( Excl Crosses & Corners ),Second Goal Assists,Open Play Passes,Blocked Shots,Successful Short Passes,Ground Duels lost,Clean Sheets,Time Played,Duels,Throw Ins to Own Player,Total Fouls Conceded,Goal Assists,Total Fouls Won,Corners Won,Handballs conceded,Unsuccessful lay-offs,Unsuccessful Passes Own Half,Rightside Passes,Total Tackles,Total Clearances,Unsuccessful Dribbles,Unsuccessful Corners into Box,Successful Passes Opposition Half,Appearances,Corners Taken (incl short corners),Successful Dribbles,Hit Woodwork,Goals Conceded Inside Box,Forward Passes,Aerial Duels won,Straight Red Cards,Key Passes (Attempt Assists),Goals,Total Touches In Opposition Box,Times Tackled,Index,Penalty Goals Conceded,Goals Conceded,Goals Conceded Outside Box,Unsuccessful Long Passes,Successful Crosses & Corners,Substitute Off,Total Red Cards,Unsuccessful Launches,Successful Long Passes,Successful Crosses open play,Goals from Inside Box,Attempts from Set Pieces,Successful Lay-offs,Touches,Tackles Lost,Yellow Cards,Substitute On,Interceptions,PutThrough/Blocked Distribution Won,Backward Passes,Ground Duels won,Successful Open Play Passes,Ground Duels,Duels lost,Unsuccessful Crosses open play,Games Played,Through balls,Total Losses Of Possession,Fifty Fifty,Duels won,Total Passes,Total Shots,Foul Attempted Tackle,Shots On Target ( inc goals ),Home Goals,Away Goals,Winning Goal,Blocks,Successful Launches,GK Successful Distribution,Clearances Off the Line,Offsides,Left Foot Goals,Throw Ins to Opposition Player,Headed Goals,GK Unsuccessful Distribution,Last Man Tackle,Saves Made from Outside Box,Drops,Penalties Faced,Penalties Conceded,Saves Made,Punches,Saves made - parried,Catches,Saves Made from Inside Box,Goalkeeper Smother,Saves made - caught,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Penalties Saved,Saves from Penalty,Goal Kicks,Overruns,Last Player Tackle,Goals Openplay,Penalties Off Target,Other Goals,Carries,Progressive Carries,Final Third Touches,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved
USA_MLS,2022,New England Revolution,d6pdees4dyeloza4ya3jqd5d6,H. Kessler,Defender,4,5.0,61.0,21.0,127.0,,15.0,824.0,35.0,87.0,,3.0,,311.0,68.0,1060.0,16.0,16.0,,112.0,,1145.0,3.0,993.0,18.0,7.0,1845.0,145.0,7.0,15.0,,16.0,,1.0,,47.0,432.0,21.0,85.0,,,236.0,22.0,,3.0,,23.0,377.0,52.0,,,1.0,17.0,,77.0,5.0,25.0,2.0,51.0,,2.0,,24.0,67.0,,1.0,,,1403.0,6.0,5.0,1.0,16.0,11.0,52.0,40.0,1036.0,58.0,53.0,3.0,22.0,,124.0,27.0,92.0,1172.0,7.0,3.0,2.0,0.0,1.0,0.0,18.0,10.0,,1.0,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,4efsrv7sl4vxr84bqexgyuh91,B. Knighton,Goalkeeper,18,,,4.0,33.0,,,48.0,,1.0,,,,13.0,16.0,55.0,,,,16.0,,37.0,,46.0,,,360.0,1.0,,,,,,,,,14.0,,,,,7.0,4.0,,,,7.0,44.0,1.0,,,,,,40.0,,8.0,1.0,16.0,,,,7.0,9.0,,,,,113.0,,,,,,,,33.0,,,,4.0,,18.0,,1.0,71.0,,,,,,0.0,,5.0,40.0,,,,,,6.0,,8.0,1.0,,,13.0,,5.0,3.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,7shrs6664saem601vmahjw7h1,S. Lletget,Midfielder,17,10.0,116.0,29.0,114.0,,22.0,384.0,38.0,66.0,2.0,39.0,1.0,264.0,144.0,946.0,27.0,38.0,6.0,136.0,2.0,1072.0,11.0,909.0,87.0,2.0,2366.0,225.0,5.0,25.0,8.0,25.0,16.0,3.0,1.0,31.0,237.0,33.0,25.0,17.0,,567.0,31.0,,15.0,2.0,32.0,315.0,28.0,,20.0,3.0,77.0,45.0,89.0,4.0,38.0,6.0,20.0,5.0,18.0,,7.0,37.0,5.0,2.0,,21.0,1453.0,11.0,2.0,2.0,16.0,18.0,266.0,72.0,936.0,159.0,125.0,37.0,31.0,1.0,273.0,64.0,100.0,1082.0,27.0,14.0,17.0,1.0,2.0,0.0,4.0,3.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,5adul4r3hifu5x4tv8efr05ey,Maciel,Midfielder,13,1.0,26.0,7.0,44.0,,13.0,169.0,8.0,16.0,,4.0,,90.0,24.0,317.0,10.0,13.0,,32.0,,346.0,1.0,290.0,38.0,,681.0,78.0,,12.0,1.0,2.0,,,,12.0,107.0,18.0,9.0,2.0,,148.0,16.0,,4.0,,12.0,102.0,8.0,,3.0,,1.0,9.0,20.0,2.0,12.0,,6.0,,6.0,,1.0,27.0,,,,2.0,461.0,5.0,,9.0,14.0,11.0,50.0,24.0,314.0,62.0,46.0,4.0,16.0,1.0,57.0,18.0,32.0,349.0,1.0,9.0,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,dyqr2z4r3oilkvxc95dmxm609,C. Makoun,Defender,6,7.0,43.0,11.0,79.0,,14.0,473.0,15.0,26.0,,4.0,,188.0,62.0,620.0,16.0,15.0,,99.0,,681.0,1.0,576.0,25.0,,1228.0,74.0,6.0,17.0,,4.0,2.0,,,41.0,270.0,17.0,55.0,1.0,,147.0,21.0,,2.0,,22.0,186.0,11.0,,1.0,,6.0,4.0,28.0,6.0,25.0,3.0,56.0,,3.0,,28.0,44.0,,,,,894.0,3.0,3.0,10.0,17.0,7.0,75.0,23.0,586.0,48.0,40.0,4.0,21.0,,116.0,30.0,34.0,719.0,9.0,8.0,2.0,,,0.0,16.0,7.0,20.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,5vt3tmawbb1c87csuukwtr9at,T. McNamara,Midfielder,26,8.0,115.0,30.0,131.0,,33.0,520.0,15.0,30.0,3.0,10.0,,283.0,124.0,977.0,40.0,39.0,2.0,155.0,2.0,1110.0,3.0,911.0,84.0,4.0,2488.0,208.0,21.0,45.0,3.0,25.0,7.0,2.0,,41.0,312.0,61.0,45.0,5.0,,460.0,33.0,,8.0,2.0,32.0,332.0,15.0,,9.0,4.0,33.0,27.0,45.0,7.0,38.0,6.0,40.0,3.0,16.0,,22.0,66.0,3.0,4.0,,20.0,1497.0,28.0,8.0,3.0,20.0,17.0,205.0,94.0,955.0,178.0,99.0,10.0,33.0,,222.0,76.0,109.0,1132.0,20.0,33.0,12.0,1.0,3.0,1.0,13.0,12.0,,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,bcfzovs0pj9urgv9r0ykjnlrd,Đ. Petrović,Goalkeeper,99,,2.0,21.0,185.0,,1.0,296.0,,5.0,,,,99.0,176.0,338.0,,,,194.0,,302.0,,260.0,1.0,7.0,1890.0,8.0,,,,1.0,,,,18.0,115.0,1.0,18.0,,,42.0,21.0,,,,24.0,318.0,5.0,,,,,,76.0,8.0,27.0,3.0,192.0,,,,70.0,78.0,,,,,795.0,,,,,,,2.0,203.0,3.0,1.0,,21.0,,198.0,,7.0,532.0,,,,,,0.0,,9.0,241.0,,,,,,64.0,,31.0,,12.0,,85.0,10.0,29.0,24.0,53.0,3.0,5.0,,,,,,,1.0,4.0,4.0,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,4tz0a34w3gb0xozcyjj0wylex,M. Polster,Midfielder,8,7.0,121.0,24.0,156.0,,29.0,687.0,18.0,46.0,2.0,6.0,,468.0,101.0,1267.0,41.0,39.0,,158.0,2.0,1410.0,2.0,1176.0,82.0,6.0,2115.0,212.0,5.0,38.0,,17.0,7.0,,,63.0,400.0,56.0,23.0,6.0,,581.0,28.0,,11.0,,31.0,380.0,28.0,,11.0,2.0,30.0,22.0,100.0,4.0,37.0,6.0,37.0,1.0,4.0,,12.0,91.0,1.0,2.0,,12.0,1711.0,27.0,6.0,4.0,38.0,15.0,177.0,84.0,1254.0,166.0,100.0,6.0,28.0,,214.0,64.0,112.0,1425.0,15.0,28.0,8.0,1.0,1.0,2.0,11.0,4.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,j4mqmt0lccgzq4nf87ljkoyy,J. Rennicks,Forward,12,5.0,26.0,11.0,21.0,,2.0,31.0,19.0,23.0,2.0,5.0,,19.0,30.0,76.0,13.0,8.0,,27.0,,94.0,2.0,74.0,37.0,,785.0,87.0,,17.0,,16.0,1.0,1.0,1.0,2.0,25.0,8.0,3.0,9.0,,46.0,17.0,,3.0,,12.0,19.0,4.0,,4.0,2.0,36.0,20.0,75.0,1.0,13.0,1.0,1.0,1.0,11.0,,1.0,2.0,1.0,2.0,,,221.0,6.0,,6.0,2.0,4.0,40.0,27.0,67.0,64.0,56.0,5.0,17.0,1.0,79.0,27.0,31.0,103.0,10.0,7.0,5.0,0.0,2.0,0.0,2.0,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,bzcplrxaw539yyqc630ds41uy,B. Reveno,Defender,77,,,,2.0,,,3.0,,1.0,,,,,,3.0,,,,,,3.0,,2.0,,,1.0,1.0,,,,,,,,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,100.0,,,,,,,,,1.0,,,,,5.0,,,1.0,,,,,3.0,,,,1.0,,,,1.0,3.0,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,2lpjr3oys0s0u2pnhut8epqwa,D. Rivera,Midfielder,72,2.0,15.0,4.0,19.0,,5.0,32.0,8.0,12.0,,9.0,,21.0,24.0,108.0,5.0,13.0,,19.0,,124.0,2.0,104.0,18.0,,412.0,47.0,1.0,4.0,,5.0,5.0,,,4.0,41.0,9.0,4.0,3.0,,79.0,13.0,1.0,3.0,1.0,7.0,25.0,4.0,,4.0,1.0,22.0,9.0,48.0,1.0,7.0,,4.0,3.0,4.0,,2.0,4.0,3.0,1.0,,1.0,215.0,4.0,1.0,9.0,3.0,8.0,40.0,17.0,105.0,35.0,26.0,9.0,13.0,1.0,49.0,8.0,21.0,127.0,5.0,2.0,3.0,1.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,cc7jk41tn9qi5px4pb9l4bn8q,R. Spaulding,Defender,34,,23.0,3.0,28.0,,3.0,37.0,2.0,6.0,,8.0,,7.0,26.0,103.0,3.0,13.0,,31.0,,132.0,2.0,96.0,9.0,,260.0,30.0,18.0,3.0,,7.0,2.0,,,13.0,47.0,5.0,5.0,2.0,,67.0,7.0,,3.0,,6.0,56.0,4.0,,,,9.0,4.0,21.0,1.0,6.0,,8.0,1.0,2.0,,4.0,7.0,1.0,,,,210.0,2.0,,4.0,3.0,4.0,24.0,15.0,101.0,24.0,11.0,8.0,7.0,,53.0,5.0,19.0,134.0,,2.0,,,,0.0,1.0,3.0,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,9d08simhpio6vi217mqtro6ad,A. Traustason,Midfielder,25,7.0,19.0,5.0,25.0,,2.0,52.0,12.0,19.0,,11.0,,41.0,33.0,135.0,6.0,3.0,,29.0,1.0,163.0,4.0,131.0,26.0,,492.0,58.0,2.0,7.0,,4.0,7.0,,,7.0,32.0,5.0,3.0,4.0,1.0,88.0,15.0,2.0,4.0,,5.0,44.0,7.0,,10.0,,16.0,13.0,22.0,1.0,5.0,,10.0,5.0,5.0,,4.0,4.0,5.0,,,1.0,257.0,3.0,1.0,10.0,3.0,2.0,47.0,13.0,134.0,39.0,38.0,10.0,15.0,,72.0,13.0,20.0,164.0,10.0,2.0,3.0,,,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,hwcrfg4h2ystqbd11qlmj015,M. Turner,Goalkeeper,30,,,5.0,35.0,,,99.0,,1.0,,,,43.0,17.0,111.0,,,,28.0,,104.0,,82.0,,1.0,450.0,1.0,,,,,,,,11.0,38.0,,1.0,,,12.0,5.0,,,,6.0,58.0,1.0,,,,,,25.0,,7.0,1.0,28.0,,,,12.0,29.0,,,,,179.0,,,,,,,,85.0,,,,5.0,,28.0,,1.0,139.0,,,,,,0.0,,4.0,51.0,,,,,,4.0,,3.0,,,,8.0,1.0,1.0,3.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,New England Revolution,8x0tfplff9e3042uewyhkoa1,G. Vrioni,Forward,9,4.0,14.0,2.0,6.0,,1.0,10.0,11.0,13.0,,,,14.0,15.0,26.0,3.0,7.0,,15.0,,38.0,2.0,25.0,14.0,,248.0,36.0,,8.0,,7.0,1.0,,,,8.0,1.0,1.0,3.0,,16.0,7.0,,1.0,,1.0,8.0,2.0,,,1.0,21.0,6.0,14.0,,2.0,1.0,1.0,,2.0,,,1.0,,1.0,,,88.0,,1.0,5.0,1.0,4.0,11.0,9.0,23.0,23.0,25.0,,7.0,,26.0,9.0,11.0,41.0,8.0,2.0,4.0,1.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
