liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Unsuccessful Crosses open play,Total Losses Of Possession,Duels lost,Forward Passes,Total Touches In Opposition Box,Goals Conceded Inside Box,Aerial Duels,Successful Passes Opposition Half,Rightside Passes,Touches,Unsuccessful Crosses & Corners,Leftside Passes,Tackles Lost,Duels,Backward Passes,Total Fouls Won,PutThrough/Blocked Distribution,Successful Short Passes,Unsuccessful Passes Opposition Half,Throw Ins to Own Player,Unsuccessful Passes Own Half,Unsuccessful Long Passes,Total Fouls Conceded,Substitute Off,Games Played,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Unsuccessful Short Passes,Ground Duels,Open Play Passes,Index,Successful Long Passes,Recoveries,Successful Passes Own Half,Yellow Cards,Aerial Duels lost,Appearances,Total Passes,Starts,Time Played,Successful Open Play Passes,Duels won,Total Tackles,Goals Conceded,Aerial Duels won,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Blocks,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Substitute On,Unsuccessful Corners into Box,Successful Dribbles,Total Shots,Times Tackled,Shots On Target ( inc goals ),Own Goal Scored,Foul Attempted Tackle,Interceptions,Unsuccessful Launches,Saves Made from Inside Box,Saves Made,Corners Won,GK Successful Distribution,Shots Off Target (inc woodwork),Hit Woodwork,Successful Crosses & Corners,Successful Crosses open play,Unsuccessful Dribbles,Successful Corners into Box,Blocked Shots,Attempts from Set Pieces,Successful Launches,Throw Ins to Opposition Player,Catches,Drops,Clean Sheets,Saves Made from Outside Box,GK Unsuccessful Distribution,Saves made - parried,Handballs conceded,Goals,Headed Goals,Goals from Inside Box,Goal Assists,Assists (Intentional)
Concacaf_Campeones_Cup,2021,Columbus Crew,ele211kdmv943iesjw4fp5rs9,S. Abdul-Salaam,Defender,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,cbw92qrdwycht8nkkdu4j4kph,H. Afful,Defender,25,1.0,1.0,8.0,1.0,6.0,1.0,,1.0,4.0,,24.0,1.0,6.0,,6.0,,2.0,1.0,6.0,4.0,1.0,3.0,2.0,,,1.0,1.0,6.0,4.0,6.0,2.0,4.0,5.0,12.0,10.0,,4.0,2.0,,,1.0,12.0,,32.0,6.0,5.0,1.0,,1.0,0.0,0.0,0.0,,,,1.0,1.0,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,660a1dq2kk90vuzw0ru6mbmy,Miguel Berry,Forward,27,,,7.0,3.0,4.0,1.0,,4.0,3.0,3.0,23.0,,1.0,,10.0,3.0,3.0,1.0,5.0,3.0,,3.0,,2.0,1.0,1.0,1.0,6.0,5.0,5.0,3.0,6.0,6.0,10.0,10.0,,6.0,2.0,,2.0,1.0,11.0,1.0,64.0,4.0,7.0,,,2.0,0.0,0.0,0.0,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,6kb6kwmwjh4c6oyed5upl266t,E. Bush,Goalkeeper,24,,,8.0,,15.0,,,,5.0,2.0,29.0,,1.0,,,,,,3.0,7.0,,1.0,8.0,,,1.0,,8.0,,10.0,1.0,,,3.0,10.0,7.0,8.0,5.0,,,1.0,18.0,1.0,90.0,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,2.0,3.0,5.0,,8.0,,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,3.0,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,Goalkeeper,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,efr6uboj041gcgi2qxm0pa5be,L. Díaz,Midfielder,12,1.0,,7.0,6.0,1.0,,,,2.0,,20.0,,1.0,2.0,11.0,3.0,1.0,,3.0,,,1.0,,1.0,,1.0,6.0,1.0,5.0,4.0,3.0,1.0,11.0,5.0,10.0,1.0,3.0,2.0,1.0,,1.0,5.0,,26.0,4.0,5.0,3.0,,,0.0,0.0,0.0,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,2uis9d0h87arn5ew3bg1si40l,D. Etienne,Midfielder,22,,1.0,9.0,,3.0,3.0,,,2.0,,18.0,1.0,5.0,,,,,2.0,3.0,6.0,,,1.0,1.0,1.0,1.0,,5.0,,3.0,1.0,4.0,,8.0,10.0,,1.0,1.0,,,1.0,8.0,1.0,58.0,3.0,,,,,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,9dba8to216upd49xlir2i4d05,W. Francis,Defender,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,5y8srw7hc5nlu0efcq710if3d,L. Fraser,Midfielder,18,1.0,,6.0,2.0,8.0,,,1.0,7.0,7.0,31.0,,3.0,2.0,6.0,3.0,1.0,,15.0,3.0,,2.0,1.0,1.0,,1.0,1.0,5.0,4.0,16.0,3.0,4.0,5.0,20.0,10.0,1.0,7.0,9.0,,1.0,1.0,21.0,1.0,90.0,15.0,4.0,3.0,,,0.0,0.0,0.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Concacaf_Campeones_Cup,2021,Columbus Crew,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,Midfielder,17,,,1.0,,1.0,,,,,2.0,3.0,,,,,,,,2.0,1.0,,,,,,1.0,,1.0,,2.0,,1.0,,3.0,10.0,,2.0,2.0,,,1.0,3.0,,12.0,2.0,,,,,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
