liga,temporada,equipo,id,nombre,posicion,dorsal,Handballs conceded,Shots On Target ( inc goals ),Goal Assists,Tackles Won,Key Passes (Attempt Assists),Total Touches In Opposition Box,Unsuccessful Crosses open play,Total Tackles,Yellow Cards,Tackles Lost,Throw Ins to Own Player,Unsuccessful Crosses & Corners,Leftside Passes,Successful Passes Opposition Half,Rightside Passes,Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Blocks,Goals from Inside Box,Ground Duels lost,Aerial Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Short Passes,Interceptions,Successful Open Play Passes,Duels won,Times Tackled,Penalties Conceded,Unsuccessful Passes Own Half,Total Passes,Goals,Successful Passes Own Half,Aerial Duels,Duels lost,Successful Dribbles,Total Fouls Won,Total Clearances,Backward Passes,Ground Duels won,Index,Penalty Goals Conceded,Substitute On,Games Played,Goals Conceded Inside Box,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Clean Sheets,Touches,Goals Conceded,Substitute Off,Total Losses Of Possession,Corners Won,PutThrough/Blocked Distribution Won,Total Shots,Duels,Successful Long Passes,Time Played,Forward Passes,Starts,Unsuccessful Dribbles,Unsuccessful Short Passes,Foul Attempted Tackle,Unsuccessful Long Passes,Total Fouls Conceded,Recoveries,Right Foot Goals,Aerial Duels lost,Open Play Passes,Successful Lay-offs,Unsuccessful Launches,Successful Launches,Ground Duels,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Throw Ins to Opposition Player,Goals Conceded Outside Box,Successful Crosses & Corners,Successful Corners into Box,Successful Crosses open play,Goals from Outside Box,Attempts from Set Pieces,Second Goal Assists,Assists (Intentional),Unsuccessful Corners into Box,Offsides,Blocked Shots,Hit Woodwork,Headed Goals,Unsuccessful lay-offs,Through balls,Last Man Tackle,Total Red Cards,Left Foot Goals,Straight Red Cards,GK Unsuccessful Distribution,Catches,Punches,Saves made - caught,Saves from Penalty,Penalties Faced,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Drops,Penalties Saved,GK Successful Distribution,Saves Made from Inside Box,Own Goal Scored,Saves made - parried,Crosses not Claimed,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Off Target,Clearances Off the Line,Red Cards - 2nd Yellow,Set Pieces Goals,Other Goals
USA_MLS,2019,Seattle Sounders FC,ele211kdmv943iesjw4fp5rs9,S. Abdul-Salaam,Defender,12,1.0,,,4.0,7.0,19.0,6.0,9.0,2.0,5.0,65.0,6.0,178.0,165.0,34.0,1.0,373.0,18.0,1.0,,32.0,21.0,100.0,351.0,13.0,367.0,45.0,,,44.0,473.0,,209.0,41.0,52.0,7.0,8.0,27.0,90.0,24.0,20.0,3.0,7.0,18.0,18.0,25.0,62.0,3.0,709.0,20.0,,165.0,6.0,12.0,1.0,97.0,22.0,1062.0,171.0,11.0,6.0,83.0,6.0,17.0,12.0,48.0,,20.0,466.0,1.0,11.0,4.0,56.0,,,,,28.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,3aox5gs2l4gg22h97sixaiqj9,X. Arreaga,Defender,3,,1.0,,12.0,1.0,9.0,,22.0,1.0,10.0,2.0,,130.0,177.0,197.0,1.0,557.0,17.0,7.0,,26.0,24.0,82.0,500.0,24.0,536.0,60.0,,,43.0,639.0,,380.0,41.0,43.0,3.0,11.0,59.0,42.0,36.0,36.0,4.0,4.0,17.0,22.0,16.0,39.0,,820.0,26.0,,89.0,1.0,14.0,2.0,103.0,57.0,1251.0,270.0,13.0,,37.0,7.0,45.0,15.0,91.0,,17.0,617.0,,28.0,6.0,62.0,,,,,,4.0,,,,,,,,,1.0,4.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,
USA_MLS,2019,Seattle Sounders FC,dut4jl28mnzev74hm4pc9s2j9,W. Bruin,Forward,17,,5.0,1.0,,,21.0,,1.0,1.0,1.0,,,35.0,47.0,21.0,2.0,67.0,9.0,,2.0,22.0,16.0,31.0,66.0,,63.0,23.0,,,9.0,98.0,2.0,20.0,26.0,32.0,,8.0,5.0,23.0,7.0,100.0,1.0,5.0,9.0,4.0,5.0,22.0,,156.0,4.0,3.0,56.0,2.0,3.0,7.0,55.0,1.0,428.0,19.0,4.0,2.0,30.0,6.0,1.0,11.0,13.0,1.0,10.0,94.0,6.0,1.0,,29.0,,,,,,,,,,,,,,,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,8t08t0apxw269hv16vhxaycbt,H. Bwana,Midfielder,70,,4.0,1.0,8.0,6.0,34.0,12.0,13.0,1.0,5.0,5.0,18.0,38.0,92.0,44.0,3.0,132.0,15.0,,1.0,41.0,5.0,52.0,131.0,2.0,130.0,42.0,,,12.0,184.0,1.0,44.0,16.0,52.0,20.0,4.0,4.0,45.0,37.0,100.0,1.0,9.0,15.0,8.0,13.0,58.0,,332.0,10.0,5.0,116.0,7.0,5.0,7.0,94.0,1.0,567.0,57.0,6.0,9.0,49.0,4.0,3.0,5.0,28.0,1.0,11.0,182.0,5.0,1.0,,78.0,,,,9.0,,2.0,4.0,2.0,2.0,,,,1.0,6.0,3.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,4pvzci644zwid3yddruz3l0id,J. Campbell,Defender,3,,,,6.0,,2.0,,8.0,1.0,2.0,,,24.0,37.0,82.0,,167.0,4.0,6.0,,5.0,3.0,33.0,148.0,6.0,165.0,11.0,,,20.0,200.0,,130.0,10.0,12.0,,,17.0,11.0,8.0,46.0,1.0,,4.0,6.0,4.0,13.0,1.0,248.0,7.0,,37.0,,2.0,,23.0,19.0,360.0,83.0,4.0,,14.0,2.0,19.0,3.0,15.0,,7.0,197.0,,12.0,2.0,13.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,ezt2p5cbzxi8y74alelheznpx,E. Cecchini,Midfielder,15,,,,4.0,1.0,2.0,,6.0,1.0,2.0,,,24.0,41.0,30.0,1.0,75.0,4.0,1.0,,16.0,1.0,12.0,73.0,1.0,75.0,13.0,,,6.0,87.0,,35.0,2.0,17.0,5.0,1.0,2.0,11.0,12.0,19.0,,3.0,4.0,5.0,2.0,6.0,,123.0,5.0,1.0,20.0,1.0,1.0,1.0,30.0,2.0,155.0,22.0,1.0,1.0,10.0,3.0,2.0,3.0,7.0,,1.0,87.0,,,,28.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,cv3xqr4xxkxub011e67s2awgl,J. Delem,Midfielder,8,2.0,,,20.0,2.0,6.0,1.0,29.0,4.0,9.0,3.0,1.0,180.0,281.0,213.0,4.0,582.0,27.0,11.0,,49.0,36.0,128.0,552.0,34.0,564.0,98.0,,1.0,39.0,710.0,,301.0,56.0,69.0,11.0,22.0,25.0,50.0,62.0,100.0,2.0,10.0,27.0,18.0,19.0,90.0,1.0,913.0,22.0,7.0,149.0,,11.0,4.0,167.0,30.0,1495.0,267.0,17.0,4.0,100.0,20.0,28.0,27.0,79.0,,20.0,691.0,1.0,14.0,4.0,111.0,,,,,,4.0,,,,,,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,Forward,99,1.0,3.0,,,4.0,13.0,,,,,,,9.0,19.0,9.0,3.0,30.0,5.0,,,13.0,16.0,16.0,29.0,,24.0,17.0,,,,46.0,,11.0,31.0,28.0,,2.0,1.0,18.0,1.0,19.0,,2.0,5.0,3.0,5.0,16.0,,84.0,3.0,3.0,31.0,2.0,5.0,6.0,45.0,1.0,264.0,10.0,3.0,2.0,15.0,1.0,1.0,5.0,5.0,,15.0,40.0,4.0,,,14.0,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24,,,,1.0,,,,1.0,1.0,,,,208.0,93.0,194.0,,739.0,38.0,,,2.0,12.0,310.0,479.0,1.0,419.0,17.0,,,108.0,1049.0,,646.0,14.0,4.0,,8.0,25.0,,5.0,62.0,5.0,,38.0,47.0,,202.0,11.0,1460.0,54.0,,318.0,,,,21.0,260.0,3450.0,647.0,38.0,,12.0,,298.0,,338.0,,2.0,557.0,,121.0,47.0,7.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,101.0,20.0,14.0,22.0,,5.0,5.0,129.0,62.0,4.0,,445.0,66.0,,22.0,4.0,,,,,,,,
USA_MLS,2019,Seattle Sounders FC,63zi0rwl892iv2j66657mkg6h,N. Hinds,Defender,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
