root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Touches,Successful Short Passes,Starts,Blocks,Successful Passes Opposition Half,PutThrough/Blocked Distribution,Appearances,Unsuccessful Passes Own Half,Tackles Lost,Tackles Won,Unsuccessful Short Passes,Total Tackles,Unsuccessful Passes Opposition Half,Ground Duels won,PutThrough/Blocked Distribution Won,Index,Clean Sheets,Games Played,Total Clearances,Total Passes,Total Losses Of Possession,Successful Long Passes,Ground Duels,Rightside Passes,Successful Open Play Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Forward Passes,Interceptions,Successful Passes Own Half,Unsuccessful Launches,Duels won,Unsuccessful Long Passes,Backward Passes,Winning Goal,Ground Duels lost,GK Unsuccessful Distribution,Goals Conceded,Saves Made from Inside Box,Successful Launches,Duels lost,Goal Kicks,Aerial Duels,Saves Made,Catches,Goals Conceded Outside Box,Saves Made from Outside Box,Drops,Aerial Duels won,Saves made - parried,Punches,Goals Conceded Inside Box,GK Successful Distribution,Substitute On,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Total Fouls Won,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Dribbles,Times Tackled,Substitute Off,Foul Attempted Tackle,Total Fouls Conceded,Key Passes (Attempt Assists),Offsides,Aerial Duels lost,Corners Won,Successful Crosses & Corners,Goal Assists,Successful Crosses open play,Assists (Intentional),Successful Dribbles,Overruns,Throw Ins to Opposition Player,Yellow Cards,Handballs conceded,Corners Taken (incl short corners),Right Foot Goals,Unsuccessful Corners into Box,Shots Off Target (inc woodwork),Successful Corners into Box,Attempts from Set Pieces,Shots On Target ( inc goals ),Goals,Goals from Inside Box,Total Shots,Home Goals,Away Goals,Blocked Shots,Through balls,Foul Won Penalty,Penalties Taken,Headed Goals,Unsuccessful lay-offs,Penalty Goals,Left Foot Goals,Goals from Outside Box,Hit Woodwork,Last Player Tackle,Penalties Conceded,Goalkeeper Smother,Saves from Penalty,Penalties Faced,Penalties Saved,Red Cards - 2nd Yellow,Total Red Cards,Second Goal Assists,Penalty Goals Conceded,Clearances Off the Line,Straight Red Cards,Saves made - caught,Penalties Off Target,Own Goal Scored,Crosses not Claimed
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,dht42dfvrdg7672df9flczxuc,A. Biello,Midfielder,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,b6bxaibppt85so3xkms5fksmh,S. Breza,Goalkeeper,1,45.0,22.0,1.0,,1.0,,1.0,6.0,,,1.0,,4.0,,,10.0,,1.0,2.0,37.0,11.0,5.0,,9.0,16.0,3.0,27.0,24.0,90.0,10.0,,8.0,20.0,,26.0,4.0,,9.0,,0.0,,2.0,4.0,3.0,1.0,,13.0,,4.0,,,1.0,,,1.0,1.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,ckcyp29f4gyjpga6bcpygack4,D. Bugaj,Defender,27,74.0,35.0,2.0,,20.0,2.0,3.0,2.0,,,8.0,,8.0,6.0,2.0,10.0,,3.0,,45.0,21.0,1.0,15.0,,36.0,4.0,36.0,45.0,139.0,9.0,17.0,20.0,8.0,3.0,16.0,,7.0,1.0,17.0,0.0,9.0,,1.0,,,10.0,,2.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,4.0,2.0,4.0,,3.0,7.0,2.0,1.0,1.0,2.0,,1.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,ebhq4fl7e2p1zwhwpeu65a4iy,G. Campbell,Defender,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,eb5gnc53xeybw4q02lijnamay,M. Choinière,Midfielder,29,207.0,133.0,3.0,1.0,87.0,5.0,3.0,5.0,1.0,1.0,18.0,2.0,21.0,8.0,1.0,10.0,,3.0,2.0,161.0,39.0,7.0,23.0,41.0,136.0,8.0,140.0,157.0,270.0,21.0,30.0,50.0,39.0,3.0,56.0,1.0,11.0,3.0,31.0,0.0,15.0,,8.0,,1.0,19.0,,7.0,,,,,,3.0,,,8.0,,,,5.0,5.0,5.0,,1.0,2.0,6.0,,4.0,4.0,3.0,,4.0,1.0,3.0,,2.0,,1.0,,,1.0,,4.0,,3.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,3ju0ueq9ldm2cqx8cn3p4ecx5,G. Corbo,Defender,25,182.0,113.0,3.0,1.0,52.0,,3.0,5.0,,4.0,8.0,4.0,20.0,5.0,,10.0,,3.0,6.0,146.0,31.0,10.0,12.0,11.0,119.0,16.0,123.0,141.0,256.0,23.0,18.0,56.0,63.0,7.0,71.0,3.0,8.0,15.0,16.0,0.0,7.0,,7.0,,2.0,10.0,,6.0,,,,,,3.0,,,7.0,,,2.0,2.0,,1.0,5.0,1.0,,2.0,1.0,,3.0,,,3.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,b1evw0rhzdmgcsq0a4enf0wrt,M. Cóccaro,Forward,9,107.0,54.0,3.0,,35.0,3.0,3.0,2.0,,2.0,8.0,2.0,8.0,8.0,2.0,10.0,,3.0,,64.0,24.0,1.0,20.0,24.0,49.0,7.0,55.0,58.0,239.0,9.0,39.0,10.0,9.0,,21.0,,12.0,1.0,21.0,0.0,12.0,,6.0,,,27.0,,19.0,,,,,,4.0,,,6.0,,,1.0,1.0,5.0,5.0,,7.0,3.0,8.0,1.0,1.0,3.0,3.0,1.0,15.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,2.0,,,2.0,1.0,1.0,4.0,0.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,c3dtl72eb5ejh6h7ujaspomsq,B. Duke,Midfielder,10,102.0,61.0,2.0,,44.0,4.0,3.0,3.0,,1.0,11.0,1.0,13.0,4.0,1.0,10.0,,3.0,1.0,77.0,25.0,2.0,10.0,19.0,61.0,7.0,63.0,75.0,171.0,14.0,12.0,23.0,20.0,3.0,19.0,,4.0,3.0,15.0,0.0,6.0,,3.0,,,8.0,,2.0,,,,,,,,,3.0,,1.0,1.0,2.0,5.0,3.0,,,3.0,4.0,1.0,1.0,1.0,3.0,,2.0,2.0,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,2.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,817ltkyap93lk4mew1u7p8xk9,R. Edwards,Defender,44,42.0,22.0,,,11.0,2.0,1.0,,,2.0,4.0,2.0,7.0,4.0,1.0,10.0,,1.0,,26.0,12.0,,7.0,18.0,20.0,3.0,22.0,24.0,28.0,4.0,9.0,1.0,6.0,,11.0,,5.0,,1.0,0.0,3.0,,1.0,,,4.0,,2.0,,,,,,1.0,,,1.0,,1.0,3.0,3.0,1.0,1.0,2.0,,,2.0,,1.0,2.0,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,Club de Foot Montréal,Club_de_Foot_Montréal,5hbw303izlf5shd2qt1615bhm,S. Ibrahim,Forward,14,50.0,32.0,1.0,,22.0,,3.0,,,,2.0,,3.0,2.0,,10.0,,3.0,1.0,36.0,7.0,1.0,6.0,9.0,30.0,3.0,33.0,33.0,81.0,3.0,12.0,7.0,6.0,,11.0,,7.0,1.0,14.0,1.0,4.0,,6.0,,,5.0,,6.0,,,,,,5.0,,,6.0,,2.0,,,5.0,2.0,,2.0,,3.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,,,2.0,1.0,1.0,4.0,0.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,
