liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded,Forward Passes,Interceptions,Substitute On,Total Losses Of Possession,Total Passes,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Unsuccessful Passes Opposition Half,Throw Ins to Own Player,Own Goal Scored,Games Played,Unsuccessful Launches,Open Play Passes,Blocks,Goals Conceded Inside Box,Successful Long Passes,Unsuccessful Long Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Successful Passes Opposition Half,Touches,Index,Appearances,Winning Goal,Goal Kicks,Saves made - parried,Penalties Faced,Successful Passes Own Half,Total Clearances,GK Successful Distribution,Penalty Goals Conceded,Rightside Passes,GK Unsuccessful Distribution,Recoveries,Unsuccessful Passes Own Half,Goals Conceded Outside Box,Successful Short Passes,Saves Made from Inside Box,Punches,Duels,Duels won,Aerial Duels,Starts,Saves Made,Aerial Duels won,Saves Made from Outside Box,Leftside Passes,Tackles Won,Foul Attempted Tackle,Tackles Lost,Total Tackles,Total Fouls Conceded,Handballs conceded,Duels lost,Total Touches In Opposition Box,Ground Duels lost,Ground Duels won,Substitute Off,Aerial Duels lost,Unsuccessful Short Passes,Ground Duels,Successful Lay-offs,Shots Off Target (inc woodwork),Clean Sheets,Backward Passes,Yellow Cards,Offsides,PutThrough/Blocked Distribution,Total Shots,Shots On Target ( inc goals ),PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Unsuccessful lay-offs,Times Tackled,Successful Dribbles,Unsuccessful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses & Corners,Unsuccessful Crosses open play,Total Fouls Won,Successful Corners into Box,Through balls,Penalties Conceded,Blocked Shots,Penalties Taken,Throw Ins to Opposition Player,Clearances Off the Line,Overruns,Key Passes (Attempt Assists),Catches,Crosses not Claimed,Last Player Tackle,Right Foot Goals,Goals from Inside Box,Goals,Corners Won,Penalty Goals,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Unsuccessful Corners into Box,Goal Assists,Successful Crosses open play,Goals from Outside Box,Saves from Penalty,Penalties Saved,Total Red Cards,Straight Red Cards,Saves made - caught,Headed Goals,Second Goal Assists,Goalkeeper Smother,Foul Won Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Hit Woodwork,Left Foot Goals,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Scored,Final Third Touches,Total Big Chances Missed,Drops,Total Big Chances Saved,Goals Openplay,Set Pieces Goals,Direct Setpiece Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,1w8gjrkpldnddio7kz6p5shuy,J. Bean,Forward,0,1.0,,,2.0,3.0,3.0,,,2.0,,,,2.0,,2.0,,,,,3.0,46.0,2.0,8.0,10.0,2.0,0.0,,,,1.0,,,,1.0,,,,1.0,3.0,,,4.0,1.0,4.0,,,1.0,,,,,,,,,3.0,1.0,,,,3.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,23zgnzggwb7oi06k5x2hc3bp,D. Bell,Goalkeeper,12,3.0,4.0,,1.0,3.0,9.0,1.0,3.0,4.0,2.0,,,1.0,,4.0,,1.0,2.0,3.0,6.0,28.0,2.0,12.0,10.0,1.0,0.0,1.0,1.0,,4.0,,1.0,,1.0,1.0,4.0,1.0,2.0,4.0,1.0,,,,,,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,5627s9pgvnsla0t21v2f7x9pm,E. Blankendal,Defender,3,,6.0,,2.0,3.0,6.0,1.0,3.0,3.0,2.0,1.0,,2.0,1.0,6.0,,,1.0,1.0,3.0,17.0,2.0,10.0,10.0,2.0,0.0,,,,1.0,1.0,,,,,1.0,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,74ilnkmikufau9iu2qk80qjo4,J. Butterfield-Steede,Defender,3,7.0,20.0,,1.0,27.0,61.0,1.0,14.0,47.0,11.0,14.0,,3.0,4.0,61.0,2.0,5.0,2.0,7.0,47.0,204.0,27.0,101.0,8.0,3.0,0.0,,,,20.0,2.0,,,13.0,,6.0,8.0,2.0,45.0,,,9.0,4.0,3.0,2.0,,2.0,,14.0,,,1.0,1.0,,,5.0,2.0,4.0,2.0,1.0,1.0,7.0,6.0,,,,14.0,,,4.0,1.0,1.0,1.0,1.0,,2.0,,5.0,,,5.0,1.0,,,,,,4.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,4l4hmm25hndx8rcw5bealygpg,J. Carpenter,Defender,6,6.0,58.0,9.0,2.0,31.0,117.0,2.0,26.0,91.0,19.0,,,5.0,6.0,116.0,2.0,5.0,14.0,16.0,91.0,312.0,13.0,169.0,10.0,5.0,0.0,,,,78.0,21.0,,,38.0,,6.0,8.0,1.0,77.0,,,19.0,5.0,6.0,3.0,,1.0,,15.0,1.0,,1.0,2.0,3.0,,14.0,2.0,9.0,4.0,1.0,5.0,10.0,13.0,,,1.0,6.0,,,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,1.0,36.0,20.0,,1.0,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,8mtwfs8i1ids2406fbl2dzcvd,W. Clemons,Midfielder,15,5.0,33.0,6.0,,33.0,117.0,,20.0,95.0,17.0,,,4.0,5.0,115.0,1.0,5.0,6.0,6.0,97.0,270.0,44.0,170.0,10.0,4.0,0.0,,,,53.0,5.0,,,36.0,,30.0,4.0,,91.0,,,40.0,20.0,4.0,4.0,,2.0,,27.0,5.0,6.0,4.0,9.0,6.0,,20.0,3.0,18.0,18.0,2.0,2.0,14.0,36.0,,,1.0,21.0,,,4.0,,,2.0,1.0,,5.0,4.0,1.0,,,1.0,5.0,,1.0,,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,14.0,,,3.0,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,mrkv5cz4x8g6eq1tld3lanf8,R. Coddington,Forward,0,1.0,4.0,,,8.0,17.0,,5.0,12.0,6.0,,,1.0,,17.0,,,1.0,,12.0,59.0,11.0,22.0,21.0,1.0,0.0,,,,1.0,,,,1.0,,,,1.0,11.0,,,1.0,,,1.0,,,,5.0,,,,,,,1.0,3.0,1.0,,1.0,,5.0,1.0,,1.0,,7.0,,3.0,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,1.0,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,8pwysalqktqrzbxmfabfidkb8,D. Cook,Defender,15,2.0,7.0,,,6.0,14.0,,2.0,12.0,3.0,5.0,,1.0,1.0,14.0,,2.0,,1.0,12.0,90.0,9.0,31.0,10.0,1.0,0.0,,,,3.0,5.0,,,3.0,,,1.0,,12.0,,,2.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,,,,3.0,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,5.0,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,5kt5t8xkuom71hvqt89uq4twq,K. Crichlow,Midfielder,20,20.0,22.0,1.0,,51.0,78.0,,15.0,61.0,15.0,2.0,,6.0,,76.0,2.0,18.0,1.0,1.0,63.0,502.0,48.0,186.0,49.0,6.0,0.0,,,,15.0,7.0,,,21.0,,17.0,2.0,2.0,62.0,,,53.0,22.0,5.0,6.0,,,,23.0,10.0,1.0,2.0,12.0,3.0,,31.0,25.0,26.0,22.0,2.0,5.0,14.0,48.0,1.0,6.0,,12.0,,2.0,7.0,13.0,7.0,6.0,9.0,,19.0,6.0,2.0,,,2.0,4.0,,,,3.0,,,1.0,3.0,2.0,,,,1.0,1.0,1.0,3.0,,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,,38.0,23.0,1.0,1.0,22.0,4.0,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bermuda,1t8sv44eyf1mzx5yshvbf4d1w,J. Donawa,Forward,14,,1.0,,1.0,3.0,3.0,,2.0,1.0,2.0,,,1.0,,3.0,,,,,1.0,21.0,1.0,4.0,10.0,1.0,0.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,,,,,,
