root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Throw Ins to Own Player,Ground Duels,Aerial Duels won,Unsuccessful Passes Opposition Half,Attempts from Set Pieces,Aerial Duels,Blocks,Goals Conceded Outside Box,Duels,Shots On Target ( inc goals ),Index,Unsuccessful Passes Own Half,Total Tackles,Tackles Won,Total Losses Of Possession,Tackles Lost,Appearances,Starts,Times Tackled,Goals Conceded,Backward Passes,Interceptions,Unsuccessful Short Passes,Leftside Passes,Duels won,Ground Duels lost,Successful Dribbles,Rightside Passes,Total Passes,Successful Passes Opposition Half,Games Played,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels won,Duels lost,Unsuccessful Launches,Penalty Goals Conceded,Successful Long Passes,Touches,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Forward Passes,Total Shots,Successful Launches,Open Play Passes,Throw Ins to Opposition Player,Successful Open Play Passes,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Time Played,Unsuccessful Long Passes,Total Clearances,Successful Passes Own Half,Recoveries,Total Fouls Won,Winning Goal,Successful Crosses & Corners,Unsuccessful Dribbles,Total Fouls Conceded,Substitute On,Key Passes (Attempt Assists),Foul Attempted Tackle,Clearances Off the Line,Yellow Cards,Substitute Off,PutThrough/Blocked Distribution,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals from Outside Box,Successful Crosses open play,Goals,Successful Lay-offs,Left Foot Goals,Blocked Shots,Home Goals,Away Goals,Penalties Conceded,Corners Taken (incl short corners),Unsuccessful Corners into Box,Unsuccessful Crosses open play,Saves Made,Penalties Faced,GK Successful Distribution,Saves made - parried,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Goal Kicks,Penalties Saved,Saves Made from Inside Box,Saves from Penalty,Drops,Corners Won,Goal Assists,Offsides,Unsuccessful lay-offs,Assists (Intentional),Straight Red Cards,Total Red Cards,Crosses not Claimed,Clean Sheets,Saves made - caught,Punches,Foul Won Penalty,Penalties Taken,Right Foot Goals,Goals from Inside Box,Penalty Goals,Successful Corners into Box,Second Goal Assists,Through balls,Handballs conceded,Headed Goals,Set Pieces Goals,Hit Woodwork,Last Man Tackle,Own Goal Scored,Goalkeeper Smother,Red Cards - 2nd Yellow,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,2rkdzc5ecbbj67m4dr4go915g,R. Cardines,Midfielder,7,1.0,26.0,3.0,24.0,1.0,3.0,2.0,3.0,29.0,3.0,10.0,7.0,6.0,4.0,59.0,2.0,3.0,3.0,8.0,4.0,11.0,3.0,18.0,16.0,17.0,12.0,6.0,3.0,81.0,49.0,3.0,58.0,14.0,12.0,3.0,,9.0,151.0,49.0,23.0,,51.0,6.0,4.0,79.0,8.0,57.0,8.0,1.0,230.0,5.0,,15.0,13.0,2.0,0.0,6.0,8.0,3.0,,6.0,1.0,1.0,,,4.0,14.0,1.0,3.0,,2.0,1.0,1.0,,,0.0,1.0,1.0,4.0,2.0,5.0,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,3rl969kafl9t8a07rx0zdql1w,A. Caruth,Midfielder,6,14.0,17.0,4.0,15.0,,7.0,3.0,2.0,24.0,,10.0,9.0,8.0,7.0,39.0,1.0,4.0,3.0,4.0,8.0,8.0,3.0,12.0,25.0,13.0,8.0,1.0,4.0,77.0,30.0,4.0,55.0,9.0,11.0,6.0,,7.0,141.0,48.0,22.0,3.0,40.0,1.0,1.0,76.0,10.0,55.0,2.0,6.0,294.0,10.0,9.0,26.0,20.0,,0.0,1.0,,2.0,1.0,1.0,,,,2.0,4.0,3.0,2.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,y4t3r65ni6l9kduqji9chsk,J. Cateau,Midfielder,12,,29.0,,8.0,,7.0,1.0,1.0,36.0,1.0,10.0,5.0,7.0,4.0,22.0,3.0,4.0,2.0,9.0,4.0,4.0,4.0,10.0,9.0,9.0,20.0,1.0,10.0,33.0,11.0,4.0,21.0,9.0,27.0,,,1.0,66.0,20.0,12.0,7.0,10.0,1.0,,32.0,,21.0,1.0,3.0,190.0,2.0,1.0,10.0,9.0,1.0,0.0,,4.0,8.0,2.0,1.0,3.0,,,2.0,4.0,4.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,454z0o9josuuztx1lihxyoufo,M. Chaves,Forward,10,1.0,20.0,2.0,2.0,,4.0,,1.0,24.0,,10.0,2.0,7.0,5.0,19.0,2.0,3.0,1.0,8.0,4.0,11.0,,3.0,1.0,11.0,11.0,2.0,4.0,25.0,15.0,3.0,21.0,9.0,13.0,,,1.0,58.0,20.0,4.0,2.0,9.0,1.0,,23.0,,19.0,,3.0,137.0,1.0,1.0,6.0,5.0,,0.0,,4.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,6649f9tbcgpyd3zi89jkjan10,V. Clement,Forward,13,,1.0,,,,,,,1.0,,10.0,1.0,,,2.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,2.0,,1.0,,1.0,,,1.0,,,,,20.0,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,a4ueo6xr919gist2pykk5e51w,S. Duncan,Defender,5,5.0,6.0,,1.0,,1.0,1.0,,7.0,,10.0,1.0,3.0,2.0,8.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,3.0,3.0,,2.0,5.0,1.0,1.0,3.0,3.0,4.0,,,1.0,26.0,2.0,2.0,1.0,2.0,,,5.0,3.0,3.0,,3.0,78.0,1.0,4.0,2.0,2.0,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,6jkxhm19n5ig8q8w7qrdgij9w,J. Figaro,Defender,3,1.0,28.0,4.0,20.0,,9.0,4.0,3.0,37.0,,10.0,19.0,14.0,10.0,49.0,4.0,4.0,4.0,2.0,10.0,10.0,10.0,19.0,24.0,24.0,8.0,2.0,15.0,114.0,29.0,4.0,75.0,20.0,13.0,10.0,,12.0,185.0,63.0,39.0,5.0,65.0,,2.0,112.0,1.0,74.0,,7.0,390.0,20.0,16.0,46.0,33.0,4.0,0.0,,1.0,3.0,,1.0,2.0,,1.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,bc68sdo7kt0g7lp675rel7y8k,D. García,Midfielder,11,1.0,21.0,,16.0,1.0,1.0,,1.0,22.0,3.0,10.0,4.0,4.0,3.0,34.0,1.0,4.0,2.0,8.0,7.0,6.0,,11.0,23.0,9.0,12.0,5.0,2.0,52.0,25.0,4.0,33.0,9.0,13.0,3.0,,5.0,93.0,28.0,19.0,1.0,21.0,7.0,,52.0,,33.0,1.0,6.0,229.0,8.0,,9.0,12.0,,0.0,1.0,5.0,2.0,2.0,1.0,1.0,,1.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,,,2.0,1.0,0.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,afr06uv91jdhu4o8uz17j0qok,T. Lamsee,Midfielder,14,,5.0,,3.0,,,,,5.0,,10.0,,1.0,1.0,5.0,,2.0,1.0,,3.0,,3.0,1.0,2.0,3.0,2.0,2.0,6.0,13.0,4.0,2.0,10.0,3.0,2.0,2.0,,3.0,22.0,7.0,3.0,,5.0,,,13.0,,10.0,,3.0,66.0,2.0,1.0,6.0,4.0,,0.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2023 Guatemala,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,bvwwx3xufilspuifk92lh0cus,T. Moore,Forward,19,1.0,18.0,5.0,11.0,,10.0,,2.0,28.0,1.0,10.0,,1.0,1.0,34.0,,4.0,3.0,8.0,6.0,23.0,,10.0,9.0,11.0,12.0,2.0,4.0,44.0,19.0,4.0,33.0,6.0,17.0,1.0,,,83.0,33.0,11.0,5.0,8.0,1.0,,38.0,,27.0,,4.0,231.0,1.0,,14.0,7.0,3.0,0.0,,1.0,3.0,1.0,4.0,2.0,,,2.0,1.0,10.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
