liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Appearances,Leftside Passes,Total Passes,Unsuccessful Short Passes,Total Losses Of Possession,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Rightside Passes,Successful Passes Own Half,Unsuccessful Long Passes,Open Play Passes,Starts,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Saves Made from Inside Box,Total Clearances,Touches,Index,Penalties Faced,Punches,Recoveries,Unsuccessful Passes Own Half,Goals Conceded,Saves Made from Outside Box,Successful Short Passes,Goals Conceded Inside Box,Saves Made,Unsuccessful Passes Opposition Half,GK Successful Distribution,Unsuccessful Launches,Penalty Goals Conceded,Saves made - parried,Home Goals,Away Goals,Winning Goal,Total Tackles,Foul Attempted Tackle,Ground Duels,Duels,Successful Passes Opposition Half,Times Tackled,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Duels won,Ground Duels won,Duels lost,Successful Dribbles,Tackles Won,Total Fouls Won,Total Fouls Conceded,Ground Duels lost,Backward Passes,PutThrough/Blocked Distribution,Successful Long Passes,Aerial Duels,Interceptions,Aerial Duels lost,Throw Ins to Own Player,Aerial Duels won,Handballs conceded,Unsuccessful lay-offs,Throw Ins to Opposition Player,Tackles Lost,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Total Touches In Opposition Box,Successful Launches,Blocks,Penalties Conceded,Offsides,Blocked Shots,Key Passes (Attempt Assists),Right Foot Goals,Total Shots,Shots On Target ( inc goals ),Goals from Inside Box,GK Unsuccessful Distribution,Successful Crosses & Corners,Successful Lay-offs,Successful Crosses open play,Shots Off Target (inc woodwork),Goals from Outside Box,Assists (Intentional),Attempts from Set Pieces,Corners Won,Left Foot Goals,Overruns,Goal Assists,Clean Sheets,Goalkeeper Smother,Saves made - caught,Goal Kicks,Drops,Catches,Unsuccessful Corners into Box,Corners Taken (incl short corners),Headed Goals,Hit Woodwork,Foul Won Penalty,Successful Corners into Box,Penalties Taken,Penalty Goals,Through balls,Second Goal Assists,Saves from Penalty,Penalties Saved,Goals Conceded Outside Box,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,11brjfbwv1v5jvz5rleiob5k9,L. Millar,Forward,0.0,7.0,,,,,,2.0,5.0,7.0,19.0,151.0,29.0,66.0,41.0,30.0,116.0,37.0,16.0,1.0,146.0,5.0,121.0,332.0,,2.0,230.0,16.0,,,16.0,2.0,,,119.0,,,42.0,,,,,,,0.0,4.0,1.0,36.0,45.0,110.0,11.0,8.0,2.0,19.0,16.0,26.0,9.0,1.0,3.0,5.0,20.0,54.0,5.0,2.0,9.0,4.0,6.0,2.0,3.0,1.0,,,3.0,14.0,9.0,28.0,,,,,1.0,9.0,,6.0,4.0,,,5.0,,2.0,2.0,,1.0,,10.0,,2.0,1.0,,,,,,,5.0,13.0,,,,3.0,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,d874x8snmm3ebewbv05onbzs9,K. Miller,Defender,0.0,13.0,,,,,,3.0,1.0,13.0,85.0,490.0,54.0,92.0,219.0,85.0,392.0,168.0,265.0,31.0,473.0,10.0,405.0,951.0,,18.0,572.0,12.0,,,47.0,37.0,7.0,,380.0,7.0,,50.0,,16.0,1.0,,,,0.0,9.0,6.0,35.0,78.0,141.0,1.0,,1.0,50.0,20.0,28.0,4.0,3.0,7.0,10.0,15.0,18.0,4.0,25.0,43.0,9.0,13.0,1.0,30.0,,,1.0,6.0,2.0,2.0,8.0,6.0,5.0,,,1.0,,,2.0,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,7b63i2sks616o2xjiqtcdd756,J. Nelson,Forward,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,a31s7t25qa1llzl3v79x2iimt,J. Osorio,Midfielder,0.0,16.0,1.0,1.0,,,,5.0,9.0,16.0,117.0,420.0,61.0,115.0,126.0,69.0,336.0,103.0,147.0,8.0,405.0,11.0,351.0,913.0,,4.0,553.0,11.0,,,58.0,20.0,5.0,,335.0,5.0,,57.0,,5.0,,,0.0,1.0,0.0,15.0,6.0,65.0,80.0,204.0,16.0,7.0,8.0,33.0,28.0,47.0,7.0,9.0,6.0,11.0,37.0,74.0,20.0,16.0,15.0,11.0,10.0,13.0,5.0,,1.0,,6.0,8.0,5.0,14.0,3.0,1.0,,,2.0,8.0,,4.0,1.0,1.0,,,1.0,,3.0,,1.0,,2.0,1.0,2.0,1.0,2.0,,,,,,3.0,5.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,7yablvquk5wpfy1hrwjoknj6d,J. Pantemis,Goalkeeper,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,6q37ge46z8a2zlsvqvpdjha6t,S. Piette,Midfielder,6.0,8.0,,1.0,,,,4.0,3.0,8.0,48.0,201.0,17.0,25.0,78.0,21.0,174.0,55.0,70.0,4.0,195.0,4.0,180.0,327.0,,1.0,236.0,13.0,,,30.0,6.0,,,173.0,,,15.0,,2.0,,,,,0.0,9.0,5.0,25.0,30.0,111.0,4.0,,2.0,17.0,15.0,13.0,,6.0,6.0,5.0,10.0,20.0,6.0,7.0,5.0,4.0,3.0,,2.0,,,,3.0,,,2.0,,4.0,,,,4.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,aoc7sahlaysl1n9d4nfawfy3u,J. Shaffelburg,Forward,0.0,2.0,,,,,,2.0,,2.0,1.0,7.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,,7.0,,5.0,10.0,,,11.0,28.0,,,1.0,,,,5.0,,,2.0,,,,,,,0.0,,,1.0,2.0,4.0,,,1.0,,,2.0,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,bfwey1kjahjjl9uqn1c3w7xex,D. St. Clair,Goalkeeper,0.0,1.0,,,,,,,,1.0,3.0,10.0,,,5.0,,9.0,2.0,10.0,,9.0,1.0,10.0,90.0,,,12.0,48.0,,,4.0,,,,10.0,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,269emszubhwn7euqb9xoh6221,F. Sturing,Defender,0.0,2.0,1.0,,,,,,,2.0,29.0,112.0,8.0,12.0,34.0,10.0,102.0,42.0,47.0,2.0,112.0,2.0,102.0,180.0,,2.0,129.0,50.0,,,16.0,3.0,,,96.0,,,8.0,,1.0,,,0.0,1.0,1.0,2.0,,4.0,5.0,55.0,,,,3.0,3.0,2.0,,,1.0,1.0,1.0,7.0,,6.0,1.0,1.0,1.0,3.0,,,,,2.0,1.0,1.0,3.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,900q6uo21i95co96snohqofyt,I. Ugbo,Forward,0.0,4.0,,,,,,4.0,,4.0,,3.0,,4.0,3.0,,3.0,,1.0,,3.0,,3.0,26.0,,,11.0,14.0,,,2.0,,,,3.0,,,,,,,,,,0.0,2.0,,2.0,6.0,2.0,,,,3.0,2.0,3.0,,1.0,,,,,,,4.0,,3.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,z6po5y26nap863d68tcekhqt,S. Vitória,Defender,0.0,12.0,,5.0,,,,1.0,,12.0,159.0,493.0,48.0,92.0,202.0,89.0,395.0,106.0,263.0,41.0,484.0,11.0,404.0,1042.0,,37.0,601.0,12.0,,,48.0,28.0,5.0,,368.0,5.0,,61.0,,12.0,1.0,,,,0.0,12.0,8.0,44.0,94.0,141.0,1.0,,3.0,54.0,22.0,40.0,1.0,7.0,11.0,21.0,22.0,26.0,4.0,36.0,50.0,12.0,18.0,,32.0,,,,5.0,,,15.0,5.0,8.0,,,3.0,3.0,,7.0,3.0,,,,,,4.0,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,9ckixz0zwl0km7laze2rbp2p5,J. Waterman,Defender,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,27exg4oaa7sym40hi0szdc05x,D. Wotherspoon,Midfielder,8.0,8.0,1.0,,,,,5.0,2.0,8.0,38.0,166.0,17.0,37.0,51.0,23.0,142.0,43.0,27.0,6.0,165.0,3.0,143.0,308.0,,,218.0,18.0,,,25.0,5.0,1.0,,139.0,1.0,,21.0,,4.0,,,0.0,1.0,0.0,4.0,2.0,18.0,23.0,118.0,4.0,1.0,4.0,10.0,8.0,13.0,2.0,2.0,2.0,5.0,10.0,34.0,5.0,4.0,5.0,3.0,3.0,1.0,2.0,,,,2.0,3.0,3.0,31.0,,,,,3.0,8.0,1.0,14.0,6.0,1.0,,2.0,1.0,2.0,8.0,,3.0,1.0,5.0,,,3.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,
