liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Time Played,Open Play Passes,Successful Passes Opposition Half,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Index,Duels won,Total Fouls Won,Aerial Duels won,Duels,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Ground Duels won,Backward Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Tackles,Recoveries,Starts,PutThrough/Blocked Distribution,Blocks,Forward Passes,Successful Long Passes,Total Clearances,Tackles Won,Tackles Lost,Throw Ins to Own Player,Successful Crosses & Corners,Unsuccessful Launches,Key Passes (Attempt Assists),Throw Ins to Opposition Player,Successful Crosses open play,Handballs conceded,Interceptions,Unsuccessful Crosses open play,Corners Won,Successful Dribbles,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Successful Launches,Shots Off Target (inc woodwork),Total Shots,Blocked Shots,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Lay-offs,Right Foot Goals,Shots On Target ( inc goals ),Goals from Inside Box,Unsuccessful lay-offs,Saves Made,GK Successful Distribution,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Assists (Intentional),Goal Assists,Punches,Catches,Saves made - caught,Successful Corners into Box,Drops,Penalties Faced,Clean Sheets,Penalties Taken,Penalties Conceded,Attempts from Set Pieces,Last Man Tackle,Headed Goals,Goals from Outside Box,Hit Woodwork,Other Goals,Through balls,Left Foot Goals,Own Goal Scored,Goalkeeper Smother,Crosses not Claimed,Clearances Off the Line,Penalties Saved,Saves from Penalty,Penalty Goals,Foul Won Penalty,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,5e5dq7fv36fgaigbf080p2cid,R. Addles,Forward,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,e7xe0ef07rn2y86fmjzkpn2dx,A. Arroyo,Forward,0.0,7.0,1.0,,,,,6.0,,164.0,41.0,22.0,29.0,14.0,10.0,45.0,4.0,34.0,1.0,10.0,10.0,14.0,1.0,84.0,7.0,3.0,17.0,20.0,10.0,4.0,2.0,22.0,2.0,9.0,13.0,31.0,35.0,5.0,12.0,8.0,10.0,,1.0,1.0,3.0,1.0,5.0,1.0,1.0,,12.0,1.0,2.0,1.0,,2.0,1.0,,2.0,,1.0,,,5.0,,3.0,7.0,2.0,5.0,,2.0,4.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,c295wl8m8rgajmm2a157i3jrp,F. Baloy,Defender,0.0,9.0,1.0,3.0,,,,1.0,2.0,684.0,239.0,78.0,68.0,125.0,24.0,261.0,7.0,163.0,6.0,58.0,51.0,40.0,19.0,354.0,9.0,3.0,28.0,22.0,28.0,7.0,17.0,54.0,8.0,17.0,67.0,187.0,203.0,26.0,26.0,11.0,7.0,34.0,1.0,2.0,9.0,6.0,24.0,8.0,3.0,5.0,136.0,40.0,28.0,5.0,1.0,4.0,,10.0,,,,,25.0,1.0,,,3.0,1.0,1.0,1.0,2.0,4.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,2qgum5tkljfe4v74p2iu9fzyt,R. Blackburn,Forward,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,cleiqb9jtnq3e4g4ibllmx2hh,R. Buitrago,Midfielder,0.0,1.0,,,,,,,1.0,64.0,14.0,12.0,4.0,4.0,2.0,17.0,5.0,15.0,1.0,2.0,3.0,,2.0,24.0,1.0,1.0,5.0,13.0,2.0,1.0,,5.0,1.0,3.0,2.0,12.0,15.0,,3.0,2.0,10.0,,1.0,,,1.0,1.0,1.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,,3.0,,,1.0,,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,1fz6kqbr8i7sunii6wymjkonp,Y. Bárcenas,Midfielder,0.0,9.0,,1.0,,,,2.0,5.0,510.0,162.0,93.0,81.0,46.0,27.0,167.0,15.0,128.0,5.0,34.0,46.0,40.0,5.0,272.0,9.0,11.0,61.0,23.0,24.0,6.0,3.0,68.0,6.0,40.0,43.0,129.0,133.0,7.0,44.0,21.0,48.0,7.0,3.0,1.0,4.0,7.0,24.0,7.0,5.0,1.0,30.0,5.0,2.0,6.0,1.0,2.0,6.0,1.0,7.0,1.0,4.0,1.0,2.0,9.0,5.0,8.0,7.0,11.0,11.0,,4.0,10.0,6.0,5.0,2.0,4.0,,6.0,,1.0,,,,,,,2.0,,,,,,3.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,c21xh2oxjdfa87y0gevaumqc5,J. Calderón,Goalkeeper,0.0,3.0,,,,,,,,270.0,35.0,13.0,40.0,19.0,1.0,71.0,,14.0,1.0,39.0,9.0,32.0,7.0,91.0,3.0,,,76.0,1.0,1.0,1.0,1.0,1.0,,5.0,18.0,32.0,1.0,,,,38.0,,,,,26.0,3.0,,,57.0,18.0,5.0,,,,,18.0,,,,,,,,,,,,5.0,,,,,,,,,,,9.0,14.0,4.0,7.0,5.0,16.0,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,6qfn3y69qpd9vvyr069ry8n2t,M. Camargo,Midfielder,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,4vwj9ktp8vhc6tlhl1tjkl6mt,J. Cedeño,Defender,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,2nzfmsbs81ha81fh3wgulhihh,R. Chen,Defender,0.0,2.0,,,,,,1.0,1.0,58.0,10.0,1.0,5.0,5.0,1.0,11.0,,5.0,1.0,5.0,4.0,5.0,,15.0,2.0,,2.0,9.0,1.0,,,2.0,1.0,1.0,,6.0,6.0,,1.0,1.0,,4.0,,,,1.0,1.0,1.0,,1.0,7.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,5fpdf84s7zmskbl4xm3kj3fmd,A. Cooper,Midfielder,0.0,12.0,1.0,3.0,,,,4.0,3.0,840.0,437.0,264.0,163.0,111.0,68.0,451.0,20.0,343.0,7.0,78.0,97.0,76.0,20.0,652.0,12.0,8.0,128.0,36.0,74.0,25.0,10.0,146.0,9.0,64.0,174.0,363.0,373.0,18.0,72.0,64.0,56.0,10.0,4.0,2.0,8.0,26.0,41.0,8.0,14.0,,124.0,30.0,4.0,18.0,8.0,4.0,2.0,1.0,16.0,1.0,1.0,,12.0,10.0,3.0,14.0,4.0,13.0,18.0,3.0,3.0,5.0,6.0,8.0,6.0,4.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,6ft1b49m92zwa7y7yqqprm5lh,H. Cummings,Defender,0.0,1.0,,,,,,,,90.0,66.0,23.0,2.0,46.0,1.0,71.0,2.0,61.0,,2.0,29.0,1.0,1.0,81.0,1.0,2.0,4.0,10.0,4.0,,2.0,7.0,,2.0,12.0,64.0,69.0,3.0,3.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,29.0,8.0,3.0,1.0,,,,,,,,,4.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,6fmrelr9khhkywqr8goutjkr9,É. Davis,Defender,0.0,4.0,,1.0,,,,2.0,1.0,158.0,65.0,39.0,52.0,18.0,14.0,70.0,2.0,48.0,2.0,20.0,26.0,36.0,5.0,143.0,4.0,,15.0,15.0,7.0,1.0,,18.0,2.0,8.0,2.0,49.0,50.0,3.0,11.0,7.0,14.0,6.0,2.0,,3.0,4.0,9.0,2.0,5.0,,28.0,2.0,1.0,4.0,,19.0,7.0,1.0,3.0,1.0,4.0,,1.0,15.0,5.0,2.0,1.0,4.0,21.0,,2.0,2.0,,6.0,3.0,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,5memdz6q0gzcn892t31c5a6l1,I. Díaz,Forward,10.0,2.0,,1.0,,,,1.0,1.0,96.0,23.0,17.0,19.0,2.0,5.0,24.0,1.0,19.0,,5.0,3.0,4.0,2.0,45.0,2.0,,11.0,20.0,1.0,,,13.0,,10.0,8.0,18.0,19.0,2.0,12.0,1.0,7.0,,,,2.0,,4.0,1.0,,,6.0,,,,,1.0,,,1.0,,,,1.0,1.0,2.0,1.0,5.0,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,930l1zt76d7zeft2980m9phat,R. Dixon,Defender,0.0,2.0,,,,,,,1.0,159.0,43.0,5.0,14.0,29.0,6.0,45.0,2.0,32.0,1.0,11.0,4.0,8.0,3.0,61.0,2.0,,4.0,10.0,4.0,1.0,2.0,6.0,2.0,2.0,13.0,33.0,34.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,,1.0,4.0,2.0,3.0,1.0,26.0,2.0,6.0,1.0,,,,4.0,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,abh60zcb8agg0l5ifzzvlyymt,F. Escobar,Defender,0.0,8.0,1.0,,,,,2.0,,618.0,266.0,95.0,58.0,133.0,24.0,283.0,6.0,195.0,4.0,55.0,93.0,39.0,16.0,389.0,8.0,2.0,41.0,61.0,37.0,9.0,13.0,62.0,4.0,17.0,55.0,214.0,228.0,21.0,25.0,24.0,5.0,31.0,4.0,,8.0,11.0,29.0,6.0,4.0,1.0,130.0,33.0,35.0,11.0,,3.0,,12.0,3.0,,,,23.0,,,5.0,4.0,1.0,,7.0,3.0,4.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,1.0,,,,,,,,,,,,,1.0
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,4ajhe29nxseyo6wqg3hjdghcl,A. Godoy,Midfielder,0.0,13.0,,1.0,,,,1.0,2.0,1002.0,555.0,279.0,95.0,237.0,44.0,567.0,17.0,468.0,10.0,57.0,185.0,61.0,8.0,718.0,13.0,9.0,93.0,78.0,64.0,22.0,13.0,111.0,12.0,42.0,144.0,499.0,510.0,18.0,47.0,51.0,106.0,13.0,9.0,2.0,5.0,27.0,65.0,12.0,14.0,1.0,132.0,42.0,6.0,26.0,1.0,3.0,6.0,1.0,10.0,,1.0,,16.0,2.0,5.0,2.0,12.0,3.0,12.0,,5.0,7.0,5.0,12.0,7.0,4.0,,2.0,,,,,,,,,,2.0,2.0,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,bjetm5si47pl74jwrmsvaokph,J. González,Midfielder,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,e6g5jqhc9cngqed9gyky745p1,G. Gómez,Midfielder,0.0,12.0,1.0,3.0,,,,1.0,7.0,922.0,487.0,199.0,99.0,228.0,46.0,509.0,20.0,386.0,8.0,82.0,154.0,72.0,12.0,601.0,12.0,10.0,65.0,34.0,41.0,12.0,10.0,86.0,9.0,34.0,164.0,406.0,427.0,21.0,45.0,31.0,48.0,36.0,2.0,1.0,11.0,17.0,44.0,11.0,6.0,4.0,143.0,41.0,9.0,10.0,7.0,1.0,,11.0,7.0,,,1.0,13.0,1.0,1.0,2.0,6.0,1.0,2.0,,6.0,8.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,d3m20lj1eebzbkpkqhrc200k5,A. Henríquez,Midfielder,0.0,5.0,,,,,,3.0,,230.0,70.0,35.0,24.0,22.0,11.0,75.0,6.0,49.0,,18.0,23.0,10.0,8.0,105.0,5.0,3.0,18.0,51.0,11.0,4.0,1.0,21.0,1.0,8.0,15.0,52.0,57.0,3.0,10.0,10.0,5.0,7.0,2.0,1.0,2.0,6.0,12.0,2.0,3.0,1.0,32.0,8.0,3.0,2.0,4.0,,,4.0,1.0,,,,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,c2bexv4vlpfplapuqnitpauad,L. Henríquez,Defender,17.0,2.0,,,,,,,,180.0,112.0,48.0,37.0,44.0,19.0,115.0,4.0,82.0,1.0,26.0,38.0,23.0,9.0,170.0,2.0,2.0,11.0,10.0,12.0,1.0,7.0,19.0,2.0,6.0,8.0,87.0,89.0,8.0,7.0,5.0,10.0,7.0,2.0,1.0,1.0,4.0,8.0,2.0,4.0,,59.0,7.0,3.0,4.0,,23.0,3.0,3.0,,3.0,3.0,,5.0,6.0,1.0,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,cekgs1e2bksgxu7c8tzzwcij9,A. Machado,Defender,0.0,10.0,,1.0,,,,,1.0,885.0,303.0,124.0,140.0,125.0,45.0,308.0,10.0,237.0,4.0,62.0,13.0,54.0,24.0,508.0,10.0,8.0,48.0,46.0,36.0,4.0,13.0,68.0,6.0,25.0,125.0,242.0,246.0,20.0,32.0,23.0,39.0,17.0,3.0,2.0,7.0,20.0,33.0,10.0,13.0,2.0,131.0,9.0,11.0,16.0,4.0,49.0,3.0,11.0,8.0,51.0,2.0,,17.0,16.0,2.0,,2.0,1.0,16.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Panama,jx4qgvdq5vsa0hvgqh73mf2t,C. Martínez,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
