liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Unsuccessful lay-offs,Successful Short Passes,Successful Crosses & Corners,Overruns,Tackles Lost,Shots Off Target (inc woodwork),Recoveries,Unsuccessful Long Passes,Corners Taken (incl short corners),Backward Passes,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Unsuccessful Launches,Total Fouls Won,Goals,Unsuccessful Crosses open play,Yellow Cards,Blocked Shots,Foul Attempted Tackle,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Goals Conceded Inside Box,Games Played,Total Fouls Conceded,Successful Crosses open play,Successful Lay-offs,Total Shots,Times Tackled,Key Passes (Attempt Assists),Substitute Off,Rightside Passes,Duels lost,Tackles Won,Goals Conceded,Right Foot Goals,Total Losses Of Possession,Corners Won,Unsuccessful Short Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners into Box,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Ground Duels,Total Passes,Through balls,Shots On Target ( inc goals ),Aerial Duels,Unsuccessful Passes Own Half,Successful Passes Own Half,Leftside Passes,Duels,Open Play Passes,Goal Assists,Interceptions,Successful Open Play Passes,Successful Passes Opposition Half,Starts,Successful Dribbles,Goals from Inside Box,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Total Clearances,Ground Duels won,Index,Total Touches In Opposition Box,Time Played,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Duels won,Substitute On,Successful Corners into Box,Aerial Duels won,Total Tackles,Successful Long Passes,Assists (Intentional),Home Goals,Away Goals,Winning Goal,Penalty Goals Conceded,Penalties Conceded,Offsides,Blocks,Hit Woodwork,Clean Sheets,Successful Launches,Goals from Outside Box,Headed Goals,Handballs conceded,Penalty Goals,Penalties Off Target,Attempts from Set Pieces,Penalties Taken,Last Player Tackle,Goal Kicks,GK Successful Distribution,Left Foot Goals,Clearances Off the Line,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made from Outside Box,Saves made - caught,Goalkeeper Smother,Catches,Drops,Punches,GK Unsuccessful Distribution,Saves Made,Foul Won Penalty,Own Goal Scored,Total Red Cards,Straight Red Cards,Second Goal Assists,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Saves from Penalty,Penalties Saved,Set Pieces Goals
Canada_Canadian_Premier_League,2024,Atlético Ottawa,8it17x5yrhbgk5dhav7y9dysq,L. Piccioli,Midfielder,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,bj8f50ujvt3e3fqi1hr6s3cic,Z. Roy,Defender,2,8,,34,,1,2,1,7,2,,18,3,2,2,5,,3,1,,,1,2,1,8,1,,,2,6,,2,2,8,1,1,,20,1,4,8,6,,1,35,3,16,41,,1,1,2,17,13,17,41,,3,35,18,2,1,,7,,1,9,10,4,158,7,85,4,9,6,,,3,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,9npz0ye67lc40mesoy321cw0k,A. Sacko,Midfielder,91,1,,1,,,,,,,,,,,,,,,,,2,,,,1,2,,,1,1,,,1,3,1,,,2,,,,,,,1,,4,1,,1,,,1,,4,1,,,1,,,,,,,,1,10,1,7,3,5,,1,1,,,1,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,5ggjixg89r56xz7skcr1v9rf8,S. Salter,Forward,9,30,2,175,1,2,9,7,44,5,,70,4,,3,19,5,4,1,3,10,23,8,12,30,30,1,7,23,39,12,8,73,101,15,14,2,152,7,63,48,68,,28,179,1,135,247,,16,61,14,60,56,196,238,2,7,170,120,8,19,5,58,2,3,62,10,67,942,73,473,16,95,22,,33,24,4,2,1,4,0,1,,2,,1,,,,,5,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,8vi59v87nnquzkbk79kzegmzu,L. Singh,Defender,5,19,,857,,1,8,3,45,74,,62,1,1,26,4,,1,5,4,5,3,4,16,19,9,,,5,4,3,3,478,31,8,20,,134,2,46,284,120,,13,953,2,43,1073,,2,28,44,688,249,71,1044,,6,927,265,16,5,,77,4,45,25,10,6,1482,18,1198,10,40,3,,15,16,96,,,,0,,,,6,,4,10,,,,,,1,,,7,7,,,,,,,,,,,,,,,1,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,3wyn5e0uz5jfilp065m3qynoq,A. Sissoko,Midfielder,33,30,,747,1,,15,9,124,20,,189,15,,10,59,3,15,6,5,10,19,23,25,30,19,1,13,18,44,11,13,280,95,25,30,2,208,7,93,185,113,,18,775,14,187,888,3,9,38,25,412,234,225,871,2,21,763,364,25,12,3,103,5,35,110,10,36,2151,77,1247,43,130,5,,20,40,28,1,2,1,1,1,,,3,,4,3,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,lu6un7dbprss3ptkqtv9tk9,B. Tabla,Forward,13,30,,361,7,4,4,23,54,4,,145,13,,2,23,2,13,5,14,5,34,9,17,30,22,7,7,39,51,29,18,100,85,19,21,2,180,13,71,97,75,,12,368,7,153,443,5,16,21,10,104,101,174,439,4,10,364,271,23,34,2,78,4,4,80,10,116,1844,73,746,20,89,7,,9,23,7,2,0,2,1,1,,12,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,apavbqkzwn6ik22hi8d8mo1qt,M. Tissot,Defender,15,12,,83,2,,3,1,13,14,1,30,8,10,12,5,,2,,,2,2,3,2,12,3,2,,2,5,,,37,11,7,2,,56,2,12,46,26,1,3,93,23,24,119,,1,7,11,47,6,31,116,1,2,90,48,2,1,,23,,10,16,10,3,296,8,214,3,20,10,,4,10,10,1,,,0,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,845j7w415yohcsnm22fwx18iy,L. Torres,Defender,6,16,,248,,1,3,1,31,5,,48,,,5,5,1,,1,1,8,4,3,5,16,10,,3,2,8,5,4,64,25,14,6,,42,,18,58,23,,1,258,,52,281,,1,7,8,159,111,59,278,,3,255,99,6,6,1,15,1,5,28,10,3,475,24,354,7,34,10,,6,17,10,,1,0,1,,,,3,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Canada_Canadian_Premier_League,2024,Atlético Ottawa,cerrbtd14shhu2l4y6gnctnmd,K. Twardek,Midfielder,23,23,,398,17,1,14,,56,43,,198,44,33,34,29,1,44,5,,5,22,12,17,23,13,17,1,5,33,6,3,28,68,31,21,1,252,11,79,162,122,,13,421,102,136,543,,5,32,42,237,155,168,529,2,22,407,201,17,9,1,124,4,34,81,10,11,1574,55,980,35,100,6,,19,45,23,2,1,0,1,,,2,5,,5,6,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
