liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Straight Red Cards,Total Shots,Aerial Duels won,Successful Passes Opposition Half,Tackles Lost,Unsuccessful Short Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Unsuccessful Launches,Unsuccessful Long Passes,Clean Sheets,Games Played,Total Clearances,Unsuccessful Crosses & Corners,Touches,Aerial Duels,Successful Crosses & Corners,Recoveries,Unsuccessful Crosses open play,Successful Crosses open play,Aerial Duels lost,Ground Duels won,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Total Tackles,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Foul Attempted Tackle,Ground Duels,Index,Shots Off Target (inc woodwork),Blocks,Duels lost,Ground Duels lost,Successful Short Passes,Total Fouls Won,Duels won,Rightside Passes,Duels,Successful Long Passes,PutThrough/Blocked Distribution,Penalties Conceded,Goals Conceded Outside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Launches,Goals Conceded,Total Passes,Total Losses Of Possession,Substitute On,Total Fouls Conceded,Times Tackled,Total Touches In Opposition Box,Substitute Off,Interceptions,Appearances,Time Played,Backward Passes,Starts,Total Red Cards,Forward Passes,Throw Ins to Own Player,Leftside Passes,Unsuccessful Passes Own Half,Open Play Passes,Penalty Goals Conceded,Yellow Cards,Clearances Off the Line,Winning Goal,Through balls,Unsuccessful Corners into Box,Goals,Offsides,Right Foot Goals,Corners Taken (incl short corners),Shots On Target ( inc goals ),Attempts from Set Pieces,Goals from Inside Box,Successful Corners into Box,Blocked Shots,Successful Dribbles,Second Goal Assists,Handballs conceded,Goal Assists,Corners Won,Hit Woodwork,Assists (Intentional),Goals from Outside Box,Penalties Taken,Successful Lay-offs,Set Pieces Goals,Home Goals,Away Goals,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Left Foot Goals,GK Successful Distribution,Drops,Punches,Saves Made,GK Unsuccessful Distribution,Saves made - parried,Saves made - caught,Saves Made from Outside Box,Goal Kicks,Catches,Saves Made from Inside Box,Foul Won Penalty,Penalties Faced,Goalkeeper Smother,Penalty Goals,Saves from Penalty,Penalties Saved,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Other Goals
USA_USL_League_One,2021,Chattanooga Red Wolves SC,50fhgd3b896gac2p1y8wrwpw4,S. Capozucchi,Defender,23,16.0,1.0,1.0,18.0,156.0,6.0,50.0,3.0,54.0,88.0,10.0,295.0,429.0,17.0,38.0,3.0,17.0,20.0,4.0,722.0,33.0,3.0,65.0,4.0,3.0,15.0,34.0,2.0,3.0,22.0,11.0,1.0,17.0,69.0,10.0,1.0,7.0,50.0,35.0,418.0,13.0,52.0,93.0,102.0,30.0,10.0,1.0,1.0,448.0,8.0,11.0,536.0,119.0,1.0,26.0,7.0,2.0,9.0,18.0,17.0,1284.0,72.0,16.0,2.0,205.0,56.0,166.0,38.0,517.0,2.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,eecchw0xji02pxoauns30bm5l,J. Carrera,Midfielder,10,22.0,,22.0,13.0,775.0,16.0,152.0,34.0,222.0,204.0,26.0,606.0,1271.0,12.0,52.0,5.0,29.0,12.0,58.0,1991.0,34.0,17.0,138.0,26.0,6.0,21.0,91.0,22.0,17.0,38.0,,,23.0,202.0,10.0,11.0,1.0,132.0,111.0,1282.0,41.0,104.0,418.0,236.0,82.0,34.0,,5.0,1364.0,7.0,31.0,1568.0,362.0,,44.0,46.0,40.0,2.0,37.0,29.0,2662.0,287.0,29.0,,530.0,10.0,333.0,40.0,1471.0,2.0,9.0,,0.0,8.0,27.0,2.0,4.0,2.0,58.0,11.0,4.0,1.0,10.0,9.0,15.0,1.0,2.0,2.0,12.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,35gw2u5bmazcn9vfiti4puy21,J. Dietrich,Forward,21,7.0,,11.0,8.0,61.0,2.0,38.0,6.0,47.0,42.0,6.0,48.0,106.0,1.0,4.0,,20.0,2.0,12.0,287.0,17.0,2.0,40.0,12.0,1.0,9.0,32.0,12.0,2.0,9.0,1.0,,8.0,70.0,10.0,7.0,,47.0,38.0,100.0,16.0,40.0,23.0,87.0,7.0,6.0,,,107.0,,6.0,149.0,93.0,10.0,11.0,18.0,28.0,10.0,6.0,20.0,671.0,52.0,10.0,,38.0,14.0,36.0,7.0,148.0,,3.0,,1.0,1.0,,2.0,7.0,1.0,1.0,4.0,,2.0,1.0,8.0,7.0,,,1.0,9.0,,1.0,,,1.0,,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,411grh3cytippnnanb767qvsa,Rafa Mentzingen,Forward,7,9.0,,19.0,16.0,88.0,4.0,60.0,12.0,77.0,69.0,8.0,33.0,109.0,5.0,9.0,,17.0,4.0,14.0,415.0,33.0,5.0,39.0,14.0,5.0,17.0,59.0,19.0,4.0,13.0,,,9.0,115.0,10.0,9.0,1.0,73.0,56.0,111.0,29.0,75.0,31.0,148.0,5.0,21.0,,2.0,116.0,1.0,10.0,185.0,167.0,8.0,11.0,33.0,49.0,6.0,4.0,17.0,885.0,54.0,9.0,,52.0,2.0,48.0,6.0,178.0,1.0,3.0,,1.0,1.0,,1.0,3.0,,,10.0,,1.0,,3.0,17.0,,,,11.0,,,,,6.0,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,b3vnu6sesj92pye3x8lhffcyy,J. Esparza,Defender,23,16.0,,3.0,19.0,272.0,8.0,95.0,14.0,126.0,147.0,18.0,256.0,498.0,29.0,52.0,2.0,25.0,30.0,32.0,1073.0,41.0,10.0,81.0,32.0,9.0,22.0,34.0,5.0,10.0,24.0,63.0,,5.0,74.0,10.0,1.0,2.0,62.0,40.0,488.0,5.0,53.0,211.0,115.0,30.0,29.0,,3.0,518.0,9.0,21.0,665.0,272.0,8.0,24.0,7.0,8.0,6.0,24.0,25.0,1607.0,123.0,17.0,,302.0,130.0,29.0,53.0,645.0,2.0,3.0,,0.0,,,,1.0,,2.0,2.0,,,,3.0,5.0,,,,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,euooh9bkymh46vkxa3fvhrbop,J. Espana,Midfielder,11,25.0,,10.0,9.0,219.0,11.0,75.0,19.0,88.0,89.0,10.0,120.0,326.0,3.0,14.0,,24.0,6.0,21.0,665.0,24.0,11.0,56.0,21.0,10.0,15.0,58.0,15.0,9.0,36.0,,,21.0,124.0,10.0,4.0,1.0,81.0,66.0,310.0,11.0,67.0,105.0,148.0,18.0,23.0,,2.0,328.0,2.0,12.0,417.0,180.0,9.0,28.0,24.0,49.0,14.0,15.0,24.0,1232.0,137.0,15.0,,112.0,11.0,63.0,22.0,415.0,1.0,6.0,,0.0,1.0,,3.0,6.0,3.0,2.0,6.0,,3.0,1.0,9.0,11.0,,,,8.0,1.0,,,,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,5l65hftatfs9o50on7mh6gkq,B. Frischknecht,Forward,22,2.0,,27.0,29.0,89.0,1.0,59.0,9.0,60.0,64.0,9.0,42.0,110.0,3.0,5.0,,20.0,6.0,3.0,344.0,52.0,1.0,24.0,3.0,1.0,23.0,18.0,13.0,2.0,3.0,,,6.0,67.0,10.0,15.0,,72.0,49.0,127.0,9.0,47.0,61.0,119.0,3.0,10.0,,3.0,130.0,1.0,12.0,194.0,135.0,7.0,20.0,29.0,79.0,13.0,2.0,20.0,982.0,59.0,13.0,,49.0,1.0,25.0,7.0,174.0,1.0,3.0,,0.0,,,1.0,6.0,,,12.0,2.0,1.0,,6.0,6.0,,3.0,1.0,15.0,2.0,1.0,,,9.0,,1.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,d6hinvoq9bazu1j5tnf1dcqju,J. Galindrez,Forward,19,3.0,,48.0,24.0,112.0,4.0,61.0,5.0,57.0,64.0,13.0,50.0,133.0,1.0,3.0,,29.0,17.0,3.0,522.0,74.0,1.0,28.0,3.0,1.0,50.0,47.0,15.0,9.0,7.0,,,10.0,106.0,10.0,25.0,1.0,109.0,59.0,158.0,32.0,71.0,47.0,180.0,3.0,14.0,,2.0,161.0,1.0,15.0,225.0,184.0,19.0,22.0,38.0,113.0,9.0,2.0,29.0,1316.0,89.0,10.0,,40.0,1.0,49.0,10.0,196.0,1.0,4.0,,4.0,1.0,,11.0,26.0,7.0,,23.0,,11.0,,9.0,8.0,,3.0,1.0,13.0,6.0,1.0,,,4.0,,9.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,4zk384iwrvinp38k34hc10q1h,M. Hernández,Forward,20,5.0,,28.0,11.0,204.0,12.0,67.0,23.0,117.0,85.0,10.0,86.0,250.0,6.0,18.0,1.0,24.0,6.0,53.0,696.0,32.0,22.0,65.0,47.0,21.0,21.0,62.0,22.0,14.0,17.0,2.0,,13.0,127.0,10.0,15.0,2.0,86.0,65.0,251.0,28.0,73.0,93.0,159.0,17.0,25.0,,1.0,268.0,1.0,11.0,353.0,230.0,18.0,28.0,30.0,64.0,2.0,9.0,24.0,1136.0,110.0,6.0,,103.0,18.0,47.0,21.0,335.0,2.0,5.0,,2.0,2.0,3.0,5.0,7.0,,16.0,13.0,,5.0,2.0,10.0,17.0,1.0,2.0,3.0,18.0,2.0,3.0,,,1.0,,2.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Chattanooga Red Wolves SC,7oplx9ih8mkjrolnz5jf36ytx,J. Luna,Defender,2,5.0,,2.0,9.0,73.0,4.0,22.0,,42.0,55.0,6.0,152.0,204.0,8.0,33.0,1.0,8.0,12.0,1.0,341.0,24.0,,24.0,1.0,,15.0,15.0,1.0,,9.0,,,3.0,33.0,10.0,1.0,4.0,33.0,18.0,199.0,7.0,24.0,92.0,57.0,26.0,1.0,,,225.0,5.0,6.0,280.0,61.0,1.0,12.0,2.0,2.0,3.0,9.0,8.0,560.0,22.0,7.0,,136.0,1.0,30.0,14.0,258.0,,2.0,,0.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
