liga,temporada,equipo,id,nombre,posicion,dorsal,Through balls,Time Played,Shots On Target ( inc goals ),Successful Short Passes,Ground Duels lost,Aerial Duels lost,Handballs conceded,Headed Goals,Duels,Goal Assists,Aerial Duels won,Total Losses Of Possession,Penalty Goals Conceded,Total Fouls Won,Successful Long Passes,Yellow Cards,Goals Conceded Inside Box,Forward Passes,Foul Attempted Tackle,Ground Duels,Goals from Inside Box,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Duels won,Rightside Passes,Games Played,Right Foot Goals,Total Fouls Conceded,Unsuccessful Long Passes,Successful Passes Opposition Half,Tackles Won,Leftside Passes,Substitute On,Open Play Passes,Ground Duels won,Unsuccessful Short Passes,Starts,Unsuccessful Passes Own Half,PutThrough/Blocked Distribution Won,Tackles Lost,Successful Passes Own Half,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded,Overruns,Successful Launches,Goals,Unsuccessful Crosses & Corners,Interceptions,Recoveries,Index,PutThrough/Blocked Distribution,Hit Woodwork,Unsuccessful lay-offs,Total Touches In Opposition Box,Assists (Intentional),Unsuccessful Crosses open play,Aerial Duels,Unsuccessful Passes Opposition Half,Total Passes,Total Clearances,Duels lost,Blocks,Total Shots,Successful Crosses & Corners,Unsuccessful Launches,Successful Crosses open play,Corners Won,Times Tackled,Goals Conceded Outside Box,Touches,Appearances,Offsides,Successful Open Play Passes,Throw Ins to Own Player,Total Tackles,Substitute Off,Unsuccessful Dribbles,Backward Passes,Successful Dribbles,Successful Lay-offs,Home Goals,Away Goals,Winning Goal,Left Foot Goals,Goals from Outside Box,Clearances Off the Line,Penalties Conceded,Penalty Goals,Penalties Taken,Attempts from Set Pieces,Foul Won Penalty,Successful Corners into Box,Corners Taken (incl short corners),Set Pieces Goals,Unsuccessful Corners into Box,GK Successful Distribution,Goal Kicks,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Other Goals,Second Goal Assists,Catches,Saves Made from Outside Box,GK Unsuccessful Distribution,Drops,Punches,Saves Made,Saves Made from Inside Box,Penalties Faced,Saves made - caught,Saves made - parried,Saves from Penalty,Penalties Saved,Goalkeeper Smother,Straight Red Cards,Last Man Tackle,Penalties Off Target,Last Player Tackle,Crosses not Claimed
USA_USL_Championship,2023,Miami FC,4kycyoyxmsfs6w1kanr4pjqj8,N. Abrams,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,Midfielder,21,1.0,2398.0,4.0,1047.0,77.0,25.0,1.0,1.0,301.0,,61.0,205.0,7.0,40.0,37.0,7.0,27.0,290.0,30.0,215.0,1.0,,176.0,7.0,1084.0,7.0,199.0,304.0,28.0,,46.0,41.0,474.0,59.0,380.0,,1200.0,138.0,135.0,28.0,48.0,19.0,30.0,610.0,3.0,11.0,29.0,,2.0,1.0,5.0,37.0,167.0,10.0,30.0,2.0,,12.0,,5.0,86.0,133.0,1260.0,35.0,102.0,8.0,11.0,,3.0,,2.0,9.0,2.0,1587.0,28.0,,1025.0,2.0,89.0,2.0,2.0,286.0,10.0,11.0,0.0,1.0,0.0,,,,,,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,78awgg45vsfu4rojwn2y4lwyc,Y. Alarcon,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,3c47mqf0vorrfrigxmqqhwqac,J. Ayimbila,Defender,3,,807.0,,103.0,58.0,17.0,,,143.0,,17.0,205.0,1.0,11.0,15.0,5.0,15.0,105.0,9.0,109.0,,42.0,91.0,3.0,118.0,,68.0,63.0,12.0,,18.0,22.0,53.0,17.0,3.0,2.0,208.0,51.0,69.0,10.0,27.0,8.0,9.0,68.0,,2.0,17.0,3.0,6.0,,13.0,16.0,69.0,10.0,22.0,,,12.0,,13.0,34.0,77.0,209.0,12.0,75.0,2.0,3.0,3.0,8.0,3.0,10.0,32.0,2.0,481.0,12.0,4.0,117.0,47.0,26.0,8.0,21.0,38.0,14.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,rtercnq9nn7y0814ghe7wo2x,D. Barbir,Defender,14,2.0,3058.0,5.0,1377.0,64.0,34.0,,,210.0,5.0,49.0,455.0,3.0,14.0,133.0,4.0,39.0,733.0,4.0,127.0,2.0,20.0,351.0,8.0,1510.0,9.0,112.0,683.0,34.0,,16.0,157.0,638.0,22.0,172.0,,1759.0,63.0,194.0,34.0,120.0,16.0,13.0,883.0,5.0,13.0,48.0,1.0,8.0,2.0,27.0,47.0,219.0,10.0,49.0,,,39.0,4.0,27.0,83.0,258.0,1861.0,72.0,98.0,19.0,13.0,11.0,37.0,11.0,9.0,19.0,9.0,2456.0,34.0,2.0,1421.0,198.0,35.0,1.0,11.0,273.0,14.0,,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_USL_Championship,2023,Miami FC,ckefp96qi7xs4yt9n329paajt,A. Booth,Midfielder,80,,756.0,3.0,370.0,41.0,11.0,3.0,1.0,93.0,1.0,12.0,90.0,,10.0,24.0,3.0,10.0,121.0,8.0,70.0,2.0,,59.0,6.0,394.0,2.0,41.0,108.0,24.0,,20.0,15.0,220.0,11.0,125.0,17.0,443.0,29.0,44.0,7.0,16.0,7.0,4.0,174.0,6.0,6.0,11.0,,2.0,2.0,2.0,4.0,69.0,10.0,13.0,,,17.0,1.0,2.0,23.0,45.0,453.0,9.0,52.0,3.0,9.0,,3.0,,2.0,14.0,1.0,569.0,24.0,,384.0,1.0,15.0,4.0,4.0,99.0,4.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,cskhx4mpx2quo562ptajwbsru,Gabriel Cabral,Midfielder,8,1.0,1646.0,11.0,711.0,63.0,14.0,1.0,,164.0,2.0,10.0,199.0,3.0,44.0,64.0,3.0,20.0,222.0,17.0,140.0,2.0,,124.0,7.0,775.0,5.0,87.0,236.0,22.0,,29.0,35.0,431.0,15.0,254.0,4.0,851.0,77.0,89.0,18.0,26.0,11.0,7.0,361.0,5.0,25.0,22.0,,3.0,2.0,35.0,35.0,89.0,10.0,21.0,,,15.0,2.0,8.0,24.0,133.0,899.0,17.0,77.0,12.0,18.0,17.0,11.0,2.0,6.0,18.0,2.0,1205.0,22.0,,735.0,7.0,22.0,2.0,11.0,187.0,11.0,20.0,2.0,0.0,0.0,2.0,,,,,,5.0,1.0,13.0,37.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,4dw662egycd9yn2e86ae4s7hl,C. Chapman-Page,Defender,5,1.0,1396.0,6.0,700.0,25.0,15.0,1.0,,130.0,1.0,39.0,118.0,4.0,23.0,35.0,9.0,19.0,302.0,5.0,76.0,1.0,2.0,106.0,2.0,735.0,3.0,90.0,163.0,20.0,1.0,18.0,35.0,211.0,14.0,343.0,3.0,809.0,51.0,71.0,17.0,50.0,6.0,7.0,524.0,1.0,2.0,24.0,,3.0,1.0,1.0,17.0,60.0,10.0,12.0,,,15.0,1.0,1.0,54.0,57.0,841.0,46.0,40.0,9.0,8.0,,11.0,,3.0,4.0,5.0,1029.0,20.0,,706.0,8.0,21.0,7.0,1.0,33.0,7.0,2.0,0.0,1.0,0.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2023,Miami FC,9tknltys66s9j8ljchwu5efv9,P. Craig,Defender,4,5.0,2889.0,3.0,1425.0,50.0,40.0,1.0,2.0,260.0,2.0,97.0,424.0,8.0,22.0,203.0,6.0,38.0,768.0,15.0,123.0,2.0,,389.0,8.0,1628.0,7.0,170.0,562.0,33.0,,38.0,240.0,613.0,28.0,615.0,,1940.0,73.0,149.0,33.0,97.0,8.0,16.0,1016.0,4.0,7.0,42.0,,10.0,2.0,2.0,37.0,198.0,10.0,15.0,1.0,,39.0,,2.0,137.0,294.0,2017.0,143.0,90.0,30.0,11.0,1.0,36.0,1.0,4.0,11.0,4.0,2393.0,33.0,4.0,1567.0,1.0,44.0,,5.0,72.0,7.0,1.0,2.0,0.0,1.0,,,1.0,3.0,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,
USA_USL_Championship,2023,Miami FC,6v4vata8y9m9rqip8p50jz78q,L. DiMercurio,Midfielder,15,,10.0,,5.0,,,,,1.0,,,3.0,,,,,,,,1.0,,,2.0,1.0,5.0,,1.0,1.0,2.0,,,,4.0,,3.0,2.0,7.0,1.0,2.0,,,,,1.0,,,,,,,1.0,,3.0,10.0,,,,1.0,,1.0,,3.0,7.0,,,,1.0,,,,,,,10.0,2.0,,5.0,,,,,3.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
