equipo,link,logo,cod_equipo,cod_liga,liga
Anguilla,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/anguilla/a8qocq8ic1q8zme3s7d3icrmd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a8qocq8ic1q8zme3s7d3icrmd,a8qocq8ic1q8zme3s7d3icrmd,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Antigua and Barbuda,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/antigua-and-barbuda/a90m8z0sazz6fn3swvghc3sut,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a90m8z0sazz6fn3swvghc3sut,a90m8z0sazz6fn3swvghc3sut,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Aruba,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/aruba/a7r9j0ovrdvpxpmmy71dq904r,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a7r9j0ovrdvpxpmmy71dq904r,a7r9j0ovrdvpxpmmy71dq904r,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Bahamas,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/bahamas/64le7lqb2ork2odjnft2lcf6d,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=64le7lqb2ork2odjnft2lcf6d,64le7lqb2ork2odjnft2lcf6d,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Barbados,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/barbados/6raiahlhb99i9rzr6sj4nm7qh,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6raiahlhb99i9rzr6sj4nm7qh,6raiahlhb99i9rzr6sj4nm7qh,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Belize,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/belize/ad06y2rz0lcrn6dsone4cl4g5,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ad06y2rz0lcrn6dsone4cl4g5,ad06y2rz0lcrn6dsone4cl4g5,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Bermuda,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/bermuda/88ca766nh0ae9i9kpvwubxpzp,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=88ca766nh0ae9i9kpvwubxpzp,88ca766nh0ae9i9kpvwubxpzp,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
British Virgin Islands,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/british-virgin-islands/9u425psmj98quzjm5ekozmeyb,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9u425psmj98quzjm5ekozmeyb,9u425psmj98quzjm5ekozmeyb,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Cayman Islands,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/cayman-islands/ckypeadymrd2akaqkumu3w6ol,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ckypeadymrd2akaqkumu3w6ol,ckypeadymrd2akaqkumu3w6ol,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/teams/costa-rica/bfgqfm4qa3mal7fll74wd04mu,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=bfgqfm4qa3mal7fll74wd04mu,bfgqfm4qa3mal7fll74wd04mu,excflxj3ypj69gf2wlx7kpudw,concacaf-world-cup-qualifiers-2026-canada-mexico-usa
