liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Goals,Right Foot Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Substitute On,Penalty Goals Conceded,Aerial Duels won,Total Clearances,Handballs conceded,Successful Launches,Unsuccessful Launches,Shots Off Target (inc woodwork),Blocks,Blocked Shots,Throw Ins to Opposition Player,Second Goal Assists,Hit Woodwork,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Successful Corners into Box,Attempts from Set Pieces,Left Foot Goals,Goals from Outside Box,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,GK Unsuccessful Distribution,Foul Won Penalty,Penalties Taken,Penalty Goals,Goalkeeper Smother,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Penalties Saved,Saves from Penalty,Straight Red Cards,Last Man Tackle,Clearances Off the Line,Home Goals,Away Goals,Set Pieces Goals,Saves made - caught
Canada_Canadian_Premier_League,2020,Cavalry FC,5m5p9c4iyl4f4j1rr1rdmojfu,E. Adekugbe,Midfielder,8,3.0,1.0,638.0,1.0,5.0,1.0,,396.0,3.0,5.0,91.0,12.0,165.0,2.0,18.0,8.0,,13.0,99.0,205.0,11.0,45.0,421.0,3.0,7.0,6.0,337.0,10.0,5.0,63.0,123.0,13.0,73.0,41.0,7.0,11.0,10.0,547.0,24.0,9.0,5.0,52.0,121.0,2.0,10.0,47.0,4.0,21.0,2.0,20.0,1.0,75.0,10.0,20.0,9.0,12.0,1.0,15.0,86.0,1.0,335.0,358.0,23.0,,1.0,,9.0,28.0,2.0,10.0,37.0,1.0,2.0,3.0,10.0,5.0,,,5.0,1.0,2.0,,1.0,,,,,,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,8xiikcvufow3u6jo0opzhtip5,R. Boskovic,Defender,25,,1.0,479.0,3.0,,,,325.0,,2.0,30.0,,88.0,2.0,34.0,4.0,,6.0,76.0,180.0,10.0,32.0,334.0,2.0,7.0,1.0,238.0,5.0,3.0,66.0,112.0,,47.0,32.0,6.0,9.0,19.0,397.0,,6.0,4.0,27.0,146.0,3.0,10.0,25.0,,30.0,,4.0,1.0,43.0,5.0,,6.0,,,12.0,46.0,,260.0,268.0,16.0,2.0,,,4.0,18.0,6.0,10.0,15.0,0.0,,2.0,10.0,8.0,,2.0,5.0,3.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,c0bz7h3es1ym0n5he0l4ntzop,J. Brown,Forward,9,8.0,2.0,657.0,,4.0,3.0,1.0,103.0,8.0,18.0,52.0,1.0,53.0,,3.0,1.0,1.0,14.0,75.0,36.0,5.0,17.0,108.0,4.0,13.0,3.0,87.0,7.0,13.0,20.0,19.0,4.0,28.0,13.0,7.0,4.0,1.0,210.0,1.0,10.0,4.0,46.0,17.0,31.0,10.0,17.0,7.0,1.0,1.0,5.0,8.0,64.0,8.0,9.0,10.0,1.0,,33.0,20.0,3.0,83.0,88.0,18.0,2.0,,,2.0,47.0,3.0,,13.0,2.0,3.0,3.0,4.0,3.0,1.0,,2.0,6.0,,6.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,6re26cen7xbrynezb3rerst05,S. Camargo,Midfielder,10,4.0,1.0,130.0,,,1.0,1.0,38.0,1.0,2.0,13.0,,20.0,1.0,,2.0,,1.0,18.0,11.0,3.0,8.0,39.0,2.0,1.0,3.0,30.0,2.0,3.0,8.0,10.0,1.0,12.0,6.0,2.0,3.0,,64.0,,2.0,1.0,10.0,7.0,8.0,10.0,7.0,1.0,1.0,,1.0,1.0,11.0,2.0,4.0,2.0,,,3.0,9.0,1.0,30.0,31.0,1.0,,,,,4.0,3.0,,7.0,0.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,7tmc8hrkee4lo05qa26i7e5zp,M. Carducci,Goalkeeper,1,,,810.0,,,,,183.0,1.0,,,,33.0,1.0,89.0,,1.0,,90.0,157.0,,,279.0,,1.0,,139.0,9.0,,89.0,57.0,,68.0,68.0,9.0,,21.0,339.0,,9.0,1.0,3.0,173.0,,10.0,2.0,,51.0,,1.0,,3.0,10.0,,9.0,,,1.0,49.0,,128.0,190.0,,3.0,,,,1.0,,,2.0,0.0,,2.0,,5.0,,19.0,52.0,,,,,,,1.0,,,,,,,10.0,86.0,,1.0,1.0,,4.0,1.0,6.0,2.0,14.0,,,,3.0,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,2scpcmidt9xp5k5jljwfh9bs9,J. Córdova,Forward,19,,1.0,71.0,,,1.0,,24.0,,1.0,3.0,,12.0,,1.0,1.0,,7.0,10.0,3.0,,8.0,24.0,,,,14.0,,2.0,9.0,3.0,1.0,8.0,5.0,,1.0,1.0,32.0,,4.0,,3.0,10.0,5.0,10.0,4.0,1.0,1.0,,1.0,,13.0,,,4.0,,,2.0,8.0,1.0,15.0,15.0,10.0,,,,,9.0,,,1.0,0.0,4.0,,3.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,3mdoaxl9nv5pgiya30nqm3qi,O.Fakunle,Forward,0,,,7.0,,,,,3.0,,,1.0,,1.0,,,,,,2.0,1.0,,1.0,3.0,,,,2.0,,1.0,1.0,1.0,,,,,,1.0,5.0,,1.0,,,,1.0,10.0,,,,,,,,,,1.0,,,,1.0,,2.0,2.0,,,,,,,,,,0.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,49rr75teem0kobuhr4cesh756,M. Farsi,Defender,21,25.0,,611.0,54.0,,1.0,1.0,244.0,9.0,12.0,86.0,10.0,104.0,2.0,19.0,8.0,1.0,7.0,138.0,95.0,15.0,47.0,255.0,3.0,7.0,5.0,177.0,6.0,3.0,66.0,28.0,5.0,79.0,49.0,7.0,22.0,13.0,487.0,1.0,10.0,4.0,64.0,80.0,19.0,10.0,48.0,2.0,12.0,10.0,20.0,7.0,79.0,7.0,26.0,10.0,1.0,1.0,24.0,61.0,1.0,178.0,189.0,15.0,1.0,1.0,1.0,8.0,31.0,7.0,11.0,40.0,0.0,3.0,3.0,8.0,10.0,1.0,2.0,8.0,1.0,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,207co3fpu5mhbs1r0e6p8vze1,N. Giantsopoulos,Goalkeeper,22,,,90.0,,,,,15.0,,,,,1.0,,8.0,,,,10.0,11.0,,1.0,21.0,,,,11.0,1.0,,9.0,6.0,,5.0,7.0,1.0,,4.0,30.0,,1.0,,,11.0,,10.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,4.0,,10.0,12.0,1.0,,,,,,,,,0.0,,1.0,1.0,1.0,,1.0,5.0,,,,,,,,,,,,,,2.0,6.0,,1.0,,1.0,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,1mg5xen2me6dsqu3b0lktvnbp,M. Haber,Forward,29,12.0,2.0,507.0,,2.0,2.0,1.0,119.0,8.0,12.0,38.0,1.0,58.0,1.0,1.0,2.0,,30.0,86.0,19.0,1.0,47.0,124.0,4.0,16.0,1.0,75.0,5.0,14.0,48.0,26.0,5.0,56.0,10.0,5.0,5.0,4.0,202.0,,9.0,2.0,32.0,41.0,35.0,10.0,47.0,8.0,1.0,1.0,9.0,3.0,100.0,5.0,12.0,9.0,,,23.0,19.0,2.0,71.0,76.0,68.0,,,,,53.0,1.0,,9.0,2.0,4.0,,38.0,4.0,2.0,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,zrowi3rzq9fndgtn1qozene1,J. Hernández,Midfielder,20,1.0,2.0,102.0,,,,,33.0,,8.0,6.0,,21.0,1.0,,1.0,,7.0,24.0,6.0,4.0,6.0,33.0,1.0,5.0,,27.0,3.0,1.0,6.0,5.0,2.0,7.0,5.0,1.0,1.0,,63.0,,3.0,2.0,20.0,14.0,4.0,10.0,10.0,,,,2.0,,31.0,3.0,1.0,3.0,,,14.0,8.0,,27.0,27.0,11.0,,,,3.0,21.0,1.0,,6.0,0.0,2.0,3.0,4.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,86tz9u1o9o5u0lbyycyd3df4l,N. Ledgerwood,Midfielder,6,4.0,,411.0,,1.0,1.0,1.0,150.0,4.0,6.0,32.0,12.0,78.0,1.0,17.0,5.0,1.0,6.0,80.0,50.0,12.0,30.0,163.0,4.0,13.0,1.0,104.0,4.0,4.0,47.0,29.0,6.0,62.0,26.0,5.0,8.0,5.0,253.0,21.0,7.0,12.0,45.0,65.0,6.0,10.0,26.0,2.0,12.0,3.0,10.0,3.0,54.0,5.0,20.0,7.0,12.0,1.0,22.0,37.0,1.0,106.0,116.0,9.0,1.0,1.0,1.0,7.0,28.0,5.0,4.0,23.0,0.0,2.0,1.0,3.0,3.0,,1.0,7.0,2.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,c71o8hujd9joixq9ge68i4qg9,N. Mavila,Defender,3,27.0,,709.0,60.0,,3.0,1.0,244.0,5.0,18.0,72.0,9.0,78.0,1.0,29.0,9.0,1.0,8.0,155.0,117.0,10.0,40.0,255.0,3.0,21.0,10.0,160.0,8.0,10.0,69.0,83.0,10.0,84.0,42.0,8.0,20.0,22.0,497.0,10.0,9.0,10.0,74.0,100.0,12.0,10.0,42.0,6.0,26.0,4.0,11.0,9.0,94.0,9.0,37.0,9.0,7.0,,44.0,,2.0,176.0,186.0,20.0,2.0,1.0,1.0,6.0,52.0,4.0,10.0,30.0,0.0,1.0,1.0,12.0,6.0,,4.0,14.0,4.0,1.0,,18.0,,,,,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,1lg1214de42tia4tcv7rk3z6d,Oliver Minatel,Forward,7,4.0,,454.0,,6.0,,,132.0,2.0,4.0,48.0,2.0,74.0,,3.0,4.0,1.0,8.0,50.0,42.0,5.0,25.0,142.0,5.0,10.0,4.0,110.0,5.0,6.0,28.0,33.0,5.0,26.0,19.0,6.0,9.0,6.0,201.0,,7.0,6.0,39.0,35.0,15.0,10.0,24.0,2.0,4.0,2.0,8.0,1.0,55.0,6.0,4.0,7.0,,,23.0,26.0,,104.0,114.0,16.0,,1.0,1.0,2.0,31.0,3.0,,16.0,0.0,1.0,,8.0,2.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,20o0wuwg7mm8ynf0msec3a06i,D. Northover,Defender,2,2.0,,355.0,34.0,,,,141.0,,5.0,27.0,1.0,45.0,,15.0,2.0,,7.0,78.0,49.0,7.0,38.0,146.0,1.0,8.0,4.0,84.0,5.0,,53.0,3.0,1.0,41.0,17.0,4.0,8.0,14.0,256.0,,7.0,4.0,38.0,72.0,1.0,10.0,30.0,,9.0,1.0,13.0,2.0,51.0,5.0,2.0,7.0,,,14.0,44.0,,88.0,93.0,13.0,1.0,,,4.0,21.0,3.0,10.0,24.0,0.0,3.0,3.0,6.0,5.0,,2.0,6.0,,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,7fcj29th1uv9jkhdh67tygeay,N. Pasquotti,Forward,17,17.0,2.0,537.0,17.0,4.0,,,156.0,8.0,25.0,59.0,,83.0,,8.0,5.0,1.0,6.0,117.0,37.0,7.0,29.0,157.0,4.0,6.0,14.0,111.0,4.0,6.0,37.0,27.0,6.0,47.0,31.0,7.0,11.0,7.0,318.0,,8.0,5.0,66.0,41.0,25.0,10.0,42.0,2.0,9.0,,11.0,15.0,83.0,5.0,17.0,8.0,,,35.0,30.0,,119.0,120.0,17.0,2.0,,,7.0,41.0,,4.0,31.0,0.0,1.0,,11.0,1.0,1.0,1.0,7.0,4.0,,6.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Canada_Canadian_Premier_League,2020,Cavalry FC,ekpuqpny9mue83orafcamp2i,A. Pepple,Forward,24,1.0,1.0,67.0,,1.0,,,13.0,1.0,7.0,5.0,,7.0,,,1.0,,2.0,21.0,3.0,2.0,3.0,13.0,,2.0,1.0,10.0,,2.0,3.0,,1.0,4.0,4.0,,1.0,,40.0,,6.0,1.0,13.0,6.0,6.0,10.0,4.0,1.0,,,,2.0,16.0,,1.0,6.0,,,10.0,2.0,,10.0,10.0,3.0,,,,1.0,12.0,1.0,,3.0,0.0,6.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
