liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Assists (Intentional),Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Substitute On,Yellow Cards,Attempts from Set Pieces,Clearances Off the Line,GK Successful Distribution,Goal Kicks,Successful Launches,Total Big Chances Saved,Penalties Conceded,Second Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Right Foot Goals,Home Goals,Away Goals,Unsuccessful lay-offs,Last Player Tackle,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Hit Woodwork,Total Big Chances Scored,Left Foot Goals,Direct Setpiece Goals,Set Pieces Goals,Headed Goals,Penalty Goals Conceded,Straight Red Cards,Total Red Cards,Own Goal Scored,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Saves made - caught,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Penalties Off Target
USA_MLS,2026,Los Angeles Galaxy,3hha4o7giozmt7zpcnc83icfe,J. Aude,Defender,3,14.0,8.0,6.0,8.0,,49.0,,3.0,84.0,1.0,,,61.0,22.0,39.0,60.0,138.0,5.0,8.0,,7.0,6.0,1.0,47.0,14.0,33.0,,5.0,1.0,48.0,,380.0,,39.0,12.0,7.0,30.0,156.0,1.0,,,8.0,7.0,,3.0,3.0,4.0,2.0,7.0,345.0,131.0,227.0,348.0,3.0,12.0,,6.0,36.0,549.0,6.0,,,9.0,8.0,14.0,56.0,391.0,,355.0,15.0,1.0,36.0,517.0,,5.0,5.0,2.0,2.0,12.0,27.0,14.0,24.0,0.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,dtj5zjdur2d1of2ip3ar4r88a,E. Cerrillo,Midfielder,6,12.0,6.0,6.0,13.0,,88.0,2.0,4.0,174.0,,,1.0,83.0,39.0,44.0,112.0,196.0,2.0,13.0,,19.0,15.0,4.0,71.0,33.0,38.0,,6.0,6.0,212.0,,689.0,,59.0,18.0,12.0,55.0,204.0,6.0,1.0,3.0,11.0,5.0,,,,7.0,9.0,40.0,634.0,350.0,295.0,605.0,6.0,13.0,,,1.0,1030.0,12.0,,,21.0,8.0,12.0,78.0,700.0,4.0,645.0,19.0,2.0,55.0,824.0,,2.0,2.0,4.0,6.0,13.0,33.0,24.0,42.0,0.0,2.0,4.0,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,7x3sqcf8wtq2qwyqcbv2itw8a,M. Cuevas,Defender,19,12.0,9.0,3.0,11.0,,65.0,2.0,2.0,79.0,,8.0,14.0,54.0,27.0,27.0,201.0,128.0,7.0,11.0,,13.0,9.0,4.0,42.0,18.0,24.0,,2.0,11.0,128.0,2.0,361.0,,49.0,24.0,7.0,31.0,44.0,11.0,,3.0,7.0,3.0,3.0,10.0,6.0,5.0,1.0,9.0,280.0,162.0,129.0,272.0,3.0,7.0,1.0,9.0,49.0,698.0,5.0,1.0,,32.0,10.0,10.0,143.0,365.0,3.0,281.0,10.0,27.0,84.0,568.0,5.0,30.0,23.0,3.0,10.0,21.0,87.0,27.0,63.0,0.0,4.0,4.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,e18oy4yszvb1lu82omsz9wxec,T. Elgersma,Midfielder,76,3.0,1.0,2.0,1.0,,2.0,,,,,,,3.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,1.0,,3.0,2.0,1.0,3.0,,,,,,1.0,,,,1.0,,,1.0,3.0,,3.0,,1.0,,5.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,62zgr9eyt4v2wvil67ii8ph0q,Gabriel Pec,Forward,11,13.0,12.0,1.0,13.0,4.0,132.0,17.0,,211.0,1.0,15.0,14.0,139.0,78.0,61.0,358.0,95.0,6.0,13.0,4.0,15.0,13.0,2.0,126.0,66.0,60.0,1.0,6.0,20.0,139.0,5.0,386.0,3.0,118.0,14.0,10.0,52.0,35.0,24.0,10.0,28.0,13.0,2.0,3.0,6.0,2.0,27.0,16.0,11.0,341.0,258.0,104.0,345.0,6.0,2.0,2.0,,13.0,1124.0,43.0,5.0,4.0,4.0,14.0,25.0,158.0,401.0,38.0,356.0,8.0,81.0,45.0,690.0,7.0,15.0,7.0,28.0,1.0,7.0,53.0,7.0,38.0,2.0,,3.0,2.0,,,,,,,1.0,5.0,5.0,4.0,1.0,1.0,0.0,5.0,,,,,,,,,,,,,,3.0,4.0,4.0,,,,1.0,,1.0,,,,,,,1.0,,,
USA_MLS,2026,Los Angeles Galaxy,2vkfc121vxf4n83nluee80k5w,E. Garcés,Defender,25,18.0,9.0,9.0,10.0,1.0,42.0,,3.0,166.0,,,1.0,69.0,29.0,40.0,25.0,163.0,8.0,10.0,1.0,11.0,8.0,3.0,51.0,20.0,31.0,,13.0,2.0,139.0,,508.0,,74.0,10.0,4.0,39.0,179.0,3.0,1.0,,8.0,2.0,,,,3.0,,17.0,456.0,133.0,338.0,454.0,5.0,18.0,1.0,,3.0,705.0,4.0,2.0,,31.0,13.0,6.0,62.0,523.0,1.0,471.0,23.0,3.0,52.0,640.0,,,,3.0,13.0,19.0,29.0,23.0,33.0,0.0,2.0,1.0,,,3.0,3.0,5.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
USA_MLS,2026,Los Angeles Galaxy,bkoiazqibnhh3crqxfwlu6rx1,J. Glesnes,Defender,5,14.0,7.0,7.0,8.0,,15.0,,8.0,96.0,2.0,,,49.0,25.0,24.0,9.0,148.0,2.0,8.0,,11.0,10.0,1.0,35.0,18.0,17.0,,6.0,,220.0,2.0,439.0,,46.0,10.0,8.0,30.0,79.0,,2.0,,8.0,1.0,,,,1.0,,33.0,383.0,94.0,311.0,372.0,4.0,9.0,1.0,,1.0,675.0,2.0,,,47.0,6.0,3.0,66.0,462.0,2.0,405.0,13.0,1.0,57.0,571.0,,,,,15.0,32.0,36.0,21.0,25.0,0.0,,3.0,,,10.0,10.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,bb31x0lmvx07e83d344y8byay,J. Haak,Midfielder,15,17.0,9.0,8.0,13.0,,36.0,1.0,4.0,183.0,1.0,,,90.0,47.0,43.0,29.0,207.0,4.0,13.0,1.0,14.0,11.0,3.0,73.0,38.0,35.0,,19.0,2.0,200.0,1.0,609.0,,89.0,26.0,13.0,40.0,200.0,3.0,5.0,,11.0,2.0,,,,6.0,2.0,13.0,541.0,159.0,416.0,562.0,9.0,10.0,,,1.0,1002.0,15.0,,,44.0,14.0,10.0,95.0,643.0,5.0,575.0,19.0,4.0,68.0,809.0,,,,8.0,13.0,24.0,35.0,33.0,44.0,0.0,2.0,2.0,,,9.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,2nby269m85yxc6vduq3weknah,João Klauss,Forward,99,27.0,12.0,15.0,8.0,,40.0,3.0,,29.0,,,6.0,60.0,31.0,29.0,96.0,36.0,4.0,8.0,,9.0,7.0,2.0,33.0,19.0,14.0,1.0,,6.0,28.0,2.0,112.0,,16.0,6.0,3.0,15.0,24.0,6.0,5.0,12.0,7.0,5.0,,,,1.0,8.0,1.0,74.0,53.0,36.0,88.0,2.0,3.0,,,2.0,550.0,11.0,1.0,3.0,2.0,9.0,8.0,68.0,128.0,17.0,89.0,5.0,39.0,39.0,204.0,,1.0,1.0,5.0,,3.0,37.0,3.0,36.0,0.0,1.0,,,,,,,,,,5.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,1o0ew8fp44fuo3o7c8ef8pd2i,T. Lepley,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Los Angeles Galaxy,4mca2qok2asjbj10hjwil0a95,J. Marcinkowski,Goalkeeper,12,4.0,,4.0,10.0,,,,,43.0,1.0,,,6.0,,6.0,,155.0,,10.0,,14.0,11.0,3.0,2.0,,2.0,,,,82.0,,209.0,,21.0,,,96.0,66.0,,,,10.0,,,,,1.0,,38.0,166.0,16.0,192.0,170.0,,,,,,900.0,,,,12.0,,2.0,98.0,303.0,,208.0,,,95.0,430.0,,,,,43.0,93.0,73.0,22.0,2.0,0.0,,2.0,,,89.0,53.0,6.0,9.0,,,,,,,,,,,,12.0,,1.0,23.0,2.0,,7.0,35.0,27.0,8.0,12.0,,,,,,,,,,1.0,,,,,2.0,,,,
USA_MLS,2026,Los Angeles Galaxy,8ojequwin0sago3b134m6dwyc,Matheus Nascimento,Forward,9,3.0,1.0,2.0,7.0,,9.0,,,13.0,,,1.0,11.0,5.0,6.0,35.0,12.0,,7.0,,4.0,3.0,1.0,8.0,4.0,4.0,,1.0,1.0,7.0,2.0,30.0,1.0,6.0,,,3.0,6.0,1.0,2.0,3.0,,,,,,1.0,3.0,,21.0,16.0,9.0,25.0,,1.0,,,,110.0,3.0,,1.0,2.0,,2.0,17.0,34.0,5.0,25.0,1.0,14.0,9.0,60.0,,,,1.0,,,7.0,2.0,9.0,0.0,7.0,,,,,,,,,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
