liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels lost,Successful Open Play Passes,Total Touches In Opposition Box,Interceptions,Aerial Duels won,Ground Duels won,Aerial Duels lost,Times Tackled,Starts,Open Play Passes,PutThrough/Blocked Distribution,Total Tackles,Offsides,Successful Crosses open play,Touches,Unsuccessful Short Passes,Leftside Passes,Successful Passes Opposition Half,Substitute Off,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Successful Launches,Penalty Goals Conceded,Forward Passes,Time Played,Total Fouls Won,Foul Attempted Tackle,Duels,Overruns,Unsuccessful Long Passes,Successful Passes Own Half,Appearances,Index,Total Clearances,Total Fouls Conceded,Goals Conceded Inside Box,Ground Duels,Successful Long Passes,Unsuccessful Crosses & Corners,Aerial Duels,Rightside Passes,Backward Passes,Shots Off Target (inc woodwork),Successful Crosses & Corners,Tackles Won,Total Passes,Yellow Cards,Tackles Lost,Successful Dribbles,Duels lost,Unsuccessful Passes Opposition Half,Corners Won,Throw Ins to Own Player,Games Played,Successful Short Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Total Shots,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Unsuccessful Launches,Duels won,Key Passes (Attempt Assists),Blocks,Total Losses Of Possession,Unsuccessful Passes Own Half,Winning Goal,Substitute On,Foul Won Penalty,Successful Lay-offs,Shots On Target ( inc goals ),Goals,Total Red Cards,Handballs conceded,Headed Goals,Straight Red Cards,Unsuccessful Corners into Box,Through balls,Corners Taken (incl short corners),Blocked Shots,Right Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Goal Assists,Penalties Conceded,Unsuccessful lay-offs,Hit Woodwork,Goals from Outside Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Assists (Intentional),Penalties Taken,Penalty Goals,Clearances Off the Line,Successful Corners into Box,Saves Made from Inside Box,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made,Own Goal Scored,Red Cards - 2nd Yellow,Saves made - parried,Punches,Saves made - caught,Catches,Goalkeeper Smother,Penalties Faced,Penalties Off Target,Successful Fifty Fifty,Fifty Fifty,Second Goal Assists,Saves from Penalty,Penalties Saved,Crosses not Claimed,Drops,Last Player Tackle,Other Goals
Mexico_Liga_MX,2020-2021,Club Santos Laguna,elow2avgk966z580pispq374l,A. Ibargüen,Forward,23,10.0,48.0,2.0,2.0,,11.0,3.0,7.0,2.0,56.0,4.0,2.0,1.0,,102.0,5.0,9.0,34.0,2.0,2.0,8.0,2.0,3.0,,,11.0,182.0,4.0,1.0,24.0,1.0,3.0,14.0,7.0,10.0,,1.0,2.0,21.0,2.0,1.0,3.0,20.0,16.0,,,1.0,56.0,1.0,1.0,5.0,13.0,8.0,1.0,1.0,7.0,46.0,1.0,48.0,,2.0,9.0,,,2.0,11.0,,,28.0,1.0,0.0,5.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,1v3lq8vey4ddxio0o17fuuitx,J. Isijara,Midfielder,27,43.0,309.0,22.0,11.0,14.0,50.0,15.0,21.0,15.0,389.0,24.0,17.0,5.0,5.0,648.0,60.0,84.0,193.0,8.0,15.0,82.0,10.0,8.0,4.0,2.0,135.0,1224.0,17.0,6.0,122.0,5.0,22.0,131.0,16.0,10.0,12.0,13.0,14.0,93.0,27.0,33.0,29.0,83.0,96.0,6.0,8.0,10.0,398.0,,7.0,17.0,58.0,96.0,16.0,39.0,16.0,289.0,29.0,316.0,1.0,14.0,61.0,1.0,6.0,7.0,64.0,8.0,3.0,168.0,19.0,0.0,1.0,,,8.0,,,1.0,,,4.0,1.0,7.0,4.0,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,bj3lt3rad9p93r4soac60f651,I. Jeraldino,Forward,30,39.0,99.0,27.0,2.0,26.0,23.0,31.0,19.0,6.0,144.0,8.0,10.0,7.0,,264.0,43.0,37.0,72.0,4.0,7.0,45.0,7.0,1.0,1.0,1.0,35.0,614.0,9.0,9.0,119.0,1.0,2.0,37.0,17.0,10.0,6.0,17.0,6.0,62.0,4.0,4.0,57.0,49.0,33.0,6.0,,5.0,154.0,2.0,5.0,4.0,70.0,44.0,5.0,,17.0,105.0,4.0,109.0,,12.0,18.0,1.0,,1.0,49.0,4.0,,96.0,5.0,0.0,11.0,,9.0,6.0,1.0,,2.0,,,,,,1.0,,1.0,0.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,7e0gqoexhr0a1nlysflla04id,G. Lajud,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,8xnzfjqjsx46ardsrrtab9e22,A. Lozano,Midfielder,13,12.0,73.0,2.0,,2.0,6.0,1.0,4.0,2.0,92.0,11.0,4.0,,,131.0,16.0,15.0,53.0,2.0,4.0,20.0,1.0,6.0,1.0,2.0,23.0,218.0,2.0,1.0,21.0,,4.0,24.0,7.0,10.0,,3.0,4.0,18.0,3.0,8.0,3.0,30.0,27.0,,2.0,4.0,95.0,1.0,,,13.0,23.0,,1.0,7.0,72.0,3.0,75.0,,2.0,15.0,,1.0,,8.0,3.0,,37.0,5.0,0.0,5.0,,,2.0,,,,,,5.0,,8.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,bs7bkip11z1r1fzftj4a6r8mi,S. Muñóz,Forward,192,3.0,5.0,,,,1.0,2.0,1.0,,6.0,,1.0,,,12.0,1.0,1.0,4.0,,,1.0,,,,,1.0,16.0,,,6.0,,,1.0,1.0,10.0,,,,4.0,,,2.0,2.0,2.0,,,,6.0,,1.0,,5.0,1.0,,,1.0,5.0,,5.0,,,,,,,1.0,,,3.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,1gs5ptbru4t4s0s2vb2r3izca,A. Ocejo,Midfielder,12,6.0,15.0,8.0,,2.0,7.0,5.0,3.0,,19.0,1.0,1.0,1.0,,40.0,3.0,4.0,12.0,,3.0,4.0,,,,,3.0,66.0,5.0,2.0,20.0,,1.0,4.0,6.0,10.0,,4.0,3.0,13.0,,2.0,7.0,5.0,8.0,1.0,,,20.0,,1.0,2.0,11.0,6.0,1.0,1.0,6.0,16.0,2.0,16.0,,2.0,4.0,,,1.0,9.0,1.0,,10.0,,0.0,6.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,5rigugxkjo6yummreudad70t1,C. Orrantía,Defender,8,17.0,88.0,14.0,5.0,5.0,13.0,7.0,10.0,2.0,112.0,6.0,3.0,,4.0,196.0,19.0,30.0,73.0,1.0,5.0,24.0,4.0,3.0,2.0,,42.0,349.0,2.0,3.0,42.0,,5.0,21.0,10.0,10.0,4.0,8.0,5.0,30.0,3.0,15.0,12.0,14.0,28.0,1.0,4.0,1.0,114.0,1.0,2.0,9.0,24.0,34.0,2.0,7.0,10.0,87.0,15.0,90.0,,4.0,14.0,,2.0,3.0,18.0,6.0,,59.0,5.0,0.0,8.0,,1.0,3.0,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,1hjoecfgitqxsnwsho8kjtyi,R. Prieto,Midfielder,22,2.0,16.0,2.0,3.0,4.0,2.0,1.0,,,23.0,1.0,,,,47.0,7.0,3.0,10.0,,1.0,7.0,,1.0,,,9.0,41.0,1.0,,9.0,,,8.0,4.0,10.0,,2.0,1.0,4.0,,2.0,5.0,8.0,5.0,1.0,,,25.0,,,1.0,3.0,9.0,,6.0,4.0,18.0,2.0,18.0,,2.0,3.0,,2.0,,6.0,,,13.0,,0.0,4.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,ayhu9k3hcyu95f26myefk0gr9,U. Rivas,Midfielder,16,12.0,109.0,3.0,7.0,13.0,12.0,8.0,2.0,6.0,142.0,12.0,11.0,,,220.0,21.0,39.0,57.0,3.0,10.0,35.0,1.0,6.0,1.0,,68.0,505.0,,2.0,45.0,1.0,14.0,53.0,8.0,10.0,14.0,4.0,10.0,24.0,13.0,,21.0,23.0,15.0,2.0,,6.0,145.0,,5.0,1.0,20.0,22.0,,13.0,8.0,97.0,,110.0,1.0,4.0,21.0,,,5.0,25.0,2.0,4.0,41.0,13.0,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,e1y7jb2a2ixwmmm0n5l5pu2fp,O. Rivero,Forward,29,43.0,135.0,53.0,,27.0,37.0,27.0,26.0,11.0,191.0,12.0,1.0,3.0,2.0,341.0,53.0,31.0,112.0,6.0,14.0,56.0,13.0,5.0,1.0,2.0,46.0,984.0,25.0,5.0,134.0,,3.0,33.0,14.0,10.0,1.0,13.0,10.0,80.0,1.0,13.0,54.0,69.0,53.0,8.0,2.0,,199.0,,1.0,13.0,70.0,61.0,12.0,,14.0,142.0,13.0,143.0,,18.0,9.0,4.0,,,64.0,10.0,1.0,116.0,8.0,2.0,3.0,1.0,3.0,10.0,3.0,,2.0,2.0,,,,,5.0,,3.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,yg8ti1bgub7sqln98ibtrd91,H. Rodríguez,Defender,20,19.0,357.0,20.0,23.0,41.0,28.0,27.0,1.0,16.0,446.0,10.0,19.0,,,620.0,47.0,108.0,109.0,,21.0,92.0,1.0,6.0,15.0,2.0,223.0,1364.0,7.0,6.0,115.0,,45.0,254.0,16.0,10.0,52.0,13.0,17.0,47.0,50.0,,68.0,97.0,27.0,11.0,,14.0,455.0,3.0,5.0,3.0,46.0,53.0,1.0,,16.0,313.0,,363.0,3.0,14.0,73.0,4.0,,22.0,69.0,5.0,11.0,96.0,39.0,1.0,,,,3.0,2.0,1.0,,,1.0,,,,2.0,1.0,2.0,2.0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,5ozmettlihkefrx93mcmy6t0q,O. Ruíz,Forward,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,8mte9if061bfau2q60ymimz11,G. Sandoval,Midfielder,24,57.0,170.0,34.0,3.0,6.0,48.0,9.0,28.0,8.0,245.0,28.0,19.0,1.0,5.0,499.0,68.0,14.0,130.0,8.0,7.0,77.0,17.0,6.0,,,83.0,780.0,16.0,6.0,120.0,6.0,9.0,63.0,14.0,10.0,1.0,15.0,5.0,105.0,12.0,63.0,15.0,99.0,59.0,12.0,15.0,10.0,255.0,1.0,9.0,13.0,66.0,134.0,14.0,8.0,14.0,166.0,32.0,178.0,,18.0,51.0,2.0,1.0,,54.0,23.0,,202.0,6.0,1.0,6.0,,3.0,6.0,3.0,,1.0,,,24.0,1.0,34.0,3.0,3.0,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,c0hzsi93psm5tmaro90ebyhnt,F. Torres,Defender,5,11.0,123.0,5.0,9.0,13.0,11.0,12.0,1.0,5.0,163.0,4.0,9.0,,,236.0,17.0,55.0,62.0,,6.0,43.0,1.0,2.0,4.0,,96.0,427.0,3.0,9.0,47.0,,26.0,67.0,5.0,10.0,13.0,11.0,5.0,22.0,20.0,,25.0,20.0,1.0,2.0,,6.0,172.0,,3.0,,23.0,32.0,1.0,8.0,5.0,109.0,,129.0,1.0,2.0,31.0,1.0,2.0,12.0,24.0,1.0,,48.0,11.0,0.0,,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,c94pw47zvf1kyaj4h7oreon2t,D. Valdés,Midfielder,10,56.0,400.0,30.0,20.0,22.0,59.0,16.0,22.0,11.0,494.0,22.0,20.0,1.0,3.0,855.0,76.0,109.0,308.0,3.0,16.0,105.0,11.0,13.0,2.0,2.0,191.0,1033.0,22.0,11.0,153.0,2.0,29.0,172.0,13.0,10.0,6.0,16.0,14.0,115.0,49.0,54.0,38.0,180.0,82.0,16.0,23.0,12.0,562.0,4.0,8.0,17.0,72.0,133.0,18.0,3.0,13.0,408.0,14.0,457.0,1.0,26.0,82.0,2.0,,7.0,81.0,29.0,4.0,207.0,26.0,0.0,2.0,,4.0,10.0,,,2.0,,,29.0,5.0,55.0,15.0,,,,,3.0,,1.0,2.0,,10.0,,,3.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,9gjhiwq216h83bh8k0cdf3cgl,J. Van Rankin,Defender,2,40.0,440.0,18.0,24.0,9.0,47.0,14.0,13.0,13.0,522.0,32.0,24.0,1.0,7.0,852.0,52.0,157.0,303.0,1.0,13.0,83.0,6.0,21.0,4.0,2.0,246.0,1201.0,15.0,6.0,110.0,,31.0,154.0,14.0,10.0,13.0,18.0,9.0,87.0,23.0,25.0,23.0,68.0,62.0,5.0,7.0,11.0,533.0,2.0,13.0,10.0,54.0,77.0,7.0,110.0,14.0,427.0,24.0,450.0,4.0,9.0,64.0,4.0,16.0,13.0,56.0,6.0,1.0,150.0,31.0,0.0,1.0,,,4.0,2.0,,1.0,,,,,,1.0,2.0,1.0,2.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
