liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Straight Red Cards,Total Shots,Aerial Duels won,Successful Passes Opposition Half,Tackles Lost,Unsuccessful Short Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Unsuccessful Launches,Unsuccessful Long Passes,Clean Sheets,Games Played,Total Clearances,Unsuccessful Crosses & Corners,Touches,Aerial Duels,Successful Crosses & Corners,Recoveries,Unsuccessful Crosses open play,Successful Crosses open play,Aerial Duels lost,Ground Duels won,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Total Tackles,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Foul Attempted Tackle,Ground Duels,Index,Shots Off Target (inc woodwork),Blocks,Duels lost,Ground Duels lost,Successful Short Passes,Total Fouls Won,Duels won,Rightside Passes,Duels,Successful Long Passes,PutThrough/Blocked Distribution,Penalties Conceded,Goals Conceded Outside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Launches,Goals Conceded,Total Passes,Total Losses Of Possession,Substitute On,Total Fouls Conceded,Times Tackled,Total Touches In Opposition Box,Substitute Off,Interceptions,Appearances,Time Played,Backward Passes,Starts,Total Red Cards,Forward Passes,Throw Ins to Own Player,Leftside Passes,Unsuccessful Passes Own Half,Open Play Passes,Penalty Goals Conceded,Yellow Cards,Clearances Off the Line,Winning Goal,Through balls,Unsuccessful Corners into Box,Goals,Offsides,Right Foot Goals,Corners Taken (incl short corners),Shots On Target ( inc goals ),Attempts from Set Pieces,Goals from Inside Box,Successful Corners into Box,Blocked Shots,Successful Dribbles,Second Goal Assists,Handballs conceded,Goal Assists,Corners Won,Hit Woodwork,Assists (Intentional),Goals from Outside Box,Penalties Taken,Successful Lay-offs,Set Pieces Goals,Home Goals,Away Goals,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Left Foot Goals,GK Successful Distribution,Drops,Punches,Saves Made,GK Unsuccessful Distribution,Saves made - parried,Saves made - caught,Saves Made from Outside Box,Goal Kicks,Catches,Saves Made from Inside Box,Foul Won Penalty,Penalties Faced,Goalkeeper Smother,Penalty Goals,Saves from Penalty,Penalties Saved,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Other Goals
USA_USL_League_One,2021,FC Tucson,ar3l52h52v2hs28v6vp1fh46i,S. Adams,Forward,0,7.0,,24.0,4.0,209.0,4.0,77.0,25.0,91.0,83.0,27.0,142.0,341.0,1.0,6.0,,28.0,5.0,26.0,727.0,14.0,7.0,69.0,26.0,7.0,10.0,53.0,26.0,16.0,11.0,2.0,,6.0,120.0,10.0,11.0,4.0,77.0,67.0,337.0,17.0,57.0,75.0,134.0,7.0,32.0,,5.0,344.0,,32.0,427.0,218.0,7.0,19.0,41.0,75.0,17.0,6.0,28.0,1905.0,151.0,21.0,,79.0,15.0,122.0,18.0,424.0,4.0,1.0,,1.0,,,8.0,6.0,8.0,,13.0,,8.0,,6.0,25.0,,,2.0,12.0,1.0,2.0,,,10.0,,5.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,5x31t8ra79jqs9ybdjfdhe51w,J. Allen,Midfielder,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,4olgmuencflerdslclf1eqvx0,E. Andraux,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,3dbt53y838uuaufxo7si4modl,J. Barkei,Goalkeeper,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,3h4klx76chahvxu5t810fze21,D. Barnathan,Defender,24,10.0,1.0,1.0,37.0,155.0,11.0,78.0,5.0,111.0,168.0,26.0,473.0,611.0,35.0,90.0,1.0,26.0,59.0,2.0,1002.0,51.0,,70.0,2.0,,14.0,27.0,1.0,2.0,21.0,5.0,,6.0,41.0,10.0,1.0,24.0,28.0,14.0,580.0,5.0,64.0,233.0,92.0,48.0,7.0,,5.0,628.0,8.0,31.0,796.0,191.0,7.0,8.0,4.0,12.0,3.0,33.0,26.0,1654.0,18.0,19.0,1.0,346.0,13.0,199.0,59.0,775.0,2.0,2.0,2.0,0.0,,,,,,,,,,,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,69zg9b05fowt6ew9o723cej8p,D. Bedoya,Midfielder,8,26.0,,11.0,8.0,405.0,16.0,112.0,32.0,156.0,154.0,27.0,365.0,698.0,7.0,42.0,1.0,29.0,1.0,40.0,1206.0,16.0,19.0,118.0,10.0,6.0,8.0,95.0,8.0,14.0,42.0,2.0,,14.0,169.0,10.0,6.0,,82.0,74.0,649.0,34.0,103.0,265.0,185.0,102.0,25.0,,6.0,751.0,2.0,33.0,905.0,251.0,12.0,18.0,23.0,17.0,9.0,20.0,29.0,1571.0,148.0,17.0,,262.0,9.0,230.0,38.0,846.0,1.0,5.0,,1.0,,26.0,3.0,,3.0,42.0,5.0,3.0,2.0,9.0,9.0,19.0,,,3.0,8.0,1.0,3.0,1.0,1.0,9.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
USA_USL_League_One,2021,FC Tucson,ayafz39numgvk458eh88aiu0a,S. Biek,Defender,6,2.0,,2.0,8.0,44.0,2.0,10.0,2.0,22.0,29.0,8.0,215.0,250.0,3.0,19.0,,7.0,14.0,,335.0,15.0,,24.0,,,7.0,7.0,,4.0,4.0,,,3.0,14.0,10.0,2.0,4.0,14.0,7.0,229.0,3.0,15.0,49.0,29.0,30.0,5.0,,2.0,259.0,5.0,10.0,288.0,30.0,3.0,4.0,,5.0,,6.0,7.0,375.0,6.0,4.0,,98.0,1.0,135.0,7.0,278.0,,1.0,,0.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,3n1x0x4dlcl53f0z5l0r9zso9,G. Calixtro,Forward,11,4.0,,29.0,15.0,234.0,7.0,73.0,12.0,58.0,78.0,18.0,102.0,300.0,2.0,5.0,1.0,28.0,11.0,2.0,700.0,30.0,2.0,47.0,2.0,2.0,15.0,58.0,29.0,20.0,11.0,,1.0,10.0,154.0,10.0,18.0,1.0,111.0,96.0,322.0,33.0,73.0,107.0,184.0,12.0,31.0,,4.0,334.0,2.0,22.0,412.0,197.0,8.0,23.0,59.0,66.0,17.0,9.0,28.0,1681.0,120.0,20.0,1.0,95.0,3.0,90.0,22.0,378.0,1.0,3.0,,1.0,3.0,,4.0,10.0,2.0,,11.0,,4.0,,12.0,14.0,,,4.0,9.0,2.0,3.0,,,13.0,,1.0,3.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,17ey8jpl1wv4vvrnhtvpasdex,D. Corfe,Forward,10,21.0,,56.0,15.0,379.0,9.0,84.0,18.0,112.0,99.0,35.0,175.0,525.0,3.0,15.0,2.0,29.0,4.0,29.0,1102.0,50.0,5.0,65.0,28.0,4.0,35.0,123.0,34.0,8.0,30.0,,,10.0,227.0,10.0,23.0,,139.0,104.0,527.0,54.0,138.0,177.0,277.0,22.0,32.0,,4.0,549.0,,39.0,648.0,277.0,7.0,25.0,74.0,89.0,12.0,5.0,29.0,2008.0,222.0,22.0,,157.0,19.0,92.0,16.0,623.0,4.0,5.0,,2.0,,1.0,8.0,14.0,5.0,4.0,33.0,7.0,5.0,,19.0,41.0,,2.0,2.0,22.0,1.0,1.0,3.0,,7.0,,6.0,2.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,FC Tucson,dv155f8jlvq8frvhjcokboiy1,C. Dennis,Midfielder,0,18.0,,36.0,46.0,412.0,18.0,126.0,37.0,214.0,192.0,31.0,292.0,658.0,9.0,66.0,1.0,27.0,15.0,61.0,1302.0,77.0,23.0,100.0,15.0,2.0,31.0,104.0,17.0,16.0,36.0,,,36.0,218.0,10.0,18.0,5.0,145.0,114.0,594.0,50.0,150.0,167.0,295.0,87.0,29.0,,6.0,681.0,4.0,37.0,873.0,358.0,3.0,57.0,36.0,41.0,16.0,9.0,27.0,2002.0,158.0,24.0,,281.0,8.0,267.0,39.0,844.0,4.0,7.0,,1.0,3.0,28.0,10.0,5.0,,44.0,18.0,5.0,7.0,14.0,10.0,19.0,,,8.0,16.0,3.0,6.0,3.0,4.0,10.0,1.0,3.0,7.0,1.0,2.0,,9.0,,,,,,,,,,,,,,,4.0,,,,,,
