matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga
Final,av1dg2kv4370yvlc4ttz8s67e,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/c2h1764uyxuem405l4s2tipeg,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/av1dg2kv4370yvlc4ttz8s67e,17/05/2019,2019 USA,Concacaf_Concacaf_U17
Semi-finals,8udp72f20azvxlgl7g1ln0twq,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/c2h1764uyxuem405l4s2tipeg,Haiti,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/44e5c56ufv162nxx8dygp7sgl,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/8udp72f20azvxlgl7g1ln0twq,15/05/2019,2019 USA,Concacaf_Concacaf_U17
Semi-finals,8twmkfkpjd7obelmw8bkddwfe,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,Canada,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/9ambie9e2cxqfzc71f90lz08c,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/8twmkfkpjd7obelmw8bkddwfe,14/05/2019,2019 USA,Concacaf_Concacaf_U17
Quarter-finals,44mw5bh2shtzlq84y89qkf4ve,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/c2h1764uyxuem405l4s2tipeg,El Salvador,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/43uh32fr2f8v1zqb1q13oelu8,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/44mw5bh2shtzlq84y89qkf4ve,12/05/2019,2019 USA,Concacaf_Concacaf_U17
Quarter-finals,444yxnn6v8c2lh0o6m25sfn1m,Haiti,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/44e5c56ufv162nxx8dygp7sgl,Honduras,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/4jn3ho488kzajzwbjc41069ea,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/444yxnn6v8c2lh0o6m25sfn1m,12/05/2019,2019 USA,Concacaf_Concacaf_U17
Quarter-finals,43c6he6mk0tgs0q3etfazw9d6,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,Panama,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/959pr3zqnexipzqpqkixb7emg,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/43c6he6mk0tgs0q3etfazw9d6,12/05/2019,2019 USA,Concacaf_Concacaf_U17
Quarter-finals,435tpiarp7zoml1jpv6gw5pwq,Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/18lylxo9rer7l7optxsyci5zc,Canada,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/9ambie9e2cxqfzc71f90lz08c,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/435tpiarp7zoml1jpv6gw5pwq,12/05/2019,2019 USA,Concacaf_Concacaf_U17
8th Finals,epstcer1p7mod0glpualv3iay,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,Guadeloupe,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/bob4vzhmjkmt7sj9prwlp8dsl,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/epstcer1p7mod0glpualv3iay,10/05/2019,2019 USA,Concacaf_Concacaf_U17
8th Finals,eqaclhxc3xti3lamas9by98q2,Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/18lylxo9rer7l7optxsyci5zc,Nicaragua,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/48k0pgloz20pny2taaifjfeui,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/eqaclhxc3xti3lamas9by98q2,09/05/2019,2019 USA,Concacaf_Concacaf_U17
8th Finals,eqrz55zc7aomawvprda9v3f56,Canada,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/9ambie9e2cxqfzc71f90lz08c,Curaçao,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/teams/view/u0p3r117lpcppl2cbi3880qq,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2019-usa/9gv1a2tg0qtelreambicgbbvt/match/view/eqrz55zc7aomawvprda9v3f56,09/05/2019,2019 USA,Concacaf_Concacaf_U17
