liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Opposition Player,Offsides,Goals,Right Foot Goals,Yellow Cards,Successful Corners into Box,Left Foot Goals,Foul Won Penalty,Handballs conceded,Goals from Inside Box,Penalties Taken,Penalty Goals,Penalties Conceded,Total Red Cards,Straight Red Cards,Unsuccessful lay-offs,Headed Goals,Saves Made,GK Successful Distribution,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Clearances Off the Line,Penalty Goals Conceded,Winning Goal,Times Tackled,Overruns,Own Goal Scored,Second Goal Assists,Home Goals,Away Goals,Saves from Penalty,Penalties Saved,Goal Kicks,Goals from Outside Box,Goalkeeper Smother,Crosses not Claimed,Red Cards - 2nd Yellow,Set Pieces Goals,Last Player Tackle,Penalties Off Target,Other Goals
Mexico_Liga_MX,2018-2019,Atlas FC,2tlhmfokon6uywga5h0xtmuhh,C. Aboagye,Midfielder,10,6.0,788.0,1.0,6.0,2.0,1.0,385.0,7.0,48.0,4.0,246.0,5.0,10.0,11.0,8.0,2.0,6.0,97.0,94.0,24.0,45.0,391.0,3.0,16.0,6.0,319.0,9.0,13.0,55.0,118.0,9.0,54.0,2.0,44.0,9.0,15.0,10.0,544.0,1.0,15.0,12.0,1.0,90.0,116.0,11.0,10.0,41.0,5.0,1.0,17.0,4.0,11.0,1.0,4.0,97.0,5.0,11.0,9.0,15.0,1.0,1.0,2.0,50.0,109.0,330.0,336.0,7.0,4.0,2.0,1.0,12.0,56.0,12.0,14.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,5,1.0,225.0,2.0,1.0,,,66.0,,3.0,,12.0,5.0,9.0,1.0,,2.0,3.0,21.0,38.0,2.0,8.0,67.0,,4.0,,47.0,5.0,,17.0,15.0,,7.0,,6.0,2.0,1.0,11.0,89.0,,3.0,1.0,2.0,8.0,28.0,,10.0,8.0,,,3.0,,2.0,4.0,,15.0,7.0,7.0,1.0,3.0,,,,4.0,21.0,49.0,50.0,7.0,,,,1.0,7.0,1.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,daycar7otzfqiei5wk8rmd0b9,A. Andrade,Midfielder,8,16.0,1018.0,9.0,1.0,5.0,,433.0,7.0,69.0,14.0,272.0,5.0,19.0,9.0,12.0,2.0,14.0,267.0,90.0,26.0,93.0,460.0,5.0,26.0,26.0,320.0,14.0,21.0,112.0,152.0,29.0,140.0,8.0,55.0,12.0,23.0,13.0,782.0,31.0,13.0,18.0,2.0,161.0,157.0,32.0,10.0,77.0,9.0,3.0,28.0,2.0,14.0,11.0,22.0,186.0,6.0,16.0,41.0,13.0,19.0,,2.0,95.0,82.0,328.0,348.0,25.0,1.0,2.0,,15.0,109.0,11.0,7.0,66.0,,1.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,dl40zb7nm9ayqf10noredupd5,C. Calderón,Defender,26,25.0,1240.0,111.0,1.0,1.0,7.0,498.0,8.0,70.0,16.0,261.0,24.0,39.0,15.0,12.0,4.0,21.0,236.0,158.0,38.0,74.0,516.0,,11.0,11.0,374.0,17.0,16.0,113.0,184.0,16.0,134.0,2.0,91.0,14.0,27.0,28.0,949.0,27.0,15.0,7.0,4.0,106.0,238.0,15.0,10.0,82.0,4.0,2.0,29.0,6.0,15.0,18.0,11.0,145.0,28.0,21.0,49.0,15.0,20.0,,1.0,42.0,24.0,388.0,403.0,39.0,4.0,1.0,,25.0,63.0,13.0,19.0,64.0,29.0,3.0,,,2.0,6.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,3gxwh529yietclalkd1zf8zu2,U. Cardona,Midfielder,13,23.0,1101.0,9.0,3.0,3.0,1.0,353.0,7.0,65.0,3.0,209.0,3.0,10.0,13.0,3.0,4.0,14.0,170.0,83.0,44.0,56.0,355.0,9.0,28.0,14.0,283.0,15.0,11.0,66.0,112.0,15.0,70.0,3.0,60.0,13.0,29.0,20.0,609.0,2.0,16.0,14.0,2.0,158.0,101.0,21.0,10.0,80.0,8.0,,6.0,2.0,22.0,,18.0,172.0,3.0,19.0,24.0,16.0,1.0,,,78.0,77.0,287.0,289.0,14.0,1.0,,1.0,34.0,92.0,10.0,10.0,80.0,1.0,2.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,bf7fowhre5abfwm4m9707qevp,Jefferson Duque,Forward,17,3.0,1013.0,,3.0,8.0,,122.0,8.0,37.0,,88.0,,2.0,4.0,7.0,3.0,22.0,78.0,19.0,5.0,35.0,144.0,2.0,18.0,2.0,105.0,13.0,20.0,37.0,55.0,9.0,37.0,4.0,9.0,11.0,11.0,3.0,249.0,,14.0,9.0,1.0,53.0,27.0,47.0,10.0,34.0,13.0,,2.0,,9.0,18.0,3.0,93.0,6.0,16.0,3.0,14.0,,2.0,,37.0,25.0,86.0,107.0,40.0,3.0,,,2.0,59.0,3.0,4.0,16.0,,5.0,5.0,2.0,1.0,,,,2.0,5.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,am6blpv9h0wzsn8rjv1q0zpp1,A. Díaz,Forward,18,1.0,107.0,,4.0,1.0,,31.0,2.0,9.0,,20.0,,1.0,,1.0,,2.0,19.0,7.0,1.0,5.0,33.0,,2.0,,26.0,4.0,1.0,6.0,10.0,,7.0,2.0,2.0,,1.0,,53.0,,4.0,1.0,,7.0,3.0,5.0,10.0,3.0,,,1.0,,,2.0,1.0,11.0,,4.0,1.0,4.0,,,,6.0,11.0,26.0,27.0,4.0,,,,,8.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,d6d7zbt72rhk98u61zzzskoh5,J. Estrada,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,dektuqo3uwp2o30gzh3ih8gyx,E. García,Midfielder,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Atlas FC,9e6gavtd12x5curksj8yno5ih,B. Garnica,Midfielder,15,35.0,843.0,19.0,6.0,4.0,1.0,202.0,13.0,51.0,5.0,128.0,5.0,7.0,10.0,5.0,4.0,10.0,129.0,42.0,16.0,31.0,203.0,7.0,10.0,6.0,161.0,12.0,8.0,38.0,45.0,10.0,66.0,4.0,22.0,9.0,28.0,8.0,407.0,1.0,15.0,6.0,,99.0,51.0,22.0,10.0,52.0,3.0,1.0,4.0,4.0,23.0,7.0,14.0,116.0,2.0,16.0,36.0,15.0,,,,54.0,56.0,164.0,165.0,17.0,1.0,,,8.0,64.0,8.0,8.0,45.0,2.0,6.0,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
