temporada,link,liga_url,cod_liga,folder
2030 Morocco/Portugal/Spain,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2030-morocco-portugal-spain/buz7896d01ngz46vhqp0c8npw/fixtures,concacaf-world-cup-qualifiers-2030-morocco-portugal-spain,buz7896d01ngz46vhqp0c8npw,Concacaf_Concacaf_World_Cup_Qualifiers
2026 Canada/Mexico/USA,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2026-canada-mexico-usa/excflxj3ypj69gf2wlx7kpudw/fixtures,concacaf-world-cup-qualifiers-2026-canada-mexico-usa,excflxj3ypj69gf2wlx7kpudw,Concacaf_Concacaf_World_Cup_Qualifiers
2022 Qatar,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/results,concacaf-world-cup-qualifiers-2022-qatar,8atuetifgnlt3q6oprwn7x9pm,Concacaf_Concacaf_World_Cup_Qualifiers
2018 Russia,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/results,concacaf-world-cup-qualifiers-2018-russia,7uo9ksdq9qhtldj1zr86sbi6t,Concacaf_Concacaf_World_Cup_Qualifiers
