equipo,link,logo,cod_equipo,cod_liga,liga
Albion San Diego,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/albion-san-diego/assryc3re0yipv77oh01sij1l,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=assryc3re0yipv77oh01sij1l,assryc3re0yipv77oh01sij1l,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Atlanta United FC,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/atlanta-united-fc/943ue6l8ylnidoygbi9p8op2h,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=943ue6l8ylnidoygbi9p8op2h,943ue6l8ylnidoygbi9p8op2h,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Atlantic City FC,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/atlantic-city-fc/3uhe28739rgxe50q37y86jdre,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3uhe28739rgxe50q37y86jdre,3uhe28739rgxe50q37y86jdre,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Austin Bold FC,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/austin-bold-fc/3d3pvuhrsil74nppz0kbn6r8q,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3d3pvuhrsil74nppz0kbn6r8q,3d3pvuhrsil74nppz0kbn6r8q,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Birmingham Legion FC,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/birmingham-legion-fc/c9xffml4i7ihblp1qhus9w3fu,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=c9xffml4i7ihblp1qhus9w3fu,c9xffml4i7ihblp1qhus9w3fu,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Brave SC,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/brave-sc/5ulhdzew82s3qjg4mof7h39n0,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5ulhdzew82s3qjg4mof7h39n0,5ulhdzew82s3qjg4mof7h39n0,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Cal,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/cal/3d2i15hl2xycub6aev2d34dhi,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3d2i15hl2xycub6aev2d34dhi,3d2i15hl2xycub6aev2d34dhi,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
California United Strikers FC,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/california-united-strikers-fc/55xpzhsc20i53ik9gou5wsm0a,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=55xpzhsc20i53ik9gou5wsm0a,55xpzhsc20i53ik9gou5wsm0a,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Charleston Battery,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/charleston-battery/e3k8yw2rbmphyfu5htn4yi5jk,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=e3k8yw2rbmphyfu5htn4yi5jk,e3k8yw2rbmphyfu5htn4yi5jk,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
Charlotte Independence,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/teams/charlotte-independence/1jonibkcr7qa3eozzxh0dcxd5,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1jonibkcr7qa3eozzxh0dcxd5,1jonibkcr7qa3eozzxh0dcxd5,3n0zoyhnmxo7iu70s0oqjep9m,us-open-cup-2020
