root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Open Play Passes,Ground Duels lost,Aerial Duels,Successful Dribbles,Duels won,Backward Passes,Key Passes (Attempt Assists),Throw Ins to Own Player,Tackles Won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots On Target ( inc goals ),Substitute On,Forward Passes,Blocked Shots,Aerial Duels lost,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Corners Won,Open Play Passes,Handballs conceded,Aerial Duels won,Foul Attempted Tackle,Rightside Passes,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Successful Crosses open play,Goals Conceded,Shots Off Target (inc woodwork),Successful Long Passes,Offsides,Unsuccessful Crosses open play,Duels,Total Fouls Conceded,Goals Conceded Inside Box,Yellow Cards,Total Fouls Won,Successful Passes Own Half,Successful Passes Opposition Half,Unsuccessful Short Passes,Total Losses Of Possession,Ground Duels,Index,Successful Crosses & Corners,Penalties Conceded,Penalty Goals Conceded,Successful Lay-offs,Touches,Goals Conceded Outside Box,Leftside Passes,Total Touches In Opposition Box,Total Tackles,Unsuccessful Long Passes,Appearances,Total Successful Passes ( Excl Crosses & Corners ) ,Recoveries,Time Played,Successful Short Passes,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Games Played,Ground Duels won,Total Shots,Total Passes,Total Clearances,Tackles Lost,Interceptions,Through balls,Unsuccessful Launches,Times Tackled,Blocks,Duels lost,Starts,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Goal Assists,Successful Launches,Substitute Off,Right Foot Goals,Goals,Goals from Inside Box,Left Foot Goals,Red Cards - 2nd Yellow,Foul Won Penalty,Hit Woodwork,Total Red Cards,Penalty Goals,Penalties Taken,Set Pieces Goals,Attempts from Set Pieces,Unsuccessful lay-offs,Headed Goals,Penalties Faced,Last Man Tackle,GK Successful Distribution,Saves Made from Outside Box,Punches,Saves Made from Inside Box,Drops,Clean Sheets,Saves Made,Corners Taken (incl short corners),Catches,Saves made - parried,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Unsuccessful Corners into Box,Penalties Saved,Straight Red Cards,Successful Corners into Box,Second Goal Assists,Goalkeeper Smother,Goals from Outside Box,Clearances Off the Line,Own Goal Scored,Other Goals,Crosses not Claimed,Penalties Off Target
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,52bdctrgk5sdsyoqz65k9eqdw,J. Aguilar,Midfielder,47,7.0,162.0,11.0,2.0,,5.0,37.0,5.0,,2.0,21.0,,,33.0,1.0,1.0,5.0,,2.0,183.0,1.0,1.0,2.0,63.0,19.0,,,3.0,1.0,14.0,,5.0,17.0,8.0,3.0,2.0,1.0,100.0,64.0,14.0,32.0,15.0,10.0,,,,1.0,214.0,,52.0,3.0,3.0,7.0,5.0,164.0,24.0,389.0,150.0,4.0,8.0,5.0,4.0,1.0,185.0,,1.0,3.0,,3.0,,,12.0,5.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,57rmged1g2kuhfzlg0zyjx84q,P. Amedume,Defender,4,65.0,1068.0,18.0,31.0,1.0,44.0,71.0,1.0,2.0,12.0,154.0,2.0,1.0,403.0,1.0,16.0,,,1.0,1220.0,,15.0,6.0,425.0,89.0,2.0,,23.0,2.0,92.0,1.0,,78.0,9.0,20.0,4.0,13.0,886.0,208.0,71.0,167.0,47.0,10.0,,,4.0,,1387.0,3.0,349.0,10.0,15.0,83.0,19.0,1094.0,75.0,1614.0,1002.0,7.0,11.0,19.0,29.0,4.0,1248.0,41.0,3.0,23.0,,23.0,4.0,8.0,34.0,18.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,cxm5xmc7zajd0j1zirav6q2qy,A. Araneda,Midfielder,20,25.0,394.0,18.0,7.0,1.0,16.0,14.0,3.0,,6.0,98.0,,5.0,196.0,,3.0,,1.0,1.0,489.0,,4.0,6.0,73.0,73.0,,,13.0,3.0,68.0,,,37.0,9.0,10.0,2.0,3.0,295.0,104.0,39.0,107.0,30.0,10.0,,1.0,2.0,,572.0,3.0,214.0,6.0,8.0,59.0,13.0,399.0,28.0,692.0,331.0,2.0,4.0,13.0,12.0,3.0,497.0,27.0,2.0,10.0,,11.0,2.0,8.0,21.0,8.0,,,0.0,,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,74bhj4xi5zgq6evsr4c766p04,H. Avayevu,Forward,10,32.0,566.0,93.0,32.0,28.0,117.0,182.0,18.0,6.0,29.0,123.0,19.0,1.0,191.0,12.0,14.0,18.0,4.0,11.0,687.0,1.0,18.0,25.0,205.0,109.0,15.0,4.0,21.0,18.0,50.0,4.0,10.0,224.0,33.0,17.0,5.0,34.0,254.0,332.0,105.0,235.0,192.0,10.0,9.0,1.0,2.0,7.0,1070.0,4.0,122.0,70.0,37.0,18.0,23.0,577.0,91.0,1719.0,527.0,12.0,30.0,23.0,99.0,37.0,700.0,11.0,8.0,23.0,6.0,6.0,42.0,5.0,107.0,22.0,2.0,3.0,1.0,7.0,9.0,,18.0,4.0,5.0,4.0,1.0,1.0,,1.0,1.0,,,,3.0,,,,,,,,,,,,12.0,,,,,,6.0,,,4.0,,,1.0,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,1er0xmu3khmdrgh5omh13kcbu,W. Baker,Defender,45,7.0,107.0,2.0,10.0,,7.0,6.0,,,,20.0,,3.0,55.0,,4.0,,,,127.0,,6.0,1.0,57.0,13.0,,,3.0,,13.0,,,13.0,1.0,3.0,1.0,,89.0,22.0,11.0,20.0,3.0,10.0,,,,,142.0,,13.0,,1.0,9.0,5.0,111.0,5.0,182.0,98.0,,1.0,5.0,1.0,,131.0,6.0,1.0,,,4.0,,,6.0,2.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,7e8pb8eqysovpfpexouwwvac4,L. Bartlett,Defender,26,64.0,752.0,12.0,31.0,1.0,43.0,41.0,2.0,5.0,11.0,142.0,,,338.0,1.0,9.0,1.0,,1.0,889.0,1.0,22.0,4.0,187.0,79.0,,,17.0,3.0,102.0,,1.0,64.0,10.0,15.0,4.0,3.0,590.0,195.0,64.0,150.0,33.0,10.0,,3.0,2.0,,1062.0,2.0,361.0,9.0,17.0,78.0,13.0,785.0,79.0,1143.0,683.0,6.0,15.0,13.0,21.0,3.0,927.0,47.0,6.0,25.0,,26.0,,12.0,21.0,13.0,,,0.0,,,8.0,1.0,,,,,,,1.0,,,,,,,,,,7.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,6prjjkyq9cv52hmkk54ml5p0,Luis Miguel,Forward,17,10.0,107.0,60.0,26.0,19.0,63.0,58.0,6.0,10.0,7.0,63.0,4.0,16.0,47.0,5.0,14.0,5.0,3.0,10.0,170.0,,12.0,9.0,54.0,58.0,19.0,1.0,12.0,6.0,4.0,8.0,4.0,137.0,15.0,11.0,3.0,20.0,34.0,78.0,60.0,142.0,111.0,10.0,1.0,,2.0,3.0,350.0,1.0,15.0,54.0,12.0,3.0,21.0,111.0,35.0,645.0,107.0,5.0,8.0,21.0,51.0,10.0,174.0,1.0,5.0,6.0,,1.0,36.0,,74.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,32fs5gt1vu6ennobpriaegf10,Felipe Carneiro,Goalkeeper,1,19.0,118.0,1.0,1.0,,1.0,,1.0,,,40.0,,,86.0,,,,,,134.0,,1.0,,49.0,21.0,,,11.0,,30.0,,,2.0,,9.0,2.0,,145.0,11.0,3.0,41.0,1.0,10.0,,,1.0,,246.0,2.0,61.0,,,37.0,7.0,156.0,40.0,630.0,126.0,,,7.0,,,196.0,5.0,,,,6.0,,,1.0,7.0,,,0.0,,,5.0,,,,,,,,,,,,,,,,2.0,,50.0,8.0,2.0,14.0,,3.0,22.0,,2.0,7.0,1.0,,16.0,,1.0,,,,,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,608d9yxcn99up33girsspyaga,A. Carrera,Goalkeeper,13,28.0,399.0,2.0,6.0,,7.0,,1.0,,1.0,81.0,,,201.0,,2.0,,,,437.0,,4.0,,187.0,53.0,,,18.0,,74.0,,,11.0,,16.0,1.0,2.0,498.0,26.0,5.0,85.0,5.0,10.0,,,3.0,,759.0,2.0,217.0,,1.0,76.0,16.0,524.0,124.0,1440.0,450.0,1.0,1.0,16.0,3.0,,605.0,21.0,,,,16.0,1.0,,4.0,16.0,,,0.0,,,7.0,,,,,,,,,,,,,,,,4.0,,158.0,16.0,10.0,37.0,,4.0,53.0,,10.0,17.0,1.0,1.0,30.0,,1.0,,,,2.0,,,,,,
testeo_ligas_norteamerica,USA_MLS_Next_Pro,2022,North Texas SC,North_Texas_SC,9dg5ce0f3mlqzoiwak09qeooa,A. Costa,Midfielder,11,16.0,553.0,79.0,23.0,17.0,74.0,170.0,14.0,4.0,16.0,61.0,6.0,7.0,107.0,4.0,13.0,6.0,,6.0,614.0,1.0,10.0,20.0,151.0,51.0,8.0,1.0,25.0,8.0,47.0,2.0,4.0,166.0,33.0,22.0,5.0,26.0,306.0,277.0,50.0,123.0,143.0,10.0,3.0,,4.0,8.0,842.0,3.0,213.0,25.0,21.0,11.0,23.0,580.0,86.0,1561.0,533.0,6.0,13.0,23.0,64.0,14.0,641.0,12.0,5.0,6.0,1.0,1.0,32.0,,92.0,16.0,1.0,1.0,0.0,1.0,1.0,,5.0,,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,2.0,,5.0,,,,,,2.0,,,1.0,,,1.0,,,,,
