liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Foul Won Penalty,Headed Goals,Handballs conceded,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Hit Woodwork,Penalties Taken,Successful Launches,Unsuccessful Corners into Box,Clearances Off the Line,Attempts from Set Pieces,Penalties Conceded,Last Man Tackle,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Penalty Goals,Successful Corners into Box,Other Goals,Own Goal Scored,Set Pieces Goals,Penalty Goals Conceded,Second Goal Assists,Penalties Off Target
USA_MLS,2014,Sporting Kansas City,cfucb8do9rkxdk9381cinmqd,J. Anibaba,Defender,23,17.0,,1.0,,,,3.0,1.0,9.0,1.0,1284.0,49.0,5.0,,487.0,2.0,46.0,3.0,153.0,31.0,36.0,10.0,2.0,6.0,23.0,147.0,250.0,21.0,65.0,501.0,14.0,1.0,374.0,17.0,3.0,101.0,92.0,5.0,84.0,5.0,17.0,52.0,14.0,19.0,26.0,764.0,,17.0,8.0,8.0,54.0,,233.0,,10.0,50.0,1.0,26.0,3.0,6.0,23.0,3.0,100.0,54.0,23.0,,9.0,,,,,27.0,130.0,,389.0,400.0,46.0,3.0,,1.0,,17.0,50.0,4.0,44.0,27.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
USA_MLS,2014,Sporting Kansas City,dhhcu04sgmbsolhao61hmyk7p,B. Añor,Midfielder,23,28.0,6.0,6.0,1.0,1.0,,10.0,7.0,35.0,2.0,1689.0,54.0,46.0,2.0,756.0,13.0,181.0,8.0,410.0,15.0,30.0,23.0,28.0,3.0,29.0,295.0,237.0,36.0,103.0,772.0,33.0,22.0,613.0,22.0,48.0,133.0,309.0,19.0,152.0,7.0,10.0,88.0,18.0,37.0,28.0,1262.0,11.0,28.0,13.0,2.0,182.0,3.0,199.0,,10.0,110.0,20.0,26.0,6.0,21.0,32.0,24.0,243.0,32.0,25.0,2.0,47.0,,2.0,2.0,,104.0,83.0,3.0,627.0,639.0,61.0,2.0,4.0,,2.0,31.0,133.0,5.0,36.0,78.0,1.0,,2.0,8.0,,6.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_MLS,2014,Sporting Kansas City,3zvj76iwkxqp853t8sjt58t1,M. Besler,Defender,5,25.0,,3.0,1.0,,1.0,,,6.0,,2235.0,39.0,9.0,,1279.0,5.0,76.0,4.0,354.0,62.0,119.0,10.0,4.0,7.0,35.0,309.0,743.0,34.0,113.0,1325.0,39.0,5.0,973.0,26.0,4.0,232.0,485.0,12.0,178.0,,54.0,137.0,25.0,18.0,60.0,1780.0,,25.0,19.0,9.0,109.0,,560.0,,63.0,117.0,,120.0,4.0,13.0,67.0,4.0,211.0,170.0,33.0,,6.0,,,3.0,1.0,59.0,204.0,,1056.0,1093.0,102.0,7.0,,1.0,1.0,26.0,94.0,8.0,67.0,50.0,,,10.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Sporting Kansas City,eo6l41k1jxgca7hljrwvqxm8l,C. Bieler,Forward,16,13.0,2.0,1.0,,,,9.0,3.0,,4.0,421.0,,21.0,2.0,120.0,4.0,47.0,,67.0,,3.0,3.0,5.0,1.0,11.0,39.0,31.0,1.0,24.0,125.0,9.0,2.0,88.0,8.0,8.0,27.0,34.0,2.0,26.0,4.0,,15.0,4.0,6.0,1.0,178.0,,13.0,3.0,1.0,19.0,,22.0,,90.0,14.0,3.0,10.0,,7.0,6.0,,36.0,6.0,9.0,,,,,1.0,,11.0,22.0,2.0,93.0,98.0,17.0,,2.0,,1.0,1.0,22.0,,2.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Sporting Kansas City,61fjyclc80jqcemkibgaffvmd,S. Carrasco,Midfielder,16,16.0,,,1.0,1.0,,7.0,2.0,1.0,,784.0,2.0,11.0,,434.0,1.0,54.0,2.0,178.0,11.0,24.0,7.0,4.0,3.0,7.0,95.0,205.0,28.0,49.0,454.0,9.0,2.0,324.0,13.0,5.0,73.0,129.0,4.0,61.0,,1.0,54.0,9.0,14.0,17.0,583.0,2.0,16.0,7.0,4.0,57.0,,140.0,,10.0,45.0,1.0,57.0,1.0,8.0,8.0,,72.0,18.0,16.0,,5.0,,,1.0,,20.0,131.0,,364.0,381.0,15.0,2.0,1.0,,2.0,19.0,27.0,9.0,20.0,37.0,,,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Sporting Kansas City,1611q3b6pqjci1ebkib0hgvkl,J. Claros,Midfielder,20,8.0,,1.0,,,,3.0,1.0,,,509.0,1.0,2.0,,310.0,,32.0,,117.0,7.0,19.0,7.0,1.0,4.0,2.0,56.0,152.0,18.0,26.0,314.0,9.0,5.0,243.0,7.0,1.0,45.0,88.0,5.0,35.0,,,47.0,5.0,9.0,10.0,386.0,,8.0,9.0,,46.0,,94.0,,33.0,27.0,,26.0,,3.0,2.0,2.0,50.0,6.0,11.0,,,,,,,21.0,100.0,,265.0,269.0,4.0,,,,1.0,13.0,23.0,5.0,14.0,25.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Sporting Kansas City,6p163a141a95x53qat9wers2d,A. Collin,Defender,78,27.0,2.0,2.0,1.0,1.0,,1.0,3.0,5.0,12.0,2194.0,4.0,3.0,,1254.0,6.0,74.0,,285.0,61.0,95.0,14.0,14.0,5.0,74.0,262.0,784.0,63.0,135.0,1299.0,42.0,10.0,898.0,22.0,20.0,230.0,272.0,7.0,173.0,4.0,,160.0,26.0,34.0,62.0,1773.0,,27.0,20.0,23.0,152.0,1.0,459.0,,67.0,205.0,6.0,171.0,,27.0,112.0,1.0,338.0,172.0,27.0,1.0,5.0,,1.0,2.0,,59.0,494.0,1.0,1033.0,1069.0,186.0,5.0,,,1.0,48.0,133.0,15.0,61.0,93.0,,,10.0,,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Sporting Kansas City,6cetznd9bk65n2ebxscywa5zp,C. Duke,Midfielder,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Sporting Kansas City,4e3ftvuylhjgw7bxo9dljlo7p,D. Dwyer,Forward,14,34.0,23.0,6.0,,,,2.0,10.0,23.0,40.0,2814.0,,45.0,3.0,350.0,41.0,88.0,7.0,239.0,2.0,10.0,16.0,39.0,8.0,114.0,378.0,37.0,20.0,120.0,399.0,68.0,15.0,261.0,28.0,88.0,130.0,107.0,18.0,145.0,27.0,1.0,70.0,32.0,32.0,8.0,979.0,1.0,34.0,19.0,4.0,269.0,2.0,90.0,5.0,64.0,156.0,49.0,8.0,7.0,68.0,63.0,55.0,446.0,35.0,36.0,15.0,23.0,1.0,5.0,3.0,1.0,176.0,114.0,21.0,220.0,269.0,177.0,5.0,11.0,1.0,3.0,18.0,290.0,2.0,3.0,93.0,2.0,8.0,,,1.0,8.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0
USA_MLS,2014,Sporting Kansas City,drg3v7974zszuaaltfys5teqd,K. Ellis,Defender,4,21.0,,3.0,,,,4.0,,10.0,,1628.0,48.0,11.0,,774.0,4.0,70.0,1.0,242.0,48.0,64.0,17.0,2.0,4.0,29.0,212.0,399.0,39.0,93.0,797.0,23.0,11.0,572.0,18.0,3.0,157.0,204.0,3.0,117.0,3.0,12.0,84.0,17.0,39.0,50.0,1185.0,,21.0,11.0,6.0,117.0,,316.0,,51.0,101.0,1.0,68.0,1.0,14.0,39.0,10.0,185.0,107.0,22.0,,10.0,,,2.0,2.0,55.0,207.0,,617.0,640.0,68.0,5.0,,3.0,1.0,34.0,84.0,5.0,54.0,62.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
