liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Won,Time Played,Times Tackled,Total Big Chances Created,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels,Aerial Duels lost,Blocks,Foul Attempted Tackle,Leftside Passes,Total Clearances,Total Fouls Conceded,Unsuccessful Passes Own Half,Yellow Cards,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Corners Won,Shots On Target ( inc goals ),Substitute On,Throw Ins to Own Player,Total Big Chances Missed,Total Shots,Unsuccessful Long Passes,Corners Taken (incl short corners),Successful Corners into Box,Successful Lay-offs,Unsuccessful Dribbles,Attempts from Set Pieces,Red Cards - 2nd Yellow,Total Red Cards,Unsuccessful Corners into Box,Unsuccessful Launches,Unsuccessful lay-offs,Goals,Goals Openplay,Goals from Inside Box,Left Foot Goals,Tackles Lost,Home Goals,Away Goals,Overruns,Goal Assists,Successful Launches,Successful Long Passes,Aerial Duels won,GK Successful Distribution,Goal Kicks,Catches,GK Unsuccessful Distribution,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Blocked Shots,Goals Conceded Outside Box,Shots Off Target (inc woodwork),Offsides,Assists (Intentional),Hit Woodwork,Headed Goals,Throw Ins to Opposition Player,Total Big Chances Scored,Right Foot Goals,Total Big Chances Saved,Goals from Outside Box,Handballs conceded,Clean Sheets,Through balls,Second Goal Assists,Goalkeeper Smother,Clearances Off the Line,Saves made - caught,Straight Red Cards,Last Player Tackle,Other Goals,Own Goal Scored,Drops,Penalty Goals Conceded,Penalties Faced,Penalties Conceded,Direct Setpiece Goals,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals
USA_USL_Cup,2026,Forward Madison FC,9ph8wasuz3ndre586gople49g,S. Annor Gyamfi,Forward,14,2.0,6.0,4.0,24.0,15.0,9.0,16.0,4.0,2.0,4.0,2.0,13.0,8.0,5.0,1.0,1.0,18.0,1.0,1.0,,5.0,7.0,1.0,2.0,1.0,,,1.0,10.0,6.0,5.0,11.0,1.0,159.0,4.0,,2.0,14.0,19.0,11.0,2.0,2.0,8.0,36.0,7.0,7.0,0.0,11.0,7.0,,3.0,2.0,4.0,4.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,3.0,,,,,1.0,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,anysxg2z6niqapc5m3f4tzims,J. Bolma,Midfielder,7,2.0,3.0,3.0,3.0,3.0,,7.0,2.0,2.0,2.0,1.0,1.0,1.0,,,2.0,6.0,1.0,,,2.0,1.0,2.0,,,2.0,,,5.0,4.0,4.0,5.0,,35.0,,,,3.0,7.0,6.0,,,1.0,16.0,3.0,,0.0,2.0,2.0,1.0,,1.0,1.0,,,,2.0,,,,2.0,1.0,,1.0,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,63mwxq1ir6k4hm20ua1zrx5re,J. Castro,Midfielder,16,2.0,17.0,9.0,9.0,2.0,7.0,13.0,25.0,2.0,3.0,2.0,9.0,2.0,7.0,3.0,4.0,69.0,2.0,3.0,3.0,8.0,14.0,4.0,2.0,2.0,1.0,1.0,,55.0,21.0,35.0,52.0,3.0,131.0,,,2.0,19.0,69.0,55.0,5.0,1.0,14.0,93.0,14.0,8.0,0.0,,,,1.0,13.0,,1.0,2.0,,2.0,2.0,,,,,,,6.0,,,4.0,,,,,,2.0,,,,,,2.0,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,dwyatw1wz3nrh1fcwu27ie8ve,A. Edwards,Forward,3,1.0,7.0,7.0,12.0,3.0,9.0,13.0,11.0,1.0,3.0,2.0,10.0,2.0,8.0,1.0,1.0,24.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,21.0,13.0,9.0,19.0,4.0,69.0,,,1.0,8.0,25.0,22.0,4.0,2.0,3.0,52.0,,3.0,0.0,2.0,1.0,,,7.0,3.0,1.0,3.0,,,,1.0,2.0,,4.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,0.0,1.0,,,,3.0,1.0,,,,,,,,,,,1.0,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,bbcjl0991pd86wq1uqhn9p0yc,K. Flores,Goalkeeper,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,ltoddlfbimoyb6xgae4b2ktl,D. Gebhard,Forward,17,1.0,3.0,,8.0,2.0,6.0,9.0,2.0,1.0,,,7.0,1.0,6.0,1.0,,10.0,,,,,2.0,,1.0,1.0,,,1.0,8.0,7.0,2.0,9.0,,62.0,1.0,,5.0,6.0,11.0,9.0,,1.0,2.0,24.0,2.0,2.0,0.0,1.0,1.0,,,4.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,b9n9z4vv7nx9y9w2gllms61re,J. Harms,Goalkeeper,1,2.0,,2.0,1.0,,1.0,,31.0,2.0,5.0,3.0,,,,,,20.0,,,,15.0,6.0,,2.0,,,,,13.0,3.0,15.0,13.0,,180.0,,,,24.0,42.0,18.0,,,24.0,65.0,22.0,,0.0,1.0,,,,5.0,3.0,,2.0,,,,,,,,,,24.0,,,,,,,,,11.0,,,,,,,,,,,,5.0,1.0,13.0,13.0,,10.0,2.0,9.0,6.0,3.0,5.0,,2.0,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,e7vsajjh4e7t51ciycjg0skd0,T. Humphrey,Defender,13,2.0,6.0,17.0,13.0,8.0,5.0,6.0,36.0,2.0,4.0,3.0,6.0,5.0,1.0,4.0,1.0,79.0,7.0,1.0,,6.0,14.0,1.0,2.0,1.0,1.0,1.0,1.0,64.0,26.0,39.0,58.0,,127.0,1.0,,,18.0,79.0,64.0,,1.0,15.0,98.0,13.0,5.0,0.0,7.0,3.0,3.0,,23.0,5.0,4.0,3.0,,1.0,1.0,,,,,,,10.0,,,,,,,,,4.0,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,zl86cmdtqlg0cusmxb5m9jpw,M. Kanyane,Defender,6,2.0,7.0,4.0,19.0,6.0,13.0,30.0,20.0,2.0,2.0,1.0,16.0,3.0,13.0,1.0,1.0,46.0,2.0,1.0,,6.0,14.0,1.0,1.0,,2.0,,6.0,37.0,24.0,15.0,35.0,1.0,111.0,2.0,,3.0,27.0,47.0,37.0,4.0,1.0,10.0,95.0,15.0,5.0,0.0,3.0,3.0,1.0,1.0,6.0,4.0,1.0,3.0,1.0,8.0,5.0,2.0,,1.0,7.0,,1.0,5.0,4.0,2.0,,1.0,,,,2.0,3.0,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2026,Forward Madison FC,dpu5gyonkkl5rhvk0oynf0e3u,K. Carmichael,Defender,20,2.0,5.0,8.0,19.0,8.0,11.0,5.0,24.0,2.0,5.0,3.0,12.0,7.0,5.0,2.0,,69.0,3.0,1.0,1.0,5.0,23.0,,2.0,,,,1.0,54.0,11.0,45.0,50.0,1.0,180.0,3.0,,1.0,18.0,71.0,56.0,3.0,1.0,15.0,94.0,11.0,8.0,0.0,7.0,1.0,,2.0,19.0,6.0,4.0,4.0,,,,,,,1.0,,,7.0,,,,2.0,,,,,3.0,,,,,,2.0,,,,,2.0,6.0,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
