liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Foul Attempted Tackle,Unsuccessful Corners into Box,Successful Passes Own Half,Ground Duels lost,Starts,Unsuccessful Passes Opposition Half,Interceptions,Total Fouls Conceded,Recoveries,Ground Duels,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Appearances,Rightside Passes,Aerial Duels,PutThrough/Blocked Distribution,Total Passes,Index,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Total Fouls Won,Unsuccessful Launches,Penalties Conceded,Throw Ins to Opposition Player,Unsuccessful Short Passes,Total Touches In Opposition Box,Corners Taken (incl short corners),Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels won,Total Tackles,Touches,Aerial Duels won,Throw Ins to Own Player,Backward Passes,Successful Open Play Passes,Successful Long Passes,Open Play Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Ground Duels won,Duels lost,Times Tackled,Time Played,Forward Passes,Aerial Duels lost,PutThrough/Blocked Distribution Won,Successful Dribbles,Unsuccessful Crosses open play,Penalty Goals Conceded,Tackles Lost,Leftside Passes,Unsuccessful Passes Own Half,Goals Conceded,Total Clearances,Tackles Won,Total Losses Of Possession,Winning Goal,Blocks,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Corners into Box,Total Shots,Unsuccessful Dribbles,Corners Won,Shots On Target ( inc goals ),Offsides,Saves Made from Inside Box,Catches,Saves Made,Saves made - parried,Penalties Faced,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Successful Crosses open play,Blocked Shots,Successful Lay-offs,Goals Conceded Outside Box,Attempts from Set Pieces,Right Foot Goals,Clean Sheets,Goals from Inside Box,Home Goals,Away Goals,Overruns,Goal Assists,Assists (Intentional),Hit Woodwork,Through balls,Left Foot Goals,Unsuccessful lay-offs,Saves Made from Outside Box,Headed Goals,Handballs conceded,Own Goal Scored,Goals from Outside Box,Last Player Tackle,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Saved,Second Goal Assists,Foul Won Penalty,Penalty Goals,Penalties Taken,Set Pieces Goals,Saves made - caught,Clearances Off the Line,Crosses not Claimed
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27.0,7.0,,1.0,,,,,,6.0,,261.0,18.0,7.0,45.0,6.0,12.0,20.0,43.0,4.0,3.0,5.0,7.0,177.0,19.0,4.0,416.0,10.0,2.0,362.0,344.0,9.0,14.0,,1.0,24.0,3.0,,62.0,54.0,37.0,15.0,516.0,12.0,11.0,45.0,340.0,18.0,394.0,102.0,30.0,25.0,25.0,2.0,630.0,151.0,7.0,1.0,1.0,3.0,1.0,7.0,43.0,12.0,5.0,21.0,8.0,67.0,0.0,3.0,,1.0,,,1.0,,,1.0,,,,,,5.0,,5.0,,1.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,4051hgvu9v8jnu9rbbd0pr9bd,U. Antuna,Forward,22.0,6.0,1.0,,,,,2.0,4.0,1.0,1.0,17.0,16.0,4.0,22.0,4.0,2.0,10.0,19.0,2.0,8.0,2.0,6.0,6.0,4.0,5.0,64.0,10.0,,48.0,46.0,,,,2.0,14.0,5.0,1.0,23.0,16.0,3.0,1.0,119.0,,3.0,22.0,48.0,2.0,64.0,33.0,2.0,3.0,20.0,14.0,313.0,12.0,4.0,2.0,2.0,7.0,,,24.0,2.0,2.0,,1.0,50.0,0.0,,,2.0,,1.0,9.0,3.0,1.0,5.0,,,,,,,,,,2.0,,1.0,,,,,1.0,1.0,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20.0,7.0,,1.0,,,,,2.0,6.0,,140.0,25.0,7.0,73.0,9.0,8.0,30.0,46.0,5.0,10.0,3.0,7.0,15.0,11.0,9.0,394.0,10.0,1.0,312.0,305.0,7.0,9.0,,2.0,59.0,7.0,,57.0,82.0,26.0,9.0,549.0,5.0,65.0,91.0,310.0,7.0,391.0,178.0,23.0,21.0,31.0,9.0,623.0,147.0,6.0,2.0,5.0,10.0,1.0,2.0,141.0,19.0,6.0,13.0,7.0,110.0,0.0,1.0,2.0,6.0,,2.0,5.0,1.0,,1.0,,,,,,,,,,6.0,1.0,2.0,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,ay0sjv8k7cxbxs7sec1k4bhpm,D. Ayala,Midfielder,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,auegpd36ras84mp8q6j6gs8a1,J. Brunetta,Midfielder,11.0,7.0,1.0,2.0,,,,,1.0,3.0,7.0,161.0,30.0,7.0,59.0,2.0,6.0,40.0,66.0,5.0,15.0,12.0,7.0,129.0,2.0,8.0,377.0,10.0,1.0,328.0,305.0,12.0,1.0,,1.0,39.0,16.0,17.0,68.0,49.0,37.0,9.0,528.0,1.0,,84.0,316.0,23.0,364.0,177.0,10.0,36.0,31.0,21.0,611.0,78.0,1.0,1.0,15.0,4.0,1.0,3.0,86.0,5.0,6.0,3.0,6.0,116.0,1.0,2.0,12.0,10.0,6.0,21.0,9.0,3.0,9.0,2.0,,,,,,,,,,2.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17.0,6.0,,1.0,,,,2.0,4.0,5.0,3.0,22.0,24.0,4.0,30.0,1.0,11.0,7.0,32.0,2.0,6.0,3.0,6.0,14.0,8.0,9.0,95.0,10.0,,68.0,67.0,5.0,1.0,,,22.0,8.0,5.0,40.0,27.0,10.0,3.0,159.0,2.0,2.0,15.0,66.0,1.0,93.0,48.0,5.0,8.0,30.0,12.0,289.0,34.0,6.0,3.0,,3.0,,2.0,32.0,3.0,3.0,,1.0,62.0,0.0,,2.0,2.0,,3.0,6.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,22iqqk9sbs82tmmyd17m2omlm,M. Flores,Midfielder,24.0,5.0,,,,,,3.0,2.0,1.0,,26.0,8.0,2.0,10.0,,3.0,9.0,13.0,2.0,4.0,1.0,5.0,22.0,3.0,6.0,83.0,10.0,,75.0,72.0,3.0,1.0,1.0,,7.0,3.0,,16.0,8.0,5.0,,117.0,,1.0,27.0,75.0,3.0,83.0,50.0,1.0,5.0,11.0,6.0,169.0,18.0,3.0,2.0,2.0,4.0,1.0,,16.0,2.0,3.0,,,29.0,0.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,c6mn8nsx1djyybi6vs3wvd6qy,R. Fulgencio,Midfielder,30.0,2.0,,,,,,2.0,,,1.0,8.0,4.0,,7.0,,,1.0,4.0,1.0,5.0,,2.0,12.0,,1.0,17.0,10.0,,14.0,14.0,,,,1.0,3.0,,2.0,4.0,3.0,,,30.0,,1.0,2.0,14.0,,17.0,7.0,,,4.0,4.0,49.0,1.0,,,,4.0,,,2.0,1.0,1.0,,,14.0,0.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,745jx9uzim73pkz4qavdzt7je,J. Garza,Midfielder,14.0,4.0,,2.0,,,,,,3.0,,64.0,15.0,4.0,22.0,11.0,5.0,12.0,29.0,2.0,4.0,6.0,4.0,56.0,5.0,5.0,170.0,10.0,1.0,147.0,142.0,5.0,2.0,,6.0,14.0,8.0,,34.0,23.0,17.0,8.0,265.0,3.0,33.0,38.0,146.0,5.0,169.0,86.0,9.0,14.0,17.0,6.0,360.0,59.0,2.0,3.0,1.0,4.0,,3.0,17.0,5.0,3.0,4.0,5.0,47.0,0.0,,,3.0,,,3.0,3.0,,4.0,,,,,,,,,,3.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Club Tigres UANL,1ywn594g4nv3vvqyyy16qjutx,F. Gorriarán,Midfielder,8.0,6.0,,2.0,,,,1.0,1.0,2.0,,100.0,26.0,5.0,50.0,1.0,7.0,31.0,50.0,4.0,6.0,2.0,6.0,72.0,3.0,14.0,281.0,10.0,2.0,228.0,202.0,16.0,3.0,,,42.0,8.0,,53.0,53.0,27.0,4.0,371.0,3.0,2.0,61.0,220.0,26.0,272.0,130.0,11.0,24.0,26.0,12.0,493.0,83.0,,6.0,4.0,6.0,1.0,3.0,65.0,9.0,4.0,1.0,1.0,89.0,0.0,1.0,4.0,2.0,,5.0,4.0,5.0,1.0,1.0,,,,,,1.0,,1.0,,2.0,4.0,14.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
