liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Appearances,Successful Open Play Passes,PutThrough/Blocked Distribution Won,Successful Passes Opposition Half,Total Fouls Conceded,Times Tackled,Total Passes,Touches,Duels,Goals Conceded Inside Box,Successful Long Passes,Ground Duels lost,Fifty Fifty,Foul Attempted Tackle,Backward Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,Index,Total Tackles,Successful Passes Own Half,Aerial Duels,PutThrough/Blocked Distribution,Time Played,Unsuccessful Long Passes,Aerial Duels lost,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Substitute Off,Successful Short Passes,Tackles Won,Unsuccessful Launches,Throw Ins to Own Player,Unsuccessful Passes Opposition Half,Duels lost,Total Losses Of Possession,Rightside Passes,Games Played,Substitute On,Total Touches In Opposition Box,Duels won,Blocked Shots,Forward Passes,Tackles Lost,Handballs conceded,Leftside Passes,Interceptions,Ground Duels,Successful Dribbles,Yellow Cards,Recoveries,Starts,Ground Duels won,Successful Fifty Fifty,Unsuccessful Passes Own Half,Home Goals,Away Goals,Winning Goal,Aerial Duels won,Unsuccessful Crosses open play,Corners Won,Unsuccessful Crosses & Corners,Total Clearances,Successful Crosses & Corners,Offsides,Key Passes (Attempt Assists),Set Pieces Goals,Left Foot Goals,Penalties Taken,Hit Woodwork,Throw Ins to Opposition Player,Attempts from Set Pieces,Successful Lay-offs,Shots Off Target (inc woodwork),Second Goal Assists,Shots On Target ( inc goals ),Goals from Outside Box,Goals,Goals from Inside Box,Through balls,Assists (Intentional),Goal Assists,Total Fouls Won,Unsuccessful lay-offs,Right Foot Goals,Successful Crosses open play,Penalty Goals Conceded,Total Shots,Straight Red Cards,Successful Corners into Box,Corners Taken (incl short corners),Total Red Cards,Unsuccessful Corners into Box,Clean Sheets,Penalty Goals,Successful Launches,Blocks,Headed Goals,Red Cards - 2nd Yellow,Penalties Conceded,GK Successful Distribution,Catches,Saves made - parried,GK Unsuccessful Distribution,Saves Made from Outside Box,Goalkeeper Smother,Saves Made,Punches,Saves Made from Inside Box,Saves made - caught,Drops,Penalties Faced,Foul Won Penalty,Last Man Tackle,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Penalties Saved,Saves from Penalty,Crosses not Claimed,Overruns,Goals Openplay,Other Goals,Goal Kicks,Last Player Tackle
USA_MLS,2021,Vancouver Whitecaps FC,2r6suw717hgzqsp8ogvwdfk6h,T. Bair,Forward,14,5.0,4.0,7.0,,4.0,,,12.0,20.0,5.0,1.0,,,1.0,,6.0,1.0,5.0,,10.0,,3.0,5.0,,27.0,,3.0,12.0,7.0,,,7.0,,,,6.0,3.0,9.0,2.0,4.0,4.0,4.0,2.0,,3.0,,,1.0,,,,,,,,1.0,,0.0,0.0,0.0,2.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,2jwbnsl7zicnbgutmpop29d61,M. Baldisimo,Midfielder,55,65.0,21.0,588.0,6.0,258.0,26.0,14.0,708.0,896.0,124.0,15.0,84.0,55.0,44.0,17.0,84.0,16.0,98.0,4.0,23.0,33.0,353.0,16.0,11.0,1254.0,33.0,6.0,681.0,610.0,1.0,6.0,526.0,21.0,3.0,1.0,87.0,61.0,150.0,220.0,21.0,9.0,,63.0,4.0,193.0,12.0,,211.0,17.0,108.0,7.0,6.0,62.0,12.0,53.0,23.0,26.0,0.0,0.0,0.0,10.0,2.0,5.0,15.0,21.0,1.0,,2.0,,,,,,,6.0,2.0,,1.0,,,,,,,13.0,,,,,3.0,,,9.0,,9.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,vw73lu7w6gr72789vp49zmc5,Janio Bikel,Midfielder,19,83.0,33.0,757.0,19.0,388.0,68.0,27.0,897.0,1251.0,278.0,35.0,67.0,127.0,62.0,47.0,158.0,37.0,120.0,11.0,22.0,47.0,389.0,28.0,32.0,2310.0,37.0,14.0,875.0,777.0,2.0,9.0,710.0,24.0,16.0,18.0,82.0,141.0,205.0,268.0,33.0,7.0,15.0,137.0,2.0,238.0,23.0,3.0,233.0,27.0,250.0,36.0,4.0,129.0,26.0,123.0,28.0,52.0,1.0,0.0,0.0,14.0,14.0,3.0,14.0,26.0,,1.0,6.0,,,,,9.0,,5.0,2.0,,2.0,,1.0,1.0,,,1.0,40.0,3.0,1.0,,3.0,4.0,,,,,,3.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,3f2otwd2ozwk89319ssh9yjmd,Bruno Gaspar,Defender,6,83.0,18.0,260.0,5.0,149.0,11.0,9.0,373.0,629.0,87.0,13.0,14.0,31.0,24.0,8.0,95.0,15.0,100.0,7.0,100.0,15.0,129.0,18.0,21.0,984.0,17.0,6.0,360.0,273.0,2.0,8.0,259.0,7.0,9.0,74.0,80.0,37.0,166.0,43.0,18.0,6.0,15.0,50.0,1.0,153.0,8.0,,82.0,16.0,69.0,4.0,4.0,38.0,12.0,38.0,9.0,34.0,0.0,1.0,0.0,12.0,14.0,8.0,14.0,24.0,5.0,2.0,4.0,,1.0,,,19.0,,,3.0,,2.0,,1.0,1.0,1.0,1.0,1.0,20.0,,,5.0,,5.0,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,2fyga1shd4mwcn90mze2pe4tl,J. Brown,Defender,23,121.0,26.0,570.0,18.0,296.0,27.0,23.0,738.0,1279.0,219.0,22.0,43.0,79.0,45.0,15.0,178.0,24.0,156.0,9.0,79.0,63.0,296.0,59.0,34.0,1748.0,35.0,31.0,723.0,582.0,2.0,9.0,539.0,40.0,15.0,140.0,159.0,110.0,299.0,92.0,26.0,7.0,25.0,109.0,4.0,284.0,23.0,,184.0,45.0,160.0,6.0,4.0,113.0,19.0,81.0,26.0,48.0,0.0,0.0,0.0,28.0,50.0,14.0,51.0,33.0,10.0,2.0,11.0,,,,,44.0,,,11.0,3.0,2.0,,,,1.0,2.0,2.0,12.0,,,10.0,3.0,13.0,,,,,,1.0,,3.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,dp3chasr11o48ehnokswl8l7u,D. Caicedo,Forward,7,89.0,34.0,518.0,15.0,393.0,18.0,71.0,631.0,1166.0,245.0,34.0,18.0,103.0,52.0,10.0,176.0,36.0,102.0,38.0,46.0,20.0,163.0,23.0,29.0,2281.0,13.0,18.0,619.0,529.0,2.0,12.0,511.0,10.0,5.0,8.0,166.0,121.0,332.0,168.0,34.0,10.0,77.0,124.0,14.0,121.0,10.0,2.0,166.0,25.0,222.0,61.0,3.0,111.0,24.0,119.0,20.0,19.0,2.0,3.0,1.0,5.0,42.0,27.0,83.0,3.0,27.0,7.0,28.0,,,,1.0,,7.0,14.0,19.0,2.0,18.0,,5.0,5.0,5.0,5.0,5.0,38.0,2.0,5.0,5.0,3.0,37.0,,16.0,50.0,,32.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,cdeomoi09osphftlezrqa7qol,L. Cavallini,Forward,9,95.0,22.0,177.0,10.0,118.0,28.0,35.0,297.0,611.0,293.0,20.0,12.0,68.0,58.0,13.0,89.0,21.0,98.0,18.0,40.0,12.0,81.0,140.0,19.0,1246.0,3.0,72.0,274.0,199.0,1.0,5.0,187.0,8.0,1.0,,86.0,140.0,220.0,57.0,22.0,8.0,66.0,153.0,6.0,70.0,4.0,1.0,81.0,5.0,153.0,23.0,7.0,31.0,14.0,85.0,30.0,18.0,1.0,2.0,1.0,68.0,6.0,11.0,6.0,15.0,,2.0,8.0,,1.0,,,,2.0,12.0,14.0,,14.0,,3.0,3.0,,,1.0,53.0,5.0,1.0,,1.0,28.0,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,7ujr3n286xjhtwsrckvkbldxx,D. Cornelius,Defender,13,6.0,5.0,49.0,1.0,8.0,4.0,1.0,63.0,91.0,16.0,6.0,2.0,6.0,4.0,3.0,4.0,6.0,12.0,,19.0,1.0,43.0,7.0,2.0,144.0,6.0,5.0,61.0,51.0,,,49.0,1.0,2.0,,4.0,11.0,16.0,19.0,5.0,4.0,1.0,5.0,2.0,22.0,,,18.0,3.0,9.0,1.0,2.0,9.0,1.0,3.0,2.0,8.0,0.0,0.0,0.0,2.0,,,,13.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,16,6.0,28.0,316.0,,127.0,,,828.0,1125.0,12.0,30.0,238.0,,3.0,,,34.0,313.0,,66.0,,388.0,10.0,,2520.0,307.0,,424.0,515.0,4.0,,277.0,,92.0,,236.0,,318.0,141.0,28.0,,,12.0,,561.0,,,126.0,4.0,2.0,,1.0,242.0,28.0,2.0,2.0,77.0,0.0,0.0,0.0,10.0,,1.0,,22.0,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,6.0,,55.0,,,,,269.0,23.0,18.0,134.0,33.0,4.0,99.0,9.0,66.0,4.0,3.0,4.0,,,,,,1.0,1.0,,,,,,
USA_MLS,2021,Vancouver Whitecaps FC,3oj41up7cc77o5qj3i65szemt,C. Dájome,Forward,11,166.0,34.0,638.0,27.0,434.0,44.0,90.0,837.0,1581.0,425.0,38.0,44.0,162.0,76.0,25.0,217.0,42.0,184.0,48.0,63.0,55.0,232.0,65.0,62.0,2770.0,18.0,40.0,821.0,653.0,4.0,16.0,609.0,34.0,6.0,40.0,252.0,202.0,465.0,191.0,34.0,2.0,122.0,223.0,11.0,202.0,21.0,4.0,227.0,22.0,360.0,51.0,4.0,133.0,32.0,198.0,41.0,40.0,5.0,6.0,3.0,25.0,107.0,36.0,108.0,22.0,13.0,6.0,35.0,,1.0,5.0,,7.0,1.0,28.0,24.0,1.0,23.0,,11.0,11.0,3.0,3.0,4.0,92.0,6.0,8.0,13.0,4.0,47.0,,,2.0,,1.0,3.0,5.0,,5.0,2.0,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,
