liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels lost,Successful Open Play Passes,Total Touches In Opposition Box,Interceptions,Aerial Duels won,Ground Duels won,Aerial Duels lost,Times Tackled,Starts,Open Play Passes,PutThrough/Blocked Distribution,Total Tackles,Offsides,Successful Crosses open play,Touches,Unsuccessful Short Passes,Leftside Passes,Successful Passes Opposition Half,Substitute Off,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Successful Launches,Penalty Goals Conceded,Forward Passes,Time Played,Total Fouls Won,Foul Attempted Tackle,Duels,Overruns,Unsuccessful Long Passes,Successful Passes Own Half,Appearances,Index,Total Clearances,Total Fouls Conceded,Goals Conceded Inside Box,Ground Duels,Successful Long Passes,Unsuccessful Crosses & Corners,Aerial Duels,Rightside Passes,Backward Passes,Shots Off Target (inc woodwork),Successful Crosses & Corners,Tackles Won,Total Passes,Yellow Cards,Tackles Lost,Successful Dribbles,Duels lost,Unsuccessful Passes Opposition Half,Corners Won,Throw Ins to Own Player,Games Played,Successful Short Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Total Shots,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Unsuccessful Launches,Duels won,Key Passes (Attempt Assists),Blocks,Total Losses Of Possession,Unsuccessful Passes Own Half,Winning Goal,Substitute On,Foul Won Penalty,Successful Lay-offs,Shots On Target ( inc goals ),Goals,Total Red Cards,Handballs conceded,Headed Goals,Straight Red Cards,Unsuccessful Corners into Box,Through balls,Corners Taken (incl short corners),Blocked Shots,Right Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Goal Assists,Penalties Conceded,Unsuccessful lay-offs,Hit Woodwork,Goals from Outside Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Assists (Intentional),Penalties Taken,Penalty Goals,Clearances Off the Line,Successful Corners into Box,Saves Made from Inside Box,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made,Own Goal Scored,Red Cards - 2nd Yellow,Saves made - parried,Punches,Saves made - caught,Catches,Goalkeeper Smother,Penalties Faced,Penalties Off Target,Successful Fifty Fifty,Fifty Fifty,Second Goal Assists,Saves from Penalty,Penalties Saved,Crosses not Claimed,Drops,Last Player Tackle,Other Goals
Mexico_Liga_MX,2020-2021,CF Monterrey,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,Forward,9,38.0,150.0,42.0,4.0,9.0,43.0,15.0,17.0,9.0,190.0,22.0,17.0,2.0,1.0,361.0,32.0,41.0,114.0,6.0,11.0,40.0,8.0,7.0,,1.0,47.0,761.0,15.0,8.0,105.0,,8.0,41.0,13.0,10.0,3.0,19.0,11.0,81.0,12.0,19.0,24.0,72.0,34.0,17.0,1.0,10.0,194.0,4.0,7.0,11.0,53.0,49.0,7.0,1.0,13.0,142.0,19.0,154.0,,34.0,21.0,,,2.0,52.0,9.0,,99.0,10.0,1.0,4.0,,4.0,17.0,5.0,1.0,2.0,,1.0,,,,2.0,4.0,4.0,2.0,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,adbr7wt8l9cv4wg7i1e2wirpx,M. Kranevitter,Midfielder,5,30.0,346.0,,22.0,11.0,22.0,11.0,2.0,11.0,435.0,14.0,17.0,,,551.0,45.0,130.0,193.0,6.0,13.0,94.0,,9.0,5.0,1.0,179.0,1047.0,3.0,11.0,74.0,,49.0,181.0,18.0,10.0,10.0,25.0,13.0,52.0,39.0,,22.0,119.0,40.0,2.0,,10.0,468.0,4.0,7.0,2.0,41.0,63.0,2.0,1.0,18.0,335.0,,374.0,1.0,3.0,76.0,,,28.0,33.0,3.0,4.0,98.0,31.0,0.0,7.0,,,1.0,,,1.0,,,,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,9.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,dq7sreeigwha462ih1rx93105,M. Layún,Defender,19,23.0,332.0,10.0,8.0,2.0,28.0,5.0,7.0,10.0,398.0,16.0,17.0,,8.0,679.0,49.0,133.0,225.0,1.0,9.0,71.0,3.0,8.0,7.0,1.0,173.0,998.0,6.0,6.0,58.0,,22.0,136.0,15.0,10.0,11.0,7.0,9.0,51.0,31.0,48.0,7.0,46.0,64.0,9.0,16.0,12.0,416.0,1.0,5.0,5.0,28.0,99.0,8.0,79.0,15.0,314.0,25.0,345.0,3.0,13.0,48.0,,11.0,10.0,30.0,18.0,3.0,146.0,20.0,0.0,5.0,,1.0,4.0,,,,,,17.0,,27.0,4.0,,,0.0,0.0,2.0,,,2.0,,4.0,,,,,,,9.0,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,a1hc0kfyu3y7irx8gx6iospnt,A. Loba,Forward,10,24.0,60.0,25.0,3.0,2.0,17.0,8.0,11.0,3.0,73.0,3.0,6.0,1.0,,130.0,13.0,10.0,50.0,3.0,1.0,13.0,6.0,1.0,,,13.0,325.0,8.0,3.0,51.0,,,11.0,10.0,10.0,,12.0,1.0,41.0,3.0,1.0,10.0,31.0,20.0,3.0,,4.0,74.0,,2.0,3.0,32.0,13.0,4.0,,10.0,58.0,1.0,61.0,,7.0,9.0,,,,19.0,10.0,,35.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,6s1oih9gufvq1s3uudy76xmju,J. Martínez,Midfielder,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,avklyjdqb9280ejj78gwtsb85,S. Medina,Defender,33,24.0,219.0,9.0,18.0,13.0,26.0,6.0,7.0,10.0,301.0,17.0,18.0,1.0,1.0,525.0,49.0,87.0,113.0,1.0,8.0,87.0,4.0,6.0,3.0,,150.0,918.0,5.0,7.0,69.0,,38.0,112.0,11.0,10.0,21.0,12.0,8.0,50.0,26.0,14.0,19.0,15.0,59.0,2.0,1.0,13.0,311.0,,5.0,5.0,30.0,75.0,4.0,67.0,11.0,198.0,14.0,224.0,4.0,2.0,39.0,,16.0,19.0,39.0,5.0,4.0,132.0,26.0,0.0,1.0,,,,,,,,,,,,2.0,,,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,16.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,bdibb4tinr5kyhu8va15rmok5,M. Meza,Midfielder,11,94.0,355.0,59.0,14.0,23.0,83.0,28.0,65.0,17.0,450.0,27.0,20.0,2.0,9.0,819.0,86.0,146.0,284.0,10.0,11.0,96.0,34.0,14.0,,1.0,137.0,1432.0,35.0,15.0,228.0,,10.0,84.0,19.0,10.0,5.0,20.0,11.0,177.0,29.0,34.0,51.0,90.0,82.0,16.0,9.0,8.0,455.0,5.0,12.0,28.0,122.0,119.0,15.0,5.0,19.0,330.0,33.0,359.0,2.0,29.0,91.0,,,1.0,106.0,27.0,,249.0,11.0,2.0,2.0,,9.0,13.0,5.0,,2.0,,,1.0,3.0,2.0,6.0,3.0,4.0,3.0,2.0,3.0,,,2.0,1.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,9.0,13.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,cbhdq57m8kxdeqjf42z0i3rop,C. Montes,Defender,3,20.0,368.0,17.0,15.0,46.0,24.0,9.0,2.0,14.0,470.0,11.0,14.0,,,633.0,52.0,155.0,133.0,1.0,12.0,107.0,,7.0,11.0,1.0,225.0,1273.0,6.0,12.0,99.0,,55.0,250.0,16.0,10.0,53.0,14.0,12.0,44.0,39.0,4.0,55.0,73.0,37.0,7.0,,10.0,490.0,3.0,4.0,4.0,29.0,82.0,1.0,2.0,16.0,344.0,4.0,383.0,4.0,8.0,50.0,,,24.0,70.0,3.0,9.0,122.0,29.0,0.0,2.0,,,1.0,,,1.0,,,,,,1.0,,,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,13.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,ct2l9vkkkxyv2i4y1m0copox6,A. Mora,Defender,2,1.0,7.0,,2.0,3.0,3.0,4.0,,1.0,12.0,2.0,2.0,,,24.0,2.0,4.0,4.0,1.0,1.0,5.0,,2.0,,,6.0,60.0,,,11.0,,3.0,3.0,1.0,10.0,1.0,1.0,1.0,4.0,1.0,,7.0,2.0,,,,2.0,12.0,,,1.0,5.0,4.0,,,1.0,6.0,,7.0,,,3.0,,,1.0,6.0,,2.0,7.0,1.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,8b9lvuqf5ltpcy1gqw7ps3z6d,C. Ortiz,Midfielder,16,31.0,301.0,2.0,19.0,8.0,31.0,6.0,3.0,9.0,356.0,12.0,23.0,,,460.0,33.0,97.0,134.0,5.0,6.0,55.0,1.0,8.0,7.0,,127.0,809.0,8.0,12.0,76.0,,22.0,179.0,17.0,10.0,3.0,20.0,6.0,62.0,27.0,3.0,14.0,111.0,33.0,2.0,,13.0,368.0,3.0,10.0,1.0,37.0,40.0,,,17.0,286.0,2.0,313.0,1.0,2.0,55.0,,,14.0,39.0,7.0,2.0,69.0,18.0,0.0,8.0,,1.0,,,,,,,1.0,1.0,3.0,1.0,,,0.0,0.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,3.0,3.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,cljagdyxgnvhgvkbl4n0i5t5h,D. Pabón,Forward,8,23.0,95.0,21.0,3.0,9.0,21.0,9.0,12.0,6.0,133.0,18.0,8.0,3.0,7.0,276.0,34.0,47.0,88.0,6.0,5.0,39.0,7.0,5.0,,,34.0,499.0,8.0,5.0,62.0,,5.0,26.0,13.0,10.0,1.0,6.0,5.0,44.0,11.0,33.0,18.0,25.0,31.0,7.0,16.0,4.0,137.0,,4.0,5.0,32.0,64.0,11.0,1.0,13.0,87.0,24.0,98.0,,11.0,20.0,,,2.0,30.0,10.0,,101.0,8.0,0.0,7.0,,1.0,4.0,,,,,,5.0,,14.0,7.0,,,0.0,0.0,1.0,,1.0,,,2.0,,,1.0,,,,9.0,,,,,,,,,,,,,,,,3.0,10.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,dmtsbln16ttjoymm2rqfuyw2x,C. Rodríguez,Midfielder,29,48.0,493.0,18.0,13.0,5.0,39.0,17.0,24.0,15.0,612.0,24.0,16.0,,4.0,833.0,94.0,158.0,318.0,9.0,15.0,122.0,9.0,7.0,2.0,1.0,204.0,1384.0,7.0,10.0,109.0,,28.0,198.0,19.0,10.0,6.0,13.0,15.0,87.0,39.0,31.0,22.0,139.0,132.0,4.0,5.0,10.0,633.0,1.0,6.0,16.0,65.0,127.0,10.0,2.0,19.0,472.0,14.0,511.0,3.0,6.0,85.0,,,13.0,44.0,22.0,,215.0,26.0,0.0,4.0,,3.0,2.0,,,1.0,,,12.0,1.0,16.0,6.0,,,0.0,0.0,2.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,3.0,6.0,1.0,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,ak1647012heka69wr46ctva7e,G. Sánchez,Defender,190,6.0,24.0,1.0,2.0,2.0,10.0,2.0,1.0,1.0,37.0,5.0,5.0,,1.0,83.0,11.0,3.0,12.0,,2.0,14.0,,4.0,,,16.0,122.0,4.0,2.0,20.0,,3.0,14.0,2.0,10.0,3.0,4.0,2.0,16.0,2.0,1.0,4.0,14.0,6.0,1.0,1.0,5.0,39.0,,,2.0,8.0,7.0,1.0,11.0,2.0,23.0,1.0,25.0,,2.0,5.0,,5.0,2.0,12.0,1.0,,22.0,8.0,0.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,8ccew21ghurfiznopilx1wqtx,N. Sánchez,Defender,4,7.0,267.0,12.0,16.0,21.0,13.0,16.0,2.0,8.0,312.0,6.0,11.0,1.0,,394.0,21.0,103.0,70.0,,7.0,47.0,,2.0,1.0,,120.0,744.0,1.0,3.0,57.0,,26.0,202.0,9.0,10.0,20.0,4.0,7.0,20.0,26.0,,37.0,70.0,26.0,4.0,,9.0,319.0,1.0,2.0,1.0,23.0,29.0,,1.0,9.0,246.0,,272.0,3.0,5.0,33.0,,,11.0,34.0,1.0,3.0,53.0,18.0,0.0,1.0,,,1.0,,,,,,,,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,4rp06cf9n8lvit3932bh6jq39,S. Vegas,Defender,20,43.0,462.0,11.0,23.0,35.0,52.0,34.0,8.0,16.0,581.0,15.0,30.0,,,796.0,68.0,89.0,180.0,1.0,13.0,126.0,3.0,5.0,11.0,1.0,273.0,1410.0,12.0,17.0,164.0,,58.0,308.0,16.0,10.0,37.0,26.0,13.0,95.0,52.0,2.0,69.0,204.0,48.0,8.0,,20.0,614.0,3.0,10.0,10.0,77.0,85.0,3.0,2.0,16.0,436.0,2.0,488.0,5.0,13.0,50.0,,,27.0,87.0,,4.0,145.0,43.0,0.0,,,,5.0,1.0,1.0,1.0,,,,,,1.0,,,0.0,1.0,,,,,1.0,2.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,6.0,12.0,,,,,,,
