liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Goals Conceded Inside Box,Starts,Appearances,Index,Goals Conceded,Games Played,Substitute Off,Yellow Cards,Substitute On,Goals,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Open Play Passes,Successful Passes Opposition Half,Aerial Duels lost,Total Passes,Touches,Total Touches In Opposition Box,Successful Long Passes,Duels,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Saves Made,GK Successful Distribution,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Unsuccessful Passes Own Half,Catches,Forward Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Throw Ins to Own Player,Backward Passes,Interceptions,Penalties Conceded,Successful Launches,Corners Won,Total Tackles,Total Fouls Conceded,Foul Attempted Tackle,Ground Duels,Duels won,Total Fouls Won,Aerial Duels won,Ground Duels lost,Tackles Won,Ground Duels won,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Tackles Lost,PutThrough/Blocked Distribution,Blocks,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Shots,Handballs conceded,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Shots On Target ( inc goals ),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Crosses open play,Successful Dribbles,Throw Ins to Opposition Player,Successful Lay-offs,Right Foot Goals,Unsuccessful Dribbles,Goals from Inside Box,Penalties Taken,Penalty Goals,Hit Woodwork,Foul Won Penalty,Offsides,Through balls,Goals Conceded Outside Box,Assists (Intentional),Goal Assists,Unsuccessful lay-offs,Punches,Drops,Headed Goals,Left Foot Goals,Clean Sheets,Goals from Outside Box,Penalties Off Target,Goalkeeper Smother,Clearances Off the Line,Set Pieces Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks,Second Goal Assists,Own Goal Scored,Other Goals,Last Man Tackle
USA_US_Open_Cup,2017,Flint City Bucks,erm5zuf9861sxyqflg3ugmsbt,F. Atuahene,Midfielder,12.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,,,2.0,,,,20.0,14.0,4.0,20.0,74.0,11.0,1.0,36.0,4.0,15.0,15.0,4.0,26.0,,,,,34.0,2.0,5.0,14.0,5.0,7.0,1.0,7.0,8.0,,,5.0,,,,,,,,,4.0,1.0,,,4.0,2.0,5.0,2.0,32.0,10.0,5.0,,22.0,1.0,10.0,2.0,2.0,1.0,3.0,,2.0,5.0,11.0,,1.0,,,,6.0,,,1.0,3.0,,,2.0,7.0,1.0,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,42f8bgvjnecwgdijcps1lta09,J. Bevan,Midfielder,26.0,9.0,,,1.0,10.0,,1.0,,,1.0,,,,,5.0,2.0,,5.0,5.0,1.0,,1.0,2.0,3.0,3.0,,1.0,,,,,2.0,1.0,2.0,3.0,2.0,,,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,2lkh4l8klzffrpq93ghe3z2z9,C. Brown,Defender,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,7y146dg1rh3yp9562xd7sdoet,A. Carvalho-Landell,Forward,22.0,142.0,2.0,2.0,2.0,10.0,2.0,2.0,2.0,,,,,,,39.0,19.0,8.0,43.0,61.0,3.0,,20.0,7.0,26.0,30.0,11.0,15.0,,,,1.0,26.0,11.0,12.0,30.0,13.0,6.0,3.0,17.0,1.0,,,10.0,,,,,,,,1.0,20.0,,,,1.0,1.0,2.0,1.0,9.0,5.0,,3.0,7.0,1.0,2.0,4.0,4.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,dwfear5sdv1c4wnq44vd52hh,I. Cerda,Midfielder,8.0,131.0,2.0,1.0,2.0,10.0,2.0,2.0,,1.0,1.0,,,,,40.0,24.0,1.0,41.0,64.0,2.0,2.0,11.0,10.0,31.0,32.0,3.0,6.0,,,1.0,4.0,18.0,9.0,5.0,30.0,9.0,4.0,1.0,9.0,7.0,2.0,,15.0,,,,,,,,5.0,12.0,1.0,,,,1.0,1.0,1.0,8.0,5.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,,4.0,,3.0,,,,1.0,,1.0,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,br7aqbczjqk5mw2nhup4zd045,M. Charalambous,Midfielder,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,1nl79aq9il743hgoaijmupmmt,E. Collier,Forward,11.0,24.0,,,1.0,10.0,,1.0,,,1.0,,,,,2.0,,,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,yssdijoe84uz0f1s573t5ecp,B. Dunwell,Midfielder,14.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,,,,,,,82.0,34.0,2.0,84.0,107.0,,6.0,22.0,15.0,71.0,73.0,4.0,11.0,,,3.0,4.0,19.0,39.0,7.0,67.0,11.0,15.0,,7.0,17.0,5.0,,35.0,,,,,,,,1.0,19.0,,,,,5.0,2.0,,18.0,11.0,3.0,2.0,9.0,3.0,9.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,co8i6jz3rrffutm8r5me6liw9,J. Haupt,Midfielder,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,8e1nhx9eytr8now1kr0088auh,N. Higgins,Defender,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,74k4twxg6bdruehxmxcim4o2x,M. Kaba,Defender,15.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,,,,,,,52.0,8.0,1.0,52.0,81.0,2.0,6.0,10.0,8.0,35.0,35.0,3.0,3.0,,,4.0,8.0,21.0,28.0,9.0,29.0,17.0,9.0,,9.0,9.0,8.0,,30.0,,,3.0,,,,,2.0,5.0,11.0,,2.0,,4.0,2.0,1.0,7.0,7.0,1.0,2.0,2.0,2.0,5.0,,,2.0,2.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,5v7yhgkojz9tdpdwobz976fvt,D. Markovic,Defender,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,8n0zi6qj8bkkezyxft6vxp79,D. Mukuna,Defender,13.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,1.0,,,,,,62.0,12.0,1.0,62.0,114.0,,3.0,15.0,11.0,31.0,31.0,3.0,4.0,,,6.0,11.0,37.0,20.0,20.0,28.0,31.0,6.0,2.0,24.0,6.0,8.0,,43.0,,,8.0,,,,,13.0,2.0,7.0,,2.0,,4.0,2.0,,12.0,11.0,2.0,2.0,3.0,4.0,9.0,1.0,1.0,,9.0,3.0,4.0,,,,1.0,,,,,,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,959jarij2vm8zq8ekrolwgy51,A. Mwembia,Goalkeeper,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,96a01la9fkd2804w6jifw5qeh,T. Owens,Midfielder,16.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,,,,,,,89.0,50.0,4.0,97.0,137.0,4.0,2.0,20.0,11.0,59.0,66.0,6.0,9.0,,,6.0,9.0,49.0,19.0,22.0,64.0,31.0,17.0,3.0,33.0,8.0,5.0,,44.0,,,1.0,,,,,1.0,25.0,2.0,,,1.0,6.0,1.0,1.0,14.0,11.0,4.0,2.0,5.0,5.0,9.0,1.0,7.0,1.0,2.0,,,3.0,4.0,,3.0,1.0,1.0,7.0,1.0,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,b6aw65sbptx2dlqsfx64x59m1,A. Ricci,Forward,18.0,14.0,,,1.0,10.0,,1.0,,,1.0,,,,,1.0,,,1.0,3.0,,,1.0,,,,,1.0,,,,,2.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,2z76dv2nb5fm0w5p2qg7y0gdl,R. Scheiderman,Midfielder,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,8h25i744xr3g44gjomb49wp9l,D. Shepherd,Goalkeeper,1.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,,,,,,,20.0,12.0,,50.0,65.0,,13.0,3.0,1.0,10.0,17.0,1.0,1.0,4.0,12.0,16.0,33.0,34.0,5.0,,4.0,33.0,2.0,,32.0,18.0,1.0,1.0,47.0,2.0,3.0,1.0,2.0,,,17.0,,,,,8.0,,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,b1g6vkuv0xoq99jazskliarqh,J. Snell,Midfielder,16.0,49.0,,1.0,1.0,10.0,,1.0,1.0,,,,,,,11.0,5.0,,12.0,20.0,,1.0,3.0,2.0,6.0,7.0,,2.0,,,1.0,1.0,8.0,3.0,4.0,6.0,5.0,1.0,,4.0,1.0,2.0,,6.0,,,,,,,,1.0,3.0,,,,,,,,3.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,2.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,371fgwtxyfnnu6m4pmq7s55ud,A. Souahy,Defender,13.0,172.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,,,,,,,57.0,19.0,,61.0,106.0,,2.0,12.0,2.0,38.0,40.0,2.0,6.0,,,7.0,11.0,33.0,21.0,10.0,38.0,21.0,19.0,1.0,22.0,9.0,3.0,,35.0,,,,,,,,17.0,5.0,7.0,,1.0,,4.0,1.0,1.0,10.0,6.0,,2.0,6.0,4.0,4.0,4.0,4.0,,2.0,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,couplbg5c1wzrb14ycd8f7h0p,G. Stoneman,Midfielder,20.0,90.0,,1.0,1.0,10.0,,1.0,,,,,,,,21.0,9.0,2.0,22.0,38.0,1.0,2.0,7.0,1.0,18.0,18.0,2.0,5.0,,,1.0,2.0,8.0,9.0,2.0,16.0,4.0,3.0,1.0,4.0,3.0,2.0,,9.0,,,1.0,,,,,5.0,9.0,1.0,,,1.0,2.0,1.0,,5.0,2.0,,,3.0,2.0,2.0,2.0,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,axev5k91modw6u6g101rug3qh,K. Thomson,Midfielder,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2017,Flint City Bucks,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,Midfielder,5.0,180.0,2.0,2.0,2.0,10.0,2.0,2.0,,,,,,,,66.0,21.0,1.0,68.0,104.0,1.0,5.0,14.0,14.0,38.0,38.0,2.0,7.0,,,8.0,14.0,40.0,18.0,16.0,33.0,30.0,11.0,2.0,21.0,13.0,10.0,,38.0,,,,,,,,8.0,5.0,3.0,,,,2.0,4.0,4.0,12.0,7.0,4.0,1.0,6.0,2.0,6.0,1.0,1.0,,3.0,4.0,2.0,,,,1.0,,,,,,,1.0,,4.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
