liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Successful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Unsuccessful Corners into Box,Clearances Off the Line,Goals from Inside Box,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Left Foot Goals,Last Man Tackle,Total Touches In Opposition Box,Foul Won Penalty,Headed Goals,Own Goal Scored,Punches,Goalkeeper Smother,Drops,Penalties Faced,Other Goals,Crosses not Claimed,Penalties Saved,Saves from Penalty,Penalties Off Target,Set Pieces Goals
USA_MLS,2013,Colorado Rapids,9mt8aljv2kkabe4nhvqjmdcyd,A. Akpan,Forward,19.0,8.0,,,,,,7.0,,2.0,2.0,134.0,,9.0,,,59.0,2.0,21.0,,32.0,,1.0,3.0,1.0,12.0,37.0,11.0,4.0,15.0,59.0,,,43.0,2.0,3.0,16.0,11.0,2.0,16.0,1.0,,4.0,1.0,2.0,95.0,8.0,,14.0,,15.0,1.0,12.0,,,,2.0,6.0,1.0,32.0,1.0,3.0,2.0,,,1.0,8.0,12.0,43.0,43.0,18.0,,1.0,1.0,,3.0,20.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,e9gi4xqve4qlpnre6woaqorth,D. Armstrong,Midfielder,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,8pr9136z7829j6g460p28tivp,D. Brown,Forward,26.0,32.0,10.0,1.0,,,,7.0,14.0,30.0,29.0,2242.0,4.0,54.0,,7.0,433.0,26.0,137.0,5.0,213.0,8.0,14.0,52.0,8.0,49.0,345.0,92.0,36.0,120.0,434.0,25.0,29.0,291.0,21.0,83.0,134.0,139.0,14.0,142.0,16.0,,89.0,25.0,22.0,912.0,32.0,,217.0,1.0,81.0,47.0,113.0,31.0,9.0,4.0,19.0,29.0,49.0,295.0,11.0,29.0,30.0,4.0,,2.0,133.0,77.0,299.0,300.0,78.0,3.0,11.0,3.0,1.0,29.0,182.0,7.0,17.0,84.0,,1.0,1.0,,,,9.0,2.0,1.0,,,,,,,,,2.0,,3.0,1.0,1.0,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,f0wb8fkezen580nrgyk73nk5x,E. Buddle,Forward,9.0,25.0,5.0,1.0,,,,6.0,11.0,7.0,11.0,1681.0,1.0,43.0,,4.0,457.0,7.0,109.0,6.0,274.0,,7.0,30.0,6.0,60.0,249.0,70.0,13.0,112.0,457.0,37.0,6.0,310.0,15.0,47.0,119.0,137.0,18.0,115.0,9.0,,43.0,19.0,11.0,724.0,25.0,,132.0,2.0,99.0,49.0,85.0,17.0,28.0,6.0,21.0,45.0,11.0,237.0,4.0,21.0,7.0,4.0,2.0,3.0,92.0,112.0,338.0,338.0,105.0,3.0,13.0,3.0,2.0,10.0,152.0,3.0,5.0,40.0,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,cjp6a9ecabzps4zcabhec980l,Diego Armando Calderón,Defender,5.0,4.0,,,,,,,1.0,,,304.0,3.0,,2.0,,103.0,,2.0,,27.0,7.0,12.0,,,4.0,31.0,57.0,4.0,11.0,107.0,4.0,,72.0,4.0,,23.0,32.0,,16.0,,,14.0,4.0,7.0,157.0,4.0,3.0,16.0,,58.0,23.0,14.0,,12.0,,5.0,5.0,,25.0,15.0,4.0,,1.0,,,7.0,15.0,81.0,84.0,9.0,,,,,2.0,11.0,2.0,12.0,9.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,etaxzmn4i6zo10ub99n6u7pw5,T. Cascio,Forward,14.0,13.0,1.0,,1.0,,1.0,9.0,2.0,10.0,,530.0,3.0,8.0,2.0,1.0,183.0,1.0,39.0,4.0,98.0,8.0,9.0,6.0,1.0,9.0,104.0,42.0,12.0,38.0,183.0,7.0,8.0,127.0,7.0,11.0,47.0,67.0,7.0,47.0,3.0,1.0,40.0,4.0,10.0,319.0,13.0,1.0,72.0,1.0,59.0,81.0,48.0,5.0,9.0,4.0,16.0,12.0,9.0,93.0,2.0,8.0,10.0,,2.0,,36.0,18.0,136.0,136.0,21.0,,1.0,,,11.0,45.0,1.0,6.0,36.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,2yxrv171c7z8wy9gall5fkn2t,J. Castrillón,Midfielder,23.0,11.0,1.0,,,,,9.0,1.0,1.0,2.0,371.0,1.0,18.0,,,121.0,2.0,27.0,,52.0,,3.0,4.0,1.0,7.0,44.0,41.0,3.0,26.0,122.0,7.0,,88.0,6.0,9.0,29.0,29.0,4.0,26.0,3.0,,23.0,2.0,4.0,172.0,11.0,,17.0,,31.0,47.0,12.0,5.0,5.0,,2.0,7.0,1.0,31.0,3.0,7.0,1.0,,,,12.0,35.0,92.0,93.0,14.0,,3.0,,1.0,3.0,19.0,,5.0,5.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,71bcwrrg3hbhc25s2ll3dlec5,S. Ceus,Goalkeeper,21.0,1.0,,,,,,,,,,90.0,,,2.0,,9.0,1.0,,,2.0,3.0,6.0,,,,9.0,5.0,,,13.0,,,4.0,1.0,,6.0,3.0,,5.0,,,17.0,1.0,1.0,31.0,1.0,,,,9.0,57.0,1.0,,3.0,,,1.0,,1.0,,1.0,,,,,,1.0,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,5.0,8.0,2.0,3.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,56unbt2wkhtit4zq01ekax8t1,B. Griffiths,Defender,32.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,10.0,1.0,,,,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Colorado Rapids,ampqb6qmgjpy8f4bn2thmywut,K. Harbottle,Forward,7.0,4.0,,1.0,,,,,3.0,,,269.0,1.0,7.0,,,85.0,1.0,19.0,2.0,35.0,1.0,4.0,1.0,,1.0,57.0,29.0,2.0,22.0,88.0,1.0,6.0,58.0,4.0,1.0,26.0,28.0,5.0,24.0,2.0,,14.0,4.0,6.0,141.0,4.0,,28.0,,26.0,18.0,9.0,,4.0,,1.0,,7.0,29.0,,4.0,4.0,,,,19.0,15.0,60.0,62.0,1.0,,,,1.0,1.0,20.0,1.0,,9.0,,1.0,6.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
