liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Passes Opposition Half,Successful Long Passes,Forward Passes,Starts,Saves Made from Outside Box,Open Play Passes,Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Rightside Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Opposition Half,GK Unsuccessful Distribution,Appearances,Recoveries,Catches,Total Passes,Saves Made from Inside Box,Goals Conceded,Unsuccessful Passes Own Half,Saves Made,Games Played,Index,Unsuccessful Long Passes,Time Played,Goal Kicks,Crosses not Claimed,Total Successful Passes ( Excl Crosses & Corners ) ,GK Successful Distribution,Leftside Passes,Total Losses Of Possession,Saves made - parried,Touches,Winning Goal,Headed Goals,Penalty Goals,Aerial Duels won,Successful Crosses & Corners,Through balls,Corners Won,Times Tackled,Tackles Lost,Blocks,Unsuccessful Crosses open play,Goals Conceded Outside Box,Successful Crosses open play,Backward Passes,Goals from Inside Box,Hit Woodwork,Duels lost,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Interceptions,Throw Ins to Own Player,Ground Duels lost,Goals,Ground Duels,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Successful Corners into Box,Unsuccessful Short Passes,Foul Attempted Tackle,Substitute Off,Successful Lay-offs,Right Foot Goals,Total Tackles,Aerial Duels lost,Successful Dribbles,Aerial Duels,Penalties Taken,Shots On Target ( inc goals ),Total Shots,Penalty Goals Conceded,Duels,Overruns,Substitute On,Duels won,Unsuccessful Dribbles,Handballs conceded,Unsuccessful Crosses & Corners,Attempts from Set Pieces,Total Fouls Won,Corners Taken (incl short corners),Shots Off Target (inc woodwork),Blocked Shots,Ground Duels won,Unsuccessful Corners into Box,Total Touches In Opposition Box,Throw Ins to Opposition Player,Unsuccessful lay-offs,Total Clearances,Offsides,Total Fouls Conceded,Key Passes (Attempt Assists),Home Goals,Away Goals,Left Foot Goals,Straight Red Cards,Goals from Outside Box,Successful Launches,Total Red Cards,Yellow Cards,Clearances Off the Line,Assists (Intentional),Goal Assists,Penalties Conceded,Clean Sheets,Penalties Faced,Punches,Drops,Goalkeeper Smother,Saves made - caught,Last Player Tackle,Own Goal Scored,Red Cards - 2nd Yellow,Last Man Tackle,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Penalties Off Target,Other Goals
USA_USL_League_One,2023,Richmond Kickers,aw1stc4erqzwcmiv4m2yyqdt6,N. Aune,Defender,24,1269.0,337.0,200.0,725.0,31.0,,1721.0,43.0,1134.0,1402.0,231.0,324.0,215.0,,31.0,138.0,,1793.0,,49.0,124.0,,31.0,10.0,167.0,2721.0,39.0,,1469.0,39.0,737.0,429.0,,2269.0,0.0,,,109.0,2.0,,11.0,9.0,15.0,29.0,15.0,6.0,2.0,100.0,2.0,1.0,90.0,42.0,12.0,27.0,50.0,47.0,2.0,110.0,29.0,,33.0,,157.0,10.0,4.0,,1.0,48.0,43.0,3.0,152.0,,7.0,16.0,5.0,262.0,1.0,,172.0,7.0,1.0,15.0,,12.0,,9.0,11.0,63.0,,40.0,59.0,,121.0,1.0,29.0,15.0,0.0,2.0,1.0,,,9.0,,9.0,,,,,6.0,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,3h4klx76chahvxu5t810fze21,D. Barnathan,Defender,2,895.0,243.0,93.0,426.0,21.0,,1142.0,24.0,745.0,959.0,415.0,187.0,128.0,,22.0,84.0,,1175.0,,30.0,63.0,,22.0,10.0,91.0,1740.0,12.0,,988.0,12.0,250.0,210.0,,1398.0,0.0,,1.0,62.0,,,3.0,6.0,1.0,19.0,4.0,6.0,,84.0,1.0,,95.0,15.0,,34.0,3.0,34.0,1.0,70.0,7.0,1.0,20.0,,96.0,9.0,3.0,,1.0,21.0,61.0,2.0,123.0,1.0,3.0,9.0,1.0,193.0,,1.0,98.0,4.0,,4.0,,15.0,,6.0,2.0,36.0,,22.0,,,72.0,1.0,24.0,5.0,1.0,0.0,,,,2.0,1.0,2.0,,,,1.0,5.0,,,,,,,1.0,1.0,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,5ulmvt2y2v42prk4kdadcdyp5,K. Belmar,Forward,99,205.0,128.0,7.0,72.0,17.0,,308.0,15.0,91.0,207.0,59.0,101.0,105.0,,21.0,48.0,,313.0,,16.0,20.0,,21.0,10.0,7.0,1274.0,,,212.0,,73.0,199.0,,547.0,1.0,,,22.0,7.0,2.0,17.0,41.0,5.0,3.0,24.0,1.0,7.0,109.0,2.0,2.0,77.0,4.0,9.0,5.0,8.0,61.0,2.0,107.0,34.0,,11.0,,94.0,3.0,15.0,11.0,2.0,16.0,16.0,17.0,38.0,,4.0,15.0,2.0,145.0,4.0,4.0,68.0,22.0,2.0,24.0,,13.0,,11.0,3.0,46.0,,46.0,1.0,,14.0,6.0,9.0,12.0,1.0,1.0,,,,1.0,,1.0,,3.0,3.0,,1.0,,,,,,,,,,,1.0,,,,
USA_USL_League_One,2023,Richmond Kickers,c28mco9ytj4iohos2523rmvze,M. Bentley,Forward,9,172.0,87.0,1.0,58.0,17.0,,245.0,24.0,90.0,148.0,54.0,97.0,85.0,,29.0,50.0,,270.0,,26.0,28.0,,29.0,10.0,10.0,1423.0,,,173.0,,63.0,184.0,,524.0,0.0,,,37.0,4.0,,22.0,22.0,10.0,2.0,16.0,2.0,4.0,95.0,1.0,3.0,97.0,5.0,18.0,6.0,5.0,49.0,1.0,106.0,33.0,,15.0,,87.0,15.0,16.0,12.0,1.0,25.0,48.0,6.0,85.0,,13.0,28.0,4.0,191.0,7.0,12.0,94.0,14.0,2.0,16.0,,26.0,,15.0,8.0,57.0,,57.0,,3.0,10.0,12.0,23.0,5.0,0.0,1.0,,,,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,6irdqdoxw9rw7crvf90itm4no,C. Cole,Defender,3,451.0,94.0,25.0,207.0,8.0,,553.0,17.0,382.0,463.0,206.0,91.0,54.0,,15.0,53.0,,567.0,,20.0,37.0,,15.0,10.0,45.0,956.0,5.0,,476.0,5.0,110.0,102.0,,667.0,0.0,,,12.0,,,,2.0,3.0,12.0,,3.0,,44.0,,,44.0,10.0,4.0,8.0,9.0,16.0,,30.0,12.0,,5.0,,46.0,1.0,,1.0,,8.0,28.0,2.0,40.0,,1.0,4.0,2.0,70.0,,7.0,26.0,1.0,,,,4.0,,3.0,,14.0,,4.0,3.0,,29.0,,11.0,1.0,,,,,,3.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,eulwjq6luuo75u1288u6gp9uc,G. Cox,Midfielder,33,12.0,7.0,1.0,7.0,,,19.0,2.0,6.0,13.0,1.0,6.0,7.0,,6.0,2.0,,19.0,,2.0,,,6.0,10.0,3.0,61.0,,,13.0,,8.0,12.0,,35.0,0.0,,,,,1.0,3.0,4.0,1.0,,1.0,,,3.0,,,6.0,,1.0,,1.0,6.0,,9.0,2.0,,,,3.0,,,,,1.0,,1.0,,,2.0,2.0,,9.0,,6.0,3.0,3.0,,1.0,,1.0,,,1.0,3.0,,5.0,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,e3mvxgy6ggpbhm4lzv20ouig9,S. Fitch,Midfielder,4,928.0,453.0,100.0,463.0,32.0,,1227.0,47.0,585.0,1002.0,38.0,226.0,192.0,,32.0,142.0,,1254.0,,54.0,69.0,,32.0,10.0,73.0,2838.0,,,1028.0,,474.0,354.0,,1919.0,0.0,1.0,,39.0,10.0,4.0,18.0,37.0,11.0,16.0,35.0,7.0,10.0,279.0,2.0,,106.0,25.0,20.0,17.0,247.0,77.0,2.0,166.0,40.0,,30.0,,153.0,8.0,3.0,1.0,1.0,41.0,29.0,32.0,68.0,,5.0,12.0,5.0,234.0,4.0,,128.0,25.0,,35.0,,16.0,,7.0,7.0,89.0,,46.0,17.0,1.0,72.0,7.0,24.0,23.0,2.0,0.0,,,,4.0,,4.0,,3.0,4.0,,6.0,,,,,,,1.0,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,7i7ysz3j5bhwh0vzmijx1hgwl,A. Fitzgerald,Goalkeeper,1,516.0,41.0,136.0,299.0,22.0,14.0,545.0,35.0,611.0,485.0,204.0,100.0,62.0,22.0,22.0,150.0,9.0,752.0,30.0,41.0,38.0,45.0,22.0,10.0,93.0,1976.0,154.0,,652.0,220.0,249.0,103.0,15.0,926.0,0.0,,,4.0,,,,1.0,,,,6.0,,,,,4.0,8.0,,,,4.0,,8.0,,,,,7.0,1.0,1.0,,,,,,4.0,,,,3.0,12.0,,,8.0,,,,,4.0,,,,4.0,,,,,20.0,,1.0,,,,,,,4.0,,2.0,,,,1.0,3.0,3.0,11.0,,1.0,1.0,,,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,6yne6epdxnlfi60dn4ki0nv9w,João Gomiero,Midfielder,8,625.0,384.0,62.0,226.0,21.0,,793.0,29.0,309.0,662.0,185.0,131.0,109.0,,27.0,122.0,,818.0,,32.0,41.0,,27.0,10.0,15.0,1661.0,,,687.0,,243.0,239.0,,1130.0,1.0,,,16.0,6.0,3.0,7.0,39.0,14.0,4.0,18.0,3.0,4.0,164.0,3.0,,93.0,9.0,13.0,14.0,7.0,80.0,4.0,171.0,33.0,,16.0,2.0,116.0,13.0,18.0,21.0,4.0,30.0,13.0,44.0,29.0,,9.0,21.0,4.0,200.0,5.0,6.0,107.0,19.0,1.0,19.0,,17.0,3.0,12.0,5.0,91.0,,14.0,,3.0,11.0,,20.0,19.0,2.0,2.0,,,1.0,,,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
USA_USL_League_One,2023,Richmond Kickers,a5ehz5cugx4cl3e4akjilw9g5,O. Gordon,Forward,91,83.0,62.0,3.0,43.0,4.0,,144.0,11.0,27.0,85.0,32.0,59.0,71.0,,19.0,37.0,,145.0,,14.0,10.0,,19.0,10.0,4.0,685.0,,,86.0,,12.0,141.0,,325.0,0.0,1.0,,17.0,3.0,,12.0,28.0,6.0,1.0,22.0,3.0,3.0,58.0,1.0,,50.0,,8.0,5.0,3.0,44.0,1.0,84.0,24.0,,8.0,,55.0,2.0,3.0,2.0,,14.0,6.0,9.0,23.0,,8.0,10.0,1.0,107.0,4.0,15.0,57.0,22.0,2.0,22.0,,17.0,,2.0,5.0,40.0,,39.0,1.0,,5.0,5.0,8.0,5.0,1.0,0.0,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,
