liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Successful Lay-offs,Successful Launches,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Successful Dribbles,PutThrough/Blocked Distribution,Penalties Conceded,Throw Ins to Own Player,Goals,Right Foot Goals,Total Shots,Throw Ins to Opposition Player,Goals from Outside Box,Shots On Target ( inc goals ),Left Foot Goals,Handballs conceded,Goals from Inside Box,Tackles Lost,Offsides,Corners Won,Blocked Shots,Unsuccessful Dribbles,Saves Made,GK Successful Distribution,Key Passes (Attempt Assists),Catches,Aerial Duels won,Saves Made from Inside Box,Penalties Faced,Successful Crosses & Corners,Substitute Off,Blocks,Successful Crosses open play,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Clearances Off the Line,Shots Off Target (inc woodwork),Attempts from Set Pieces,Hit Woodwork,Unsuccessful lay-offs,Goal Assists,Through balls,Corners Taken (incl short corners),Unsuccessful Corners into Box,Goals Conceded Outside Box,Punches,Successful Corners into Box,Penalties Taken,Penalty Goals,Own Goal Scored
Concacaf_Campeones_Cup,2018,Club Tigres UANL,6stnu5c38qqzze7xbyrfwb74l,H. Ayala,Defender,4,90.0,1.0,1.0,43.0,2.0,5.0,1.0,1.0,3.0,3.0,37.0,4.0,2.0,45.0,2.0,37.0,1.0,3.0,9.0,2.0,5.0,1.0,1.0,62.0,1.0,2.0,8.0,14.0,10.0,5.0,5.0,1.0,11.0,8.0,1.0,1.0,3.0,20.0,40.0,42.0,3.0,4.0,6.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,5.0,,,2.0,,,,,,2.0,,,2.0,2.0,,,1.0,2.0,,2.0,,,,3.0,1.0,,,,10.0,,,,,,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,d9y2nzwk6kkcejglaa4kxeuvp,Rafael Carioca,Midfielder,5,90.0,,,56.0,12.0,28.0,,2.0,,8.0,24.0,3.0,4.0,58.0,,49.0,1.0,6.0,18.0,5.0,9.0,1.0,1.0,68.0,1.0,,5.0,11.0,10.0,4.0,3.0,,5.0,,1.0,1.0,1.0,17.0,50.0,52.0,,3.0,1.0,2.0,4.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,90.0,,1.0,40.0,15.0,18.0,1.0,4.0,,7.0,17.0,3.0,1.0,40.0,3.0,33.0,1.0,5.0,17.0,2.0,3.0,1.0,3.0,57.0,1.0,2.0,8.0,8.0,10.0,5.0,2.0,2.0,8.0,1.0,1.0,1.0,3.0,,35.0,35.0,,2.0,3.0,1.0,5.0,,1.0,1.0,,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,batxecrgxqbwz4ixi9zqgaezu,R. Durán,Forward,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,90.0,1.0,,18.0,7.0,8.0,,1.0,1.0,10.0,7.0,,4.0,20.0,1.0,15.0,1.0,5.0,7.0,5.0,,1.0,,27.0,1.0,1.0,2.0,2.0,10.0,,,,3.0,1.0,1.0,1.0,2.0,4.0,14.0,15.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1,90.0,,4.0,18.0,,1.0,4.0,9.0,,9.0,22.0,,,32.0,,12.0,1.0,9.0,5.0,4.0,9.0,1.0,5.0,41.0,1.0,,1.0,18.0,10.0,3.0,11.0,2.0,3.0,,1.0,1.0,,9.0,14.0,23.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,envpdcapbpk8477snh5aidhp1,I. Jiménez,Defender,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,c10ersq5u0flz3hky5lo74pgp,M. Ortega,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2018,Club Tigres UANL,casil63kq0cfbxw6sr0q9unrp,G. Pizarro,Midfielder,19,85.0,,1.0,76.0,10.0,36.0,2.0,3.0,2.0,12.0,35.0,8.0,6.0,79.0,1.0,63.0,,9.0,27.0,7.0,10.0,1.0,2.0,97.0,1.0,,11.0,21.0,10.0,11.0,7.0,3.0,13.0,,,1.0,,21.0,67.0,70.0,2.0,7.0,2.0,1.0,11.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
