liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Time Played,Open Play Passes,Successful Passes Opposition Half,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Index,Duels won,Total Fouls Won,Aerial Duels won,Duels,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Ground Duels won,Backward Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Tackles,Recoveries,Starts,PutThrough/Blocked Distribution,Blocks,Forward Passes,Successful Long Passes,Total Clearances,Tackles Won,Tackles Lost,Throw Ins to Own Player,Successful Crosses & Corners,Unsuccessful Launches,Key Passes (Attempt Assists),Throw Ins to Opposition Player,Successful Crosses open play,Handballs conceded,Interceptions,Unsuccessful Crosses open play,Corners Won,Successful Dribbles,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Successful Launches,Shots Off Target (inc woodwork),Total Shots,Blocked Shots,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Lay-offs,Right Foot Goals,Shots On Target ( inc goals ),Goals from Inside Box,Unsuccessful lay-offs,Saves Made,GK Successful Distribution,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Assists (Intentional),Goal Assists,Punches,Catches,Saves made - caught,Successful Corners into Box,Drops,Penalties Faced,Clean Sheets,Penalties Taken,Penalties Conceded,Attempts from Set Pieces,Last Man Tackle,Headed Goals,Goals from Outside Box,Hit Woodwork,Other Goals,Through balls,Left Foot Goals,Own Goal Scored,Goalkeeper Smother,Crosses not Claimed,Clearances Off the Line,Penalties Saved,Saves from Penalty,Penalty Goals,Foul Won Penalty,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,84krgh1swq0ul9b6eowjs05p1,S. Adekugbe,Defender,0.0,1.0,,,,,,1.0,,6.0,,,1.0,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,cseaof8mo75i2fufyg0b4bpat,F. Aird,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,83180uf8plty9hjlnxzqg9gph,T. Akindele,Forward,0.0,7.0,1.0,,,,,5.0,2.0,197.0,74.0,36.0,43.0,24.0,17.0,75.0,3.0,55.0,1.0,17.0,27.0,16.0,4.0,135.0,7.0,2.0,32.0,39.0,17.0,3.0,3.0,36.0,2.0,18.0,12.0,57.0,58.0,4.0,19.0,14.0,25.0,,6.0,1.0,1.0,8.0,9.0,2.0,8.0,,11.0,3.0,2.0,7.0,1.0,,2.0,,1.0,,2.0,,1.0,3.0,2.0,3.0,5.0,5.0,3.0,,1.0,5.0,,,,7.0,1.0,4.0,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,4f2bppk56sa7dqgw652x0fzdh,S. Arfield,Midfielder,0.0,3.0,,1.0,,,,1.0,,225.0,78.0,42.0,40.0,25.0,12.0,81.0,3.0,59.0,3.0,20.0,10.0,27.0,1.0,126.0,3.0,1.0,16.0,66.0,7.0,3.0,1.0,18.0,4.0,10.0,21.0,59.0,61.0,2.0,11.0,6.0,13.0,8.0,1.0,1.0,1.0,3.0,13.0,2.0,3.0,,37.0,2.0,,3.0,,1.0,6.0,1.0,7.0,,,,4.0,1.0,2.0,,2.0,1.0,8.0,,1.0,2.0,,7.0,3.0,,,1.0,,,,,,,,,,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,2zedqkn15thv6wx5xmgv48gd1,K. Bekker,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,3oz349uss092g2kxi8adsj4l,M. Borjan,Goalkeeper,0.0,7.0,,1.0,,,,,1.0,581.0,85.0,37.0,100.0,63.0,2.0,195.0,1.0,53.0,7.0,95.0,21.0,82.0,13.0,280.0,7.0,1.0,3.0,65.0,5.0,,4.0,8.0,8.0,2.0,23.0,55.0,100.0,5.0,3.0,1.0,,93.0,,1.0,1.0,,78.0,7.0,,,151.0,47.0,11.0,,,,,36.0,,,,,1.0,,,1.0,1.0,,,21.0,1.0,1.0,,,,,,,,,27.0,71.0,11.0,10.0,16.0,31.0,,,,5.0,4.0,3.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,4ezd4d37kbb1249qd7bvi0dzp,J. Dixon,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,b84lif9t7gwlw9ou9izawvumt,D. Edgar,Defender,0.0,6.0,1.0,1.0,,,,2.0,,386.0,194.0,69.0,27.0,110.0,8.0,197.0,3.0,148.0,2.0,19.0,33.0,20.0,1.0,240.0,6.0,1.0,11.0,52.0,7.0,2.0,1.0,13.0,3.0,5.0,67.0,175.0,178.0,2.0,6.0,6.0,8.0,11.0,,1.0,1.0,4.0,15.0,4.0,,4.0,89.0,30.0,11.0,4.0,,1.0,1.0,2.0,4.0,,1.0,,4.0,2.0,2.0,,3.0,,2.0,1.0,5.0,10.0,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2018 Russia,Canada,6o11en42rzgf741oqqlu9a47p,L. Gasparotto,Defender,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
