liga,temporada,equipo,id,nombre,posicion,dorsal,Leftside Passes,Duels won,Ground Duels,Total Clearances,Touches,Index,Substitute On,Goals Conceded,Unsuccessful Passes Own Half,Aerial Duels lost,Successful Short Passes,Aerial Duels,Time Played,Successful Passes Own Half,Unsuccessful Dribbles,Rightside Passes,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Duels lost,Duels,Forward Passes,Foul Attempted Tackle,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Total Fouls Conceded,Goals Conceded Inside Box,Total Passes,Total Losses Of Possession,Total Touches In Opposition Box,Successful Lay-offs,Times Tackled,Aerial Duels won,Open Play Passes,Backward Passes,Games Played,Ground Duels lost,Corners Won,Successful Open Play Passes,Winning Goal,Goal Kicks,Unsuccessful Launches,Starts,GK Successful Distribution,Recoveries,Successful Long Passes,Successful Launches,Unsuccessful Long Passes,Blocks,Throw Ins to Opposition Player,Interceptions,Throw Ins to Own Player,Blocked Shots,Total Tackles,Unsuccessful Crosses open play,Offsides,Ground Duels won,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution,Tackles Won,Substitute Off,Tackles Lost,Left Foot Goals,Shots On Target ( inc goals ),Goals from Inside Box,Total Shots,Total Fouls Won,Goals,Home Goals,Away Goals,Through balls,Successful Crosses open play,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Successful Dribbles,Goal Assists,Successful Crosses & Corners,Assists (Intentional),Saves Made,Saves Made from Outside Box,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves made - parried,Attempts from Set Pieces,Corners Taken (incl short corners),Unsuccessful Corners into Box,Overruns,Shots Off Target (inc woodwork),Right Foot Goals,Handballs conceded,Successful Corners into Box,Second Goal Assists,Yellow Cards
Concacaf_Campeones_Cup,2024,CF América,9xaps7t7xtt5x3grjpbgxtfit,R. Aguirre,Forward,27,3,1,6,1,10,10,1,1,1,1,3,2,29,1,2,1,3,3,3,1,7,8,1,2,2,2,4,1,6,6,2,1,2,1,6,1,1,6,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,c2sm93wtigxc9gl3ayobtucph,N. Araújo,Defender,14,19,2,2,3,69,10,,1,2,,51,2,90,52,,28,2,5,56,1,2,4,13,1,4,3,2,1,61,5,,,,2,57,1,1,2,,52,1,3,1,1,3,7,5,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,csvbc0k1f54418nn8pjhg8ull,C. Borja,Defender,26,1,4,3,1,37,10,,1,3,,15,2,90,12,1,10,5,5,18,1,1,5,7,,6,3,,1,23,9,,,1,2,23,5,1,1,,18,0,,,1,,5,3,1,,1,1,2,1,1,2,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,dl40zb7nm9ayqf10noredupd5,C. Calderón,Defender,18,7,1,1,2,69,10,,1,1,,50,,81,38,,20,3,5,51,1,,1,23,,13,4,,1,56,6,,,,,55,6,1,,,50,0,,1,1,,1,1,,2,1,,1,7,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,87gmnnxvwtr265s3efeziwrft,A. Cervantes,Midfielder,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,dy8wa8cciiae72q2ynm80rlcl,J. Dilrosun,Forward,24,1,,,,4,10,1,,,,4,,9,2,,2,,,4,1,,,,,2,,,,4,,,,,,4,1,1,,,4,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,30q9d8i2c8kgscpgze0x5h0b9,V. Dávila,Forward,11,7,1,1,,13,10,1,1,2,,6,,29,5,,1,3,3,6,1,,1,,,1,2,,1,9,5,2,2,,,9,1,1,,,6,0,,,,,,,,,,,,,,,1,,1,1,,,,,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,9vy0gclovljnladztpsu1usr8,D. Espinoza,Midfielder,197,18,2,4,2,58,10,,1,5,,30,,90,26,1,1,6,7,33,1,2,4,15,,7,3,,1,40,12,,,2,,40,6,1,2,,33,0,,1,1,,4,3,2,1,1,1,1,6,,2,1,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,733ho2s9aqwwxzbqfiia3b7bp,Álvaro Fidalgo,Midfielder,8,16,8,9,2,84,10,,1,2,,58,,90,41,,19,4,6,62,1,1,9,21,,22,4,,1,68,8,1,4,,,65,12,1,1,1,59,0,,,1,,12,4,1,2,,,,,,4,,,8,,1,3,,1,,1,,1,2,,,,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,11k6v0xq6o4d72q42cmz4blnu,I. Hernández,Forward,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,76a0p6bdffuxw4ogr6a1r86lm,R. Juárez,Defender,29,16,3,5,2,58,10,,1,,1,47,2,90,41,,10,3,5,49,1,4,7,20,2,8,5,2,1,54,5,,,,1,54,8,1,3,,49,0,,2,1,,3,2,1,2,,,,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,a1qs3b34p5u2s6mmlhdkgdp7t,L. Malagón,Goalkeeper,1,13,1,,,40,10,,1,2,,22,1,90,25,,11,,8,26,1,,1,10,,1,6,,1,34,8,,,,1,30,,1,,,24,0,2,6,1,3,4,4,1,8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,1,2,1,2,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,5ysw10inm8syf7r9xvbpk9n11,H. Martín,Forward,21,2,7,13,1,29,10,,,1,1,10,1,61,3,1,4,4,4,10,1,7,14,4,1,7,3,2,,14,10,1,1,4,,13,4,1,6,,9,0,,,1,,,,,,,,,,,2,,1,7,,,2,1,,,,,,4,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,CF América,euha4w0awkqy0zo5rktvje57t,B. Rodríguez,Midfielder,7,4,2,4,,38,10,,,,1,16,1,61,11,1,8,3,3,20,1,3,5,4,,10,5,,,23,10,1,3,2,,23,7,1,2,1,20,0,,,1,,3,4,,,,,2,,1,,,,2,2,,,1,,,1,,2,2,,,,,1,1,,,,1,,,,,,,1,2,2,1,1,,,,,
