liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Total Losses Of Possession,Total Fouls Conceded,Recoveries,Touches,Appearances,Index,Games Played,Handballs conceded,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Foul Attempted Tackle,Ground Duels,Forward Passes,Duels won,Successful Long Passes,Duels,Total Clearances,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Ground Duels won,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Throw Ins to Opposition Player,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Aerial Duels won,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Launches,Successful Crosses & Corners,Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Corners Taken (incl short corners),Total Fouls Won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Goals,Left Foot Goals,Goals from Inside Box,Tackles Lost,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Right Foot Goals,Yellow Cards,Goals from Outside Box,Successful Lay-offs,Attempts from Set Pieces,Successful Crosses open play,Foul Won Penalty,Penalties Taken,Penalty Goals,Assists (Intentional),Goal Assists,Through balls,Goals Conceded Outside Box,Penalty Goals Conceded,Offsides,Hit Woodwork,Penalties Saved,Penalties Faced,Saves from Penalty,Saves made - caught,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Clearances Off the Line
Concacaf_Campeones_Cup,2019,CF América,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22,90.0,,16.0,,7.0,56.0,1.0,10.0,1.0,,27.0,1.0,,11.0,1.0,3.0,,6.0,6.0,9.0,28.0,,13.0,2.0,12.0,1.0,8.0,1.0,1.0,4.0,,9.0,20.0,8.0,3.0,10.0,5.0,3.0,2.0,7.0,15.0,16.0,1.0,6.0,2.0,7.0,1.0,,,1.0,,,1.0,1.0,1.0,3.0,,6.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,3l0ic1vk57ensflic4gb7tu5l,N. Benedetti,Midfielder,14,19.0,1.0,7.0,2.0,2.0,15.0,1.0,10.0,1.0,,13.0,,2.0,7.0,,1.0,,1.0,,4.0,13.0,,8.0,,5.0,2.0,6.0,,,,2.0,3.0,6.0,,,3.0,,,3.0,3.0,8.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,83.0,,3.0,6.0,4.0,30.0,1.0,10.0,1.0,1.0,18.0,,5.0,10.0,1.0,1.0,,7.0,1.0,1.0,18.0,1.0,15.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,8.0,7.0,2.0,1.0,8.0,,3.0,6.0,3.0,16.0,16.0,,,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,jhbalw35m9nb9o9l5uqi7omi,I. García,Forward,187,1.0,1.0,1.0,,,3.0,1.0,10.0,1.0,,2.0,,,1.0,,,,,,1.0,2.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,evsi15yzlgsbn8fj4phrhi39,R. González,Midfielder,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,elow2avgk966z580pispq374l,A. Ibargüen,Midfielder,11,89.0,,9.0,,3.0,35.0,1.0,10.0,1.0,,22.0,,4.0,15.0,,1.0,,4.0,,3.0,22.0,1.0,18.0,2.0,4.0,10.0,4.0,1.0,2.0,,,9.0,5.0,3.0,,9.0,,3.0,6.0,3.0,18.0,18.0,,,6.0,3.0,2.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,9gj6mqxbpu23prwdw5c6h3b9x,Renato Ibarra,Midfielder,30,90.0,,14.0,,5.0,48.0,1.0,10.0,1.0,,21.0,2.0,4.0,14.0,1.0,1.0,2.0,6.0,1.0,2.0,22.0,,16.0,2.0,3.0,6.0,8.0,1.0,1.0,,,7.0,4.0,4.0,3.0,9.0,,3.0,3.0,8.0,18.0,19.0,2.0,,5.0,4.0,1.0,1.0,1.0,4.0,,,9.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,
Concacaf_Campeones_Cup,2019,CF América,eunmtkojftvpeiiwdz5x8klat,Ó. Jiménez,Goalkeeper,27,90.0,,15.0,,4.0,32.0,1.0,10.0,1.0,,9.0,,,2.0,5.0,14.0,,7.0,,1.0,24.0,,4.0,2.0,15.0,2.0,9.0,1.0,,6.0,,,20.0,,5.0,,,3.0,,2.0,5.0,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,3.0,1.0,,2.0,5.0,7.0,,,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,
Concacaf_Campeones_Cup,2019,CF América,dzwrckvn526kg03svnl6dg50q,J. López,Midfielder,23,7.0,1.0,3.0,1.0,,10.0,1.0,10.0,1.0,,4.0,,1.0,2.0,,,1.0,1.0,,1.0,4.0,,3.0,,1.0,2.0,3.0,,1.0,,1.0,1.0,1.0,,,2.0,,,1.0,,3.0,3.0,1.0,,2.0,,,1.0,,1.0,,,,,,,2.0,2.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
