liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels,Unsuccessful Passes Opposition Half,Starts,Leftside Passes,Penalty Goals Conceded,Total Touches In Opposition Box,Corners Taken (incl short corners),Shots On Target ( inc goals ),Appearances,Unsuccessful Passes Own Half,Aerial Duels,Unsuccessful Long Passes,Total Shots,Rightside Passes,Ground Duels won,Successful Open Play Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Yellow Cards,Successful Short Passes,Aerial Duels won,Backward Passes,Substitute Off,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Unsuccessful Corners into Box,Total Passes,Interceptions,PutThrough/Blocked Distribution,Duels lost,Time Played,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Forward Passes,Unsuccessful Crosses open play,Successful Passes Own Half,Through balls,Aerial Duels lost,Substitute On,Successful Lay-offs,Total Losses Of Possession,Total Fouls Conceded,Goals Conceded Inside Box,Touches,Times Tackled,Shots Off Target (inc woodwork),Corners Won,Successful Passes Opposition Half,Ground Duels lost,Goals Conceded,Key Passes (Attempt Assists),Unsuccessful Launches,Games Played,Index,Successful Long Passes,Unsuccessful Short Passes,Unsuccessful Crosses & Corners,Foul Attempted Tackle,Open Play Passes,Total Fouls Won,Duels won,Winning Goal,Blocks,Tackles Lost,Handballs conceded,Total Tackles,Throw Ins to Opposition Player,Total Clearances,Goals,Tackles Won,Straight Red Cards,PutThrough/Blocked Distribution Won,Total Red Cards,Overruns,Goals Openplay,Goals from Inside Box,Headed Goals,Home Goals,Away Goals,Successful Dribbles,Successful Launches,Penalties Conceded,Successful Crosses open play,Successful Crosses & Corners,Successful Corners into Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Goals from Outside Box,Offsides,Blocked Shots,Last Player Tackle,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves made - parried,Saves Made,Saves Made from Inside Box,Goalkeeper Smother,Saves Made from Outside Box,Penalties Faced,Punches,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Assists (Intentional),Right Foot Goals,Hit Woodwork,Catches,Saves from Penalty,Penalties Saved,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Red Cards - 2nd Yellow,Own Goal Scored,Drops,Saves made - caught,Second Goal Assists,Other Goals,Penalties Off Target
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,45gixbopfnftpzvoaj1apyrjd,J. Angulo,Midfielder,10,19.0,11.0,4.0,43.0,1.0,7.0,,4.0,4.0,1.0,4.0,2.0,6.0,27.0,7.0,102.0,11.0,1.0,102.0,,21.0,4.0,15.0,1.0,1.0,,119.0,,6.0,16.0,306.0,7.0,108.0,23.0,28.0,1.0,33.0,1.0,4.0,,2.0,32.0,1.0,3.0,167.0,9.0,2.0,,75.0,12.0,4.0,5.0,,4.0,10.0,6.0,9.0,1.0,1.0,113.0,4.0,7.0,0.0,,,,2.0,,1.0,2.0,2.0,,4.0,,,2.0,2.0,1.0,2.0,0.0,1.0,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,ehj1pabo9ovixh46axxz0bglx,F. Arce,Midfielder,24,4.0,1.0,,,,,,,1.0,,,,,,3.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,12.0,,,4.0,1.0,,,,,1.0,,2.0,,,8.0,1.0,,,,1.0,,,,1.0,10.0,,1.0,,,1.0,,3.0,0.0,,1.0,,3.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,74un8dglud0r1v8166vs3byfo,V. Arteaga,Midfielder,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,2,20.0,9.0,3.0,28.0,1.0,,,,3.0,4.0,,2.0,1.0,4.0,8.0,60.0,10.0,,58.0,,18.0,1.0,13.0,,16.0,,71.0,4.0,5.0,12.0,225.0,4.0,61.0,20.0,21.0,3.0,28.0,,,,,33.0,3.0,2.0,133.0,7.0,1.0,,33.0,12.0,2.0,1.0,2.0,3.0,10.0,3.0,8.0,3.0,1.0,70.0,1.0,8.0,0.0,,3.0,,6.0,10.0,6.0,,3.0,,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,22ordu9o1km9p0qp29ge6gjro,R. Beltrán,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,bn8eqcglavl5j1kmlgyy3hed,A. Briseño,Defender,3,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,10.0,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,14w9q2mu6yq235ic55fxs0w2y,N. Castro,Midfielder,8,8.0,4.0,,4.0,,1.0,,1.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,13.0,3.0,,10.0,1.0,1.0,,3.0,,,,16.0,,,5.0,48.0,3.0,13.0,10.0,8.0,2.0,2.0,,1.0,4.0,,10.0,,,29.0,3.0,,1.0,11.0,4.0,,1.0,,4.0,10.0,3.0,2.0,2.0,,16.0,1.0,5.0,0.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,c270jephiphzfpig96q3jyz11,Paulinho,Forward,26,20.0,18.0,4.0,22.0,1.0,19.0,,6.0,4.0,3.0,8.0,3.0,10.0,15.0,7.0,54.0,21.0,,54.0,4.0,22.0,3.0,9.0,1.0,,,83.0,,6.0,17.0,338.0,2.0,62.0,28.0,24.0,,29.0,,4.0,,5.0,33.0,8.0,3.0,126.0,5.0,4.0,2.0,33.0,13.0,4.0,1.0,,4.0,10.0,8.0,18.0,,5.0,75.0,5.0,11.0,2.0,,,,2.0,,2.0,4.0,2.0,,2.0,,1.0,4.0,4.0,1.0,4.0,0.0,,,,,,,,,2.0,,2.0,6.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,ag3yusj9j6k1noj3eafkxt6ac,J. Domínguez,Midfielder,7,13.0,7.0,,12.0,,2.0,,,4.0,3.0,6.0,,1.0,2.0,6.0,17.0,7.0,,17.0,1.0,3.0,,7.0,,1.0,,25.0,,2.0,12.0,75.0,3.0,18.0,19.0,8.0,3.0,7.0,,5.0,4.0,,16.0,1.0,,44.0,5.0,1.0,2.0,11.0,7.0,,,,4.0,10.0,1.0,7.0,3.0,1.0,24.0,2.0,7.0,0.0,,,,2.0,,,,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Deportivo Toluca FC,306gjy5xp2u15gh9qwrek551x,J. Gallardo,Defender,20,34.0,36.0,4.0,6.0,1.0,8.0,,,4.0,12.0,13.0,16.0,1.0,73.0,14.0,133.0,37.0,2.0,124.0,10.0,36.0,,22.0,1.0,27.0,,174.0,6.0,8.0,23.0,360.0,4.0,137.0,47.0,59.0,11.0,73.0,,3.0,,,58.0,9.0,3.0,264.0,5.0,1.0,2.0,64.0,20.0,4.0,6.0,10.0,4.0,10.0,13.0,21.0,11.0,7.0,170.0,2.0,24.0,1.0,1.0,1.0,,7.0,2.0,9.0,,6.0,,2.0,,,,,,,,5.0,3.0,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
