root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22.0,6,1,2,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,93oc9ezl3ybfsei0z4xgkjo45,O. Alanís,Defender,15.0,3,0,0,0,0,0,1,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,ezq1jqcx9xj1rzh2jpykmjhed,Y. Corona,Defender,3.0,2,0,1,0,0,0,0,2
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,aaw54l5a40rviv8w0um4h12ol,J. Corona,Midfielder,9.0,5,1,0,0,0,0,4,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,bc375rrvj1xm0g0v7s2d5fv85,G. dos Santos,Attacker,10.0,3,1,0,0,0,0,2,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,zr2h4w74ju6ilhilvdmmitp1,J. dos Santos,Midfielder,8.0,6,0,1,0,0,0,0,3
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,20.0,1,0,1,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,b2ju0ey2ikqc7g8gndf2kjg7p,C. Esquivel,Attacker,21.0,6,0,0,0,0,0,6,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,4pizap25enja9rtz4g6x5bkd1,A. Guardado,Midfielder,18.0,6,6,0,0,0,0,0,2
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,56gpi68f68jhdw5p2aifi7hzp,M. Herrera,Defender,4.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,14vaaznanx198j577pjs74dlh,H. Herrera,Midfielder,6.0,5,0,2,0,0,0,0,2
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,dq7sreeigwha462ih1rx93105,M. Layún,Defender,7.0,6,0,1,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,99z57k6778oyhv3gm1xdm3e8l,M. Muñoz,Goalkeeper,1.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,2luxnwcabb7msig7odfq5p5g5,G. Ochoa,Goalkeeper,13.0,6,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,4tahxulohx1q6u5aztkauto0l,J. Orozco,Goalkeeper,12.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,9ehxd68s2glbcfr1bze96xbyt,J. Orozco,Attacker,14.0,3,0,1,0,0,0,3,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,dmdgeenfa3tcft7hhy1d88dzp,O. Peralta,Attacker,19.0,6,4,1,0,0,0,1,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,51dqp43vt4ctlibmgj5pgm4lx,D. Reyes,Defender,5.0,6,0,1,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,3smeu1lsjdmhx9j5tnk9oz5xx,A. Ríos,Midfielder,16.0,1,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,2mbinjn69nk32x8sm22l1h49h,F. Rodríguez,Defender,2.0,6,0,1,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,6t4m47wbrylj0zp336aogocet,J. Torres Nilo,Defender,17.0,1,0,0,0,0,0,1,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,60mav3linjpzdk443j8iy6n6d,J. Vázquez,Midfielder,23.0,1,0,0,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Mexico,Mexico,2w5xjif5lfjq0qhwox0ha11x,C. Vela,Attacker,11.0,5,2,2,0,0,0,0,2
