liga,temporada,equipo,id,nombre,posicion,dorsal,Duels,Total Fouls Won,Goals Conceded Outside Box,Total Clearances,PutThrough/Blocked Distribution Won,Throw Ins to Own Player,Throw Ins to Opposition Player,Unsuccessful Passes Opposition Half,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Tackles Lost,Total Passes,Unsuccessful Launches,Total Tackles,Unsuccessful Long Passes,Time Played,Successful Passes Own Half,Ground Duels lost,Goals Conceded Inside Box,Ground Duels won,Games Played,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Leftside Passes,Starts,Successful Short Passes,Total Fouls Conceded,Total Losses Of Possession,Foul Attempted Tackle,Unsuccessful Short Passes,Duels won,Ground Duels,Tackles Won,Times Tackled,Substitute Off,Recoveries,Index,Successful Open Play Passes,Touches,Appearances,Duels lost,Forward Passes,Goals Conceded,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Successful Dribbles,Aerial Duels lost,Successful Lay-offs,Shots On Target ( inc goals ),Interceptions,Aerial Duels,Backward Passes,Successful Passes Opposition Half,Unsuccessful Dribbles,Blocks,Blocked Shots,Rightside Passes,Overruns,Total Touches In Opposition Box,Foul Won Penalty,Total Shots,Aerial Duels won,Saves made - parried,Punches,Crosses not Claimed,Drops,GK Successful Distribution,Successful Long Passes,Goalkeeper Smother,Saves Made,Saves Made from Inside Box,GK Unsuccessful Distribution,Goal Kicks,Catches,Successful Launches,Saves Made from Outside Box,Handballs conceded,Key Passes (Attempt Assists),Yellow Cards,Shots Off Target (inc woodwork),Unsuccessful Crosses & Corners,Successful Crosses & Corners,Offsides,Assists (Intentional),Goal Assists,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Successful Corners into Box,Corners Won,Unsuccessful lay-offs,Clearances Off the Line,Unsuccessful Crosses open play,Goals,Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Penalties Taken,Penalties Off Target,Headed Goals,Hit Woodwork,Penalty Goals Conceded,Penalties Faced,Penalties Saved,Saves from Penalty,Attempts from Set Pieces,Right Foot Goals,Saves made - caught,Last Player Tackle,Penalties Conceded,Red Cards - 2nd Yellow,Total Red Cards,Through balls,Penalty Goals,Clean Sheets,Own Goal Scored,Other Goals,Goals from Outside Box,Second Goal Assists,Set Pieces Goals,Straight Red Cards
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,1l483i0crf1gguvdtor8kk7bo,A. Aman,Midfielder,14,13.0,1.0,1.0,,,1.0,,11.0,2.0,8.0,,43.0,,,,172.0,7.0,8.0,1.0,3.0,3.0,4.0,4.0,6.0,1.0,33.0,1.0,31.0,,8.0,4.0,11.0,,7.0,,8.0,10.0,35.0,80.0,3.0,9.0,10.0,2.0,43.0,35.0,0.0,2.0,1.0,,2.0,,2.0,12.0,30.0,6.0,,,15.0,1.0,6.0,1.0,4.0,1.0,,,,,,2.0,,,,,,,,,1.0,5.0,,2.0,7.0,2.0,1.0,,,2.0,1.0,3.0,1.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,31cvozejjzkzccdv98o9hjeok,A. Auguste,Defender,12,7.0,2.0,1.0,2.0,1.0,,,2.0,1.0,3.0,,17.0,,1.0,,84.0,6.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,14.0,2.0,6.0,1.0,3.0,4.0,6.0,1.0,,1.0,2.0,10.0,14.0,29.0,2.0,3.0,5.0,3.0,17.0,14.0,0.0,1.0,1.0,,,1.0,1.0,5.0,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,9lizhvi6s62pedu82x1wk7k7o,J. Augustin,Defender,11,16.0,1.0,1.0,8.0,2.0,10.0,6.0,18.0,,19.0,2.0,75.0,2.0,3.0,4.0,162.0,17.0,9.0,2.0,5.0,2.0,5.0,6.0,14.0,2.0,53.0,3.0,33.0,2.0,15.0,6.0,14.0,1.0,2.0,1.0,13.0,10.0,55.0,119.0,2.0,10.0,50.0,3.0,74.0,56.0,0.0,1.0,1.0,,,1.0,2.0,9.0,40.0,2.0,,,2.0,,,,,1.0,,,,,,3.0,,,,,,,3.0,,,3.0,,,5.0,1.0,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,f0up9zk0d4r139wg1hg6y8ufo,J. Austini,Defender,10,19.0,1.0,2.0,19.0,1.0,,,10.0,,20.0,,76.0,5.0,2.0,11.0,270.0,44.0,8.0,3.0,4.0,3.0,3.0,10.0,21.0,3.0,49.0,4.0,25.0,3.0,9.0,8.0,12.0,2.0,1.0,,7.0,10.0,54.0,124.0,3.0,11.0,34.0,5.0,73.0,56.0,0.0,1.0,3.0,,,4.0,7.0,4.0,12.0,1.0,2.0,1.0,17.0,1.0,1.0,,,4.0,,,,,,7.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,tr1j93ano34s10ktik9kvuvo,S. Byron,Forward,7,71.0,6.0,2.0,2.0,1.0,,,16.0,,14.0,1.0,59.0,,7.0,2.0,270.0,14.0,28.0,3.0,25.0,3.0,1.0,1.0,20.0,3.0,45.0,6.0,48.0,3.0,12.0,32.0,53.0,6.0,16.0,,16.0,10.0,34.0,145.0,3.0,39.0,10.0,5.0,48.0,45.0,0.0,12.0,11.0,1.0,7.0,2.0,18.0,21.0,31.0,15.0,,7.0,8.0,,20.0,,9.0,7.0,,,,,,,,,,,,,,,,6.0,1.0,2.0,3.0,,2.0,,1.0,,,3.0,,7.0,1.0,,3.0,2.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,522k2tflgac2vaot1zu17xuz8,N. Charles,Forward,5,,,,,,,,4.0,2.0,3.0,,6.0,,,1.0,11.0,1.0,,,,2.0,,,,,3.0,,5.0,,2.0,,,,,,1.0,10.0,3.0,9.0,2.0,,1.0,,6.0,3.0,0.0,,,,1.0,,,,2.0,,,,5.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,7tirpo0iu84c9augga7lm972s,A. Devaux,Midfielder,20,26.0,1.0,2.0,11.0,3.0,28.0,7.0,34.0,,37.0,2.0,98.0,12.0,8.0,25.0,225.0,27.0,8.0,3.0,13.0,3.0,5.0,14.0,5.0,3.0,57.0,2.0,63.0,1.0,12.0,16.0,21.0,6.0,3.0,1.0,19.0,10.0,59.0,188.0,3.0,10.0,70.0,5.0,91.0,61.0,0.0,4.0,2.0,,,2.0,5.0,7.0,36.0,3.0,,,16.0,,1.0,,,3.0,,,,,,4.0,,,,,,,1.0,,,3.0,,,11.0,2.0,,1.0,1.0,3.0,,4.0,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,36n2t5r85ft6h3uzub0qkuluc,D. Edward,Midfielder,22,15.0,1.0,,,1.0,,,19.0,2.0,14.0,5.0,59.0,1.0,7.0,4.0,136.0,13.0,4.0,,11.0,3.0,2.0,2.0,18.0,1.0,40.0,1.0,25.0,1.0,10.0,11.0,15.0,2.0,2.0,,11.0,10.0,45.0,97.0,3.0,4.0,20.0,,59.0,45.0,0.0,3.0,,3.0,,3.0,,8.0,36.0,1.0,1.0,1.0,13.0,,,,4.0,,,,,,,5.0,,,,,,,,,,4.0,,4.0,7.0,4.0,,,,2.0,,6.0,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,aacfzjodan23pb12kdori8zys,J. Germaine,Forward,4,51.0,8.0,2.0,1.0,2.0,,,25.0,,27.0,2.0,52.0,1.0,5.0,4.0,205.0,7.0,23.0,3.0,16.0,3.0,4.0,3.0,7.0,3.0,22.0,6.0,60.0,4.0,23.0,27.0,39.0,3.0,15.0,2.0,11.0,10.0,25.0,119.0,3.0,24.0,30.0,5.0,52.0,25.0,0.0,3.0,1.0,1.0,4.0,,12.0,7.0,18.0,8.0,,2.0,8.0,2.0,13.0,,9.0,11.0,,,,,,3.0,,,,,,,3.0,,,5.0,1.0,5.0,1.0,,4.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_U17,2025,St. Lucia Under 17,93976d1w1kfm97bgg0xl4f384,A. Germé,Goalkeeper,1,,,2.0,3.0,,,,13.0,,23.0,,63.0,6.0,,23.0,256.0,33.0,,3.0,,3.0,,10.0,15.0,3.0,25.0,,25.0,,,,,,,1.0,17.0,10.0,8.0,86.0,3.0,,39.0,5.0,13.0,40.0,0.0,,,,,,,,7.0,,,,9.0,,,,,,1.0,1.0,,1.0,39.0,15.0,,6.0,2.0,13.0,41.0,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
