temporada,link,liga_url,cod_liga,folder
2026,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/fixtures,concacaf-champions-cup-2026,6nv6rqeo7bc5utin12d6385w,Concacaf_Concacaf_Champions_Cup
2025,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/fixtures,concacaf-champions-cup-2025,2gj8eldctlh5kua3vdf9loqok,Concacaf_Concacaf_Champions_Cup
2024,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/results,concacaf-champions-cup-2024,88eiz1gyadylcr1n8el5zrqj8,Concacaf_Concacaf_Champions_Cup
2023,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2023/5n2136sfjmrve8xe3i7da347o/results,concacaf-champions-cup-2023,5n2136sfjmrve8xe3i7da347o,Concacaf_Concacaf_Champions_Cup
2022,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2022/1zh2scwhrs6ytzbpkntz77kes/results,concacaf-champions-cup-2022,1zh2scwhrs6ytzbpkntz77kes,Concacaf_Concacaf_Champions_Cup
2021,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/results,concacaf-champions-cup-2021,cgxho67mh5e4icro5qcrncb2s,Concacaf_Concacaf_Champions_Cup
2020,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/results,concacaf-champions-cup-2020,8093hqpyqbxw8ot6xk7ep91t6,Concacaf_Concacaf_Champions_Cup
2019,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/results,concacaf-champions-cup-2019,49m6qs7bfor137jilbfgnxy7e,Concacaf_Concacaf_Champions_Cup
2018,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2018/6jn9e84zk6zvt8h7m3a07tdk9/results,concacaf-champions-cup-2018,6jn9e84zk6zvt8h7m3a07tdk9,Concacaf_Concacaf_Champions_Cup
2016/2017,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2016-2017/967u7pfygzt223fi3b463fe95/results,concacaf-champions-cup-2016-2017,967u7pfygzt223fi3b463fe95,Concacaf_Concacaf_Champions_Cup
2015/2016,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/results,concacaf-champions-cup-2015-2016,5t5h84k58wq1fek7w7hntmcbt,Concacaf_Concacaf_Champions_Cup
2014/2015,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2014-2015/aes9bmtcfyw4lr19wn2ga22tx/results,concacaf-champions-cup-2014-2015,aes9bmtcfyw4lr19wn2ga22tx,Concacaf_Concacaf_Champions_Cup
