liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded,Forward Passes,Interceptions,Substitute On,Total Losses Of Possession,Total Passes,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Unsuccessful Passes Opposition Half,Throw Ins to Own Player,Own Goal Scored,Games Played,Unsuccessful Launches,Open Play Passes,Blocks,Goals Conceded Inside Box,Successful Long Passes,Unsuccessful Long Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Successful Passes Opposition Half,Touches,Index,Appearances,Winning Goal,Goal Kicks,Saves made - parried,Penalties Faced,Successful Passes Own Half,Total Clearances,GK Successful Distribution,Penalty Goals Conceded,Rightside Passes,GK Unsuccessful Distribution,Recoveries,Unsuccessful Passes Own Half,Goals Conceded Outside Box,Successful Short Passes,Saves Made from Inside Box,Punches,Duels,Duels won,Aerial Duels,Starts,Saves Made,Aerial Duels won,Saves Made from Outside Box,Leftside Passes,Tackles Won,Foul Attempted Tackle,Tackles Lost,Total Tackles,Total Fouls Conceded,Handballs conceded,Duels lost,Total Touches In Opposition Box,Ground Duels lost,Ground Duels won,Substitute Off,Aerial Duels lost,Unsuccessful Short Passes,Ground Duels,Successful Lay-offs,Shots Off Target (inc woodwork),Clean Sheets,Backward Passes,Yellow Cards,Offsides,PutThrough/Blocked Distribution,Total Shots,Shots On Target ( inc goals ),PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Unsuccessful lay-offs,Times Tackled,Successful Dribbles,Unsuccessful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses & Corners,Unsuccessful Crosses open play,Total Fouls Won,Successful Corners into Box,Through balls,Penalties Conceded,Blocked Shots,Penalties Taken,Throw Ins to Opposition Player,Clearances Off the Line,Overruns,Key Passes (Attempt Assists),Catches,Crosses not Claimed,Last Player Tackle,Right Foot Goals,Goals from Inside Box,Goals,Corners Won,Penalty Goals,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Unsuccessful Corners into Box,Goal Assists,Successful Crosses open play,Goals from Outside Box,Saves from Penalty,Penalties Saved,Total Red Cards,Straight Red Cards,Saves made - caught,Headed Goals,Second Goal Assists,Goalkeeper Smother,Foul Won Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Hit Woodwork,Left Foot Goals,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Scored,Final Third Touches,Total Big Chances Missed,Drops,Total Big Chances Saved,Goals Openplay,Set Pieces Goals,Direct Setpiece Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,dzny38va8u41axi9op0r5v6qd,L. Maynard,Midfielder,0,7.0,47.0,6.0,,20.0,104.0,3.0,18.0,74.0,7.0,,,3.0,3.0,92.0,3.0,6.0,13.0,7.0,86.0,270.0,20.0,134.0,15.0,3.0,0.0,1.0,,,66.0,8.0,1.0,,24.0,,14.0,11.0,1.0,73.0,,,20.0,11.0,11.0,3.0,,6.0,,27.0,1.0,1.0,,1.0,2.0,,9.0,2.0,4.0,5.0,,5.0,11.0,9.0,,,1.0,6.0,2.0,,5.0,,,3.0,1.0,,1.0,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,cdby17z7rlkt0g2btqrqu5l9l,Y. Mitchum,Midfielder,0,9.0,54.0,3.0,1.0,28.0,153.0,,22.0,127.0,16.0,,,4.0,1.0,149.0,1.0,8.0,14.0,4.0,131.0,263.0,80.0,183.0,30.0,4.0,0.0,,,,52.0,5.0,,1.0,48.0,,12.0,7.0,1.0,117.0,,,10.0,7.0,,3.0,,,,28.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,7.0,2.0,,18.0,10.0,5.0,2.0,,23.0,,,3.0,3.0,1.0,1.0,2.0,,2.0,,1.0,,1.0,1.0,4.0,,2.0,,1.0,,,,,5.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,9g0sqlcjwmlqbkt7fuue03evo,J. Myers,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,1r58dhrgjpexdws7jdvqs62hg,A. Newton,Forward,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,63yj434niq82w0hc3qy3ulqs5,H. Panayiotou,Forward,0,5.0,1.0,,2.0,11.0,28.0,,6.0,20.0,7.0,,,3.0,,26.0,,4.0,1.0,,22.0,125.0,14.0,47.0,32.0,3.0,0.0,,,,8.0,,,,6.0,,3.0,2.0,1.0,21.0,,,16.0,9.0,5.0,1.0,,,,6.0,,,1.0,1.0,2.0,,7.0,7.0,2.0,9.0,1.0,5.0,6.0,11.0,1.0,3.0,,15.0,,1.0,3.0,4.0,1.0,,,,,2.0,3.0,,,3.0,6.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,4hyx0ourb49k8cmk1c28o7cdm,M. Roberts,Defender,0,,15.0,,,17.0,36.0,,5.0,31.0,9.0,4.0,,1.0,,36.0,,,2.0,,31.0,90.0,20.0,67.0,77.0,1.0,0.0,,,,12.0,1.0,,,1.0,,5.0,1.0,,29.0,,,11.0,9.0,1.0,1.0,,1.0,,15.0,3.0,,1.0,4.0,,,2.0,2.0,2.0,8.0,,,5.0,10.0,,,1.0,5.0,,,2.0,,,2.0,1.0,,2.0,3.0,5.0,,1.0,5.0,1.0,,,,,,3.0,,1.0,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,6bu8dhj4whrjm3rkxa2xpya51,K. Rogers,Forward,0,3.0,5.0,1.0,2.0,11.0,14.0,,4.0,10.0,5.0,,,3.0,,14.0,,1.0,,,10.0,96.0,6.0,29.0,20.0,3.0,0.0,,,,4.0,1.0,,,1.0,,6.0,1.0,2.0,10.0,,,8.0,1.0,2.0,1.0,,,,7.0,,2.0,,,2.0,,7.0,7.0,5.0,1.0,2.0,2.0,4.0,6.0,,2.0,,1.0,,1.0,,3.0,1.0,,1.0,,2.0,,2.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,9lld6fzr00v08mkl16hkzof84,A. Samuel-Francis,Midfielder,0,1.0,1.0,,1.0,2.0,4.0,,1.0,2.0,1.0,,,1.0,,3.0,,1.0,,,3.0,8.0,,7.0,10.0,1.0,0.0,,,,3.0,,,,,,1.0,,,3.0,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,2.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,6exc7pvlwc0fbc50r3yjh3105,Y. Saunders,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,1l1ilvcyhfr64gw458yncvl5h,R. Sawyers,Midfielder,0,11.0,47.0,1.0,,40.0,145.0,,23.0,110.0,23.0,2.0,,4.0,,132.0,1.0,9.0,6.0,2.0,122.0,342.0,89.0,198.0,20.0,4.0,0.0,,,,36.0,,,1.0,41.0,,15.0,2.0,2.0,116.0,,,32.0,14.0,14.0,4.0,,6.0,,23.0,1.0,2.0,1.0,2.0,3.0,,18.0,18.0,10.0,8.0,2.0,8.0,21.0,18.0,6.0,5.0,,34.0,,1.0,3.0,8.0,3.0,1.0,1.0,,5.0,2.0,2.0,1.0,3.0,2.0,5.0,,,,2.0,,,,1.0,5.0,,,,1.0,1.0,1.0,1.0,,1.0,0.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
