liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Times Tackled,Successful Launches,Open Play Passes,Backward Passes,Total Passes,Aerial Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels,Successful Open Play Passes,Tackles Won,Goals from Inside Box,Yellow Cards,Ground Duels won,Throw Ins to Opposition Player,Corners Won,Total Fouls Conceded,Goal Assists,Games Played,Through balls,Unsuccessful Crosses open play,Successful Crosses open play,Assists (Intentional),Successful Passes Own Half,Substitute Off,Unsuccessful Passes Opposition Half,Total Losses Of Possession,Foul Attempted Tackle,Duels lost,Unsuccessful Long Passes,Time Played,Total Touches In Opposition Box,Rightside Passes,Total Shots,PutThrough/Blocked Distribution,Appearances,Total Fouls Won,Total Successful Passes ( Excl Crosses & Corners ) ,Shots On Target ( inc goals ),Right Foot Goals,Aerial Duels won,Ground Duels,Key Passes (Attempt Assists),Leftside Passes,Touches,Throw Ins to Own Player,Blocks,Interceptions,Duels,Duels won,Successful Crosses & Corners,Clean Sheets,Unsuccessful Crosses & Corners,Successful Short Passes,Goals Conceded Inside Box,Ground Duels lost,Goals Conceded,Goals Conceded Outside Box,Offsides,Successful Long Passes,Unsuccessful Launches,Total Clearances,Forward Passes,Goals,Successful Passes Opposition Half,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Unsuccessful Passes Own Half,Overruns,Total Tackles,Starts,Substitute On,Handballs conceded,Recoveries,Tackles Lost,Successful Dribbles,Index,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Successful Lay-offs,Successful Corners into Box,Blocked Shots,Headed Goals,Unsuccessful lay-offs,Left Foot Goals,Unsuccessful Corners into Box,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Penalties Taken,Hit Woodwork,Penalty Goals,Straight Red Cards,Penalties Conceded,Total Red Cards,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Penalties Faced,Saves Made from Inside Box,Catches,Penalties Saved,Saves Made,Goalkeeper Smother,Saves Made from Outside Box,Saves made - parried,Saves made - caught,Saves from Penalty,Punches,Drops,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Last Man Tackle,Second Goal Assists,Penalty Goals Conceded,Other Goals,Penalties Off Target,Red Cards - 2nd Yellow,Last Player Tackle,Crosses not Claimed
Canada_Canadian_Premier_League,2023,Cavalry FC,79xw5l1zq2huxdmeod9t19nmd,J. Escalante,Midfielder,11,7.0,10.0,15.0,3.0,342.0,80.0,355.0,5.0,67.0,10.0,277.0,14.0,,2.0,39.0,8.0,5.0,10.0,,11.0,,14.0,7.0,,165.0,3.0,63.0,119.0,5.0,37.0,32.0,716.0,7.0,145.0,4.0,16.0,11.0,15.0,288.0,,,5.0,71.0,8.0,12.0,564.0,61.0,1.0,12.0,81.0,44.0,8.0,,17.0,270.0,9.0,32.0,9.0,,,18.0,11.0,9.0,118.0,,131.0,4.0,35.0,21.0,1.0,20.0,8.0,3.0,1.0,35.0,6.0,4.0,10.0,,,0.0,3.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,3141if674kt100fnbi3unstsl,T. Field,Defender,12,2.0,3.0,3.0,,118.0,20.0,123.0,5.0,16.0,9.0,103.0,1.0,,1.0,4.0,,1.0,5.0,,4.0,,2.0,2.0,,75.0,2.0,13.0,27.0,2.0,15.0,4.0,212.0,4.0,20.0,1.0,7.0,4.0,,107.0,,,4.0,14.0,1.0,39.0,165.0,5.0,1.0,3.0,23.0,8.0,2.0,,3.0,102.0,2.0,10.0,2.0,,,5.0,1.0,4.0,44.0,,34.0,1.0,12.0,6.0,,3.0,2.0,2.0,1.0,14.0,2.0,1.0,10.0,,,0.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,ewjp0ru1c4fn1h5bqyqdih0wl,B. Fisk,Midfielder,17,2.0,3.0,17.0,,224.0,92.0,232.0,3.0,36.0,6.0,188.0,3.0,1.0,1.0,16.0,,4.0,5.0,2.0,17.0,2.0,16.0,7.0,2.0,64.0,4.0,53.0,99.0,4.0,33.0,4.0,486.0,14.0,52.0,7.0,10.0,17.0,7.0,196.0,3.0,,3.0,46.0,8.0,19.0,349.0,4.0,1.0,1.0,52.0,19.0,9.0,1.0,28.0,187.0,8.0,30.0,9.0,1.0,2.0,9.0,,2.0,69.0,1.0,141.0,4.0,32.0,11.0,2.0,4.0,4.0,13.0,,26.0,1.0,5.0,10.0,0.0,1.0,0.0,15.0,7.0,2.0,2.0,1.0,,,9.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,7m423mahkxftk81mmh7v0jzf8,M. Harms,Defender,29,2.0,1.0,1.0,,57.0,16.0,57.0,2.0,9.0,3.0,48.0,3.0,,,8.0,4.0,1.0,2.0,,3.0,,1.0,,,29.0,1.0,8.0,20.0,1.0,8.0,2.0,114.0,,2.0,,4.0,3.0,2.0,48.0,,,1.0,14.0,1.0,18.0,99.0,17.0,,,17.0,9.0,,,1.0,46.0,,6.0,1.0,1.0,,2.0,1.0,2.0,21.0,,19.0,,7.0,2.0,,5.0,1.0,2.0,,8.0,2.0,1.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,e2o2n3ndnjcp5llg2eza9p10q,M. Henry,Midfielder,18,11.0,16.0,23.0,,177.0,49.0,182.0,12.0,37.0,18.0,140.0,11.0,1.0,1.0,46.0,,6.0,18.0,,18.0,1.0,13.0,2.0,,60.0,6.0,43.0,103.0,13.0,69.0,9.0,682.0,16.0,52.0,11.0,14.0,18.0,22.0,145.0,4.0,1.0,6.0,103.0,6.0,26.0,357.0,3.0,,2.0,121.0,52.0,3.0,,16.0,137.0,3.0,57.0,3.0,,1.0,8.0,6.0,2.0,55.0,2.0,88.0,7.0,28.0,10.0,2.0,14.0,7.0,11.0,1.0,42.0,3.0,10.0,10.0,1.0,1.0,0.0,4.0,2.0,1.0,10.0,,,1.0,3.0,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,20nun88umv5313rqiqfilzyfo,J. Holliday,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,5y0x6mck3zl8cio425q1uli3t,B. Kamdem,Defender,0,15.0,16.0,30.0,8.0,1220.0,203.0,1259.0,18.0,172.0,49.0,1049.0,28.0,,8.0,80.0,33.0,12.0,29.0,2.0,25.0,,23.0,7.0,1.0,688.0,4.0,144.0,276.0,12.0,85.0,83.0,2223.0,11.0,488.0,3.0,35.0,25.0,22.0,1087.0,1.0,,31.0,147.0,2.0,94.0,1766.0,154.0,14.0,26.0,196.0,111.0,7.0,7.0,23.0,1015.0,21.0,67.0,25.0,4.0,2.0,72.0,23.0,45.0,474.0,,406.0,2.0,89.0,51.0,5.0,36.0,25.0,,1.0,122.0,8.0,22.0,10.0,,,0.0,,1.0,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,b9n2wm81qim3l5wm7fz7a4avo,S. Kerr,Goalkeeper,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,246l8ttdytxycwsbi5sg12ei,D. Klomp,Defender,4,17.0,3.0,11.0,5.0,1797.0,80.0,1848.0,40.0,187.0,102.0,1611.0,35.0,5.0,2.0,54.0,,8.0,30.0,1.0,31.0,2.0,3.0,1.0,,1221.0,,143.0,226.0,17.0,94.0,104.0,2820.0,41.0,624.0,21.0,24.0,31.0,9.0,1661.0,10.0,2.0,62.0,108.0,4.0,586.0,2146.0,4.0,19.0,23.0,210.0,116.0,1.0,8.0,3.0,1531.0,28.0,54.0,32.0,4.0,,130.0,24.0,87.0,558.0,5.0,441.0,11.0,83.0,47.0,1.0,43.0,31.0,,,147.0,8.0,2.0,10.0,3.0,2.0,3.0,,,,3.0,3.0,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,nska6xtrvs8qgob92syv0296,E. Kobza,Midfielder,24,18.0,8.0,17.0,4.0,1563.0,180.0,1595.0,17.0,203.0,40.0,1362.0,31.0,2.0,3.0,93.0,4.0,3.0,26.0,,29.0,3.0,1.0,2.0,,912.0,4.0,142.0,247.0,11.0,84.0,88.0,2368.0,15.0,265.0,10.0,29.0,29.0,39.0,1392.0,4.0,2.0,23.0,160.0,5.0,587.0,1916.0,26.0,20.0,29.0,200.0,116.0,2.0,8.0,1.0,1280.0,17.0,67.0,21.0,4.0,1.0,112.0,22.0,43.0,563.0,2.0,482.0,6.0,115.0,62.0,,47.0,26.0,3.0,,151.0,16.0,7.0,10.0,1.0,1.0,1.0,,4.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
