liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Launches,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,GK Successful Distribution,Substitute On,Successful Lay-offs,Goals,Right Foot Goals,Successful Crosses & Corners,Yellow Cards,Shots Off Target (inc woodwork),Substitute Off,Successful Dribbles,Total Shots,Total Red Cards,Blocked Shots,Red Cards - 2nd Yellow,Foul Attempted Tackle,Total Touches In Opposition Box,Shots On Target ( inc goals ),Successful Crosses open play,Aerial Duels won,Handballs conceded,Hit Woodwork,Goals from Inside Box,Unsuccessful lay-offs,Through balls,Offsides,Corners Won,Successful Corners into Box,Corners Taken (incl short corners),Goals from Outside Box,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Clearances Off the Line,Goal Assists,Saves Made,Crosses not Claimed,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Second Goal Assists,Own Goal Scored,Headed Goals,Foul Won Penalty,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Straight Red Cards,Penalties Conceded,Goalkeeper Smother,Penalties Faced,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Other Goals,Goal Kicks,Last Man Tackle,Saves from Penalty,Penalties Saved,Penalties Off Target
USA_USL_Championship,2017,Toronto FC II,5ulotckza2yjo2wrwuukdyggl,Ø. Alseth,Defender,27,34.0,1244.0,60.0,2.0,665.0,92.0,296.0,9.0,35.0,21.0,2.0,6.0,240.0,226.0,44.0,126.0,682.0,13.0,493.0,13.0,161.0,42.0,7.0,153.0,10.0,79.0,13.0,42.0,44.0,1024.0,17.0,4.0,126.0,314.0,10.0,75.0,28.0,11.0,11.0,138.0,41.0,15.0,36.0,17.0,57.0,234.0,506.0,521.0,12.0,3.0,28.0,63.0,16.0,43.0,69.0,,4.0,1.0,,,1.0,3.0,3.0,3.0,14.0,3.0,,2.0,,7.0,12.0,,1.0,6.0,1.0,,,,,1.0,3.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,akm3d6i87d7txxinml69jx32t,A. Andrews,Forward,43,7.0,788.0,,,191.0,54.0,95.0,,5.0,6.0,6.0,10.0,129.0,45.0,4.0,60.0,203.0,10.0,134.0,13.0,65.0,56.0,9.0,63.0,,18.0,10.0,13.0,9.0,330.0,15.0,,66.0,43.0,10.0,30.0,4.0,17.0,7.0,81.0,,19.0,7.0,15.0,41.0,50.0,127.0,138.0,15.0,1.0,3.0,51.0,1.0,2.0,25.0,,5.0,10.0,1.0,1.0,2.0,,7.0,5.0,4.0,13.0,,8.0,,6.0,25.0,6.0,2.0,5.0,1.0,,1.0,1.0,,7.0,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,c1kblaxkcyrzeybhwirtot9ex,B. Aubrey,Defender,32,,1781.0,6.0,11.0,792.0,23.0,143.0,34.0,74.0,8.0,8.0,14.0,211.0,485.0,35.0,112.0,814.0,23.0,548.0,25.0,186.0,212.0,3.0,104.0,1.0,98.0,20.0,13.0,82.0,1145.0,21.0,22.0,93.0,369.0,10.0,87.0,80.0,14.0,1.0,142.0,121.0,33.0,,21.0,41.0,210.0,609.0,628.0,49.0,6.0,19.0,55.0,16.0,82.0,52.0,,1.0,,,,,3.0,2.0,2.0,4.0,2.0,,4.0,,11.0,10.0,,,35.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,8xiikcvufow3u6jo0opzhtip5,R. Boskovic,Defender,49,1.0,826.0,19.0,4.0,426.0,21.0,159.0,15.0,37.0,7.0,3.0,9.0,112.0,193.0,19.0,48.0,437.0,9.0,318.0,10.0,85.0,176.0,2.0,57.0,11.0,59.0,9.0,12.0,29.0,576.0,10.0,1.0,55.0,220.0,10.0,39.0,34.0,9.0,4.0,70.0,20.0,13.0,1.0,10.0,22.0,20.0,347.0,352.0,15.0,3.0,19.0,31.0,,27.0,33.0,,1.0,,,,,,,2.0,5.0,,,,,4.0,1.0,,,6.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,6re26cen7xbrynezb3rerst05,S. Camargo,Midfielder,20,14.0,1082.0,2.0,,453.0,124.0,207.0,,9.0,7.0,3.0,15.0,189.0,192.0,14.0,63.0,469.0,6.0,377.0,17.0,72.0,131.0,16.0,93.0,1.0,83.0,12.0,16.0,12.0,685.0,18.0,3.0,100.0,104.0,10.0,46.0,20.0,15.0,18.0,118.0,3.0,20.0,33.0,18.0,57.0,110.0,383.0,397.0,18.0,1.0,12.0,72.0,2.0,14.0,43.0,,6.0,14.0,1.0,,2.0,,6.0,8.0,14.0,10.0,,2.0,,2.0,28.0,4.0,,3.0,1.0,,1.0,,1.0,1.0,13.0,2.0,20.0,,,17.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,bewzox1rnh1n28tkj5k0rmrqh,D. Campbell,Midfielder,48,15.0,412.0,31.0,,160.0,51.0,72.0,5.0,8.0,5.0,5.0,4.0,79.0,57.0,11.0,26.0,162.0,11.0,128.0,9.0,34.0,4.0,2.0,39.0,5.0,27.0,4.0,17.0,10.0,294.0,11.0,2.0,47.0,52.0,10.0,24.0,,8.0,2.0,54.0,11.0,14.0,15.0,11.0,26.0,55.0,126.0,128.0,7.0,,8.0,30.0,3.0,8.0,21.0,,7.0,,,,1.0,2.0,2.0,2.0,2.0,3.0,,,,7.0,8.0,1.0,1.0,3.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,6svipdrmjeox6opbfeowlnuuh,G. Catalano,Goalkeeper,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,7jqjjold6yqsefpfj8xds2dih,A. Cavalluzzo,Goalkeeper,80,,1710.0,,67.0,261.0,,106.0,154.0,270.0,1.0,5.0,,274.0,151.0,1.0,1.0,528.0,,110.0,23.0,271.0,45.0,1.0,232.0,,194.0,19.0,2.0,39.0,739.0,19.0,,9.0,431.0,10.0,17.0,147.0,10.0,,20.0,21.0,28.0,,19.0,3.0,52.0,136.0,257.0,11.0,6.0,1.0,3.0,,2.0,6.0,150.0,,,,,,1.0,,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,79.0,,7.0,1.0,8.0,30.0,25.0,48.0,5.0,85.0,,,,,,,,,,,1.0,5.0,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,Midfielder,14,3.0,270.0,1.0,,162.0,21.0,86.0,,2.0,2.0,1.0,1.0,52.0,48.0,9.0,30.0,166.0,2.0,121.0,2.0,32.0,41.0,9.0,25.0,,26.0,3.0,3.0,10.0,221.0,3.0,1.0,33.0,67.0,10.0,18.0,13.0,4.0,3.0,35.0,,3.0,3.0,3.0,16.0,37.0,130.0,134.0,2.0,1.0,7.0,17.0,2.0,5.0,17.0,,,3.0,1.0,1.0,,,3.0,,4.0,5.0,,,,2.0,10.0,2.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2017,Toronto FC II,f1fc7z0aq1mwpr87bbuobeyqy,D. DaSilva,Forward,0,,94.0,,,25.0,6.0,11.0,1.0,2.0,1.0,,1.0,23.0,7.0,,6.0,26.0,5.0,18.0,3.0,8.0,6.0,,7.0,,4.0,1.0,2.0,1.0,53.0,2.0,,18.0,11.0,10.0,5.0,,2.0,,21.0,,3.0,,2.0,15.0,3.0,17.0,18.0,3.0,,,16.0,,,3.0,,1.0,,,,,,1.0,1.0,1.0,3.0,,2.0,,2.0,3.0,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
