liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Dribbles,Yellow Cards,Duels,Successful Passes Opposition Half,Total Clearances,Unsuccessful Short Passes,Goals Conceded Inside Box,GK Successful Distribution,Tackles Lost,Unsuccessful Crosses & Corners,Aerial Duels,Times Tackled,Blocked Shots,Total Shots,Throw Ins to Own Player,Forward Passes,Starts,Blocks,Shots On Target ( inc goals ),Rightside Passes,Foul Attempted Tackle,Appearances,Successful Crosses open play,Successful Launches,Total Tackles,Tackles Won,Backward Passes,Unsuccessful Long Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Index,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Own Half,Clearances Off the Line,PutThrough/Blocked Distribution,Total Fouls Won,Ground Duels lost,Goals Conceded,Successful Passes Own Half,Duels lost,Shots Off Target (inc woodwork),Clean Sheets,Last Player Tackle,Ground Duels,Touches,Unsuccessful Launches,Interceptions,Successful Long Passes,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Goal Kicks,Ground Duels won,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Aerial Duels won,Games Played,Successful Crosses & Corners,Duels won,Total Fouls Conceded,Aerial Duels lost,Substitute On,Penalty Goals Conceded,Open Play Passes,Leftside Passes,Key Passes (Attempt Assists),Time Played,Successful Short Passes,Total Losses Of Possession,Successful Open Play Passes,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Winning Goal,Goal Assists,Through balls,Left Foot Goals,Goals from Inside Box,Successful Lay-offs,Second Goal Assists,Goals from Outside Box,Goals,Successful Corners into Box,Penalties Taken,Right Foot Goals,Assists (Intentional),Unsuccessful Corners into Box,Penalty Goals,Unsuccessful lay-offs,Attempts from Set Pieces,Hit Woodwork,Substitute Off,Overruns,Corners Taken (incl short corners),Corners Won,Home Goals,Away Goals,Offsides,Saves made - caught,GK Unsuccessful Distribution,Saves Made from Inside Box,Catches,Saves Made,Saves Made from Outside Box,Punches,Handballs conceded,Penalties Conceded,Foul Won Penalty,Headed Goals,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Straight Red Cards,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Faced,Penalties Saved,Crosses not Claimed,Own Goal Scored,Other Goals,Penalties Off Target,Set Pieces Goals
USA_MLS,2024,Club de Foot Montréal,dht42dfvrdg7672df9flczxuc,A. Biello,Midfielder,38,,,4.0,7.0,,,1.0,,,,,2.0,,,,2.0,,,,6.0,1.0,2.0,,,1.0,1.0,1.0,,,12.0,19.0,12.0,,,,,,3.0,1.0,5.0,3.0,,,,4.0,17.0,,1.0,,,,,1.0,,,,2.0,,1.0,1.0,,2.0,,12.0,3.0,,15.0,12.0,2.0,12.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,b6bxaibppt85so3xkms5fksmh,S. Breza,Goalkeeper,1,,,1.0,2.0,2.0,,2.0,12.0,,,,,,,,25.0,1.0,,,2.0,1.0,1.0,,,,,,21.0,,12.0,79.0,33.0,21.0,5.0,,,,1.0,2.0,10.0,1.0,,,,1.0,48.0,11.0,,2.0,,,17.0,,,16.0,,1.0,,,1.0,,,1.0,10.0,6.0,,90.0,10.0,21.0,3.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,4.0,,9.0,4.0,1.0,,1.0,,,,,2.0,,,,,1.0,,,,,,
USA_MLS,2024,Club de Foot Montréal,ckcyp29f4gyjpga6bcpygack4,D. Bugaj,Defender,27,1.0,,14.0,18.0,4.0,13.0,2.0,,2.0,2.0,6.0,1.0,,,4.0,14.0,2.0,1.0,,2.0,,5.0,,1.0,3.0,1.0,13.0,1.0,2.0,36.0,10.0,50.0,14.0,7.0,,3.0,1.0,3.0,6.0,18.0,8.0,,,,8.0,73.0,1.0,,1.0,2.0,1.0,,5.0,,9.0,1.0,5.0,,6.0,2.0,5.0,3.0,,50.0,21.0,,161.0,35.0,19.0,36.0,8.0,4.0,,0.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,ebhq4fl7e2p1zwhwpeu65a4iy,G. Campbell,Defender,24,13.0,9.0,203.0,576.0,92.0,147.0,43.0,,13.0,6.0,70.0,16.0,1.0,6.0,39.0,716.0,26.0,23.0,1.0,168.0,12.0,29.0,1.0,15.0,43.0,30.0,164.0,112.0,6.0,1573.0,13.0,1832.0,259.0,74.0,,41.0,19.0,58.0,49.0,998.0,84.0,5.0,6.0,1.0,133.0,2224.0,53.0,38.0,70.0,16.0,18.0,,75.0,9.0,191.0,44.0,29.0,1.0,119.0,31.0,26.0,3.0,4.0,1794.0,784.0,7.0,2286.0,1503.0,310.0,1538.0,164.0,6.0,8.0,0.0,2.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,4.0,1.0,,6.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,eb5gnc53xeybw4q02lijnamay,M. Choinière,Midfielder,29,11.0,5.0,145.0,451.0,19.0,102.0,29.0,,12.0,38.0,25.0,18.0,5.0,6.0,5.0,261.0,17.0,4.0,4.0,202.0,14.0,17.0,2.0,1.0,34.0,22.0,180.0,18.0,9.0,816.0,16.0,936.0,120.0,29.0,,32.0,24.0,51.0,34.0,381.0,68.0,2.0,3.0,,120.0,1206.0,6.0,7.0,29.0,21.0,16.0,,69.0,7.0,129.0,8.0,17.0,16.0,77.0,21.0,17.0,,3.0,891.0,293.0,18.0,1499.0,787.0,205.0,772.0,83.0,5.0,,1.0,1.0,3.0,,1.0,21.0,,1.0,2.0,11.0,1.0,2.0,1.0,20.0,1.0,1.0,,,2.0,2.0,47.0,6.0,2.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
USA_MLS,2024,Club de Foot Montréal,eliciww307c6fs2mg347z1iei,C. Clark,Midfielder,23,21.0,4.0,204.0,313.0,16.0,121.0,30.0,,16.0,22.0,33.0,38.0,7.0,23.0,16.0,175.0,20.0,7.0,9.0,143.0,18.0,33.0,3.0,3.0,47.0,31.0,141.0,23.0,22.0,472.0,10.0,616.0,144.0,38.0,,52.0,25.0,79.0,37.0,162.0,99.0,14.0,,1.0,171.0,990.0,16.0,15.0,15.0,65.0,26.0,,92.0,20.0,128.0,13.0,33.0,3.0,105.0,28.0,20.0,13.0,1.0,614.0,157.0,20.0,1760.0,457.0,264.0,470.0,75.0,7.0,4.0,1.0,2.0,5.0,1.0,4.0,10.0,2.0,,4.0,,,3.0,2.0,,,2.0,,1.0,16.0,4.0,,9.0,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,3ju0ueq9ldm2cqx8cn3p4ecx5,G. Corbo,Defender,25,2.0,1.0,82.0,282.0,95.0,76.0,28.0,,5.0,5.0,33.0,4.0,3.0,5.0,28.0,435.0,18.0,23.0,,313.0,10.0,29.0,1.0,9.0,16.0,11.0,93.0,85.0,5.0,1035.0,12.0,1196.0,161.0,65.0,2.0,14.0,7.0,25.0,32.0,754.0,45.0,5.0,4.0,,49.0,1462.0,36.0,14.0,86.0,8.0,6.0,,24.0,,101.0,13.0,29.0,1.0,37.0,15.0,20.0,11.0,3.0,1152.0,355.0,8.0,1721.0,949.0,197.0,996.0,68.0,4.0,9.0,0.0,,2.0,,,1.0,,,,,,,,,,,1.0,2.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,b1evw0rhzdmgcsq0a4enf0wrt,M. Cóccaro,Forward,9,7.0,2.0,134.0,93.0,10.0,55.0,14.0,,2.0,8.0,52.0,23.0,6.0,22.0,,49.0,10.0,3.0,13.0,56.0,10.0,22.0,,,9.0,7.0,69.0,7.0,8.0,153.0,13.0,215.0,62.0,14.0,,21.0,25.0,41.0,19.0,60.0,70.0,9.0,,,82.0,394.0,3.0,3.0,2.0,55.0,16.0,,41.0,11.0,56.0,23.0,22.0,,64.0,19.0,29.0,12.0,2.0,195.0,41.0,6.0,907.0,151.0,114.0,133.0,27.0,5.0,,0.0,1.0,2.0,,4.0,17.0,,,4.0,,2.0,2.0,1.0,,2.0,1.0,,1.0,9.0,,,10.0,1.0,3.0,5.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,26uulzcbbpgdrvnf5msmqidck,G. Doody,Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2024,Club de Foot Montréal,c3dtl72eb5ejh6h7ujaspomsq,B. Duke,Midfielder,10,21.0,2.0,245.0,657.0,11.0,200.0,40.0,,12.0,36.0,22.0,59.0,11.0,23.0,3.0,316.0,25.0,2.0,12.0,281.0,24.0,33.0,1.0,1.0,34.0,22.0,291.0,16.0,17.0,1038.0,12.0,1254.0,216.0,45.0,,72.0,52.0,117.0,41.0,393.0,132.0,11.0,2.0,,223.0,1687.0,6.0,19.0,33.0,46.0,20.0,,106.0,32.0,207.0,7.0,33.0,12.0,113.0,40.0,15.0,8.0,2.0,1228.0,366.0,43.0,2222.0,1005.0,386.0,1013.0,105.0,1.0,,1.0,4.0,8.0,2.0,2.0,45.0,,1.0,3.0,10.0,,1.0,4.0,14.0,,5.0,3.0,,15.0,5.0,27.0,13.0,3.0,0.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0
