liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded Inside Box,Total Passes,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Leftside Passes,Foul Attempted Tackle,Penalty Goals Conceded,Time Played,Ground Duels lost,Times Tackled,Unsuccessful Crosses & Corners,Successful Passes Opposition Half,Substitute Off,Total Tackles,Unsuccessful Short Passes,Open Play Passes,Index,Tackles Won,Ground Duels won,Games Played,Successful Dribbles,Duels,Total Shots,Total Clearances,Total Fouls Won,Blocks,Throw Ins to Own Player,Ground Duels,Rightside Passes,Successful Short Passes,Unsuccessful Crosses open play,Throw Ins to Opposition Player,Recoveries,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Passes Own Half,Appearances,Goals Conceded,Starts,Shots On Target ( inc goals ),Successful Open Play Passes,Forward Passes,Duels won,Duels lost,Touches,Unsuccessful Passes Opposition Half,Winning Goal,Corners Won,Overruns,Through balls,Successful Long Passes,Assists (Intentional),Unsuccessful Corners into Box,Goals,Goal Assists,Penalties Conceded,Penalties Taken,Aerial Duels,Left Foot Goals,Successful Launches,Aerial Duels won,Goal Kicks,Clean Sheets,Penalty Goals,Successful Lay-offs,Goals Conceded Outside Box,Hit Woodwork,Yellow Cards,GK Successful Distribution,Unsuccessful Dribbles,Key Passes (Attempt Assists),Corners Taken (incl short corners),Blocked Shots,Tackles Lost,Attempts from Set Pieces,Unsuccessful Long Passes,Goals from Inside Box,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Backward Passes,Handballs conceded,Unsuccessful Passes Own Half,Goals Openplay,Successful Crosses & Corners,Right Foot Goals,Interceptions,Unsuccessful lay-offs,Unsuccessful Launches,Shots Off Target (inc woodwork),Successful Corners into Box,Successful Crosses open play,Substitute On,Home Goals,Away Goals,Offsides,Other Goals,Second Goal Assists,Red Cards - 2nd Yellow,Total Red Cards,Saves Made from Inside Box,Saves Made,Clearances Off the Line,Punches,Saves Made from Outside Box,Saves made - parried,GK Unsuccessful Distribution,Catches,Goalkeeper Smother,Drops,Penalties Faced,Straight Red Cards,Last Player Tackle,Headed Goals,Own Goal Scored,Goals from Outside Box,Set Pieces Goals,Penalties Saved,Saves from Penalty,Foul Won Penalty,Crosses not Claimed,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved,Direct Setpiece Goals,Penalties Off Target
USA_MLS_Next_Pro,2025,Atlanta United 2,byybo156qtsiv0cl8fy6rgyl0,S. Pita,Midfielder,40,10.0,227.0,19.0,173.0,132.0,52.0,7.0,2.0,767.0,69.0,45.0,7.0,130.0,7.0,11.0,43.0,222.0,10.0,5.0,46.0,12.0,20.0,125.0,12.0,5.0,15.0,,3.0,115.0,53.0,161.0,7.0,,29.0,27.0,54.0,43.0,12.0,11.0,10.0,4.0,170.0,76.0,49.0,76.0,393.0,55.0,0.0,3.0,,3.0,12.0,2.0,,2.0,3.0,,,10.0,1.0,,3.0,,,,6.0,1.0,,4.0,,20.0,9.0,,2.0,6.0,,11.0,1.0,10.0,7.0,1.0,46.0,,6.0,1.0,,1.0,,1.0,1.0,8.0,,,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,a0wpfy3ac4q8lwyiwvlj6m590,J. Ransom,Goalkeeper,51,18.0,422.0,,272.0,151.0,84.0,,4.0,1170.0,2.0,,,49.0,,,6.0,316.0,10.0,,,13.0,,3.0,,6.0,,,,2.0,74.0,201.0,,,104.0,4.0,150.0,223.0,13.0,20.0,13.0,,206.0,257.0,1.0,2.0,541.0,106.0,0.0,,,,71.0,,,,,,,1.0,,36.0,1.0,61.0,2.0,,,2.0,,,118.0,,2.0,,,,,144.0,,,,,7.0,,44.0,,,,,,102.0,,,,,,,,,,,,28.0,36.0,,1.0,8.0,11.0,14.0,1.0,4.0,,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,f11ubohus6ppmy2qkq9w6a5wq,W. Reilly,Midfielder,28,11.0,286.0,2.0,248.0,56.0,76.0,2.0,1.0,513.0,16.0,10.0,2.0,123.0,1.0,7.0,30.0,282.0,10.0,5.0,21.0,6.0,5.0,46.0,,2.0,9.0,1.0,3.0,37.0,84.0,236.0,2.0,,33.0,4.0,38.0,126.0,6.0,12.0,6.0,,244.0,70.0,27.0,19.0,366.0,32.0,0.0,,,1.0,12.0,1.0,,,1.0,,,9.0,,2.0,6.0,,,,8.0,1.0,,,,3.0,5.0,,1.0,2.0,,8.0,,14.0,3.0,7.0,56.0,,8.0,,1.0,,11.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,8dcbkmm7ktscumo0c6qcpy1p0,C. Sanchez,Midfielder,48,15.0,624.0,34.0,544.0,112.0,148.0,18.0,1.0,1210.0,58.0,10.0,9.0,268.0,14.0,31.0,61.0,590.0,10.0,21.0,43.0,19.0,3.0,121.0,11.0,4.0,10.0,3.0,1.0,101.0,210.0,492.0,5.0,,47.0,11.0,80.0,280.0,19.0,17.0,16.0,3.0,511.0,158.0,52.0,69.0,766.0,66.0,1.0,4.0,,3.0,52.0,1.0,2.0,1.0,2.0,,,20.0,,,9.0,,,,29.0,2.0,1.0,6.0,,4.0,10.0,7.0,2.0,10.0,,19.0,,15.0,11.0,8.0,108.0,,23.0,,4.0,1.0,13.0,,2.0,8.0,2.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,4kng7wg83mastngy9hw7j6v6y,N. Sessock,Defender,66,20.0,573.0,15.0,494.0,180.0,211.0,6.0,2.0,1328.0,30.0,12.0,37.0,285.0,5.0,28.0,58.0,563.0,10.0,19.0,43.0,17.0,4.0,87.0,6.0,25.0,11.0,,105.0,73.0,53.0,461.0,35.0,36.0,55.0,24.0,79.0,223.0,17.0,23.0,17.0,2.0,485.0,136.0,51.0,36.0,908.0,90.0,1.0,9.0,4.0,1.0,33.0,,,,,,,14.0,,1.0,8.0,,3.0,,2.0,3.0,1.0,2.0,,5.0,18.0,2.0,3.0,9.0,,21.0,,19.0,6.0,7.0,173.0,1.0,26.0,,14.0,,14.0,,10.0,4.0,,12.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,1hsh4ya41ymtwrg4rksc8a9ec,D. Sibrian,Midfielder,81,7.0,197.0,6.0,178.0,38.0,54.0,6.0,1.0,728.0,24.0,10.0,1.0,77.0,7.0,14.0,14.0,193.0,10.0,6.0,21.0,12.0,1.0,48.0,1.0,6.0,6.0,2.0,1.0,45.0,55.0,170.0,,,21.0,4.0,19.0,101.0,12.0,8.0,10.0,,174.0,32.0,23.0,25.0,267.0,12.0,0.0,1.0,,1.0,8.0,,1.0,,,,,3.0,,2.0,2.0,,1.0,,14.0,1.0,,1.0,,4.0,5.0,1.0,1.0,8.0,,5.0,,6.0,1.0,4.0,56.0,,8.0,,,,3.0,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,56krtlbfpjr3rqx0zxj8dxrf8,S. Streelman,Defender,71,,11.0,,9.0,5.0,,,,19.0,1.0,1.0,1.0,9.0,,,1.0,11.0,10.0,,2.0,1.0,1.0,4.0,1.0,,1.0,,,3.0,4.0,9.0,1.0,,1.0,2.0,2.0,,1.0,,,,9.0,5.0,2.0,2.0,19.0,3.0,0.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,2.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,5bgt61vb5lnzyoczqnr202lpm,M. Tablante,Forward,80,31.0,597.0,44.0,464.0,343.0,66.0,22.0,5.0,1929.0,144.0,70.0,70.0,332.0,7.0,57.0,104.0,579.0,10.0,37.0,142.0,27.0,36.0,318.0,35.0,17.0,49.0,3.0,50.0,286.0,180.0,448.0,56.0,11.0,88.0,70.0,133.0,151.0,27.0,34.0,20.0,18.0,450.0,175.0,155.0,163.0,1152.0,167.0,1.0,20.0,3.0,,16.0,2.0,6.0,5.0,2.0,,,32.0,4.0,4.0,13.0,,,,10.0,3.0,3.0,3.0,,38.0,40.0,15.0,8.0,20.0,4.0,29.0,5.0,33.0,19.0,14.0,176.0,2.0,36.0,5.0,19.0,1.0,20.0,2.0,7.0,17.0,2.0,16.0,7.0,4.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,3rq2fxtjqablx794v1nom142x,C. Togashi,Forward,30,11.0,97.0,3.0,74.0,58.0,24.0,2.0,1.0,609.0,17.0,12.0,3.0,46.0,7.0,6.0,21.0,86.0,10.0,5.0,16.0,8.0,3.0,49.0,16.0,4.0,7.0,,,33.0,26.0,67.0,2.0,,7.0,38.0,23.0,28.0,8.0,11.0,8.0,7.0,63.0,11.0,24.0,25.0,182.0,23.0,0.0,4.0,,,7.0,3.0,1.0,3.0,5.0,,,16.0,,,8.0,,,,9.0,,,,,4.0,4.0,1.0,3.0,1.0,,2.0,3.0,3.0,8.0,2.0,36.0,,3.0,2.0,,3.0,1.0,3.0,,9.0,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,216tgeofjnxr75ehcftkvxkpg,A. Torres,Midfielder,23,16.0,354.0,13.0,324.0,63.0,94.0,9.0,4.0,798.0,36.0,16.0,1.0,165.0,3.0,27.0,25.0,351.0,10.0,18.0,48.0,23.0,7.0,95.0,4.0,8.0,14.0,1.0,1.0,84.0,127.0,306.0,1.0,,41.0,11.0,30.0,160.0,23.0,18.0,6.0,1.0,322.0,54.0,51.0,44.0,488.0,25.0,0.0,2.0,,,18.0,,,,,1.0,,11.0,,1.0,3.0,,,,9.0,2.0,,4.0,,6.0,7.0,,4.0,9.0,,5.0,,8.0,8.0,7.0,79.0,1.0,6.0,,1.0,,7.0,,1.0,3.0,,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,w5b2o27bps1ka2c08p5foopg,I. Vicentti,Forward,78,,1.0,1.0,1.0,1.0,,1.0,,13.0,2.0,,,1.0,,,,1.0,10.0,,1.0,3.0,1.0,4.0,,,,,,3.0,,1.0,,,1.0,,,,3.0,,,,1.0,1.0,1.0,3.0,4.0,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,45b72f8szmqnv8tz06j7mj1wq,P. Weah,Forward,33,17.0,173.0,25.0,129.0,120.0,34.0,10.0,3.0,1001.0,68.0,35.0,1.0,82.0,8.0,5.0,43.0,152.0,10.0,3.0,39.0,24.0,8.0,161.0,27.0,3.0,26.0,,,107.0,39.0,122.0,1.0,,26.0,68.0,44.0,47.0,24.0,19.0,11.0,13.0,108.0,33.0,62.0,99.0,354.0,37.0,5.0,8.0,,2.0,7.0,2.0,,9.0,2.0,,2.0,54.0,2.0,,23.0,,,2.0,10.0,2.0,,3.0,,11.0,8.0,,7.0,2.0,,1.0,9.0,11.0,31.0,2.0,67.0,,8.0,6.0,,7.0,,3.0,,14.0,,,13.0,3.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,9ufcm386siazbyu8df8la9ixg,G. Wesseh,Midfielder,83,21.0,447.0,19.0,357.0,262.0,155.0,11.0,6.0,1599.0,97.0,63.0,48.0,270.0,12.0,23.0,76.0,418.0,10.0,16.0,94.0,23.0,30.0,209.0,34.0,3.0,41.0,1.0,9.0,191.0,44.0,340.0,28.0,,36.0,70.0,90.0,102.0,23.0,24.0,19.0,17.0,330.0,113.0,95.0,114.0,850.0,121.0,1.0,15.0,6.0,5.0,17.0,7.0,17.0,4.0,7.0,,,18.0,4.0,,1.0,,2.0,,11.0,3.0,1.0,1.0,,31.0,21.0,41.0,17.0,7.0,6.0,14.0,1.0,33.0,17.0,12.0,135.0,,17.0,4.0,15.0,,11.0,1.0,2.0,17.0,10.0,6.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,
USA_MLS_Next_Pro,2025,Atlanta United 2,15sme8kghe4ml51p8pxv6vs6i,R. Wynne,Defender,38,36.0,1530.0,26.0,1382.0,198.0,642.0,14.0,6.0,2367.0,46.0,12.0,14.0,528.0,,32.0,93.0,1462.0,10.0,25.0,85.0,28.0,8.0,181.0,4.0,67.0,45.0,14.0,50.0,131.0,199.0,1280.0,14.0,10.0,96.0,14.0,148.0,855.0,28.0,40.0,26.0,3.0,1318.0,545.0,114.0,67.0,1866.0,96.0,0.0,4.0,2.0,1.0,102.0,1.0,,1.0,1.0,2.0,,50.0,,11.0,29.0,7.0,6.0,,1.0,4.0,,4.0,7.0,4.0,12.0,,,7.0,,55.0,1.0,35.0,21.0,14.0,144.0,1.0,66.0,,1.0,,23.0,,28.0,1.0,,1.0,2.0,0.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
