liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Total Tackles,Backward Passes,Tackles Lost,Games Played,Successful Open Play Passes,Aerial Duels won,Rightside Passes,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels lost,Ground Duels won,Ground Duels,Total Fouls Conceded,Time Played,Forward Passes,Total Passes,Total Clearances,Duels won,Foul Attempted Tackle,Aerial Duels,Open Play Passes,Appearances,Goals Conceded Inside Box,Goals Conceded,Total Losses Of Possession,Index,Successful Passes Opposition Half,Unsuccessful Short Passes,Recoveries,Successful Short Passes,Unsuccessful Passes Opposition Half,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Times Tackled,Successful Crosses & Corners,Substitute Off,Successful Lay-offs,Interceptions,Leftside Passes,Assists (Intentional),Unsuccessful Long Passes,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Crosses open play,Goal Assists,Unsuccessful Crosses & Corners,Total Fouls Won,Starts,Corners Won,Unsuccessful Passes Own Half,Aerial Duels lost,Tackles Won,Successful Long Passes,Total Touches In Opposition Box,Straight Red Cards,Goals from Inside Box,Total Shots,Total Red Cards,Shots Off Target (inc woodwork),Successful Launches,Penalty Goals Conceded,Blocked Shots,Yellow Cards,Goal Kicks,Goals,Successful Dribbles,GK Successful Distribution,Clearances Off the Line,Goals from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Clean Sheets,Right Foot Goals,Offsides,Throw Ins to Own Player,Key Passes (Attempt Assists),Blocks,Shots On Target ( inc goals ),Home Goals,Away Goals,Foul Won Penalty,Penalties Off Target,Overruns,Penalties Taken,Left Foot Goals,Through balls,Headed Goals,Successful Crosses open play,Unsuccessful lay-offs,Penalty Goals,Handballs conceded,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Drops,Punches,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Throw Ins to Opposition Player,Second Goal Assists,Attempts from Set Pieces,Last Player Tackle,Saves Made from Outside Box,Saves made - caught,Penalties Faced,Catches,Saves made - parried,Penalties Conceded,Own Goal Scored,Red Cards - 2nd Yellow,Goalkeeper Smother,Set Pieces Goals,Penalties Saved,Saves from Penalty,Crosses not Claimed,Other Goals
USA_USL_Championship,2024,Rhode Island FC,43tr063d8ut1mygz1xjfaedm2,Gabriel Alves,Defender,16,8.0,197.0,20.0,660.0,21.0,16.0,56.0,10.0,16.0,343.0,17.0,190.0,5.0,122.0,24.0,32.0,52.0,11.0,903.0,194.0,473.0,17.0,49.0,3.0,21.0,465.0,16.0,10.0,11.0,168.0,10.0,155.0,68.0,38.0,311.0,78.0,73.0,351.0,0.0,6.0,1.0,5.0,,14.0,33.0,,54.0,4.0,40.0,7.0,,9.0,9.0,11.0,4.0,53.0,4.0,6.0,40.0,6.0,,,4.0,,2.0,8.0,1.0,1.0,3.0,,,7.0,,,,1.0,,3.0,,1.0,39.0,1.0,4.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,15.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,5o2437unwy8z2k2k2ers86dbd,I. Angking,Midfielder,80,,15.0,5.0,58.0,1.0,4.0,9.0,2.0,8.0,33.0,,11.0,8.0,9.0,7.0,4.0,9.0,3.0,83.0,16.0,42.0,,4.0,,2.0,42.0,8.0,4.0,5.0,12.0,10.0,18.0,8.0,9.0,29.0,7.0,11.0,33.0,0.0,1.0,,1.0,1.0,3.0,6.0,,1.0,,,,1.0,,,,,2.0,2.0,2.0,4.0,2.0,,2.0,4.0,,2.0,,,1.0,,,2.0,,,,,1.0,,,,,,,,2.0,1.0,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,4vdbw63j0s7npezknabq6p7xm,J. Brito,Midfielder,18,10.0,117.0,48.0,599.0,24.0,18.0,104.0,5.0,35.0,278.0,10.0,92.0,24.0,83.0,59.0,53.0,101.0,12.0,1076.0,111.0,388.0,7.0,63.0,9.0,21.0,360.0,35.0,14.0,17.0,152.0,10.0,196.0,64.0,60.0,288.0,76.0,122.0,305.0,0.0,22.0,8.0,9.0,4.0,17.0,81.0,2.0,19.0,10.0,17.0,16.0,4.0,16.0,26.0,11.0,2.0,23.0,11.0,13.0,17.0,32.0,,3.0,10.0,,5.0,2.0,2.0,3.0,2.0,,3.0,9.0,,,,3.0,1.0,1.0,3.0,,7.0,17.0,2.0,5.0,1.0,2.0,,,1.0,,,4.0,,8.0,1.0,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,449e2muutlpvx9lhv1t2tcsmh,A. Dikwa,Forward,10,5.0,75.0,109.0,823.0,20.0,16.0,137.0,5.0,33.0,307.0,41.0,105.0,5.0,137.0,180.0,82.0,191.0,47.0,2414.0,105.0,459.0,5.0,123.0,24.0,112.0,444.0,33.0,27.0,32.0,292.0,10.0,252.0,124.0,67.0,314.0,136.0,303.0,322.0,3.0,58.0,5.0,13.0,32.0,4.0,112.0,4.0,13.0,27.0,4.0,23.0,4.0,23.0,55.0,28.0,18.0,24.0,71.0,11.0,8.0,125.0,,11.0,51.0,,23.0,1.0,,11.0,8.0,,11.0,13.0,,,,5.0,1.0,5.0,9.0,24.0,3.0,23.0,,28.0,4.0,7.0,1.0,,1.0,1.0,,,2.0,5.0,11.0,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,dtw2ic8zsx9y2ovr1idg4zz6x,M. Doyle,Forward,14,18.0,49.0,73.0,458.0,25.0,17.0,80.0,5.0,31.0,186.0,14.0,64.0,21.0,57.0,99.0,53.0,126.0,26.0,1121.0,52.0,248.0,3.0,67.0,18.0,40.0,242.0,31.0,14.0,15.0,138.0,10.0,143.0,47.0,38.0,187.0,62.0,166.0,191.0,0.0,33.0,1.0,7.0,14.0,6.0,52.0,,10.0,19.0,4.0,17.0,,17.0,23.0,10.0,5.0,12.0,26.0,12.0,4.0,69.0,,2.0,22.0,,9.0,,1.0,4.0,4.0,,2.0,13.0,,,,1.0,1.0,,1.0,6.0,3.0,15.0,1.0,13.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,aqqjtiyr2nayy6rjq6wxk6ec4,M. Duggan,Defender,0,6.0,264.0,22.0,747.0,13.0,15.0,58.0,4.0,13.0,446.0,28.0,219.0,3.0,116.0,34.0,23.0,45.0,9.0,908.0,250.0,575.0,36.0,51.0,6.0,40.0,561.0,13.0,9.0,11.0,151.0,10.0,197.0,68.0,50.0,420.0,76.0,85.0,459.0,0.0,5.0,2.0,3.0,,12.0,48.0,,48.0,1.0,28.0,4.0,,4.0,6.0,10.0,2.0,44.0,12.0,11.0,39.0,4.0,,,1.0,,1.0,8.0,,,1.0,,,2.0,,,,2.0,,2.0,,,35.0,4.0,2.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,2.0,16.0,,,1.0,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,Forward,11,38.0,206.0,176.0,1543.0,63.0,39.0,209.0,15.0,37.0,657.0,38.0,236.0,6.0,230.0,232.0,121.0,297.0,63.0,2775.0,274.0,920.0,27.0,159.0,29.0,94.0,887.0,37.0,31.0,38.0,496.0,10.0,508.0,209.0,133.0,654.0,245.0,391.0,690.0,3.0,96.0,24.0,11.0,40.0,7.0,201.0,10.0,21.0,55.0,14.0,51.0,10.0,64.0,52.0,31.0,28.0,49.0,56.0,24.0,36.0,129.0,,9.0,34.0,1.0,16.0,,,21.0,6.0,,9.0,31.0,,,,7.0,4.0,4.0,5.0,13.0,22.0,51.0,1.0,18.0,4.0,5.0,1.0,,13.0,2.0,4.0,9.0,,21.0,3.0,,3.0,,,,,,21.0,11.0,2.0,3.0,,2.0,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2024,Rhode Island FC,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,Midfielder,20,7.0,186.0,79.0,742.0,21.0,31.0,127.0,11.0,22.0,422.0,15.0,150.0,10.0,78.0,89.0,71.0,150.0,29.0,1254.0,137.0,512.0,16.0,86.0,15.0,25.0,500.0,22.0,12.0,16.0,152.0,10.0,249.0,69.0,48.0,427.0,60.0,175.0,434.0,2.0,36.0,1.0,9.0,18.0,19.0,98.0,2.0,9.0,14.0,7.0,9.0,3.0,9.0,26.0,12.0,7.0,27.0,10.0,20.0,7.0,35.0,,3.0,13.0,,6.0,2.0,,2.0,7.0,,4.0,14.0,,,1.0,4.0,,1.0,4.0,,,9.0,5.0,7.0,2.0,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,8pqvmz8g1yhe7hqqc1d68c4mi,C. Holstad,Midfielder,12,26.0,601.0,102.0,2088.0,47.0,73.0,280.0,27.0,37.0,1171.0,29.0,326.0,2.0,263.0,124.0,122.0,224.0,32.0,3052.0,474.0,1474.0,58.0,151.0,18.0,51.0,1430.0,37.0,32.0,41.0,447.0,10.0,621.0,170.0,205.0,1118.0,212.0,275.0,1211.0,1.0,42.0,11.0,6.0,30.0,32.0,394.0,,93.0,21.0,40.0,16.0,2.0,21.0,29.0,35.0,12.0,72.0,22.0,46.0,93.0,26.0,,2.0,44.0,,26.0,10.0,2.0,14.0,13.0,,4.0,21.0,,,2.0,9.0,3.0,10.0,2.0,1.0,55.0,17.0,9.0,18.0,1.0,3.0,,,5.0,,2.0,,,8.0,1.0,,1.0,,,,,,5.0,3.0,2.0,49.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,dltmx3e4llkcszs22cbfz92xg,J. Kwizera,Forward,17,36.0,203.0,139.0,1505.0,76.0,57.0,172.0,15.0,30.0,579.0,11.0,278.0,5.0,190.0,157.0,120.0,259.0,38.0,2256.0,285.0,795.0,22.0,131.0,18.0,29.0,767.0,30.0,22.0,29.0,478.0,10.0,436.0,143.0,129.0,572.0,255.0,288.0,605.0,0.0,76.0,34.0,14.0,5.0,25.0,60.0,5.0,47.0,46.0,26.0,79.0,6.0,114.0,11.0,25.0,35.0,49.0,18.0,42.0,33.0,94.0,,3.0,20.0,,8.0,7.0,,9.0,8.0,,3.0,52.0,,,,7.0,1.0,2.0,,2.0,99.0,45.0,1.0,12.0,2.0,1.0,,,13.0,,3.0,2.0,,23.0,1.0,,1.0,,,,,,41.0,26.0,8.0,20.0,,1.0,,,,,,,1.0,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,a3l8f3a6rr93qyyaxhdfqq1yi,J. Lee,Goalkeeper,22,,164.0,,476.0,,,,,12.0,143.0,4.0,55.0,2.0,162.0,1.0,,,,911.0,258.0,388.0,13.0,4.0,,5.0,237.0,12.0,13.0,17.0,167.0,10.0,62.0,4.0,90.0,135.0,139.0,5.0,226.0,0.0,,,,,,75.0,,158.0,,100.0,,1.0,,1.0,10.0,1.0,23.0,1.0,,91.0,,,,,,,32.0,1.0,,2.0,74.0,,,82.0,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,15.0,25.0,32.0,1.0,6.0,,,,,,,,17.0,,1.0,5.0,15.0,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,ar4x75pt8zphievntxkmh1t2i,C. McGlynn,Midfielder,28,7.0,187.0,15.0,496.0,14.0,17.0,65.0,4.0,14.0,339.0,12.0,118.0,6.0,58.0,25.0,19.0,34.0,8.0,721.0,101.0,405.0,11.0,31.0,6.0,22.0,396.0,14.0,11.0,13.0,72.0,10.0,162.0,37.0,43.0,310.0,51.0,56.0,347.0,0.0,4.0,2.0,5.0,6.0,4.0,121.0,,21.0,1.0,8.0,,,5.0,1.0,8.0,2.0,12.0,10.0,13.0,37.0,4.0,1.0,1.0,8.0,2.0,6.0,5.0,,4.0,2.0,,1.0,2.0,,,,2.0,,,1.0,,4.0,7.0,3.0,2.0,0.0,1.0,,,,,,,,2.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2024,Rhode Island FC,5ba5vm3lf2ua6mzmphhf8p15g,N. Messer,Forward,45,,4.0,,25.0,1.0,3.0,3.0,1.0,3.0,12.0,,3.0,3.0,5.0,1.0,3.0,3.0,,19.0,11.0,17.0,,3.0,,1.0,17.0,3.0,1.0,1.0,9.0,10.0,9.0,,3.0,10.0,4.0,4.0,12.0,0.0,,1.0,,,,,,5.0,,5.0,2.0,,3.0,,,,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,f472o0229a6xev8qudf1tyf6y,F. Nodarse,Defender,15,18.0,787.0,78.0,2075.0,31.0,77.0,96.0,22.0,38.0,1172.0,107.0,426.0,3.0,258.0,134.0,127.0,205.0,42.0,3105.0,629.0,1470.0,136.0,234.0,28.0,163.0,1425.0,38.0,33.0,41.0,352.0,10.0,426.0,156.0,144.0,1121.0,182.0,368.0,1212.0,0.0,18.0,1.0,6.0,3.0,57.0,319.0,,102.0,13.0,56.0,9.0,1.0,9.0,41.0,35.0,17.0,85.0,56.0,55.0,91.0,58.0,,6.0,27.0,,12.0,37.0,2.0,8.0,9.0,21.0,6.0,9.0,21.0,,,8.0,1.0,8.0,1.0,,67.0,4.0,21.0,15.0,4.0,2.0,,,3.0,,,,5.0,1.0,1.0,,1.0,,,,,,,,,37.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,5glx8032tjponupn36vgocmqc,K. Orduy,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,4iepghv4p490fxo5s429qeicq,J. Panayotou,Midfielder,0,5.0,56.0,38.0,420.0,15.0,11.0,67.0,4.0,12.0,164.0,2.0,41.0,4.0,47.0,44.0,29.0,67.0,11.0,763.0,78.0,236.0,2.0,31.0,4.0,8.0,210.0,12.0,9.0,10.0,139.0,10.0,151.0,40.0,24.0,174.0,84.0,75.0,189.0,0.0,20.0,18.0,5.0,8.0,2.0,50.0,3.0,7.0,10.0,1.0,17.0,3.0,44.0,8.0,8.0,8.0,7.0,6.0,7.0,15.0,23.0,,,11.0,,7.0,,1.0,3.0,,,,10.0,,,,1.0,,,,1.0,2.0,20.0,1.0,4.0,,,1.0,,1.0,,,5.0,,5.0,1.0,,,,,,,,35.0,22.0,12.0,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2024,Rhode Island FC,711t32tk6qwl567dngcldfw15,M. Rodriguez,Midfielder,21,33.0,406.0,123.0,1613.0,73.0,58.0,238.0,21.0,34.0,803.0,51.0,228.0,3.0,278.0,175.0,125.0,248.0,41.0,2753.0,365.0,1116.0,31.0,176.0,25.0,103.0,1080.0,34.0,23.0,25.0,429.0,10.0,434.0,223.0,138.0,782.0,215.0,351.0,838.0,1.0,60.0,2.0,14.0,39.0,27.0,285.0,3.0,55.0,30.0,16.0,14.0,5.0,14.0,50.0,31.0,8.0,77.0,52.0,37.0,56.0,58.0,,10.0,34.0,,14.0,1.0,3.0,6.0,7.0,,10.0,19.0,,,,2.0,1.0,5.0,7.0,9.0,17.0,19.0,4.0,20.0,5.0,5.0,,,6.0,3.0,2.0,3.0,1.0,2.0,8.0,3.0,4.0,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
